ENTRY            T0225   20030804                             0000T022500000001 
SUBENT        T0225001   20030804                             0000T022500100001 
BIB                  9         14                                 T022500100002 
INSTITUTE  (1USAMIT)                                              T022500100003 
REFERENCE  (J,NP/A,139,1,1969)                                    T022500100004 
AUTHOR     (C.Moazed,K.Nagatani,A.M.Bernstein)                    T022500100005 
TITLE      A study of 50Sc via the 48Ca(alpha,d) reaction         T022500100006 
FACILITY   (CYCLO,1USAMIT)                                        T022500100007 
DETECTOR   (TELES,SIBAR) Counter telescope assembly consisting    T022500100008 
            of 500 and 2300 microm thick Si surface-barrier       T022500100009 
            detectors cooled to 0 degrees C.                      T022500100010 
SAMPLE     A self-supporting 1 mg/cm**2 48Ca enriched target.     T022500100011 
ERR-ANALYS (DATA-ERR) Experimental uncertainty in the absolute    T022500100012 
            cross section.                                        T022500100013 
           Digitizing error in angle 0.2 degrees.                 T022500100014 
           Digitizing error in data 1%.                           T022500100015 
HISTORY    (20030204C) NPDC + VM                                  T022500100016 
ENDBIB              14          0                                 T022500100017 
COMMON               2          3                                 T022500100018 
EN         DATA-ERR                                               T022500100019 
MEV        PER-CENT                                               T022500100020 
 31.        30.0                                                  T022500100021 
ENDCOMMON            3          0                                 T022500100022 
ENDSUBENT           21          0                                 T022500199999 
SUBENT        T0225002   20030804                             0000T022500200001 
BIB                  2          2                                 T022500200002 
REACTION   (20-CA-48(A,D)21-SC-50,PAR,DA)                         T022500200003 
STATUS     (CURVE) Data scanned from Fig.2 by NPDC.               T022500200004 
ENDBIB               2          0                                 T022500200005 
NOCOMMON             0          0                                 T022500200006 
DATA                 4         63                                 T022500200007 
E          ANG        DATA       DATA-ERR1                        T022500200008 
MEV        ADEG       MB/SR      MB/SR                            T022500200009 
  0.00       23.2       0.607E+00  0.489E-01                      T022500200010 
  0.00       27.3       0.405E+00  0.290E-01                      T022500200011 
  0.00       31.2       0.290E+00  0.128E-01                      T022500200012 
  0.00       34.7       0.208E+00  0.916E-02                      T022500200013 
  0.00       38.8       0.170E+00  0.153E-01                      T022500200014 
  0.00       43.2       0.138E+00  0.111E-01                      T022500200015 
  0.00       50.1       0.141E+00  0.181E-01                      T022500200016 
  0.00       57.2       0.164E+00  0.133E-01                      T022500200017 
  0.00       65.3       0.111E+00  0.153E-01                      T022500200018 
  0.00       72.4       0.616E-01  0.790E-02                      T022500200019 
  0.00       80.3       0.366E-01  0.364E-02                      T022500200020 
  0.33       23.1       0.179E+00  0.212E-01                      T022500200021 
  0.33       27.1       0.155E+00  0.199E-01                      T022500200022 
  0.33       31.0       0.101E+00  0.627E-02                      T022500200023 
  0.33       34.7       0.739E-01  0.664E-02                      T022500200024 
  0.33       38.6       0.851E-01  0.605E-02                      T022500200025 
  0.33       43.2       0.971E-01  0.871E-02                      T022500200026 
  0.33       50.2       0.663E-01  0.532E-02                      T022500200027 
  0.33       57.2       0.378E-01  0.375E-02                      T022500200028 
  0.33       65.3       0.407E-01  0.403E-02                      T022500200029 
  0.33       72.2       0.389E-01  0.497E-02                      T022500200030 
  0.33       80.3       0.211E-01  0.311E-02                      T022500200031 
  0.76       23.3       0.501E-01  0.966E-02                      T022500200032 
  0.76       27.5       0.320E-01  0.584E-02                      T022500200033 
  0.76       31.3       0.248E-01  0.532E-02                      T022500200034 
  0.76       34.9       0.186E-01  0.359E-02                      T022500200035 
  0.76       38.9       0.146E-01  0.344E-02                      T022500200036 
  0.76       50.3       0.635E-02  0.103E-02                      T022500200037 
  0.76       58.0       0.917E-02  0.186E-02                      T022500200038 
  0.76       65.4       0.119E-01  0.230E-02                      T022500200039 
  0.76       72.3       0.108E-01  0.230E-02                      T022500200040 
  0.76       80.2       0.102E-01  0.186E-02                      T022500200041 
  1.86       23.4       0.630E-01  0.810E-02                      T022500200042 
  1.86       26.5       0.130E+00  0.105E-01                      T022500200043 
  1.86       31.5       0.157E+00  0.127E-01                      T022500200044 
  1.86       35.1       0.133E+00  0.953E-02                      T022500200045 
  1.86       38.9       0.103E+00  0.102E-01                      T022500200046 
  1.86       43.0       0.668E-01  0.605E-02                      T022500200047 
  1.86       50.3       0.363E-01  0.294E-02                      T022500200048 
  1.86       58.0       0.535E-01  0.638E-02                      T022500200049 
  1.86       65.4       0.411E-01  0.652E-02                      T022500200050 
  1.86       72.8       0.207E-01  0.267E-02                      T022500200051 
  1.86       80.2       0.214E-01  0.339E-02                      T022500200052 
  2.23       23.2       0.974E-01  0.125E-01                      T022500200053 
  2.23       27.0       0.728E-01  0.935E-02                      T022500200054 
  2.23       31.2       0.513E-01  0.708E-02                      T022500200055 
  2.23       35.0       0.323E-01  0.414E-02                      T022500200056 
  2.23       39.1       0.365E-01  0.433E-02                      T022500200057 
  2.23       50.2       0.320E-01  0.411E-02                      T022500200058 
  2.23       58.2       0.218E-01  0.259E-02                      T022500200059 
  2.23       65.1       0.201E-01  0.298E-02                      T022500200060 
  2.23       72.3       0.197E-01  0.272E-02                      T022500200061 
  2.23       80.3       0.134E-01  0.225E-02                      T022500200062 
  2.33       23.2       0.967E-01  0.171E-01                      T022500200063 
  2.33       27.0       0.580E-01  0.851E-02                      T022500200064 
  2.33       31.1       0.386E-01  0.344E-02                      T022500200065 
  2.33       35.1       0.307E-01  0.604E-02                      T022500200066 
  2.33       39.1       0.261E-01  0.596E-02                      T022500200067 
  2.33       50.0       0.148E-01  0.233E-02                      T022500200068 
  2.33       57.7       0.101E-01  0.188E-02                      T022500200069 
  2.33       65.1       0.146E-01  0.318E-02                      T022500200070 
  2.33       72.4       0.107E-01  0.437E-02                      T022500200071 
  2.33       80.1       0.660E-02  0.223E-02                      T022500200072 
ENDDATA             65          0                                 T022500200073 
ENDSUBENT           72          0                                 T022500299999 
ENDENTRY             2          0                                 T022599999999 
