ENTRY            T0066   20020219                             0000T006600000001 
SUBENT        T0066001   20020219                             0000T006600100001 
BIB                  9         17                                 T006600100002 
INSTITUTE  (1USANCA,1USATNL)                                      T006600100003 
REFERENCE  (J,NP/A,549,223,1992)                                  T006600100004 
           (J,PRL,51,2269,198312)                                 T006600100005 
           (T,FAUBER,1990) 24Mg, 28Si, 32S.                       T006600100006 
           (T,WILKERSON,1982) 12C, 16O, 24Mg, 28Si, 32S, 36Ar.    T006600100007 
AUTHOR     (J.F.Wilkerson,T.M.Mooney,R.E.Fauber,T.B.Clegg,        T006600100008 
           H.J.Karwowski,E.J.Ludwig,W.J.Thompson)                 T006600100009 
TITLE      Isospin-nonconserving particle decays in light nuclei  T006600100010 
FACILITY   (VDGT,1USATNL) HVEC model FN tandem Van de Graaff.     T006600100011 
METHOD     (BCINT) Incident beam current integrated using a       T006600100012 
            Faraday cup downstream from the target.               T006600100013 
DETECTOR   (SIBAR) Outgoing protons or alpha particles were       T006600100014 
            detected in silicon surface barrier detectors in the  T006600100015 
            scattering plane. From 4 to 8 angles were measured    T006600100016 
            simultaneously.                                       T006600100017 
STATUS      No reply from R. Fauber to author proof.              T006600100018 
HISTORY    (20001024C) SD,VM                                      T006600100019 
ENDBIB              17          0                                 T006600100020 
COMMON               1          3                                 T006600100021 
ANG-RSL                                                           T006600100022 
ADEG                                                              T006600100023 
  1.0                                                             T006600100024 
ENDCOMMON            3          0                                 T006600100025 
ENDSUBENT           24          0                                 T006600199999 
SUBENT        T0066002   20020219                             0000T006600200001 
BIB                  4         10                                 T006600200002 
REACTION   (8-O-16(P,EL)8-O-16,,DA)                               T006600200003 
INC-SOURCE (LAMB) Polarized protons momentum analyzed in a dual-  T006600200004 
            90 degree magnet system.                              T006600200005 
ERR-ANALYS (ERR-S) Statistical error scanned from figure.         T006600200006 
           Normalization uncertainy arising from target thickness T006600200007 
            and current-integration uncertainties < 10%.          T006600200008 
           Digitizing error in incident energy 0.0005 MeV.        T006600200009 
           Digitizing error in data 0.5 mb/sr.                    T006600200010 
STATUS     (CURVE) Data scanned from Fig.2 in main reference at   T006600200011 
                   NPDC (RFNC-VNIIEF).                            T006600200012 
ENDBIB              10          0                                 T006600200013 
COMMON               1          3                                 T006600200014 
EN-RSL-FW                                                         T006600200015 
EV                                                                T006600200016 
 950.                                                             T006600200017 
ENDCOMMON            3          0                                 T006600200018 
DATA                 4        196                                 T006600200019 
ANG        EN         DATA       ERR-S                            T006600200020 
ADEG       MEV        MB/SR      MB/SR                            T006600200021 
   57.0     11.2588     19.4       0.4                            T006600200022 
   57.0     11.2593     20.0       0.4                            T006600200023 
   57.0     11.2598     20.4       0.4                            T006600200024 
   57.0     11.2604     19.0       0.4                            T006600200025 
   57.0     11.2610     19.3       0.4                            T006600200026 
   57.0     11.2612     20.0       0.4                            T006600200027 
   57.0     11.2615     19.4       0.4                            T006600200028 
   57.0     11.2618     19.9       0.4                            T006600200029 
   57.0     11.2621     19.4       0.4                            T006600200030 
   57.0     11.2623     19.3       0.4                            T006600200031 
   57.0     11.2626     20.0       0.4                            T006600200032 
   57.0     11.2629     18.8       0.4                            T006600200033 
   57.0     11.2631     19.6       0.4                            T006600200034 
   57.0     11.2634     19.8       0.4                            T006600200035 
   57.0     11.2637     20.6       0.4                            T006600200036 
   57.0     11.2640     21.3       0.4                            T006600200037 
   57.0     11.2643     20.4       0.4                            T006600200038 
   57.0     11.2645     20.1       0.4                            T006600200039 
   57.0     11.2648     20.6       0.4                            T006600200040 
   57.0     11.2651     20.6       0.4                            T006600200041 
   57.0     11.2653     20.4       0.4                            T006600200042 
   57.0     11.2656     19.8       0.4                            T006600200043 
   57.0     11.2659     19.9       0.4                            T006600200044 
   57.0     11.2661     19.4       0.4                            T006600200045 
   57.0     11.2664     19.8       0.4                            T006600200046 
   57.0     11.2667     20.6       0.4                            T006600200047 
   57.0     11.2670     20.1       0.4                            T006600200048 
   57.0     11.2672     19.7       0.4                            T006600200049 
   57.0     11.2675     20.7       0.4                            T006600200050 
   57.0     11.2678     20.0       0.4                            T006600200051 
   57.0     11.2681     20.1       0.4                            T006600200052 
   57.0     11.2683     19.4       0.4                            T006600200053 
   57.0     11.2686     19.5       0.4                            T006600200054 
   57.0     11.2689     19.6       0.4                            T006600200055 
   57.0     11.2691     19.8       0.4                            T006600200056 
   57.0     11.2694     20.1       0.4                            T006600200057 
   65.2     11.2587     20.0       0.4                            T006600200058 
   65.2     11.2590     19.4       0.4                            T006600200059 
   65.2     11.2592     19.6       0.4                            T006600200060 
   65.2     11.2595     20.0       0.4                            T006600200061 
   65.2     11.2598     20.0       0.4                            T006600200062 
   65.2     11.2600     20.3       0.4                            T006600200063 
   65.2     11.2603     20.9       0.4                            T006600200064 
   65.2     11.2606     20.2       0.4                            T006600200065 
   65.2     11.2609     20.4       0.4                            T006600200066 
   65.2     11.2611     20.0       0.4                            T006600200067 
   65.2     11.2615     20.0       0.4                            T006600200068 
   65.2     11.2617     20.8       0.4                            T006600200069 
   65.2     11.2620     20.5       0.4                            T006600200070 
   65.2     11.2623     19.8       0.4                            T006600200071 
   65.2     11.2625     20.1       0.4                            T006600200072 
   65.2     11.2628     20.9       0.4                            T006600200073 
   65.2     11.2631     21.0       0.4                            T006600200074 
   65.2     11.2633     19.9       0.4                            T006600200075 
   65.2     11.2636     21.3       0.4                            T006600200076 
