ENTRY            T0005   19990511                             0000T000500000001 
SUBENT        T0005001   19990511                             0000T000500100001 
BIB                 11         19                                 T000500100002 
INSTITUTE  (1USATNL)                                              T000500100003 
REFERENCE  (J,NP/A,345,241,1980)                                  T000500100004 
           (C,80SANTA FE,2,1323,1980)                             T000500100005 
AUTHOR     (G.MACK,R.C.BYRD,P.W.LISOWSKI,R.L.WALTER)              T000500100006 
TITLE      The analyzing power Ay(0) for the 9Be(p,n)9B reaction  T000500100007 
            from 8 to 15 MeV                                      T000500100008 
FACILITY   (VDGT)                                                 T000500100009 
SAMPLE     The target consisted of an 8.58 mg/cm2 beryllium foil  T000500100010 
            mounted on tantalium backing. Target thickness 360    T000500100011 
            keV at 8 MeV and dropped to 240 keV at 15 MeV.        T000500100012 
METHOD     (PSD)                                                  T000500100013 
DETECTOR   (SCIN) A 2.54 cm diam. NE213 scintillator located at   T000500100014 
            140-cm flight path.                                   T000500100015 
ERR-ANALYS (ERR-S) Statistical error. Possible sources of         T000500100016 
            systematic errors from background contributions are   T000500100017 
            expected to have negligible effect.                   T000500100018 
STATUS     Data received by email from R. Byrd, 24 March 1999     T000500100019 
           No reply received from R. Byrd to author proof.        T000500100020 
HISTORY    (19990401C) SD                                         T000500100021 
ENDBIB              19          0                                 T000500100022 
COMMON               1          3                                 T000500100023 
E-LVL                                                             T000500100024 
MEV                                                               T000500100025 
 0.                                                               T000500100026 
ENDCOMMON            3          0                                 T000500100027 
ENDSUBENT           26          0                                 T000500199999 
SUBENT        T0005002   19990405                             0000T000500200001 
BIB                  1          1                                 T000500200002 
REACTION   (4-BE-9(P,N)5-B-9,PAR,POL/DA,,ANA)                     T000500200003 
ENDBIB               1          0                                 T000500200004 
NOCOMMON             0          0                                 T000500200005 
DATA                 4         59                                 T000500200006 
EN         ANG-CM     DATA       ERR-S                            T000500200007 
MEV        ADEG       NO-DIM     NO-DIM                           T000500200008 
   8.1       11.30      -0.042      0.029                         T000500200009 
   8.1       22.56      -0.083      0.023                         T000500200010 
   8.1       33.74      -0.226      0.028                         T000500200011 
   8.1       44.81      -0.305      0.023                         T000500200012 
   8.1       55.73      -0.349      0.024                         T000500200013 
   8.1       66.48      -0.407      0.032                         T000500200014 
   8.1       77.03      -0.351      0.029                         T000500200015 
   8.1       87.37      -0.349      0.023                         T000500200016 
   8.1       97.50      -0.294      0.020                         T000500200017 
   8.1      107.40      -0.245      0.020                         T000500200018 
   9.1       11.27       0.037      0.029                         T000500200019 
   9.1       22.81      -0.016      0.027                         T000500200020 
   9.1       33.67      -0.016      0.036                         T000500200021 
   9.1       44.22      -0.175      0.030                         T000500200022 
   9.1       55.56      -0.234      0.031                         T000500200023 
   9.1       66.37      -0.221      0.027                         T000500200024 
   9.1       76.91      -0.218      0.027                         T000500200025 
   9.1       87.24      -0.234      0.039                         T000500200026 
  10.0       11.26       0.012      0.029                         T000500200027 
  10.0       22.48      -0.039      0.028                         T000500200028 
  10.0       33.63      -0.097      0.043                         T000500200029 
  10.0       44.67      -0.121      0.032                         T000500200030 
  10.0       55.63      -0.131      0.036                         T000500200031 
  10.0       66.28      -0.211      0.047                         T000500200032 
  10.0       76.78      -0.082      0.034                         T000500200033 
  10.0       87.10      -0.130      0.051                         T000500200034 
  11.1       11.24      -0.012      0.031                         T000500200035 
  11.1       22.44      -0.046      0.035                         T000500200036 
  11.1       33.56      -0.126      0.033                         T000500200037 
  11.1       44.58      -0.195      0.030                         T000500200038 
  11.1       55.46      -0.173      0.039                         T000500200039 
  11.1       66.17      -0.119      0.034                         T000500200040 
  11.1       76.75      -0.112      0.038                         T000500200041 
  11.1       87.02      -0.081      0.043                         T000500200042 
  12.0       11.24       0.000      0.016                         T000500200043 
  12.0       22.43      -0.117      0.028                         T000500200044 
  12.0       33.56      -0.202      0.028                         T000500200045 
  12.0       44.56      -0.261      0.026                         T000500200046 
  12.0       55.45      -0.217      0.025                         T000500200047 
  12.0       66.17      -0.140      0.029                         T000500200048 
  12.0       76.69      -0.043      0.036                         T000500200049 
  12.0       87.05       0.006      0.046                         T000500200050 
  13.5       11.22       0.022      0.125                         T000500200051 
  13.5       22.41      -0.015      0.098                         T000500200052 
  13.5       33.52      -0.324      0.105                         T000500200053 
  13.5       44.53      -0.361      0.096                         T000500200054 
  13.5       55.40      -0.232      0.069                         T000500200055 
  13.5       66.11      -0.038      0.073                         T000500200056 
  13.5       76.63      -0.028      0.072                         T000500200057 
  13.5       86.93       0.037      0.092                         T000500200058 
  15.0       11.21       0.051      0.038                         T000500200059 
  15.0       22.39      -0.017      0.046                         T000500200060 
  15.0       33.50      -0.168      0.038                         T000500200061 
  15.0       44.50      -0.161      0.036                         T000500200062 
  15.0       55.36      -0.188      0.034                         T000500200063 
  15.0       66.36      -0.097      0.063                         T000500200064 
  15.0       76.58       0.013      0.058                         T000500200065 
  15.0       86.89       0.128      0.049                         T000500200066 
  15.0       99.98       0.077      0.054                         T000500200067 
ENDDATA             61          0                                 T000500200068 
ENDSUBENT           67          0                                 T000500299999 
ENDENTRY             2          0                                 T000599999999 
