ENTRY            T0043   19990708                             0000T004300000001 
SUBENT        T0043001   19990708                             0000T004300100001 
BIB                 11         14                                 T004300100002 
INSTITUTE  (1CANLUQ)                                              T004300100003 
REFERENCE  (J,CJP,61,1609,198312)                                 T004300100004 
AUTHOR     (J.POULIOT,R.ROY,P.BRICAULT,L.POTVIN,R.J.SLOBODRIAN)   T004300100005 
TITLE      Polarization and cross section measurements of         T004300100006 
            the 9Be(3He,p)11B reaction                            T004300100007 
FACILITY   (VDG)                                                  T004300100008 
SAMPLE     Target of 9Be, 710 mu-g/cm2 thick.                     T004300100009 
METHOD     (EDE)                                                  T004300100010 
DETECTOR   (TELES)                                                T004300100011 
ERR-ANALYS (DATA-ERR1) Absolute error                             T004300100012 
           (DATA-ERR2) Error from graphic bars (statistical in    T004300100013 
            a few points) and digitizing                          T004300100014 
STATUS     No reply to author proof from J. Pouliot.              T004300100015 
HISTORY    (19990409C) Converted from F0259 by RFNC-VNIIEF.       T004300100016 
ENDBIB              14          0                                 T004300100017 
COMMON               1          3                                 T004300100018 
DATA-ERR1                                                         T004300100019 
PER-CENT                                                          T004300100020 
  5.                                                              T004300100021 
ENDCOMMON            3          0                                 T004300100022 
ENDSUBENT           21          0                                 T004300199999 
SUBENT        T0043002   19990609                             0000T004300200001 
BIB                  3          3                                 T004300200002 
REACTION   (4-BE-9(HE3,P)5-B-11,,DA)                              T004300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             T004300200004 
STATUS     (CURVE) Scanned from Fig. 3 by RFNC-VNIIEF.            T004300200005 
ENDBIB               3          0                                 T004300200006 
COMMON               1          3                                 T004300200007 
ANG-ERR                                                           T004300200008 
ADEG                                                              T004300200009 
  1.0                                                             T004300200010 
ENDCOMMON            3          0                                 T004300200011 
DATA                 4        107                                 T004300200012 
EN         ANG        DATA       DATA-ERR2                        T004300200013 
MEV        ADEG       MU-B/SR    MU-B/SR                          T004300200014 
    13.0       29.67   220.8        1.9                           T004300200015 
    13.0       31.72   226.3        1.9                           T004300200016 
    13.0       34.02   228.2        1.9                           T004300200017 
    13.0       35.82   222.8        1.9                           T004300200018 
    13.0       37.88   215.6        1.9                           T004300200019 
    13.0       39.94   208.4        1.9                           T004300200020 
    13.0       41.74   197.6        1.9                           T004300200021 
    13.0       43.80   183.1        1.9                           T004300200022 
    13.0       45.60   172.3        1.9                           T004300200023 
    13.0       47.66   159.6        1.9                           T004300200024 
    13.0       49.72   152.4        1.9                           T004300200025 
    13.0       51.77   147.0        1.9                           T004300200026 
    13.0       54.09   139.9        1.9                           T004300200027 
    13.0       55.88   138.1        1.9                           T004300200028 
    13.2       29.99   221.8        1.4                           T004300200029 
    13.2       32.04   218.2        1.4                           T004300200030 
    13.2       34.35   216.4        1.4                           T004300200031 
    13.2       36.15   214.6        1.4                           T004300200032 
    13.2       38.20   198.2        1.4                           T004300200033 
    13.2       40.25   194.6        1.4                           T004300200034 
    13.2       42.04   187.3        1.4                           T004300200035 
    13.2       44.10   176.4        1.4                           T004300200036 
    13.2       45.89   163.7        1.4                           T004300200037 
    13.2       47.94   151.0        1.4                           T004300200038 
    13.2       50.00   140.1        1.4                           T004300200039 
    13.2       52.05   136.4        1.4                           T004300200040 
    13.2       54.10   134.6        1.4                           T004300200041 
    13.2       55.89   134.6        1.4                           T004300200042 
    13.4       29.98   206.1        1.4                           T004300200043 
    13.4       32.03   213.1        1.4                           T004300200044 
    13.4       33.83   209.6        1.4                           T004300200045 
    13.4       35.88   206.1        1.4                           T004300200046 
    13.4       38.19   197.4        1.4                           T004300200047 
    13.4       39.98   194.0        1.4                           T004300200048 
    13.4       42.03   181.8        1.4                           T004300200049 
    13.4       44.34   169.7        1.4                           T004300200050 
    13.4       46.14   161.0        1.4                           T004300200051 
    13.4       48.19   150.5        1.4                           T004300200052 
    13.4       49.99   143.6        1.4                           T004300200053 
    13.4       52.30   136.6        1.4                           T004300200054 
    13.4       54.09   129.7        1.4                           T004300200055 
    13.4       56.14   129.7        1.4                           T004300200056 
    13.6       29.62   207.9        1.6                           T004300200057 
    13.6       31.67   209.7        1.6                           T004300200058 
    13.6       33.73   204.5        1.6                           T004300200059 
    13.6       35.78   204.6        1.6                           T004300200060 
    13.6       37.83   199.4        1.6                           T004300200061 
    13.6       39.63   187.3        1.6                           T004300200062 
    13.6       41.94   180.4        1.6                           T004300200063 
    13.6       43.75   164.8        1.6                           T004300200064 
    13.6       45.80   154.4        1.6                           T004300200065 
    13.6       47.86   144.0        1.6                           T004300200066 
    13.6       49.92   137.1        1.6                           T004300200067 
    13.6       51.97   133.7        1.6                           T004300200068 
    13.6       54.02   128.5        1.6                           T004300200069 
    13.6       56.08   123.3        1.6                           T004300200070 
    13.8       29.96   195.2        1.5                           T004300200071 
    13.8       31.76   195.2        1.5                           T004300200072 
    13.8       33.81   198.8        1.5                           T004300200073 
    13.8       35.86   200.7        1.5                           T004300200074 
    13.8       37.91   191.6        1.5                           T004300200075 
    13.8       39.71   184.3        1.5                           T004300200076 
    13.8       41.76   169.8        1.5                           T004300200077 
    13.8       43.81   160.7        1.5                           T004300200078 
    13.8       45.61   149.8        1.5                           T004300200079 
    13.8       47.92   142.6        1.5                           T004300200080 
    13.8       49.71   137.1        1.5                           T004300200081 
    13.8       51.51   128.1        1.5                           T004300200082 
    13.8       53.82   122.6        1.5                           T004300200083 
    13.8       56.13   122.5        1.5                           T004300200084 
    13.8       57.66   120.8        1.5                           T004300200085 
    13.8       59.72   120.8        1.5                           T004300200086 
    13.8       61.51   122.7        1.5                           T004300200087 
    14.0       25.75   180.9        1.6                           T004300200088 
    14.0       27.80   189.6        1.6                           T004300200089 
    14.0       29.59   184.5        1.6                           T004300200090 
    14.0       30.62   186.2        1.6                           T004300200091 
    14.0       32.67   188.0        1.6                           T004300200092 
    14.0       33.44   193.2        1.6                           T004300200093 
    14.0       34.72   189.8        1.6                           T004300200094 
    14.0       35.49   186.3        1.6                           T004300200095 
    14.0       36.78   179.4        1.6                           T004300200096 
    14.0       37.80   175.9        1.6                           T004300200097 
    14.0       38.83   172.5        1.6                           T004300200098 
    14.0       39.60   172.5        1.6                           T004300200099 
    14.0       41.14   167.3        1.6                           T004300200100 
    14.0       44.99   151.7        1.6                           T004300200101 
    14.2       25.57   183.6        1.5                           T004300200102 
    14.2       27.88   190.9        1.5                           T004300200103 
    14.2       29.67   198.2        1.5                           T004300200104 
    14.2       30.70   192.8        1.5                           T004300200105 
    14.2       31.98   198.2        1.5                           T004300200106 
    14.2       32.75   187.3        1.5                           T004300200107 
    14.2       34.03   185.5        1.5                           T004300200108 
    14.2       34.80   189.2        1.5                           T004300200109 
    14.2       35.57   181.9        1.5                           T004300200110 
    14.2       37.88   180.1        1.5                           T004300200111 
    14.2       39.68   165.6        1.5                           T004300200112 
    14.2       41.73   165.6        1.5                           T004300200113 
    14.2       43.79   143.8        1.5                           T004300200114 
    14.2       44.81   142.0        1.5                           T004300200115 
    14.2       46.86   134.7        1.5                           T004300200116 
    14.2       50.71   118.4        1.5                           T004300200117 
    14.2       52.76   114.8        1.5                           T004300200118 
    14.2       54.82   109.3        1.5                           T004300200119 
    14.2       56.87   113.0        1.5                           T004300200120 
    14.2       58.92   107.6        1.5                           T004300200121 
ENDDATA            109          0                                 T004300200122 
ENDSUBENT          121          0                                 T004300299999 
ENDENTRY             2          0                                 T004399999999 
