ENTRY            T0407   20050406                             T020T040700000001 
SUBENT        T0407001   20050406                             T020T040700100001 
BIB                 14         26                                 T040700100002 
INSTITUTE  (1USACFN,1CANMNA,1CANALA,1USAORU)                      T040700100003 
REFERENCE  (J,PR/C,25,2873,198206)                                T040700100004 
AUTHOR     (D.J.Margaziotis,M.B.Epstein,W.T.H.van Oers,D.K.Hasell,T040700100005 
           R.Abegg,G.A.Moss,L.G.Greeniaus,J.M.Cameron,A.W.Stetz)  T040700100006 
TITLE      Asymmetries from the 4he(p,2p)3H reaction at 250 and   T040700100007 
            500 MeV using polarized protons                       T040700100008 
FACILITY   (CYCLO,1CANTMF)                                        T040700100009 
INC-SOURCE (POLIS) Typical beam polarizations 70% at 250 MeV and  T040700100010 
            65% at 500 MeV.                                       T040700100011 
SAMPLE     Liquid helium target, thickness 99 mg/cm2.             T040700100012 
METHOD     (LRASY)                                                T040700100013 
DETECTOR   (TELES,MWPC,SCIN) Scattered protons detected in 2 pairsT040700100014 
            of range telescoped, placed symmetrically with regard T040700100015 
            to beam direction. Each telescope consisted of 2 thickT040700100016 
            plastic scintillators, a set of multiwire proportionalT040700100017 
            counters, a copper absorber, and a thick NaI(Tl)      T040700100018 
            detector.                                             T040700100019 
MONITOR    Incident beam polarization monitored using polarimeter T040700100020 
            upstream from 4He target. Polarimeter used p-p        T040700100021 
            scattering analyzing power = 0.365 at 250 MeV and     T040700100022 
            0.515 at 500 MeV.                                     T040700100023 
           Energy calibrated using CH2 target.                    T040700100024 
CORRECTION Corrected for background.                              T040700100025 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               T040700100026 
STATUS     Data translated from NRDF file data set 725.           T040700100027 
HISTORY    (20050406C) VM                                         T040700100028 
ENDBIB              26          0                                 T040700100029 
NOCOMMON             0          0                                 T040700100030 
ENDSUBENT           29          0                                 T040700199999 
SUBENT        T0407002   20050406                             T020T040700200001 
BIB                  3          3                                 T040700200002 
REACTION   (2-HE-4(P,2P)1-H-3,,POL/DA/DA/DE,P/P/P,ANA)            T040700200003 
EN-SEC     (E,P) Energy of one of the protons.                    T040700200004 
STATUS     Scanned from Fig. 1 in reference at JCPRG.             T040700200005 
ENDBIB               3          0                                 T040700200006 
NOCOMMON             0          0                                 T040700200007 
DATA                 6         68                                 T040700200008 
EN         ANG1       ANG2       E          DATA       ERR-S      T040700200009 
MEV        ADEG       ADEG       MEV        NO-DIM     NO-DIM     T040700200010 
 250.       55.        25.         32.2     -0.131      0.029     T040700200011 
 250.       55.        25.         37.4     -0.124      0.029     T040700200012 
 250.       55.        25.         42.3     -0.155      0.032     T040700200013 
 250.       55.        25.         47.3     -0.116      0.031     T040700200014 
 250.       55.        25.         52.3     -0.124      0.023     T040700200015 
 250.       55.        25.         57.3     -0.097      0.029     T040700200016 
 250.       55.        25.         62.3     -0.116      0.026     T040700200017 
 250.       55.        25.         67.0     -0.075      0.040     T040700200018 
 250.       55.        25.         72.2     -0.117      0.029     T040700200019 
 250.       50.       -30.         33.0      0.020      0.063     T040700200020 
 250.       50.       -30.         37.5     -0.109      0.063     T040700200021 
 250.       50.       -30.         43.0     -0.033      0.051     T040700200022 
 250.       50.       -30.         48.1     -0.188      0.054     T040700200023 
 250.       50.       -30.         52.9     -0.097      0.039     T040700200024 
 250.       50.       -30.         57.9     -0.034      0.045     T040700200025 
 250.       50.       -30.         62.8     -0.075      0.042     T040700200026 
 250.       50.       -30.         67.9     -0.137      0.039     T040700200027 
 250.       50.       -30.         72.9     -0.064      0.033     T040700200028 
 250.       50.       -30.         78.0     -0.121      0.042     T040700200029 
 250.       50.       -30.         82.9     -0.126      0.036     T040700200030 
 250.       50.       -30.         88.2     -0.062      0.033     T040700200031 
 250.       50.       -30.         92.9     -0.049      0.057     T040700200032 
 250.       45.       -35.         40.2     -0.019      0.073     T040700200033 
 250.       45.       -35.         45.2      0.072      0.065     T040700200034 
 250.       45.       -35.         50.0      0.016      0.051     T040700200035 
 250.       45.       -35.         55.3     -0.064      0.048     T040700200036 
 250.       45.       -35.         60.2     -0.049      0.039     T040700200037 
 250.       45.       -35.         65.2     -0.004      0.028     T040700200038 
 250.       45.       -35.         70.4     -0.039      0.040     T040700200039 
 250.       45.       -35.         75.3     -0.067      0.028     T040700200040 
 250.       45.       -35.         80.5     -0.074      0.034     T040700200041 
 250.       45.       -35.         85.2     -0.076      0.034     T040700200042 
 250.       45.       -35.         90.2     -0.067      0.031     T040700200043 
 250.       45.       -35.         95.4     -0.064      0.028     T040700200044 
 250.       45.       -35.        100.5     -0.108      0.028     T040700200045 
 250.       45.       -35.        105.2     -0.062      0.025     T040700200046 
 250.       45.       -35.        110.4     -0.078      0.025     T040700200047 
 500.       55.       -25.         73.2     -0.215      0.037     T040700200048 
 500.       55.       -25.         78.2     -0.268      0.037     T040700200049 
 500.       55.       -25.         83.4     -0.267      0.031     T040700200050 
 500.       55.       -25.         88.1     -0.261      0.026     T040700200051 
 500.       55.       -25.         93.1     -0.248      0.026     T040700200052 
 500.       55.       -25.         98.3     -0.282      0.026     T040700200053 
 500.       55.       -25.        103.2     -0.249      0.029     T040700200054 
 500.       55.       -25.        108.0     -0.254      0.026     T040700200055 
 500.       55.       -25.        113.1     -0.333      0.026     T040700200056 
 500.       55.       -25.        118.4     -0.295      0.034     T040700200057 
 500.       55.       -25.        122.1     -0.320      0.029     T040700200058 
 500.       50.       -30.        114.2     -0.127      0.026     T040700200059 
 500.       50.       -30.        118.8     -0.236      0.037     T040700200060 
 500.       50.       -30.        124.0     -0.142      0.032     T040700200061 
 500.       50.       -30.        129.0     -0.187      0.029     T040700200062 
 500.       50.       -30.        134.2     -0.221      0.029     T040700200063 
 500.       50.       -30.        139.1     -0.208      0.029     T040700200064 
 500.       50.       -30.        144.0     -0.207      0.029     T040700200065 
 500.       50.       -30.        149.4     -0.182      0.032     T040700200066 
 500.       50.       -30.        154.2     -0.228      0.026     T040700200067 
 500.       50.       -30.        159.0     -0.264      0.023     T040700200068 
 500.       45.       -35.        165.2      0.058      0.036     T040700200069 
 500.       45.       -35.        170.1      0.035      0.036     T040700200070 
 500.       45.       -35.        175.3      0.026      0.027     T040700200071 
 500.       45.       -35.        180.1     -0.011      0.030     T040700200072 
 500.       45.       -35.        185.0     -0.026      0.033     T040700200073 
 500.       45.       -35.        190.0     -0.043      0.039     T040700200074 
