ENTRY            T0063   20011119                             0000T006300000001 
SUBENT        T0063001   20011119                             0000T006300100001 
BIB                  9         11                                 T006300100002 
INSTITUTE  (2UK BRD,1USAPEN)                                      T006300100003 
REFERENCE  (J,NP/A,448,221,1986)                                  T006300100004 
AUTHOR     (D.L.WATSON,H.T.FORTUNE)                               T006300100005 
TITLE      The nucleus 60Fe from 58Fe(t,p)60Fe                    T006300100006 
FACILITY   (VDGT,1USAPEN)                                         T006300100007 
SAMPLE     Self-supporting target foil, enriched to 76.66% in     T006300100008 
            58Fe and with 20.65% 56Fe.  Target thickness 680      T006300100009 
            microg/cm2.                                           T006300100010 
DETECTOR   (PLATE)                                                T006300100011 
STATUS     No reply from H.T. Fortune to author proof.            T006300100012 
HISTORY    (20001024C) RFNC-VNIIEF.                               T006300100013 
ENDBIB              11          0                                 T006300100014 
COMMON               2          3                                 T006300100015 
EN         E-RSL-FW                                               T006300100016 
MEV        KEV                                                    T006300100017 
  15.0      26.                                                   T006300100018 
ENDCOMMON            3          0                                 T006300100019 
ENDSUBENT           18          0                                 T006300199999 
SUBENT        T0063002   20011016                             0000T006300200001 
BIB                  3          6                                 T006300200002 
REACTION   (26-FE-58(T,P)26-FE-60,PAR,DA)                         T006300200003 
ERR-ANALYS (E-EXC-ERR) Taken from Table 1.                        T006300200004 
           Digitizing error in angle 1 degree.                    T006300200005 
           Digitizing error in data 1%.                           T006300200006 
STATUS     (CURVE) Data scanned from Fig.2-4 in reference by      T006300200007 
                   RFNC-VNIIEF.                                   T006300200008 
ENDBIB               6          0                                 T006300200009 
NOCOMMON             0          0                                 T006300200010 
DATA                 4        288                                 T006300200011 
E-EXC      E-EXC-ERR  ANG-CM     DATA-CM                          T006300200012 
MEV        MEV        ADEG       MB/SR                            T006300200013 
  0.000      0.002       5.2       5.117E-01                      T006300200014 
  0.000      0.002      12.4       1.940E-01                      T006300200015 
  0.000      0.002      18.9       4.183E-02                      T006300200016 
  0.000      0.002      26.2       2.380E-02                      T006300200017 
  0.000      0.002      34.0       7.839E-03                      T006300200018 
  0.000      0.002      41.5       2.241E-02                      T006300200019 
  0.000      0.002      49.2       3.581E-02                      T006300200020 
  0.000      0.002      56.9       1.708E-02                      T006300200021 
  0.000      0.002      64.2       2.476E-03                      T006300200022 
  0.000      0.002      72.2       4.845E-03                      T006300200023 
  0.000      0.002      79.0       9.563E-03                      T006300200024 
  0.824      0.004       3.8       6.396E-02                      T006300200025 
  0.824      0.004      11.6       9.354E-02                      T006300200026 
  0.824      0.004      18.7       1.277E-01                      T006300200027 
  0.824      0.004      27.3       8.104E-02                      T006300200028 
  0.824      0.004      34.2       2.650E-02                      T006300200029 
  0.824      0.004      42.2       1.771E-02                      T006300200030 
  0.824      0.004      49.8       1.572E-02                      T006300200031 
  0.824      0.004      57.6       1.791E-02                      T006300200032 
  0.824      0.004      64.7       1.484E-02                      T006300200033 
  0.824      0.004      72.7       1.592E-02                      T006300200034 
  0.824      0.004      80.6       7.739E-03                      T006300200035 
  1.974      0.006       4.1       1.735E-01                      T006300200036 
  1.974      0.006      11.6       7.686E-02                      T006300200037 
  1.974      0.006      18.0       2.251E-02                      T006300200038 
  1.974      0.006      27.0       2.401E-02                      T006300200039 
  1.974      0.006      33.7       9.671E-03                      T006300200040 
  1.974      0.006      42.0       6.048E-03                      T006300200041 
  1.974      0.006      48.9       8.712E-03                      T006300200042 
  1.974      0.006      56.8       1.757E-02                      T006300200043 
  2.112      0.008       2.5       9.404E-03                      T006300200044 
  2.112      0.008      10.3       1.376E-02                      T006300200045 
  2.112      0.008      18.1       1.928E-02                      T006300200046 
  2.112      0.008      25.1       3.395E-02                      T006300200047 
  2.112      0.008      33.2       3.492E-02                      T006300200048 
  2.112      0.008      41.0       2.394E-02                      T006300200049 
  2.112      0.008      49.0       1.543E-02                      T006300200050 
  2.294      0.006       3.0       1.305E-01                      T006300200051 
  2.294      0.006      10.7       1.408E-01                      T006300200052 
  2.294      0.006      18.9       1.599E-01                      T006300200053 
  2.294      0.006      26.7       8.518E-02                      T006300200054 
  2.294      0.006      33.6       2.684E-02                      T006300200055 
  2.294      0.006      41.1       1.358E-02                      T006300200056 
  2.294      0.006      49.1       1.131E-02                      T006300200057 
  2.294      0.006      57.3       8.952E-03                      T006300200058 
  2.294      0.006      72.4       1.217E-02                      T006300200059 
  2.294      0.006      79.3       5.696E-03                      T006300200060 
  2.348      0.009       4.3       3.666E-01                      T006300200061 
  2.348      0.009      11.2       1.415E-01                      T006300200062 
  2.348      0.009      19.1       3.339E-02                      T006300200063 
  2.348      0.009      26.5       2.543E-02                      T006300200064 
  2.348      0.009      34.3       2.662E-02                      T006300200065 
  2.348      0.009      41.6       4.594E-02                      T006300200066 
  2.348      0.009      49.6       3.497E-02                      T006300200067 
  2.348      0.009      56.7       8.257E-03                      T006300200068 
  2.348      0.009      71.6       1.153E-02                      T006300200069 
  2.348      0.009      79.6       1.238E-02                      T006300200070 
  2.664      0.004       1.7       4.169E-01                      T006300200071 
