ENTRY            T0268   20230918                             C233T0268000    1 
SUBENT        T0268001   20230918                             C233T0268001    1 
BIB                  7         13                                 T0268001    2 
INSTITUTE  (1USAANL)                                              T0268001    3 
REFERENCE  (J,PR,133,B590,1964)                                   T0268001    4 
           #doi:10.1103/PhysRev.133.B590                          T0268001    5 
AUTHOR     (J.A.Weinman, L.Meyer-Schutzmeister, L.L.Lee Jr)       T0268001    6 
TITLE      States in 28Si with 12.7<E(x)<13.7 MeV by (alpha,gamma)T0268001    7 
            and (alpha,aalpha) reactions on 24Mg                  T0268001    8 
FACILITY   (VDG,1USAANL) Argonne 4.5-MeV Van de Graaff generator. T0268001    9 
ERR-ANALYS (EN-ERR) Error of relative a-particle energies.        T0268001   10 
HISTORY    (20030918C) VNIIEF + VM                                T0268001   11 
           (20081013A) NDS: reference on Phys.Rev. corrected.     T0268001   12 
                       PR/B,133,590,1964 ==> PR,133,B590,1964     T0268001   13 
           (20230914A) OS. REACTIONs corrected in subs.3,4,       T0268001   14 
            ERR-ANALYS updated in sub.2                           T0268001   15 
ENDBIB              13          0                                 T0268001   16 
COMMON               2          3                                 T0268001   17 
EN-ERR     EN-RSL                                                 T0268001   18 
MEV        MEV                                                    T0268001   19 
 0.2        0.1                                                   T0268001   20 
ENDCOMMON            3          0                                 T0268001   21 
ENDSUBENT           20          0                                 T026800199999 
SUBENT        T0268002   20230918                             C233T0268002    1 
BIB                  6         10                                 T0268002    2 
REACTION   (12-MG-24(A,EL)12-MG-24,,DA)                           T0268002    3 
SAMPLE     Magnesium metal, enriched to 99.7% 24Mg, evaporated    T0268002    4 
            onto thin carbon foils backings. Target thickness     T0268002    5 
            about 0.01 mg/cm2.                                    T0268002    6 
DETECTOR   (SOLST)                                                T0268002    7 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty.    T0268002    8 
           (EN-ERR-DIG) Digitizing error in energy 0.005 MeV.     T0268002    9 
           (ERR-DIG) Digitizing error in data 0.005 mb/sr.        T0268002   10 
STATUS     (CURVE,,J.A.Weinman+,J,PR,133,B590,1964) Fig.6         T0268002   11 
HISTORY    (20230914A) COMMON added                               T0268002   12 
ENDBIB              10          0                                 T0268002   13 
COMMON               2          3                                 T0268002   14 
EN-ERR-DIG ERR-DIG                                                T0268002   15 
MEV        MB/SR                                                  T0268002   16 
  0.005      0.005                                                T0268002   17 
ENDCOMMON            3          0                                 T0268002   18 
DATA                 4        476                                 T0268002   19 
 90.0       3.3505    0.37387    0.64401E-02                      T0268002   58 
 90.0       3.3543    0.37069    0.56351E-02                      T0268002   59 
 90.0       3.3590    0.36108    0.48301E-02                      T0268002   60 
 90.0       3.3626    0.36274    0.56351E-02                      T0268002   61 
 90.0       3.3672    0.36279    0.64401E-02                      T0268002   62 
 90.0       3.3718    0.36606    0.40250E-02                      T0268002   63 
 90.0       3.3763    0.37256    0.48301E-02                      T0268002   64 
 90.0       3.3801    0.36455    0.56351E-02                      T0268002   65 
 90.0       3.3837    0.36942    0.40250E-02                      T0268002   66 
 90.0       3.3875    0.36142    0.56351E-02                      T0268002   67 
 90.0       3.3930    0.35665    0.56351E-02                      T0268002   68 
 90.0       3.3975    0.36395    0.48300E-02                      T0268002   69 
 90.0       3.4014    0.35353    0.56351E-02                      T0268002   70 
 90.0       3.4050    0.35277    0.48301E-02                      T0268002   71 
 90.0       3.4088    0.34557    0.64401E-02                      T0268002   72 
 90.0       3.4136    0.33515    0.56351E-02                      T0268002   73 
 90.0       3.4181    0.34084    0.56351E-02                      T0268002   74 
 90.0       3.4226    0.34573    0.64401E-02                      T0268002   75 
 90.0       3.4262    0.34738    0.64401E-02                      T0268002   76 
 90.0       3.4318    0.34503    0.64401E-02                      T0268002   77 
 90.0       3.4355    0.34346    0.64401E-02                      T0268002   78 
 90.0       3.4392    0.34270    0.56351E-02                      T0268002   79 
 90.0       3.4437    0.34356    0.48300E-02                      T0268002   80 
 90.0       3.4483    0.34603    0.64401E-02                      T0268002   81 
 90.0       3.4529    0.34689    0.64401E-02                      T0268002   82 
 90.0       3.4557    0.34451    0.56351E-02                      T0268002   83 
 90.0       3.4740    0.34955    0.48300E-02                      T0268002   84 
 90.0       3.4812    0.35527    0.64400E-02                      T0268002   85 
 90.0       3.4894    0.35859    0.48300E-02                      T0268002   86 
 90.0       3.4931    0.35863    0.56351E-02                      T0268002   87 
 90.0       3.4967    0.36351    0.56351E-02                      T0268002   88 
 90.0       3.5018    0.33217    0.64401E-02                      T0268002   89 
 90.0       3.5067    0.30807    0.64401E-02                      T0268002   90 
 90.0       3.5116    0.29122    0.40250E-02                      T0268002   91 
 90.0       3.5162    0.29127    0.48301E-02                      T0268002   92 
 90.0       3.5196    0.30420    0.56351E-02                      T0268002   93 
 90.0       3.5234    0.30102    0.56351E-02                      T0268002   94 
 90.0       3.5279    0.30751    0.64400E-02                      T0268002   95 
 90.0       3.5316    0.30434    0.64401E-02                      T0268002   96 
 90.0       3.5406    0.31169    0.56351E-02                      T0268002   97 
 90.0       3.5479    0.31661    0.56351E-02                      T0268002   98 
 90.0       3.5533    0.32552    0.48300E-02                      T0268002   99 
 90.0       3.5569    0.33120    0.64401E-02                      T0268002  100 
 90.0       3.5615    0.32884    0.64400E-02                      T0268002  101 
 90.0       3.5651    0.33533    0.64401E-02                      T0268002  102 
 90.0       3.5697    0.33055    0.48301E-02                      T0268002  103 
 90.0       3.5736    0.31530    0.72451E-02                      T0268002  104 
 90.0       3.5824    0.28078    0.72451E-02                      T0268002  105 
 90.0       3.5871    0.27922    0.48301E-02                      T0268002  106 
 90.0       3.5953    0.28093    0.72343E-02                      T0268002  107 
 90.0       3.6042    0.29875    0.56351E-02                      T0268002  108 
 90.0       3.6115    0.29964    0.64401E-02                      T0268002  109 
 90.0       3.6216    0.30137    0.56351E-02                      T0268002  110 
 90.0       3.6877    0.30215    0.56351E-02                      T0268002  111 
 90.0       3.7126    0.29358    0.64401E-02                      T0268002  112 
 90.0       3.7173    0.28800    0.56351E-02                      T0268002  113 
 90.0       3.7210    0.28885    0.48301E-02                      T0268002  114 
 90.0       3.7264    0.29213    0.48301E-02                      T0268002  115 
 90.0       3.7310    0.29380    0.64401E-02                      T0268002  116 
 90.0       3.7346    0.29465    0.56351E-02                      T0268002  117 
 90.0       3.7383    0.29308    0.48301E-02                      T0268002  118 
 90.0       3.7438    0.29395    0.48193E-02                      T0268002  119 
 90.0       3.7465    0.29962    0.48301E-02                      T0268002  120 
 90.0       3.7512    0.29082    0.48301E-02                      T0268002  121 
 90.0       3.7557    0.30214    0.64401E-02                      T0268002  122 
 90.0       3.7603    0.29736    0.56351E-02                      T0268002  123 
 90.0       3.7649    0.29742    0.56351E-02                      T0268002  124 
 90.0       3.7723    0.29589    0.64401E-02                      T0268002  125 
 90.0       3.7760    0.29433    0.56351E-02                      T0268002  126 
 90.0       3.7805    0.29921    0.48301E-02                      T0268002  127 
 90.0       3.7850    0.30490    0.56351E-02                      T0268002  128 
 90.0       3.7905    0.30255    0.56351E-02                      T0268002  129 
 90.0       3.7942    0.30259    0.56351E-02                      T0268002  130 
 90.0       3.7970    0.29941    0.48301E-02                      T0268002  131 
 90.0       3.8019    0.28255    0.56351E-02                      T0268002  132 
 90.0       3.8068    0.26168    0.64401E-02                      T0268002  133 
 90.0       3.8106    0.25367    0.48301E-02                      T0268002  134 
 90.0       3.8142    0.25452    0.40250E-02                      T0268002  135 
 90.0       3.8188    0.25779    0.40250E-02                      T0268002  136 
 90.0       3.8242    0.26269    0.64401E-02                      T0268002  137 
 90.0       3.8269    0.26594    0.56351E-02                      T0268002  138 
 90.0       3.8314    0.27163    0.48301E-02                      T0268002  139 
 90.0       3.8360    0.27249    0.64401E-02                      T0268002  140 
 90.0       3.8443    0.27178    0.56351E-02                      T0268002  141 
 90.0       3.8525    0.27429    0.64401E-02                      T0268002  142 
 90.0       3.8608    0.27359    0.64401E-02                      T0268002  143 
125.3       3.1847    0.17129    0.48535E-02                      T0268002  144 
125.3       3.1884    0.16972    0.40445E-02                      T0268002  145 
125.3       3.1930    0.16816    0.40446E-02                      T0268002  146 
125.3       3.1966    0.17305    0.32356E-02                      T0268002  147 
125.3       3.2012    0.17149    0.40445E-02                      T0268002  148 
125.3       3.2049    0.16911    0.32357E-02                      T0268002  149 
125.3       3.2104    0.16756    0.40445E-02                      T0268002  150 
125.3       3.2143    0.15708    0.32357E-02                      T0268002  151 
125.3       3.2171    0.15550    0.40445E-02                      T0268002  152 
125.3       3.2215    0.16203    0.40446E-02                      T0268002  153 
125.3       3.2262    0.15723    0.32357E-02                      T0268002  154 
125.3       3.2309    0.15243    0.40445E-02                      T0268002  155 
125.3       3.2344    0.15894    0.32356E-02                      T0268002  156 
125.3       3.2390    0.16062    0.40446E-02                      T0268002  157 
125.3       3.2428    0.15419    0.32356E-02                      T0268002  158 
125.3       3.2474    0.15263    0.32357E-02                      T0268002  159 
125.3       3.2510    0.15671    0.40446E-02                      T0268002  160 
125.3       3.2548    0.15029    0.32357E-02                      T0268002  161 
125.3       3.2585    0.14871    0.40446E-02                      T0268002  162 
125.3       3.2639    0.15201    0.32356E-02                      T0268002  163 
