ENTRY            T0001   19990511                             0000T000100000001 
SUBENT        T0001001   19990511                             0000T000100100001 
BIB                 11         21                                 T000100100002 
INSTITUTE  (1USATNL)                                              T000100100003 
REFERENCE  (J,NP/A,399,94,198305)                                 T000100100004 
AUTHOR     (R.C.BYRD,C.E.FLOYD,P.P.GUSS,K.MURPHY,R.L.WALTER)      T000100100005 
TITLE      Cross-section measurement and Lane model analysis for  T000100100006 
            the 9Be(p,n) reaction                                 T000100100007 
FACILITY   (VDGT)                                                 T000100100008 
SAMPLE     The target was a 99% 9Be foil of thickness 4.36 mg/cm2 T000100100009 
METHOD     (TOF)                                                  T000100100010 
DETECTOR   (SCIN) Two NE-218 scintillators (8.6cm and 12.7cm      T000100100011 
            in diam.) housed inside massive well-collimated       T000100100012 
            shielding assemblies which can rotate from 0 to       T000100100013 
            160 degr. (flight paths: 3.76m and 5.67m)             T000100100014 
ERR-ANALYS (ERR-T) Absolute error. The absolute uncertainty       T000100100015 
            includes an adiitional error associated with weghing  T000100100016 
            the beryllium foil.                                   T000100100017 
           (DATA-ERR) Experimental error. Statistical and         T000100100018 
            background subtraction errors range from 0.7 to 10%,  T000100100019 
            with typical values between 1 and 3%.                 T000100100020 
STATUS     Data received by email from R. Byrd, 24 March 1999.    T000100100021 
           No reply received from R. Byrd to author proof.        T000100100022 
HISTORY    (19990403C) SD                                         T000100100023 
ENDBIB              21          0                                 T000100100024 
COMMON               2          3                                 T000100100025 
E-LVL      ERR-T                                                  T000100100026 
MEV        PER-CENT                                               T000100100027 
 0.          5.0                                                  T000100100028 
ENDCOMMON            3          0                                 T000100100029 
ENDSUBENT           28          0                                 T000100199999 
SUBENT        T0001002   19990405                             0000T000100200001 
BIB                  1          1                                 T000100200002 
REACTION   (4-BE-9(P,N)5-B-9,PAR,DA)                              T000100200003 
ENDBIB               1          0                                 T000100200004 
NOCOMMON             0          0                                 T000100200005 
DATA                 4        187                                 T000100200006 
EN         ANG-CM     DATA-CM    DATA-ERR                         T000100200007 
MEV        ADEG       MB/SR      MB/SR                            T000100200008 
   8.15       0.01       6.08       0.19                          T000100200009 
   8.15      11.29       5.84       0.19                          T000100200010 
   8.15      22.54       5.30       0.17                          T000100200011 
   8.15      33.72       5.38       0.17                          T000100200012 
   8.15      44.78       5.62       0.18                          T000100200013 
   8.15      55.70       5.48       0.17                          T000100200014 
   8.15      66.45       4.74       0.14                          T000100200015 
   8.15      77.00       3.89       0.12                          T000100200016 
   8.15      87.33       3.068      0.099                         T000100200017 
   8.15      97.45       2.768      0.09                          T000100200018 
   8.15     107.33       2.63       0.087                         T000100200019 
   8.15     116.99       2.675      0.089                         T000100200020 
   8.15     126.44       2.726      0.092                         T000100200021 
   8.15     135.70       3.09       0.11                          T000100200022 
   8.15     140.26       3.56       0.12                          T000100200023 
   8.15     144.78       4.05       0.13                          T000100200024 
   8.15     149.26       4.38       0.15                          T000100200025 
   8.15     153.71       4.90       0.17                          T000100200026 
   9.17       0.00       6.90       0.21                          T000100200027 
   9.17       5.64       6.80       0.21                          T000100200028 
   9.17      11.27       6.44       0.20                          T000100200029 
   9.17      16.89       6.05       0.19                          T000100200030 
   9.17      22.50       5.67       0.18                          T000100200031 
   9.17      28.09       5.46       0.18                          T000100200032 
   9.17      33.65       5.25       0.17                          T000100200033 
   9.17      44.70       5.33       0.17                          T000100200034 
   9.17      55.60       5.04       0.16                          T000100200035 
   9.17      66.33       4.28       0.14                          T000100200036 
   9.17      76.87       3.49       0.11                          T000100200037 
   9.17      87.20       2.892      0.095                         T000100200038 
   9.17      97.31       2.512      0.083                         T000100200039 
   9.17     107.20       2.432      0.081                         T000100200040 
   9.17     116.87       2.316      0.078                         T000100200041 
   9.17     126.33       2.235      0.076                         T000100200042 
   9.17     135.59       2.371      0.08                          T000100200043 
   9.17     140.16       2.541      0.087                         T000100200044 
   9.17     144.69       2.93       0.097                         T000100200045 
   9.17     149.19       3.29       0.11                          T000100200046 
   9.17     153.65       3.69       0.12                          T000100200047 
  10.06       0.00       7.01       0.21                          T000100200048 
  10.06       5.63       6.37       0.20                          T000100200049 
  10.06      11.25       6.16       0.18                          T000100200050 
  10.06      16.86       5.59       0.20                          T000100200051 
  10.06      22.46       5.10       0.15                          T000100200052 
  10.06      33.60       4.94       0.15                          T000100200053 
  10.06      44.63       5.23       0.16                          T000100200054 
  10.06      55.52       4.92       0.15                          T000100200055 
  10.06      66.25       4.20       0.13                          T000100200056 
  10.06      76.78       3.28       0.11                          T000100200057 
  10.06      81.97       2.929      0.097                         T000100200058 
  10.06      87.10       2.573      0.084                         T000100200059 
  10.06      97.21       2.413      0.08                          T000100200060 
  10.06     107.10       2.257      0.077                         T000100200061 
  10.06     116.77       2.194      0.073                         T000100200062 
  10.06     126.24       2.057      0.068                         T000100200063 
  10.06     135.52       2.191      0.075                         T000100200064 
  10.06     140.09       2.342      0.073                         T000100200065 
  10.06     144.63       2.669      0.089                         T000100200066 
  10.06     149.13       3.10       0.10                          T000100200067 
  10.06     153.60       3.53       0.12                          T000100200068 
  11.06       0.01       5.73       0.25                          T000100200069 
  11.06      11.24       5.28       0.23                          T000100200070 
  11.06      22.44       4.29       0.22                          T000100200071 
  11.06      33.56       4.49       0.19                          T000100200072 
  11.06      44.58       4.84       0.17                          T000100200073 
  11.06      55.46       4.718      0.087                         T000100200074 
  11.06      66.18       3.781      0.075                         T000100200075 
  11.06      76.70       2.945      0.058                         T000100200076 
  11.06      81.89       2.529      0.077                         T000100200077 
  11.06      87.03       2.41       0.11                          T000100200078 
  11.06      92.11       2.322      0.078                         T000100200079 
  11.06      97.13       2.303      0.045                         T000100200080 
  11.06     102.11       2.246      0.077                         T000100200081 
  11.06     107.02       2.258      0.048                         T000100200082 
  11.06     111.89       2.237      0.075                         T000100200083 
  11.06     116.70       2.089      0.048                         T000100200084 
  11.06     121.46       2.045      0.068                         T000100200085 
  11.06     126.17       1.925      0.07                          T000100200086 
  11.06     130.84       1.900      0.065                         T000100200087 
  11.06     135.46       2.009      0.043                         T000100200088 
  11.06     140.04       2.042      0.069                         T000100200089 
  11.06     144.58       2.327      0.073                         T000100200090 
  12.04       0.01       5.63       0.19                          T000100200091 
  12.04      11.23       4.86       0.22                          T000100200092 
  12.04      22.42       3.74       0.21                          T000100200093 
  12.04      33.53       4.07       0.12                          T000100200094 
  12.04      44.54       4.75       0.11                          T000100200095 
  12.04      55.42       4.94       0.11                          T000100200096 
  12.04      66.13       3.769      0.073                         T000100200097 
  12.04      76.65       2.764      0.061                         T000100200098 
  12.04      86.97       2.231      0.095                         T000100200099 
  12.04      97.07       2.04       0.11                          T000100200100 
  12.04     106.96       2.137      0.042                         T000100200101 
  12.04     116.64       2.021      0.07                          T000100200102 
  12.04     126.12       1.914      0.041                         T000100200103 
  12.04     130.79       1.797      0.064                         T000100200104 
  12.04     135.41       1.917      0.042                         T000100200105 
  12.04     139.99       1.835      0.067                         T000100200106 
  12.04     144.54       2.127      0.084                         T000100200107 
  12.04     149.05       2.412      0.088                         T000100200108 
  12.04     153.53       2.96       0.12                          T000100200109 
  13.0        0.01       6.05       0.18                          T000100200110 
  13.0       11.22       4.94       0.20                          T000100200111 
  13.0       22.40       3.31       0.10                          T000100200112 
  13.0       33.51       3.69       0.11                          T000100200113 
  13.0       44.51       4.70       0.14                          T000100200114 
  13.0       55.38       4.98       0.15                          T000100200115 
  13.0       66.08       3.80       0.13                          T000100200116 
  13.0       76.60       2.533      0.076                         T000100200117 
  13.0       86.92       1.954      0.069                         T000100200118 
  13.0       97.02       1.794      0.061                         T000100200119 
  13.0      106.92       1.911      0.067                         T000100200120 
  13.0      116.60       1.954      0.064                         T000100200121 
  13.0      126.08       1.648      0.059                         T000100200122 
  13.0      135.37       1.506      0.069                         T000100200123 
  13.0      144.51       1.789      0.064                         T000100200124 
  13.0      153.50       2.495      0.087                         T000100200125 
  13.0      162.40       3.56       0.11                          T000100200126 
  13.5        0.01       6.36       0.20                          T000100200127 
  13.5       11.22       5.03       0.22                          T000100200128 
  13.5       22.39       3.179      0.08                          T000100200129 
  13.5       33.50       3.7        0.13                          T000100200130 
  13.5       44.50       4.69       0.22                          T000100200131 
  13.5       55.36       5.16       0.19                          T000100200132 
  13.5       66.07       4.00       0.15                          T000100200133 
  13.5       76.58       2.568      0.095                         T000100200134 
  13.5       86.90       1.881      0.082                         T000100200135 
  13.5       97.00       1.801      0.073                         T000100200136 
  13.5      106.89       1.863      0.078                         T000100200137 
  13.5      116.58       1.887      0.077                         T000100200138 
  13.5      126.06       1.746      0.062                         T000100200139 
  13.5      134.86       1.534      0.031                         T000100200140 
  13.5      144.49       1.699      0.062                         T000100200141 
  13.5      153.49       2.362      0.083                         T000100200142 
  13.5      162.39       3.26       0.11                          T000100200143 
  14.0        0.01       6.47       0.19                          T000100200144 
  14.0       11.21       4.94       0.16                          T000100200145 
  14.0       22.39       2.96       0.14                          T000100200146 
  14.0       33.49       3.14       0.12                          T000100200147 
  14.0       44.49       4.50       0.15                          T000100200148 
  14.0       55.35       4.98       0.15                          T000100200149 
  14.0       66.05       3.92       0.13                          T000100200150 
  14.0       76.56       2.37       0.078                         T000100200151 
  14.0       86.88       1.686      0.061                         T000100200152 
  14.0       96.98       1.506      0.053                         T000100200153 
  14.0      106.88       1.692      0.062                         T000100200154 
  14.0      116.56       1.684      0.068                         T000100200155 
  14.0      126.04       1.585      0.059                         T000100200156 
  14.0      135.34       1.424      0.046                         T000100200157 
  14.0      144.48       1.545      0.06                          T000100200158 
  14.0      153.48       2.176      0.073                         T000100200159 
  14.0      162.38       3.011      0.097                         T000100200160 
  14.99       0.01       7.32       0.18                          T000100200161 
  14.99       5.61       7.19       0.48                          T000100200162 
  14.99      11.21       5.64       0.15                          T000100200163 
  14.99      22.38       2.901      0.086                         T000100200164 
  14.99      33.47       2.798      0.067                         T000100200165 
  14.99      44.47       3.999      0.087                         T000100200166 
  14.99      55.32       4.60       0.13                          T000100200167 
  14.99      66.02       3.511      0.094                         T000100200168 
  14.99      76.53       2.194      0.049                         T000100200169 
  14.99      86.85       1.452      0.04                          T000100200170 
  14.99      96.95       1.21       0.031                         T000100200171 
  14.99     106.84       1.328      0.058                         T000100200172 
  14.99     116.53       1.592      0.052                         T000100200173 
  14.99     126.01       1.351      0.039                         T000100200174 
  14.99     135.31       1.258      0.027                         T000100200175 
  14.99     144.46       1.359      0.048                         T000100200176 
  14.99     153.47       1.69       0.12                          T000100200177 
  14.99     162.37       2.352      0.083                         T000100200178 
  15.68       0.01       7.46       0.34                          T000100200179 
  15.68      11.20       6.22       0.22                          T000100200180 
  15.68      22.37       3.04       0.11                          T000100200181 
  15.68      33.46       2.42       0.083                         T000100200182 
  15.68      44.45       3.73       0.13                          T000100200183 
  15.68      55.31       4.51       0.13                          T000100200184 
  15.68      66.00       3.64       0.11                          T000100200185 
  15.68      76.51       1.859      0.079                         T000100200186 
  15.68      86.83       1.238      0.052                         T000100200187 
  15.68      96.93       0.96       0.041                         T000100200188 
  15.68     106.82       1.233      0.051                         T000100200189 
  15.68     116.51       1.464      0.093                         T000100200190 
  15.68     125.99       1.188      0.051                         T000100200191 
  15.68     135.30       1.267      0.099                         T000100200192 
  15.68     144.44       1.159      0.05                          T000100200193 
  15.68     153.45       1.54       0.055                         T000100200194 
  15.68     162.36       1.985      0.073                         T000100200195 
ENDDATA            189          0                                 T000100200196 
ENDSUBENT          195          0                                 T000100299999 
SUBENT        T0001003   19990404                             0000T000100300001 
BIB                  1          1                                 T000100300002 
REACTION   (4-BE-9(P,N)5-B-9,PAR,DA)                              T000100300003 
ENDBIB               1          0                                 T000100300004 
NOCOMMON             0          0                                 T000100300005 
DATA                 4         20                                 T000100300006 
ANG        EN         DATA       DATA-ERR                         T000100300007 
ADEG       MEV        MB/SR      MB/SR                            T000100300008 
   0.         8.15       6.07       0.30                          T000100300009 
   0.         9.17       6.86       0.34                          T000100300010 
   0.        10.06       6.73       0.34                          T000100300011 
   0.        11.06       5.72       0.29                          T000100300012 
   0.        12.04       5.59       0.28                          T000100300013 
   0.        13.0        6.03       0.30                          T000100300014 
   0.        13.5        6.31       0.32                          T000100300015 
   0.        14.0        6.38       0.32                          T000100300016 
   0.        14.99       7.31       0.37                          T000100300017 
   0.        15.68       7.81       0.39                          T000100300018 
  90.         8.04       2.74       0.14                          T000100300019 
  90.         9.17       2.53       0.13                          T000100300020 
  90.        10.06       2.37       0.12                          T000100300021 
  90.        11.06       2.29       0.11                          T000100300022 
  90.        12.04       2.15       0.11                          T000100300023 
  90.        13.0        1.827      0.091                         T000100300024 
  90.        13.5        1.785      0.089                         T000100300025 
  90.        14.0        1.548      0.077                         T000100300026 
  90.        14.99       1.226      0.061                         T000100300027 
  90.        15.68       1.041      0.052                         T000100300028 
ENDDATA             22          0                                 T000100300029 
ENDSUBENT           28          0                                 T000100399999 
SUBENT        T0001004   19990404                             0000T000100400001 
BIB                  3          3                                 T000100400002 
REACTION   (4-BE-9(P,N)5-B-9,PAR,SIG)                             T000100400003 
ANALYSIS   (INTAD)                                                T000100400004 
STATUS     (DEP,T0001002)                                         T000100400005 
ENDBIB               3          0                                 T000100400006 
NOCOMMON             0          0                                 T000100400007 
DATA                 3         10                                 T000100400008 
EN         DATA       DATA-ERR                                    T000100400009 
MEV        MB         MB                                          T000100400010 
   8.15      50.42       0.47                                     T000100400011 
   9.17      45.38       0.41                                     T000100400012 
  10.06      43.25       0.41                                     T000100400013 
  11.06      40.02       0.31                                     T000100400014 
  12.04      38.16       0.35                                     T000100400015 
  13.0       35.20       0.32                                     T000100400016 
  13.5       35.37       0.38                                     T000100400017 
  14.0       32.74       0.32                                     T000100400018 
  14.99      29.18       0.22                                     T000100400019 
  15.68      27.17       0.28                                     T000100400020 
ENDDATA             12          0                                 T000100400021 
ENDSUBENT           20          0                                 T000100499999 
ENDENTRY             4          0                                 T000199999999 
