ENTRY            M0546   20081110                             M047M054600000001 
SUBENT        M0546001   20081110                             M047M054600100001 
BIB                 13         40                                 M054600100002 
INSTITUTE  (2FR SAC,2ITYPAV,2GERMNZ,2GERTUE,4RUSJIA,2GERGOE)      M054600100003 
REFERENCE  (J,PR/C,55,1033,199703)                                M054600100004 
AUTHOR     (M.MACCORMICK,J.HABERMANN,J.AHRENS,G.AUDIT,R.BECK,     M054600100005 
            A.BRAGHIERI,G.GALLER,N.D'HOSE,V.ISBERT,P.PEDRONI,     M054600100006 
            T.PINELLI,G.TAMAS,S.WARTENBERG,A.ZABRODIN)            M054600100007 
TITLE      Total photoabsorption cross section for 4He from       M054600100008 
            200 to 800 MeV.                                       M054600100009 
FACILITY   (MICRT,2GERMNZ)                                        M054600100010 
INC-SOURCE (TAGD) Glasgow tagged photon facility at the MAMI      M054600100011 
            continuous wave accelerator of Mainz.                 M054600100012 
SAMPLE     The liquid 4he target at 4.25 k and 1050 mbar          M054600100013 
            contained in a mylar cylinder of dimensions 4.3 cm    M054600100014 
            in diameter by 27.5 cm in length.                     M054600100015 
DETECTOR   (TELES,MWPC,SCIN) 3.7 PI acceptance detector           M054600100016 
            DAPHNE: a central tracking detector, consisting of    M054600100017 
            three coaxial cylindrical multiwire proportional      M054600100018 
            chambers, surrounded by a segmented cylindrical       M054600100019 
            scintillator ede telescope for charged particle       M054600100020 
            identification and a scintillator-absorber            M054600100021 
            sandwich.                                             M054600100022 
METHOD     (COINC,EDE)                                            M054600100023 
ERR-ANALYS (ERR-S) Statistical errors.                            M054600100024 
           (ERR-1) Systematic errors.                             M054600100025 
COMMENT    The total photoabsorption cross section for 4He        M054600100026 
            has been measured for the first time over a wide      M054600100027 
            photon energy range (200 - 800 MeV). By using the     M054600100028 
            large acceptance detector DAPHNE at the tagged        M054600100029 
            photon facility of the mami microtron in Mianz        M054600100030 
            high precision results with small systematic          M054600100031 
            errors were obtained. This measurement shows that     M054600100032 
            4He has a behavior similar to heavy nuclei and,       M054600100033 
            in particular, a reduction of the cross section       M054600100034 
            with respect to the lighter nuclei is found for       M054600100035 
            Eg > 600 MeV.                                         M054600100036 
STATUS     (TABLE) Data from the Table 1.                         M054600100037 
            Data were compiled at the USA BNL NNDC by             M054600100038 
            V.V.Varlamov.                                         M054600100039 
HISTORY    (19990226C)                                            M054600100040 
           (20081110A) Corrected by V.Varlamov:   ENTRY   N2      M054600100041 
            shifted, lowercase.                                   M054600100042 
ENDBIB              40          0                                 M054600100043 
NOCOMMON             0          0                                 M054600100044 
ENDSUBENT           43          0                                 M054600199999 
SUBENT        M0546002   19990226                             0000M054600200001 
BIB                  1          1                                 M054600200002 
REACTION   (2-HE-4(G,ABS),,SIG)                                   M054600200003 
ENDBIB               1          0                                 M054600200004 
NOCOMMON             0          0                                 M054600200005 
DATA                 4         56                                 M054600200006 
EN         DATA       ERR-S      ERR-1                            M054600200007 
MEV        MICRO-B    MICRO-B    MICRO-B                          M054600200008 
   204.       722.       2.         23.                           M054600200009 
   216.       879.       3.         25.                           M054600200010 
   228.      1010.       3.         27.                           M054600200011 
   240.      1139.       3.         30.                           M054600200012 
   252.      1263.       3.         32.                           M054600200013 
   264.      1374.       4.         35.                           M054600200014 
   276.      1461.       4.         37.                           M054600200015 
   288.      1543.       4.         39.                           M054600200016 
   300.      1583.       4.         40.                           M054600200017 
   312.      1620.       4.         41.                           M054600200018 
   324.      1610.       4.         41.                           M054600200019 
   336.      1610.       4.         41.                           M054600200020 
   348.      1563.       4.         39.                           M054600200021 
   360.      1521.       4.         38.                           M054600200022 
   371.      1462.       4.         37.                           M054600200023 
   383.      1410.       4.         36.                           M054600200024 
   407.      1269.       4.         32.                           M054600200025 
   419.      1194.       4.         31.                           M054600200026 
   430.      1154.       4.         30.                           M054600200027 
   442.      1095.       4.         28.                           M054600200028 
   453.      1064.       4.         28.                           M054600200029 
   465.      1013.       4.         27.                           M054600200030 
   476.       995.       4.         26.                           M054600200031 
   488.       950.       4.         25.                           M054600200032 
   499.       949.       4.         25.                           M054600200033 
   510.       920.       4.         25.                           M054600200034 
   521.       905.       4.         25.                           M054600200035 
   532.       901.       4.         25.                           M054600200036 
   543.       897.       5.         25.                           M054600200037 
   554.       865.       4.         24.                           M054600200038 
   564.       862.       5.         25.                           M054600200039 
   575.       852.       5.         24.                           M054600200040 
   585.       847.       5.         25.                           M054600200041 
   595.       870.       5.         25.                           M054600200042 
   605.       855.       5.         25.                           M054600200043 
   615.       839.       5.         25.                           M054600200044 
   625.       859.       5.         26.                           M054600200045 
   635.       855.       5.         26.                           M054600200046 
   644.       851.       5.         26.                           M054600200047 
   654.       842.       5.         26.                           M054600200048 
   663.       836.       5.         26.                           M054600200049 
   672.       831.       5.         26.                           M054600200050 
   681.       839.       5.         26.                           M054600200051 
   690.       834.       5.         26.                           M054600200052 
   699.       823.       5.         26.                           M054600200053 
   707.       814.       5.         26.                           M054600200054 
   715.       824.       5.         27.                           M054600200055 
   723.       823.       5.         27.                           M054600200056 
   731.       814.       5.         27.                           M054600200057 
   739.       795.       5.         26.                           M054600200058 
   747.       789.       5.         26.                           M054600200059 
   756.       775.       5.         26.                           M054600200060 
   765.       778.       5.         26.                           M054600200061 
   774.       737.       5.         25.                           M054600200062 
   782.       751.       5.         25.                           M054600200063 
   789.       756.       6.         25.                           M054600200064 
ENDDATA             58          0                                 M054600200065 
ENDSUBENT           64          0                                 M054600299999 
ENDENTRY             2          0                                 M054699999999 
