EN         EN-ERR     ANG        DATA       ERR-S                 3292100200007 
MEV        MEV        ADEG       MB/SR      MB/SR                 3292100200008 
       38.1        2.2       43.5       6.64       0.97           3292100200086 
       38.1        2.2       53.0       5.38       0.82           3292100200087 
       38.1        2.2       62.5       4.02       0.78           3292100200088 
       38.1        2.2       72.0       4.74       0.67           3292100200089 
       38.1        2.2       81.5       3.64       0.55           3292100200090 
       38.1        2.2       91.0       1.98       0.52           3292100200091 
       38.1        2.2       98.5       1.15       0.35           3292100200092 
       38.1        2.2      108.0       0.92       0.22           3292100200093 
       38.1        2.2      117.5       0.82       0.21           3292100200094 
       38.1        2.2      127.0       0.47       0.28           3292100200095 
       38.1        2.2      136.5       0.00       0.00           3292100200096 
       38.1        2.2      146.0       0.00       0.00           3292100200097 
       38.1        2.2      155.5       0.00       0.00           3292100200098 
       42.7        2.5       24.5      16.61       1.56           3292100200099 
       42.7        2.5       34.0      16.32       1.25           3292100200100 
       42.7        2.5       43.5      11.92       1.07           3292100200101 
       42.7        2.5       53.0       5.19       1.02           3292100200102 
       42.7        2.5       62.5       6.33       0.85           3292100200103 
       42.7        2.5       72.0       4.36       0.72           3292100200104 
       42.7        2.5       81.5       3.59       0.59           3292100200105 
       42.7        2.5       91.0       3.00       0.47           3292100200106 
       42.7        2.5       98.5       1.46       0.42           3292100200107 
       42.7        2.5      108.0       0.37       0.33           3292100200108 
       42.7        2.5      117.5       0.22       0.24           3292100200109 
       42.7        2.5      127.0       0.75       0.25           3292100200110 
       42.7        2.5      136.5       0.79       0.18           3292100200111 
       42.7        2.5      146.0       0.72       0.20           3292100200112 
       42.7        2.5      155.5       0.35       0.32           3292100200113 
       47.9        2.8       24.5      20.79       1.55           3292100200114 
       47.9        2.8       34.0      13.37       1.25           3292100200115 
       47.9        2.8       43.5       9.08       1.06           3292100200116 
       47.9        2.8       53.0       7.24       1.02           3292100200117 
       47.9        2.8       62.5       5.97       0.85           3292100200118 
       47.9        2.8       72.0       4.05       0.71           3292100200119 
       47.9        2.8       81.5       2.54       0.58           3292100200120 
       47.9        2.8       91.0       2.06       0.46           3292100200121 
       47.9        2.8       98.5       2.06       0.42           3292100200122 
       47.9        2.8      108.0       0.90       0.32           3292100200123 
       47.9        2.8      117.5       0.34       0.23           3292100200124 
       47.9        2.8      127.0       0.26       0.25           3292100200125 
       47.9        2.8      136.5       0.42       0.18           3292100200126 
       47.9        2.8      146.0       0.51       0.20           3292100200127 
       47.9        2.8      155.5       0.24       0.32           3292100200128 
       53.8        3.1       24.5      23.34       1.67           3292100200129 
       53.8        3.1       34.0      15.53       1.15           3292100200130 
       53.8        3.1       43.5      10.62       0.95           3292100200131 
       53.8        3.1       53.0       9.21       0.91           3292100200132 
       53.8        3.1       62.5       4.68       0.80           3292100200133 
       53.8        3.1       72.0       5.26       0.67           3292100200134 
       53.8        3.1       81.5       3.59       0.66           3292100200135 
       53.8        3.1       91.0       2.46       0.61           3292100200136 
       53.8        3.1       98.5       0.43       0.29           3292100200137 
       53.8        3.1      108.0       1.71       0.38           3292100200138 
       53.8        3.1      117.5       1.02       0.21           3292100200139 
       53.8        3.1      127.0       0.59       0.28           3292100200140 
       53.8        3.1      136.5       0.61       0.30           3292100200141 
       53.8        3.1      146.0       0.14       0.18           3292100200142 
       53.8        3.1      155.5       1.49       0.39           3292100200143 
       60.4        3.5       24.5      25.30       1.80           3292100200144 
       60.4        3.5       34.0      11.85       1.26           3292100200145 
       60.4        3.5       43.5       9.98       1.08           3292100200146 
       60.4        3.5       53.0       7.67       0.91           3292100200147 
       60.4        3.5       62.5       6.56       0.86           3292100200148 
       60.4        3.5       72.0       4.42       0.59           3292100200149 
       60.4        3.5       81.5       4.29       0.61           3292100200150 
       60.4        3.5       91.0       3.67       0.45           3292100200151 
       60.4        3.5       98.5       0.94       0.45           3292100200152 
       60.4        3.5      108.0       1.41       0.32           3292100200153 
       60.4        3.5      117.5       0.56       0.26           3292100200154 
       60.4        3.5      127.0       1.13       0.32           3292100200155 
       60.4        3.5      136.5       0.51       0.33           3292100200156 
       60.4        3.5      146.0       0.31       0.19           3292100200157 
       60.4        3.5      155.5       1.79       0.29           3292100200158 
       67.7        3.9       24.5      28.14       2.04           3292100200159 
       67.7        3.9       34.0      14.12       1.33           3292100200160 
       67.7        3.9       43.5       9.87       0.95           3292100200161 
       67.7        3.9       53.0       7.83       0.97           3292100200162 
       67.7        3.9       62.5       6.95       0.99           3292100200163 
       67.7        3.9       72.0       2.60       0.70           3292100200164 
       67.7        3.9       81.5       2.80       0.58           3292100200165 
       67.7        3.9       91.0       1.26       0.53           3292100200166 
       67.7        3.9       98.5       2.22       0.52           3292100200167 
       67.7        3.9      108.0       1.03       0.33           3292100200168 
       67.7        3.9      117.5       0.61       0.30           3292100200169 
       67.7        3.9      127.0       0.70       0.29           3292100200170 
       67.7        3.9      136.5       1.47       0.39           3292100200171 
       67.7        3.9      146.0       0.50       0.24           3292100200172 
       67.7        3.9      155.5       0.97       0.32           3292100200173 
       76.0        4.4       24.5      35.09       2.31           3292100200174 
       76.0        4.4       34.0      14.97       1.50           3292100200175 
       76.0        4.4       43.5       8.28       1.07           3292100200176 
       76.0        4.4       53.0       8.38       1.10           3292100200177 
       76.0        4.4       62.5       8.16       1.13           3292100200178 
       76.0        4.4       72.0       4.03       0.79           3292100200179 
       76.0        4.4       81.5       3.84       0.66           3292100200180 
       76.0        4.4       91.0       2.29       0.59           3292100200181 
       76.0        4.4       98.5       3.10       0.58           3292100200182 
       76.0        4.4      108.0       0.83       0.38           3292100200183 
       76.0        4.4      117.5       1.29       0.34           3292100200184 
       76.0        4.4      127.0       0.85       0.33           3292100200185 
       76.0        4.4      136.5       1.11       0.44           3292100200186 
       76.0        4.4      146.0       0.81       0.28           3292100200187 
       76.0        4.4      155.5       0.59       0.36           3292100200188 
ENDDATA            182          0                                 3292100200189 
ENDSUBENT          188          0                                 3292100299999 
ENDENTRY             2          0                                 3292199999999 
