E          E-ERR      E-LVL-INI  E-LVL-ERR  DATA       ERR-S      3158900200011 
KEV        KEV        KEV        KEV        PC/INC     PER-CENT   3158900200012 
 2796.8      0.11       3399.64     0.09       0.39       4.      3158900200394 
 2803.2      0.71       4128.26     0.27       0.04      50.      3158900200395 
 2808.8      0.10       2808.74     0.06       0.59       2.      3158900200396 
 2816.8      0.32       4142.21     0.13       0.06      17.      3158900200397 
 2821.2      0.24       4146.39     0.14       0.10      15.      3158900200398 
 2836.0      0.21       3438.71     0.21       0.14      10.      3158900200399 
 2840.2      0.10       3443.02     0.06       0.44       2.      3158900200400 
 2845.7      0.37       4170.85     0.29       0.07      63.      3158900200401 
 2848.3      0.16       3450.79     0.09       0.36      10.      3158900200402 
 2853.8      0.13       3456.61     0.14       0.16       4.      3158900200403 
 2869.5      0.71       4195.08     0.25       0.05      57.      3158900200404 
 2871.9      0.12       3474.65     0.12       0.17       5.      3158900200405 
 2876.6      0.14       3479.38     0.14       0.09       7.      3158900200406 
 2884.1      0.27       3487.27     0.24       0.06      18.      3158900200407 
 2887.7      0.14       3490.29     0.15       0.17       6.      3158900200408 
 2893.6      0.14       4142.21     0.13       0.16       3.      3158900200409 
 2906.8      0.13       4155.38     0.13       0.08       9.      3158900200410 
 2918.9      0.55       4244.32     0.11       0.22      17.      3158900200411 
 2927.0      0.20       3529.98     0.10       0.47      11.      3158900200412 
 2935.0      0.14       3537.68     0.14       0.21       6.      3158900200413 
 2940.3      0.11       3543.12     0.07       0.57       2.      3158900200414 
 2945.5      0.14       2945.63     0.07       0.11      33.      3158900200415 
 2963.6      0.13       4289.48     0.15       0.08       8.      3158900200416 
 2973.3      0.26       3576.01     0.23       0.10      86.      3158900200417 
 2975.2      0.22       2975.39     0.10       0.77       9.      3158900200418 
 2985.5      0.29       3588.22     0.29       0.22      33.      3158900200419 
 2988.3      0.22       2988.34     0.06       0.42      15.      3158900200420 
 2996.7      0.41       3599.30     0.29       0.09      18.      3158900200421 
 3019.6      0.12       3622.11     0.09       0.26      11.      3158900200422 
 3025.9      0.12       3628.49     0.08       0.31       6.      3158900200423 
 3034.1      0.61       4915.59     0.37       0.12      53.      3158900200424 
 3042.0      0.91       4289.48     0.15       0.06      29.      3158900200425 
 3050.1      0.12       3652.81     0.12       0.23       5.      3158900200426 
 3051.4      0.10       3654.80     0.27       0.05      57.      3158900200427 
 3054.0      0.12       4379.19     0.21       0.26       3.      3158900200428 
 3059.3      0.13       3662.00     0.12       0.13       4.      3158900200429 
 3064.3      0.14       3666.95     0.10       0.09       5.      3158900200430 
 3082.9      0.13       3685.70     0.13       0.17       5.      3158900200431 
 3092.0      0.11       3091.86     0.11       0.58       2.      3158900200432 
 3101.8      0.51       3100.92     0.05       0.06      15.      3158900200433 
 3107.3      0.22       3709.77     0.07       0.29       2.      3158900200434 
 3153.0      0.12       3755.72     0.05       0.77       6.      3158900200435 
 3160.8      0.10       4487.66     0.19       0.07      20.      3158900200436 
 3172.0      0.10       3774.66     0.34       0.05      57.      3158900200437 
 3175.8      0.16       4501.01     0.12       0.12      11.      3158900200438 
 3202.7      0.34       4527.71     0.27       0.04      26.      3158900200439 
 3207.3      0.11       3810.08     0.10       0.16      41.      3158900200440 
 3212.8      0.22       3212.25     0.07       0.08       9.      3158900200441 
 3217.4      0.21       3217.59     0.14       0.08      10.      3158900200442 
 3221.5      0.51       3220.72     0.17       0.51       2.      3158900200443 
 3238.2      0.14       3238.19     0.08       0.51       2.      3158900200444 
 3243.8      0.51       4568.89     0.14       0.16      25.      3158900200445 
 3250.8      0.13       3853.51     0.11       0.15       6.      3158900200446 
 3260.0      0.41       3862.49     0.12       0.04      60.      3158900200447 
 3282.2      0.16       3884.84     0.10       0.12       7.      3158900200448 
 3289.1      0.46       3288.90     0.09       0.03      36.      3158900200449 
 3301.4      0.16       3904.10     0.15       0.11      27.      3158900200450 
 3318.3      0.51       4643.31     0.33       0.05      18.      3158900200451 
 3326.8      0.12       3929.53     0.09       0.13       6.      3158900200452 
 3343.7      0.19       3946.40     0.17       0.06       9.      3158900200453 
 3349.0      0.51       3348.70     0.26       0.30       2.      3158900200454 
 3364.8      0.51       3967.35     0.16       0.19      40.      3158900200455 
 3385.7      0.10       3987.92     0.53       0.10      14.      3158900200456 
 3393.9      0.16       3393.69     0.15       0.19       7.      3158900200457 
 3395.7      0.10       3998.51     0.20       0.05      71.      3158900200458 
 3398.4      0.51       4723.40     0.36       0.09      42.      3158900200459 
 3411.8      0.21       4737.29     0.21       0.17      22.      3158900200460 
 3413.7      0.81       4739.69     0.11       0.04      80.      3158900200461 
 3427.5      0.29       4030.28     0.27       0.12      18.      3158900200462 
 3443.1      0.15       3443.02     0.06       0.22       6.      3158900200463 
 3448.8      0.13       4051.50     0.11       0.23      13.      3158900200464 
 3451.3      0.61       3450.79     0.09       0.04      60.      3158900200465 
 3454.5      0.18       4057.22     0.18       0.15       8.      3158900200466 
 3460.9      0.78       3460.32     0.19       0.05      60.      3158900200467 
 3485.7      0.15       4812.84     0.22       0.04      80.      3158900200468 
 3487.3      0.32       4090.12     0.17       0.11      40.      3158900200469 
 3487.5      0.32       3487.27     0.24       0.11      40.      3158900200470 
 3489.9      0.14       4818.28     0.25       0.05     113.      3158900200471 
 3496.7      0.39       4099.66     0.14       0.05      25.      3158900200472 
 3511.6      0.13       4114.37     0.13       0.13      28.      3158900200473 
 3525.4      0.91       4128.26     0.27       0.06      75.      3158900200474 
 3530.3      0.14       3529.98     0.10       0.21      18.      3158900200475 
 3536.9      0.15       3537.68     0.14       0.08      17.      3158900200476 
 3543.3      0.22       3543.12     0.07       1.00      15.      3158900200477 
 3543.7      0.22       4146.39     0.14       0.37      40.      3158900200478 
 3566.8      0.10       4170.85     0.29       0.13      10.      3158900200479 
 3574.7      0.49       4177.75     0.25       0.03      41.      3158900200480 
 3586.1      0.31       4911.31     0.20       0.08      16.      3158900200481 
 3591.1      0.51       4195.08     0.25       0.14       9.      3158900200482 
 3613.1      0.79       4216.08     0.37       0.05      39.      3158900200483 
 3623.0      0.74       3622.11     0.09       0.05      61.      3158900200484 
 3626.5      0.61       4229.18     0.20       0.13      24.      3158900200485 
 3629.1      0.10       3628.49     0.08       0.05      57.      3158900200486 
 3638.3      0.15       4238.6      0.11       0.07      80.      3158900200487 
 3642.4      0.81       4244.32     0.11       0.04      80.      3158900200488 
 3655.1      0.10       3654.80     0.27       0.05      57.      3158900200489 
 3662.0      0.50       4911.31     0.20       0.07      50.      3158900200490 
 3664.9      0.32       4990.45     0.27       0.17      22.      3158900200491 
 3665.5      0.12       4269.77     0.33       0.07      50.      3158900200492 
 3673.9      0.21       9424.53     0.03       0.15      13.      3158900200493 
 3687.1      0.18       4289.48     0.15       0.12      10.      3158900200494 
 3710.6      0.61       3709.77     0.07       0.05      43.      3158900200495 
 3721.6      0.32       4324.31     0.26       0.15      17.      3158900200496 
 3724.0      0.51       4327.03     0.28       0.06      50.      3158900200497 
 3750.2      0.51       5075.96     0.27       0.07      50.      3158900200498 
 3756.1      0.61       3755.72     0.05       0.07      40.      3158900200499 
 3772.7      0.15       4375.47     0.15       0.11      33.      3158900200500 
 3775.4      0.10       3774.66     0.34       0.05      71.      3158900200501 
 3777.0      0.17       4379.19     0.21       0.34       9.      3158900200502 
 3801.8      0.19       5127.29     0.19       0.12       8.      3158900200503 
 3812.6      0.16       4415.31     0.15       0.09      33.      3158900200504 
 3831.4      0.51       5155.89     0.16       0.15      50.      3158900200505 
 3836.5      0.51       4439.35     0.41       0.12       7.      3158900200506 
 3842.0      0.51       4444.78     0.45       0.06      50.      3158900200507 
 3850.9      0.33       4453.70     0.17       0.07      15.      3158900200508 
 3880.0      0.26       3880.15     0.19       0.19      10.      3158900200509 
 3884.8      0.25       3884.84     0.10       0.16      12.      3158900200510 
 3898.1      0.61       4501.01     0.12       0.07      50.      3158900200511 
 3921.6      0.31       4524.51     0.26       0.22      48.      3158900200512 
 3924.5      0.66       4527.71     0.27       0.17      54.      3158900200513 
 3929.3      0.10       3929.53     0.09       0.06      50.      3158900200514 
 3935.8      0.16       9424.53     0.03       0.10      43.      3158900200515 
 3946.5      0.36       3946.40     0.17       0.10      53.      3158900200516 
 3960.0      0.62       5285.50     0.62       0.13     136.      3158900200517 
 3966.2      0.51       4568.89     0.14       0.07      50.      3158900200518 
 3967.8      0.32       3967.35     0.16       0.16      32.      3158900200519 
 3978.4      0.26       9424.53     0.03       0.15      16.      3158900200520 
 3995.9      0.30       4598.63     0.24       0.07      50.      3158900200521 
 3998.3      0.51       3998.51     0.20       0.07      50.      3158900200522 
 4000.5      0.46       9424.53     0.03       0.10      21.      3158900200523 
 4010.0      0.61       4010.95     0.14       0.05      35.      3158900200524 
 4027.9      0.71       4630.36     0.19       0.06      50.      3158900200525 
 4042.8      0.81       4643.31     0.33       0.11      53.      3158900200526 
 4090.3      0.17       4090.12     0.17       0.12       9.      3158900200527 
 4094.5      0.81       4699.16     0.41       0.07      60.      3158900200528 
 4099.2      0.21       4701.95     0.21       0.14       7.      3158900200529 
 4104.2      0.12       9424.53     0.03       0.25       3.      3158900200530 
 4110.2      0.17       4712.72     0.50       0.15      11.      3158900200531 
 4119.7      0.41       5445.91     0.33       0.14      37.      3158900200532 
 4120.5      0.41       4723.40     0.36       0.15      35.      3158900200533 
 4127.9      0.41       4128.26     0.27       0.03      50.      3158900200534 
 4136.9      0.15       4739.69     0.11       0.25       5.      3158900200535 
 4145.7      0.12       4146.39     0.14       0.02      67.      3158900200536 
 4152.6      0.32       4754.60     0.29       0.18      16.      3158900200537 
 4170.6      0.46       4170.85     0.29       0.09      83.      3158900200538 
 4176.4      0.10       4177.75     0.25       0.04      80.      3158900200539 
 4215.3      0.51       4216.08     0.37       0.11      53.      3158900200540 
 4229.3      0.32       4229.18     0.20       0.19      60.      3158900200541 
 4254.9      0.12       9424.53     0.03       0.22      50.      3158900200542 
 4269.4      0.51       9424.53     0.03       0.40       9.      3158900200543 
 4270.7      0.51       4269.77     0.33       0.07      50.      3158900200544 
 4281.5      0.51       4883.67     0.26       0.08      19.      3158900200545 
 4286.4      0.16       4889.37     0.46       0.19       6.      3158900200546 
 4290.9      0.10       4289.48     0.15       0.06      50.      3158900200547 
 4293.9      0.10       9424.53     0.03       0.04      50.      3158900200548 
 4294.9      0.41       4897.83     0.18       0.04      50.      3158900200549 
 4313.1      0.71       4915.59     0.37       0.04      50.      3158900200550 
 4324.6      0.51       4324.31     0.26       0.11      12.      3158900200551 
 4328.1      0.51       4327.03     0.28       0.06      50.      3158900200552 
 4329.3      0.51       4932.42     0.20       0.07      19.      3158900200553 
 4348.1      0.51       9424.53     0.03       0.15      50.      3158900200554 
 4359.8      0.16       4962.50     0.15       0.15       7.      3158900200555 
 4373.9      0.51       9424.53     0.03       0.07      50.      3158900200556 
 4376.9      0.17       4979.25     0.27       0.25       6.      3158900200557 
 4387.6      0.13       9424.53     0.03       0.20      37.      3158900200558 
 4431.5      0.10       9424.53     0.03       0.03      75.      3158900200559 
 4433.9      0.51       9424.53     0.03       0.03      75.      3158900200560 
 4434.5      0.51       5036.94     0.13       0.37      40.      3158900200561 
 4439.4      0.31       9424.53     0.03       0.14      11.      3158900200562 
 4445.6      0.17       9424.53     0.03       0.19       6.      3158900200563 
 4462.6      0.91       9424.53     0.03       0.04      60.      3158900200564 
 4472.2      0.51       5075.96     0.27       0.11      33.      3158900200565 
 4483.9      0.17       9424.53     0.03       0.07      70.      3158900200566 
 4487.5      0.51       4487.66     0.19       0.06      50.      3158900200567 
 4492.0      0.21       9424.53     0.03       0.11       8.      3158900200568 
 4513.4      0.20       9424.53     0.03       0.11      12.      3158900200569 
 4526.6      0.20       9424.53     0.03       0.17      18.      3158900200570 
 4529.4      0.10       5131.76     0.58       0.06      50.      3158900200571 
 4532.0      0.11       9424.53     0.03       0.24      56.      3158900200572 
 4540.6      0.17       9424.53     0.03       0.09      67.      3158900200573 
 4551.5      0.31       4551.41     0.25       0.17      27.      3158900200574 
 4553.1      0.51       5155.89     0.16       0.07      50.      3158900200575 
 4567.4      0.51       5169.61     0.11       0.15       8.      3158900200576 
 4568.9      0.51       4568.89     0.14       0.05      71.      3158900200577 
 4580.8      0.22       4580.46     0.28       0.23       5.      3158900200578 
 4598.3      0.51       4598.63     0.24       0.07      50.      3158900200579 
 4606.2      0.17       9424.53     0.03       0.14       7.      3158900200580 
 4611.7      0.20       9424.53     0.03       0.13       8.      3158900200581 
 4629.2      0.10       4630.36     0.19       0.04      67.      3158900200582 
 4643.3      0.51       4643.31     0.33       0.04      80.      3158900200583 
 4659.5      0.29       9424.53     0.03       0.23      12.      3158900200584 
 4670.5      0.51       9424.53     0.03       0.11      33.      3158900200585 
 4684.5      0.32       9424.53     0.03       0.30      25.      3158900200586 
 4698.6      0.71       4699.16     0.41       0.07       0.      3158900200587 
 4703.4      0.16       9424.53     0.03       0.06      94.      3158900200588 
 4713.4      0.51       9424.53     0.03       0.18      20.      3158900200589 
 4725.1      0.25       9424.53     0.03       0.11      14.      3158900200590 
 4739.6      0.22       4739.69     0.11       0.18      38.      3158900200591 
 4754.4      0.21       4754.60     0.29       0.12       9.      3158900200592 
 4766.9      0.91       4764.76     0.40       0.07      50.      3158900200593 
 4782.0      0.61       9424.53     0.03       0.32      11.      3158900200594 
 4794.1      0.20       9424.53     0.03       0.12      10.      3158900200595 
 4821.2      0.38       5423.98     0.29       0.07      32.      3158900200596 
 4825.4      0.61       9424.53     0.03       0.06      63.      3158900200597 
 4844.5      0.19       9424.53     0.03       0.08      12.      3158900200598 
 4855.7      0.16       9424.53     0.03       0.39      12.      3158900200599 
 4873.3      0.41       9424.53     0.03       0.11      33.      3158900200600 
 4883.1      0.22       4883.67     0.26       0.26       4.      3158900200601 
 4890.9      0.51       4889.37     0.46       0.15       7.      3158900200602 
 4897.2      0.32       9424.53     0.03       0.13      15.      3158900200603 
 4899.6      0.51       9424.53     0.03       0.04      67.      3158900200604 
 4915.3      0.27       4915.59     0.37       0.17      22.      3158900200605 
 4918.8      0.24       9424.53     0.03       0.14       8.      3158900200606 
 4923.7      0.13       9424.53     0.03       0.28       3.      3158900200607 
 4936.9      0.21       9424.53     0.03       0.17      11.      3158900200608 
 4941.8      0.43       4940.81     0.36       0.11      15.      3158900200609 
 4970.8      0.20       9424.53     0.03       0.04      67.      3158900200610 
 4979.8      0.10       9424.53     0.03       0.14      42.      3158900200611 
 4985.4      0.10       9424.53     0.03       0.22      33.      3158900200612 
 4993.5      0.21       4993.51     0.21       0.17       9.      3158900200613 
 5009.4      0.71       9424.53     0.03       0.04      60.      3158900200614 
 5035.7      0.10       5036.94     0.13       0.04      40.      3158900200615 
 5045.8      0.11       9424.53     0.03       0.47       3.      3158900200616 
 5050.7      0.25       5050.71     0.23       0.11      33.      3158900200617 
 5076.2      0.28       5075.96     0.27       0.05      19.      3158900200618 
 5097.6      0.22       9424.53     0.03       0.15      12.      3158900200619 
 5102.3      0.15       9424.53     0.03       0.15      11.      3158900200620 
 5132.5      0.10       5131.76     0.58       0.06      50.      3158900200621 
 5134.9      0.16       9424.53     0.03       0.11      33.      3158900200622 
 5148.56     0.23       5750.98     0.31       0.07      19.      3158900200623 
 5154.4      0.11       5155.89     0.16       0.04      60.      3158900200624 
 5154.9      0.24       9424.53     0.03       0.11      55.      3158900200625 
 5169.2      0.51       5169.61     0.11       0.07      50.      3158900200626 
 5180.2      0.11       9424.53     0.03       0.41      27.      3158900200627 
 5186.6      0.81       9424.53     0.03       0.18      21.      3158900200628 
 5195.7      0.51       9424.53     0.03       0.49       3.      3158900200629 
 5207.7      0.35       9424.53     0.03       0.15      16.      3158900200630 
 5229.6      0.51       9424.53     0.03       0.30       2.      3158900200631 
 5248.4      0.14       9424.53     0.03       0.03      75.      3158900200632 
 5253.0      0.57       9424.53     0.03       0.12      20.      3158900200633 
 5278.5      0.28       9424.53     0.03       0.26      14.      3158900200634 
 5295.9      0.46       9424.53     0.03       0.23      22.      3158900200635 
 5324.8      0.13       9424.53     0.03       0.13       6.      3158900200636 
 5334.9      0.32       9424.53     0.03       0.10       7.      3158900200637 
 5373.1      0.27       9424.53     0.03       0.40      19.      3158900200638 
 5394.0      0.91       9424.53     0.03       0.04      80.      3158900200639 
 5413.6      0.11       9424.53     0.03       0.07      70.      3158900200640 
 5426.0      0.21       9424.53     0.03       0.10      54.      3158900200641 
 5437.0      0.51       9424.53     0.03       0.05      31.      3158900200642 
 5447.8      0.15       5445.91     0.33       0.04      80.      3158900200643 
 5457.2      0.15       9424.53     0.03       0.46       7.      3158900200644 
 5488.5      0.61       5488.67     0.16       0.07      50.      3158900200645 
 5494.9      0.15       9424.53     0.03       0.10       6.      3158900200646 
 5520.5      0.32       9424.53     0.03       0.07      60.      3158900200647 
 5539.8      0.22       9424.53     0.03       0.08       9.      3158900200648 
 5545.9      0.10       9424.53     0.03       0.01      75.      3158900200649 
 5562.1      0.13       9424.53     0.03       0.07      78.      3158900200650 
 5571.2      0.20       9424.53     0.03       0.06       7.      3158900200651 
 5614.4      0.41       9424.53     0.03       0.07      50.      3158900200652 
 5619.1      0.23       9424.53     0.03       0.15      10.      3158900200653 
 5649.6      0.35       9424.53     0.03       0.16      19.      3158900200654 
 5668.9      0.10       9424.53     0.03       1.24       1.      3158900200655 
 5714.7      0.11       9424.53     0.03       0.61       2.      3158900200656 
 5757.4      0.43       9424.53     0.03       0.05      28.      3158900200657 
 5769.3      0.38       9424.53     0.03       0.08      38.      3158900200658 
 5796.2      0.17       9424.53     0.03       0.19       7.      3158900200659 
 5802.4      0.21       9424.53     0.03       0.18      16.      3158900200660 
 5881.4      0.10       9424.53     0.03       1.17       5.      3158900200661 
 5894.7      0.13       9424.53     0.03       0.38       3.      3158900200662 
 5934.9      0.10       9424.53     0.03       0.02      67.      3158900200663 
 5936.8      0.35       9424.53     0.03       0.04      67.      3158900200664 
 5964.7      0.71       9424.53     0.03       0.07      50.      3158900200665 
 5973.8      0.32       9424.53     0.03       0.30       3.      3158900200666 
 5981.6      0.14       9424.53     0.03       0.14       7.      3158900200667 
 5995.4      0.78       9424.53     0.03       0.06      43.      3158900200668 
 6025.3      0.41       9424.53     0.03       0.27       5.      3158900200669 
 6031.4      0.51       9424.53     0.03       0.23       3.      3158900200670 
 6075.8      0.35       9424.53     0.03       0.06      18.      3158900200671 
 6135.7      0.32       9424.53     0.03       0.08       4.      3158900200672 
 6186.4      0.11       9424.53     0.03       0.29       2.      3158900200673 
 6204.0      0.41       9424.53     0.03       0.10      36.      3158900200674 
 6207.1      0.41       9424.53     0.03       0.10      36.      3158900200675 
 6212.3      0.11       9424.53     0.03       0.86       1.      3158900200676 
 6281.2      0.81       9424.53     0.03       0.01     100.      3158900200677 
 6306.2      0.11       9424.53     0.03       0.08      75.      3158900200678 
 6323.5      0.10       9424.53     0.03       3.29       1.      3158900200679 
 6332.8      0.22       9424.53     0.03       0.06      38.      3158900200680 
 6336.0      0.22       9424.53     0.03       0.06      38.      3158900200681 
 6375.8      0.34       9424.53     0.03       0.07      27.      3158900200682 
 6379.7      0.51       9424.53     0.03       0.16      12.      3158900200683 
 6385.9      0.79       9424.53     0.03       0.02      28.      3158900200684 
 6436.5      0.22       9424.53     0.03       0.14       5.      3158900200685 
 6443.0      0.51       9424.53     0.03       0.03      17.      3158900200686 
 6449.5      0.26       9424.53     0.03       0.06       8.      3158900200687 
 6460.2      0.16       9424.53     0.03       0.03      75.      3158900200688 
 6467.9      0.31       9424.53     0.03       0.04      10.      3158900200689 
 6477.4      0.32       9424.53     0.03       0.08       4.      3158900200690 
 6480.2      0.10       9424.53     0.03       0.02      67.      3158900200691 
 6565.7      0.35       9424.53     0.03       0.04      14.      3158900200692 
 6606.9      0.34       9424.53     0.03       0.08      32.      3158900200693 
 6615.9      0.22       9424.53     0.03       0.25       4.      3158900200694 
 6642.3      0.12       9424.53     0.03       0.04      60.      3158900200695 
 6677.1      0.13       9424.53     0.03       0.09       4.      3158900200696 
 6743.0      0.13       9424.53     0.03       0.09       4.      3158900200697 
 6783.2      0.13       9424.53     0.03       0.10       3.      3158900200698 
 6822.2      0.15       9424.53     0.03       0.22      50.      3158900200699 
 6895.3      0.32       9424.53     0.03       0.05      29.      3158900200700 
 6903.5      0.32       9424.53     0.03       0.07       4.      3158900200701 
 6969.9      0.51       9424.53     0.03       0.03       8.      3158900200702 
 7101.3      0.12       9424.53     0.03       0.33       2.      3158900200703 
 7116.8      0.20       9424.53     0.03       0.02     127.      3158900200704 
 7130.6      0.13       9424.53     0.03       0.03      76.      3158900200705 
 7241.7      0.28       9424.53     0.03       0.03      11.      3158900200706 
 7271.4      0.32       9424.53     0.03       0.04       8.      3158900200707 
 7332.7      0.10       9424.53     0.03       0.93       1.      3158900200708 
 7384.8      0.12       9424.53     0.03       0.12       2.      3158900200709 
 8098.7      0.10       9424.53     0.03       0.52       1.      3158900200710 
 8821.3      0.22       9424.53     0.03       0.39       1.      3158900200711 
 9423.6      0.32       9424.53     0.03       0.06       2.      3158900200712 
ENDDATA            702          0                                 3158900200713 
ENDSUBENT          712          0                                 3158900299999 
SUBENT        31589003   20061215                             31213158900300001 
BIB                  2          3                                 3158900300002 
REACTION   (52-TE-123(N,G)52-TE-124,,SIG)                         3158900300003 
ERR-ANALYS (DATA-ERR) Uncertainty include statistical and         3158900300004 
           systematical errors.                                   3158900300005 
ENDBIB               3          0                                 3158900300006 
NOCOMMON             0          0                                 3158900300007 
DATA                 2          1                                 3158900300008 
DATA       DATA-ERR                                               3158900300009 
B          B                                                      3158900300010 
  430.       13.                                                  3158900300011 
ENDDATA              3          0                                 3158900300012 
ENDSUBENT           11          0                                 3158900399999 
ENDENTRY             3          0                                 3158999999999 
