E          E-ERR      E-LVL-INI  E-LVL-ERR  DATA       ERR-S      3158900200011 
KEV        KEV        KEV        KEV        PC/INC     PER-CENT   3158900200012 
 722.8      0.32        3045.46     0.07       0.37      40.      3158900200074 
 727.0      0.15        2766.92     0.12       0.02      80.      3158900200075 
 735.7      0.12        3622.11     0.09       0.06       5.      3158900200076 
 741.3      0.15        3443.02     0.06       0.06       7.      3158900200077 
 743.1      0.36        2834.97     0.07       0.02      16.      3158900200078 
 749.4      0.91        3450.79     0.09       0.02      67.      3158900200079 
 751.5      0.41        2790.38     0.22       0.02      67.      3158900200080 
 751.8      0.11        3045.46     0.07       0.09       3.      3158900200081 
 760.9      0.21        3054.65     0.09       0.03      14.      3158900200082 
 766.0      0.16        2091.54     0.05       0.05      29.      3158900200083 
 767.5      0.17        3755.72     0.05       0.10       8.      3158900200084 
 775.3      0.11        2814.52     0.11       0.14       3.      3158900200085 
 777.1      0.44        3001.09     0.07       0.02      21.      3158900200086 
 782.3      0.61        3091.86     0.11       0.01      21.      3158900200087 
 790.7      0.003       2039.296    0.004      0.52       7.      3158900200088 
 790.8      0.003       2039.425    0.004      0.07      50.      3158900200089 
 792.8      0.41        2945.63     0.07       0.04       5.      3158900200090 
 795.6      0.13        2834.97     0.07       0.05       6.      3158900200091 
 813.6      0.32        3107.60     0.09       0.01      33.      3158900200092 
 816.9      0.12        2774.91     0.07       0.04       4.      3158900200093 
 819.5      0.34        2859.11     0.10       0.01      32.      3158900200094 
 821.7       0.38       2975.39     0.10       0.02      24.      3158900200095 
 827.8       0.10       2153.26     0.06       0.67       1.      3158900200096 
 831.9       0.51       5320.30     0.17       0.02      10.      3158900200097 
 842.0       0.36       3543.12     0.07       0.02      26.      3158900200098 
 843.7       0.61       2091.54     0.05       0.01      26.      3158900200099 
 847.0       0.14       2594.01     0.25       0.04       6.      3158900200100 
 854.0       0.13       2945.63     0.07       0.06       5.      3158900200101 
 856.8       0.10       2182.38     0.06       0.21       1.      3158900200102 
 864.9       0.20       3318.97     0.15       0.04      10.      3158900200103 
 869.1       0.37       3162.92     0.15       0.04      30.      3158900200104 
 874.4       0.14       3167.93     0.10       0.03       5.      3158900200105 
 889.1       0.15       3490.29     0.15       0.04       7.      3158900200106 
 891.1       0.51       2982.69     0.12       0.04       6.      3158900200107 
 892.2       0.51       3045.46     0.07       0.02      67.      3158900200108 
 895.4       0.32       3048.83     0.22       0.02      31.      3158900200109 
 899.5       0.11       2224.96     0.10       0.08       3.      3158900200110 
 906.1       0.12       2945.63     0.07       0.02      63.      3158900200111 
 906.1       0.12       2945.63     0.07       0.07      30.      3158900200112 
 910.7       0.46       3393.69     0.15       0.02      21.      3158900200113 
 916.1       0.30       3399.64     0.09       0.03      14.      3158900200114 
 918.4       0.22       3100.92     0.05       0.04      67.      3158900200115 
 918.5       0.22       3212.25     0.07       0.04      67.      3158900200116 
 921.5       0.29       3443.02     0.06       0.04      17.      3158900200117 
 923.5       0.21       3217.59     0.14       0.06       8.      3158900200118 
 926.0       0.51       2808.74     0.06       0.03      43.      3158900200119 
 926.4       0.51       3220.72     0.17       0.03      43.      3158900200120 
 934.8       0.14       2817.47     0.09       0.04       6.      3158900200121 
 940.0       0.10       3393.69     0.15       0.05      29.      3158900200122 
 943.3       0.27       2601.03     0.06       0.05       5.      3158900200123 
 953.7       0.16       3045.46     0.07       0.03       7.      3158900200124 
 956.3       0.25       4051.50     0.11       0.02      13.      3158900200125 
 961.6       0.21       3001.09     0.07       0.04      14.      3158900200126 
 963.5       0.21       3054.65     0.09       0.05       8.      3158900200127 
 968.2       0.12       2293.74     0.04       0.08       4.      3158900200128 
 974.7       0.42       2933.11     0.22       0.02      32.      3158900200129 
 976.4       0.10       2224.96     0.10       0.38       2.      3158900200130 
 988.1       0.51       3755.72     0.05       0.03      11.      3158900200131 
 990.4       0.13       3284.25     0.14       0.06       4.      3158900200132 
 996.9       0.32       3088.53     0.08       0.04      60.      3158900200133 
 997.2       0.10       2322.96     0.07       0.14      16.      3158900200134 
 999.7       0.16       2957.53     0.10       0.04       5.      3158900200135 
 1003.3      0.51       3095.07     0.06       0.03       9.      3158900200136 
 1005.8      0.13       3045.46     0.07       0.04      18.      3158900200137 
 1005.8      0.13       3045.46     0.07       0.03      28.      3158900200138 
 1008.2      0.16       3709.77     0.07       0.04       8.      3158900200139 
 1014.8      0.44       3054.65     0.09       0.03      18.      3158900200140 
 1024.2      0.41       2982.69     0.12       0.02      27.      3158900200141 
 1026.1      0.28       3479.38     0.14       0.04      11.      3158900200142 
 1042.7      0.10       3001.09     0.07       0.02      66.      3158900200143 
 1044.9      0.23       2293.74     0.04       0.10       9.      3158900200144 
 1049.2      0.20       3088.53     0.08       0.03      10.      3158900200145 
 1049.2      0.20       3088.53     0.08       0.04      10.      3158900200146 
 1054.5      0.10       1657.30     0.07       1.82       0.      3158900200147 
 1063.1      0.16       2945.63     0.07       0.03      12.      3158900200148 
 1068.3      0.13       3107.60     0.09       0.01      63.      3158900200149 
 1068.3      0.13       3107.60     0.09       0.09      34.      3158900200150 
 1074.3      0.91       4170.85     0.29       0.02      12.      3158900200151 
 1082.9      0.24       4177.75     0.25       0.03      15.      3158900200152 
 1086.4      0.10       2335.10     0.12       0.21       1.      3158900200153 
 1096.7      0.16       3054.65     0.09       0.04       6.      3158900200154 
 1101.0      0.20       2349.62     0.20       0.03       7.      3158900200155 
 1105.3      0.17       2988.34     0.06       0.04       6.      3158900200156 
 1108.5      0.28       3709.77     0.07       0.02      12.      3158900200157 
 1125.8      0.12       2783.20     0.07       0.07       4.      3158900200158 
 1128.6      0.10       2454.06     0.05       0.16       2.      3158900200159 
 1130.4      0.33       3284.25     0.14       0.01      16.      3158900200160 
 1134.1      0.32       4229.18     0.20       0.02      11.      3158900200161 
 1136.9      0.61       3429.93     0.19       0.03       9.      3158900200162 
 1149.7      0.35       3107.60     0.09       0.02      27.      3158900200163 
 1152.5      0.42       3109.37     0.17       0.02      22.      3158900200164 
 1154.7      0.21       3755.72     0.05       0.06       8.      3158900200165 
 1157.1      0.16       3450.79     0.09       0.06       6.      3158900200166 
 1166.4      0.66       3257.82     0.14       0.05      45.      3158900200167 
 1178.3      0.71       3217.59     0.14       0.05      12.      3158900200168 
 1180.9      0.15       3220.72     0.17       0.05      26.      3158900200169 
 1180.9      0.15       3220.72     0.17       0.05      42.      3158900200170 
 1183.3      0.16       3884.84     0.10       0.06       6.      3158900200171 
 1186.4      0.25       2933.11     0.22       0.02      13.      3158900200172 
 1195.6      0.13       2521.26     0.07       0.06       5.      3158900200173 
 1204.1      0.28       2529.44     0.10       0.05      29.      3158900200174 
 1205.5      0.22       2454.06     0.05       0.10      31.      3158900200175 
 1205.6      0.16       3088.53     0.08       0.05      57.      3158900200176 
 1218.8      0.19       3257.82     0.14       0.02      42.      3158900200177 
 1218.8      0.19       3257.82     0.14       0.03      56.      3158900200178 
 1234.2      0.51       2483.28     0.09       0.10       5.      3158900200179 
 1236.2      0.21       3529.98     0.10       0.05       9.      3158900200180 
 1240.5      0.11       3280.07     0.17       0.06      23.      3158900200181 
 1240.5      0.11       3280.07     0.17       0.02     100.      3158900200182 
 1244.9      0.11       3284.25     0.14       0.09      14.      3158900200183 
 1244.9      0.11       3284.25     0.14       0.02      48.      3158900200184 
 1248.3      0.61       3543.12     0.07       0.12       2.      3158900200185 
 1259.5      0.51       3217.59     0.14       0.04      40.      3158900200186 
 1263.4      0.12       2512.00     0.12       0.23       3.      3158900200187 
 1272.4      0.51       3967.35     0.16       0.11       4.      3158900200188 
 1275.4      0.11       2601.03     0.06       0.19       2.      3158900200189 
 1280.8      0.81       3576.01     0.23       0.05       5.      3158900200190 
 1283.7      0.25       4379.19     0.21       0.02      13.      3158900200191 
 1296.7      0.13       4043.87     0.22       0.07       4.      3158900200192 
 1301.5      0.51       3393.69     0.15       0.27       1.      3158900200193 
 1308.4      0.19       3399.64     0.09       0.03       9.      3158900200194 
 1315.6      0.28       2641.14     0.17       0.10      17.      3158900200195 
 1317.8      0.76       2975.39     0.10       0.04      28.      3158900200196 
 1321.0      0.49       4764.76     0.40       0.05      23.      3158900200197 
 1323.5      0.60       3280.07     0.17       0.08      36.      3158900200198 
 1325.5      0.10       1325.517    0.003      2.56       1.      3158900200199 
