  2665.0       0.9       0.18       35.     3547.                 3153600200298 
  2671.3       0.3       0.18       50.     2671.                 3153600200299 
  2685.9       0.9       0.01       100.    3738.                 3153600200300 
  2689.3       1.0       0.07       50.     3568.                 3153600200301 
  2691.2       0.9       0.04       75.     3547.                 3153600200302 
  2705.0       0.8       0.09       60.     4485.                 3153600200303 
  2705.86      0.06      7.18       1.      3002.                 3153600200304 
  2706.40      0.20      0.10       36.     2706.                 3153600200305 
  2713.6       0.9       0.09       50.     3568.                 3153600200306 
  2742.34      0.16      0.32       12.     5929.                 3153600200307 
  2743.4       0.6       0.11       33.     3624.                 3153600200308 
  2746.1       0.7       0.09       50.     3602.                 3153600200309 
  2754.0       0.4       0.09       50.     2754.                 3153600200310 
  2758.5       0.3       0.21       13.                           3153600200311 
  2768.2       1.0       0.04       50.     3624.                 3153600200312 
  2783.10      0.19      0.23       12.     5929.                 3153600200313 
  2797.8       0.3       0.21       22.                           3153600200314 
  2828.7       1.2       0.06       50.     4037.                 3153600200315 
  2830.6       0.8       0.06       50.     4300.                 3153600200316 
  2863.13      0.20      0.13       21.     4070.                 3153600200317 
  2903.0       1.3       0.03       100.    3547.                 3153600200318 
  2925.64      0.18      0.66       11.     3568.                 3153600200319 
  2927.0       0.3       0.05       80.     4708.                 3153600200320 
  2927.33      0.06      14.71       1.     5929.                 3153600200321 
  2932.8       0.4       0.17       17.     2933.                 3153600200322 
  2959.28      0.22      0.24       38.     3602.                 3153600200323 
  2996.59      0.10      0.90       5.      5929.                 3153600200324 
  3001.87      0.06      4.84       1.      3002.                 3153600200325 
  3019.9       0.5       0.04       50.     4070.                 3153600200326 
  3025.9       0.6       0.09       30.     3668.                 3153600200327 
  3030.1       0.6       0.02       100.    4070.                 3153600200328 
  3055.1       1.3       0.05       60.     3698.                 3153600200329 
  3058.8       1.3       0.06       67.     3928.                 3153600200330 
  3093.9       0.5       0.05       40.                           3153600200331 
  3095.7       0.5       0.05       40.     3738.                 3153600200332 
  3131.9       0.8       0.09       40.     3987.                 3153600200333 
  3146.0       0.6       0.05       80.     3146.                 3153600200334 
  3155.3       0.7       0.23       16.     4037.                 3153600200335 
  3170.6       0.5       0.11       67.     3171.                 3153600200336 
  3175.0       1.0       0.08       44.     4028.                 3153600200337 
  3175.24      0.10      1.17       5.      5929.                 3153600200338 
  3175.4       0.6       0.05       40.     4645.                 3153600200339 
  3181.0       0.7       0.10       36.     4037.                 3153600200340 
  3189.8       1.0       0.12       31.     4070.                 3153600200341 
  3203.5       0.7       0.06       43.     4254.                 3153600200342 
  3212.5       0.4       0.09       30.     4254.                 3153600200343 
  3223.00      0.21      1.01       18.     5929.                 3153600200344 
  3234.1       1.1       0.06       50.     4286.                 3153600200345 
  3250.0       0.9       0.04       75.     4300.                 3153600200346 
  3250.9       0.3       0.06       33.     3547.                 3153600200347 
  3257.9       0.7       0.06       50.     4300.                 3153600200348 
  3258.2       0.4       0.15       36.     5929.                 3153600200349 
  3271.6       0.8       0.06       43.     3568.                 3153600200350 
  3273.4       1.3       0.05       60.     4325.                 3153600200351 
  3283.0       0.8       0.11       42.     4325.                 3153600200352 
  3305.41      0.19      0.33       8.      3602.                 3153600200353 
  3312.7       0.8       0.04       50.     4520.                 3153600200354 
  3327.4       0.3       0.67       12.     3624.                 3153600200355 
  3346.76      0.07      32.03       1.     5929.                 3153600200356 
  3372.4       0.5       0.09       30.     3668.                 3153600200357 
  3381.55      0.11      0.75       6.      5929.                 3153600200358 
  3393.93      0.23      0.07       50.     4037.                 3153600200359 
  3393.93      0.23      0.17       22.     3690.                 3153600200360 
  3402.4       0.4       0.17       28.     3698.                 3153600200361 
  3405.6       0.8       0.06       67.     4286.                 3153600200362 
  3417.32      0.07      7.82       1.      5929.                 3153600200363 
  3437.6       0.9       0.06       33.     4489.                 3153600200364 
  3442.0       0.12      0.01       100.    3738.                 3153600200365 
  3447.8       0.5       0.10       18.     4489.                 3153600200366 
  3468.6       1.0       0.09       80.     3763.                 3153600200367 
  3471.0       0.8       0.37       25.     5929.                 3153600200368 
  3471.3       1.1       0.11       67.     4520.                 3153600200369 
  3471.7       1.1       0.06       57.     4325.                 3153600200370 
  3478.6       1.0       0.15       63.     4520.                 3153600200371 
  3482.5       0.4       0.06       57.     4124.                 3153600200372 
  3483.5       1.3       0.02       50.     4365.                 3153600200373 
  3499.8       1.1       0.03       67.     4708.                 3153600200374 
  3507.6       0.7       0.14       67.     3507.                 3153600200375 
  3511.9       1.6       0.04       50.     4563.                 3153600200376 
  3526.9       0.8       0.14       67.     4733.                 3153600200377 
  3533.3       1.4       0.04       50.     4583.                 3153600200378 
  3547.10      0.23      0.41       11.     3547.                 3153600200379 
  3568.1       0.3       0.25       15.     3568.                 3153600200380 
  3571.4       0.7       0.07       75.     4425.                 3153600200381 
  3590.2       1.0       0.03       67.     4473.                 3153600200382 
  3592.3       0.9       0.06       67.     4473.                 3153600200383 
  3602.0       0.3       0.28       33.     3602.                 3153600200384 
  3623.3       0.5       0.08       22.     3624.                 3153600200385 
  3635.6       0.5       0.18       50.     4279.                 3153600200386 
  3642.43      0.17      0.88       6.      3938.                 3153600200387 
  3643.6       0.8       0.06       43.     4286.                 3153600200388 
  3658.5       0.5       0.05       60.     4300.                 3153600200389 
  3667.80      0.24      0.47       10.     3668.                 3153600200390 
  3682.4       0.4       0.11       42.     4325.                 3153600200391 
  3683.5       0.7       0.07       63.     4563.                 3153600200392 
  3689.99      0.10      1.38       13.     3690.                 3153600200393 
  3690.9       0.4       0.18       50.     4545.                 3153600200394 
  3691.1       0.4       0.18       50.     3987.                 3153600200395 
  3698.15      0.13      0.46       100.    5929.                 3153600200396 
  3698.15      0.13      0.46       100.    3698.                 3153600200397 
  3732.4       0.8       0.09       60.     4028.                 3153600200398 
  3737.7       1.3       0.05       60.     4945.                 3153600200399 
  3740.40      0.14      0.72       8.      4037.                 3153600200400 
  3759.4       0.5       0.06       57.     4801.                 3153600200401 
  3762.8       1.1       0.09       80.     3763.                 3153600200402 
  3774.47      0.11      0.79       23.     4070.                 3153600200403 
  3791.5       1.2       0.02       50.     4645.                 3153600200404 
  3812.2       0.5       0.09       80.     4109.                 3153600200405 
  3831.0       2.0       0.02       100.    4473.                 3153600200406 
  3837.27      0.19      0.37       10.     5929.                 3153600200407 
  3912.6       0.5       0.54       26.     5929.                 3153600200408 
  3921.5       0.6       0.06       43.     4563.                 3153600200409 
  3938.81      0.24      0.37       10.     3938.                 3153600200410 
  3944.0       0.5       0.28       20.     4239.                 3153600200411 
  3957.65      0.23      0.42       13.     4254.                 3153600200412 
  3978.2       0.4       0.36       21.     5929.                 3153600200413 
  3981.7       0.6       0.12       62.     4279.                 3153600200414 
  3986.9       0.4       0.15       25.     3987.                 3153600200415 
  3989.60      0.11      0.84       4.      4286.                 3153600200416 
  4004.3       0.4       0.18       31.     4300.                 3153600200417 
  4028.6       0.8       0.09       60.     4028.                 3153600200418 
  4028.8       0.3       0.23       40.     4325.                 3153600200419 
  4036.2       0.3       0.11       17.     4037.                 3153600200420 
  4060.7       0.3       0.13       71.     4061.                 3153600200421 
  4065.0       1.0       0.05       80.     4708.                 3153600200422 
  4069.0       0.5       0.05       60.     4365.                 3153600200423 
  4070.4       0.4       0.11       17.     4070.                 3153600200424 
  4073.4       0.3       0.38       10.     5929.                 3153600200425 
  4092.2       1.0       0.07       63.     4733.                 3153600200426 
  4109.1       0.3       0.44       10.     4109.                 3153600200427 
  4148.0       1.0       0.04       75.     5929.                 3153600200428 
  4149.4       0.4       0.25       22.     4446.                 3153600200429 
  4157.7       0.7       0.08       56.     4454.                 3153600200430 
  4176.3       0.5       0.16       28.     4473.                 3153600200431 
  4193.5       0.3       0.26       14.     4489.                 3153600200432 
  4207.3       0.3       0.39       9.      5929.                 3153600200433 
  4224.5       0.8       0.18       60.     4520.                 3153600200434 
  4239.9       0.5       0.33       14.     4239.                 3153600200435 
  4246.5       0.4       1.26       19.     5929.                 3153600200436 
  4249.5       0.7       0.69       35.     4545.                 3153600200437 
  4253.5       0.3       0.34       16.     4254.                 3153600200438 
  4267.0       0.3       0.41       20.     4563.                 3153600200439 
  4278.9       1.4       0.19       48.     4279.                 3153600200440 
  4286.9       0.4       0.09       60.     4583.                 3153600200441 
  4287.1       0.6       0.04       50.     4286.                 3153600200442 
  4324.9       2.0       0.05       100.    4970.                 3153600200443 
  4349.4       0.3       0.21       22.     4645.                 3153600200444 
  4354.0       0.4       0.03       100.    4650.                 3153600200445 
  4364.2       1.4       0.02       50.     4365.                 3153600200446 
  4445.8       0.5       0.15       50.     4446.                 3153600200447 
  4489.2       0.6       0.06       29.     4489.                 3153600200448 
  4519.9       0.7       0.13       71.     4520.                 3153600200449 
  4531.48      0.24      0.42       9.      4531.                 3153600200450 
  4545.37      0.11      1.54       3.      4545.                 3153600200451 
  4558.65      0.18      0.82       6.      4558.                 3153600200452 
  4558.9       0.9       0.06       71.     4856.                 3153600200453 
  4563.1       0.5       0.17       22.     4563.                 3153600200454 
  4574.6       0.8       0.07       50.     4870.                 3153600200455 
  4582.1       1.2       0.02       100.    4583.                 3153600200456 
  4597.2       0.5       0.20       18.     4894.                 3153600200457 
