ENTRY            32708   20140327                             31653270800000001 
SUBENT        32708001   20140327                             31653270800100001 
BIB                  9         27                                 3270800100002 
TITLE      Measurements of charge distributions of the fragments  3270800100003 
           in the low energy fission reaction                     3270800100004 
AUTHOR     (Taofeng Wang,Hongyin Han,Qinghua Meng,Liming Wang,    3270800100005 
           Liping Zhu,Haihong Xia)                                3270800100006 
INSTITUTE  (3CPRCPR) School of Physics and Nuclear Energy         3270800100007 
           Engineering, Beihang University, Beijing, China.       3270800100008 
           (3CPRAEP)                                              3270800100009 
REFERENCE  (J,NIM/A,697,7,2013)                                   3270800100010 
           #doi:10.1016/j.nima.2012.08.109                        3270800100011 
DETECTOR   (TELES,IOCH,SIBAR) Detector system consisting of a     3270800100012 
           grid ionization chamber and a Delta-E-E particle       3270800100013 
           telescope, in which a thin grid ionization chamber     3270800100014 
           served as the Delta-E section and the E section was    3270800100015 
           an Au-Si surface barrier detector.                     3270800100016 
SAMPLE     A Cf252 foil fission source with an activity of about  3270800100017 
           3000 fissions/s.                                       3270800100018 
METHOD     (EDE) The typical physical quantities of fragments,    3270800100019 
           such as mass number and kinetic energies as well as    3270800100020 
           the deposition in the gas Delta-E detector and E       3270800100021 
           detector were derived from the coincident measurement  3270800100022 
           data.                                                  3270800100023 
ANALYSIS   The charge distributions of the light fragments for    3270800100024 
           the fixed mass number A and total kinetic energy were  3270800100025 
           obtained by the least-squares fits for the response    3270800100026 
           functions of the Delta-E detector with multi-Gaussian  3270800100027 
           functions representing the different elements.         3270800100028 
HISTORY    (20140327C)Compiled by WANG Jimin (CNDC).              3270800100029 
ENDBIB              27          0                                 3270800100030 
NOCOMMON             0          0                                 3270800100031 
ENDSUBENT           30          0                                 3270800199999 
SUBENT        32708002   20140327                             31653270800200001 
BIB                  4          8                                 3270800200002 
REACTION   (98-CF-252(0,F)MASS,,ZP,,MSC)                          3270800200003 
           Fragment energy dependence of the most probable charge 3270800200004 
           Zp.                                                    3270800200005 
EN-SEC     (E,FF)                                                 3270800200006 
STATUS     (TABLE)Data were obtained from Hongyin Han.            3270800200007 
ERR-ANALYS (DATA-ERR) The errors of the parameters are due to     3270800200008 
           the statistics errors of the fits of the Gaussian      3270800200009 
           distributions.                                         3270800200010 
ENDBIB               8          0                                 3270800200011 
NOCOMMON             0          0                                 3270800200012 
DATA                 5        553                                 3270800200013 
MASS       E-MIN      E-MAX      DATA       DATA-ERR              3270800200014 
NO-DIM     MEV        MEV        NO-DIM     NO-DIM                3270800200015 
80.        84.        87.        32.09      0.49                  3270800200016 
80.        87.        90.        32.03      0.40                  3270800200017 
80.        90.        93.        32.02      0.30                  3270800200018 
80.        93.        96.        32.30      0.37                  3270800200019 
80.        96.        99.        32.41      0.42                  3270800200020 
81.        84.        87.        32.49      0.40                  3270800200021 
81.        87.        90.        32.59      0.31                  3270800200022 
81.        90.        93.        32.31      0.29                  3270800200023 
81.        93.        96.        32.31      0.29                  3270800200024 
81.        96.        99.        32.21      0.34                  3270800200025 
82.        84.        87.        32.49      0.31                  3270800200026 
82.        87.        90.        32.46      0.22                  3270800200027 
82.        90.        93.        32.56      0.21                  3270800200028 
82.        93.        96.        32.74      0.35                  3270800200029 
82.        96.        99.        32.79      0.39                  3270800200030 
83.        84.        87.        32.63      0.32                  3270800200031 
83.        87.        90.        33.28      0.30                  3270800200032 
83.        90.        93.        32.93      0.22                  3270800200033 
83.        93.        96.        32.92      0.21                  3270800200034 
83.        96.        99.        33.00      0.27                  3270800200035 
83.        99.        102.       33.15      0.32                  3270800200036 
84.        84.        87.        32.96      0.31                  3270800200037 
84.        87.        90.        33.21      0.23                  3270800200038 
84.        90.        93.        33.81      0.22                  3270800200039 
84.        93.        96.        33.41      0.21                  3270800200040 
84.        96.        99.        33.32      0.20                  3270800200041 
84.        99.        102.       33.39      0.13                  3270800200042 
84.        102.       105.       33.00      0.37                  3270800200043 
85.        84.        87.        33.90      0.31                  3270800200044 
85.        87.        90.        33.74      0.22                  3270800200045 
85.        90.        93.        33.94      0.22                  3270800200046 
85.        93.        96.        34.10      0.27                  3270800200047 
85.        96.        99.        33.60      0.20                  3270800200048 
85.        99.        102.       33.53      0.19                  3270800200049 
85.        102.       105.       33.53      0.31                  3270800200050 
85.        105.       108.       33.30      0.40                  3270800200051 
86.        84.        87.        34.40      0.39                  3270800200052 
86.        87.        90.        34.15      0.23                  3270800200053 
86.        90.        93.        34.25      0.22                  3270800200054 
86.        93.        96.        33.97      0.21                  3270800200055 
86.        96.        99.        34.39      0.17                  3270800200056 
86.        99.        102.       34.10      0.20                  3270800200057 
86.        102.       105.       33.79      0.50                  3270800200058 
86.        105.       108.       34.18      0.30                  3270800200059 
87.        84.        87.        34.29      0.46                  3270800200060 
87.        87.        90.        34.43      0.30                  3270800200061 
87.        90.        93.        34.36      0.22                  3270800200062 
