ENTRY            31608   20080410                             31273160800000001 
SUBENT        31608001   20080410                             31273160800100001 
BIB                 13         38                                 3160800100002 
TITLE      Neutron double differential cross sections of 238U,    3160800100003 
           209Bi and Fe at 10 MeV                                 3160800100004 
AUTHOR     (Qi Bujia,Tang Hongqing,Zhou Zuying,Zhou Chenwei,      3160800100005 
           Ke Zunjian,Sun Zhengqiang,Sheng Guanren,Xia Haihong)   3160800100006 
INSTITUTE  (3CPRAEP)                                              3160800100007 
REFERENCE  (J,CST,33,497,1999) on Chinese                         3160800100008 
FACILITY   (VDGT,3CPRAEP) The HI-13 Tandem Accelerator in China   3160800100009 
           Institute of Atomic Energy                             3160800100010 
METHOD     (TOF,PSD) From the measured raw spectra (gas in,       3160800100011 
           gas out, sample in, sample out), the net TOF spectra   3160800100012 
           are determined, including the propagation of           3160800100013 
           uncertainties.                                         3160800100014 
INC-SOURCE (D-D) Deuterium gas target had following parameters:   3160800100015 
           Length 30 mm, diam. 11 mm, on gold backing 0.5 mm.     3160800100016 
DETECTOR   (SCIN) Three main detectors ST-451(10.5 x 5.0 cm)      3160800100017 
           and one monitor ST-451 (10.5 x 5.0 cm) were used.      3160800100018 
           The measurement were repeated in abnormal and normal   3160800100019 
           geometry of spectrometer.                              3160800100020 
CORRECTION Monte-Carlo simulated TOF spectra of the complete      3160800100021 
           angular distribution were iteratively adjusted to      3160800100022 
           the measured TOF spectra. The simulation comprised     3160800100023 
           the neutron production in the gas target and the       3160800100024 
           scattering geometry between target, sample and         3160800100025 
           detectors.                                             3160800100026 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 3160800100027 
           (6-C-12(N,EL)6-C-12,,DA)                               3160800100028 
ERR-ANALYS (ERR-T) The uncertainties due to the statistical       3160800100029 
           uncertainty, the neutron detection efficiency,         3160800100030 
           the scattering angle, the normalization the correction 3160800100031 
           for  multiple scattering have been taken into          3160800100032 
           account, including their correlation.                  3160800100033 
           Main sources are in statistics, detection efficiency   3160800100034 
           and normalization.                                     3160800100035 
           (MONIT1-ERR) Uncertainty in n-p monitor cross section  3160800100036 
           (MONIT2-ERR) Uncertainty in n-C monitor cross section  3160800100037 
STATUS     (TABLE) Data were received from Dr. Xichao Ruan        3160800100038 
           (APRVD) Entry was approved by Dr. Xichao Ruan          3160800100039 
HISTORY    (20080327C) SD                                         3160800100040 
ENDBIB              38          0                                 3160800100041 
COMMON               3          3                                 3160800100042 
EN         MONIT1-ERR MONIT2-ERR                                  3160800100043 
MEV        PER-CENT   PER-CENT                                    3160800100044 
  10.0              2.         5.                                 3160800100045 
ENDCOMMON            3          0                                 3160800100046 
ENDSUBENT           45          0                                 3160800199999 
SUBENT        31608002   20080410                             31273160800200001 
BIB                  2          5                                 3160800200002 
REACTION   (92-U-238(N,X)0-NN-1,,DA/DE)                           3160800200003 
SAMPLE     238U (99.3% enriched)                                  3160800200004 
           Height=3.0 cm                                          3160800200005 
           Internal diameter=1.0 cm                               3160800200006 
           External diameter=3.0 cm                               3160800200007 
ENDBIB               5          0                                 3160800200008 
NOCOMMON             0          0                                 3160800200009 
DATA                 5        115                                 3160800200010 
ANG        E-MIN      E-MAX      DATA       ERR-T                 3160800200011 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             3160800200012 
        45.       1.45       1.85      189.4       29.2           3160800200013 
        45.       1.85       2.25       93.1       15.1           3160800200014 
        45.       2.25       2.65       59.6        9.2           3160800200015 
        45.       2.65       3.05       50.6        7.8           3160800200016 
        45.       3.05       3.45       38.9        3.5           3160800200017 
        45.       3.45       3.85       34.2        5.2           3160800200018 
        45.       3.85       4.25       28.7        2.7           3160800200019 
        45.       4.25       4.65       30.5        2.5           3160800200020 
        45.       4.65       5.05       22.9        1.9           3160800200021 
        45.       5.05       5.45       19.2        1.9           3160800200022 
        45.       5.45       5.85        22.        1.9           3160800200023 
        45.       5.85       6.25       14.7        1.2           3160800200024 
        45.       6.25       6.65       12.7         1.           3160800200025 
        45.       6.65       7.05        7.9        0.7           3160800200026 
        45.       7.05       7.45        11.        0.9           3160800200027 
        45.       7.45       7.85        8.8        0.7           3160800200028 
        45.       7.85       8.25       10.8        0.8           3160800200029 
        45.       8.25       8.65        7.2        0.6           3160800200030 
        45.       8.65       9.05        4.6        0.5           3160800200031 
        45.       9.05       9.45        8.6        0.7           3160800200032 
        45.       9.45       9.85       20.7        1.5           3160800200033 
        45.       9.85      10.25      348.2       25.2           3160800200034 
        45.      10.25      10.65       47.6        3.5           3160800200035 
        70.       1.45       1.85      164.2        25.           3160800200036 
        70.       1.85       2.25       80.8       13.2           3160800200037 
        70.       2.25       2.65       59.6        9.5           3160800200038 
        70.       2.65       3.05       43.1        6.7           3160800200039 
        70.       3.05       3.45       38.2        3.5           3160800200040 
        70.       3.45       3.85       33.3        4.8           3160800200041 
        70.       3.85       4.25       27.6        2.5           3160800200042 
        70.       4.25       4.65        24.         2.           3160800200043 
        70.       4.65       5.05       17.7        1.5           3160800200044 
        70.       5.05       5.45       15.6        1.6           3160800200045 
        70.       5.45       5.85        13.        1.1           3160800200046 
        70.       5.85       6.25       11.5         1.           3160800200047 
        70.       6.25       6.65        9.2        0.8           3160800200048 
        70.       6.65       7.05        7.7        0.6           3160800200049 
        70.       7.05       7.45        5.2        0.4           3160800200050 
        70.       7.45       7.85        6.8        0.5           3160800200051 
        70.       7.85       8.25        6.1        0.5           3160800200052 
        70.       8.25       8.65        5.1        0.4           3160800200053 
        70.       8.65       9.05         5.        0.4           3160800200054 
        70.       9.05       9.45        7.7        0.6           3160800200055 
        70.       9.45       9.85       20.4        1.4           3160800200056 
        70.       9.85      10.25      154.5       10.2           3160800200057 
        70.      10.25      10.65       31.2        2.4           3160800200058 
        90.       1.45       1.85      150.2       23.2           3160800200059 
        90.       1.85       2.25       86.7       13.3           3160800200060 
        90.       2.25       2.65       61.4        9.8           3160800200061 
        90.       2.65       3.05       47.2        7.8           3160800200062 
        90.       3.05       3.45       38.5         4.           3160800200063 
        90.       3.45       3.85       32.1        4.6           3160800200064 
        90.       3.85       4.25       25.1         2.           3160800200065 
        90.       4.25       4.65       27.2        2.2           3160800200066 
        90.       4.65       5.05       17.4        1.5           3160800200067 
        90.       5.05       5.45       16.3        1.5           3160800200068 
        90.       5.45       5.85       15.7        1.3           3160800200069 
        90.       5.85       6.25       13.1        1.2           3160800200070 
