ENTRY            P0130   20000815                             0000P013000000001 
SUBENT        P0130001   20000815                             0000P013000100001 
BIB                  9         12                                 P013000100002 
INSTITUTE  (1USAORL)                                              P013000100003 
REFERENCE  (J,PR,181,1428,1969)                                   P013000100004 
AUTHOR     (R.J.JASZCZAK,R.L.MACKLIN,J.H.GIBBONS)                 P013000100005 
TITLE      12C(d,n)13N Total Cross Section from 1.2 to 4.5 MeV    P013000100006 
FACILITY   (VDG,1USAORL)                                          P013000100007 
SAMPLE     Thin carbon targets on platinum backings (80.0 and     P013000100008 
            92.0 microg/cm2).                                     P013000100009 
DETECTOR   (D4PI) 4pi graphite sphere neutron detector.           P013000100010 
STATUS     (CPX) Data from CPX compiled in 1964/67 by             P013000100011 
            F.K. McGowan et al.                                   P013000100012 
HISTORY    (19830620T) Converted to EXFOR format by IAEA-NDS.     P013000100013 
           (20000815A) Converted to new date formats; BIB updated.P013000100014 
ENDBIB              12          0                                 P013000100015 
NOCOMMON             0          0                                 P013000100016 
ENDSUBENT           15          0                                 P013000199999 
SUBENT        P0130002   20000815                             0000P013000200001 
BIB                  2          2                                 P013000200002 
REACTION   (6-C-12(D,N)7-N-13,,SIG)                               P013000200003 
HISTORY    (20000815A) Data below 1.96 MeV deleted; energy wrong. P013000200004 
ENDBIB               2          0                                 P013000200005 
NOCOMMON             0          0                                 P013000200006 
DATA                 2        291                                 P013000200007 
EN         DATA                                                   P013000200008 
MEV        MB                                                     P013000200009 
    1.96     167.                                                 P013000200010 
    1.97     167.                                                 P013000200011 
    1.98     168.                                                 P013000200012 
    1.98     169.                                                 P013000200013 
    1.99     170.                                                 P013000200014 
    2.00     170.                                                 P013000200015 
    2.00     172.                                                 P013000200016 
    2.00     173.                                                 P013000200017 
    2.02     174.                                                 P013000200018 
    2.02     173.                                                 P013000200019 
    2.03     175.                                                 P013000200020 
    2.04     174.                                                 P013000200021 
    2.04     175.                                                 P013000200022 
    2.05     176.                                                 P013000200023 
    2.06     178.                                                 P013000200024 
    2.06     177.                                                 P013000200025 
    2.07     178.                                                 P013000200026 
    2.08     177.                                                 P013000200027 
    2.08     179.                                                 P013000200028 
    2.09     179.                                                 P013000200029 
    2.10     179.                                                 P013000200030 
    2.10     181.                                                 P013000200031 
    2.11     180.                                                 P013000200032 
    2.12     180.                                                 P013000200033 
    2.13     182.                                                 P013000200034 
    2.14     182.                                                 P013000200035 
    2.15     183.                                                 P013000200036 
    2.16     182.                                                 P013000200037 
    2.16     184.                                                 P013000200038 
    2.17     186.                                                 P013000200039 
    2.18     186.                                                 P013000200040 
    2.18     187.                                                 P013000200041 
    2.19     187.                                                 P013000200042 
    2.20     188.                                                 P013000200043 
    2.20     189.                                                 P013000200044 
    2.21     190.                                                 P013000200045 
    2.22     191.                                                 P013000200046 
    2.23     192.                                                 P013000200047 
    2.24     193.                                                 P013000200048 
    2.24     194.                                                 P013000200049 
    2.25     195.                                                 P013000200050 
    2.26     194.                                                 P013000200051 
    2.26     195.                                                 P013000200052 
    2.27     198.                                                 P013000200053 
    2.27     199.                                                 P013000200054 
    2.28     199.                                                 P013000200055 
    2.29     199.                                                 P013000200056 
    2.30     200.                                                 P013000200057 
    2.31     198.                                                 P013000200058 
    2.32     198.                                                 P013000200059 
    2.33     199.                                                 P013000200060 
    2.34     198.                                                 P013000200061 
    2.35     196.                                                 P013000200062 
    2.36     197.                                                 P013000200063 
    2.36     193.                                                 P013000200064 
    2.37     191.                                                 P013000200065 
