ENTRY            A1354   20240924                             A119A1354000    1 
SUBENT        A1354001   20240924                             A119A1354001    1 
BIB                  8         12                                 A1354001    2 
TITLE      Charge symmetry in the mirror reactions 6Li(d,p)7Li    A1354001    3 
           and 6Li(d,n)7Be                                        A1354001    4 
AUTHOR     (M.Birk,G.Goldring,P.Hillman,R.Moreh)                  A1354001    5 
REFERENCE  (J,NP,41,58,1963)                                      A1354001    6 
INSTITUTE  (3ISLWZI)                                              A1354001    7 
FACILITY   (VDG,3ISLWZI)                                          A1354001    8 
SAMPLE     Layer 6Li about 100 ug/cm2 thick covered with a        A1354001    9 
           very thin layer of evaporated gold.                    A1354001   10 
METHOD     (PHD)                                                  A1354001   11 
HISTORY    (19800710C) Compilation produced by Arzamas RFNC-VNIIEFA1354001   12 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A1354001   13 
           (20240924A) SD: Corrections in all Subents.            A1354001   14 
ENDBIB              12          0                                 A1354001   15 
NOCOMMON             0          0                                 A1354001   16 
ENDSUBENT           15          0                                 A135400199999 
SUBENT        A1354002   20240924                             A119A1354002    1 
BIB                  5          8                                 A1354002    2 
REACTION   (3-LI-6(D,P)3-LI-7,PAR,DA,,REL)                        A1354002    3 
            No explanation of relative units is given.            A1354002    4 
DETECTOR   (SOLST) RCA 20 mm2 solid state detector collimated to  A1354002    5 
           5 mm2.                                                 A1354002    6 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1354002    7 
STATUS     (CURVE,,M.Birk+,J,NP,41,58,1963) Fig 4                 A1354002    8 
HISTORY    (20240924A) SD: SF9=EXP deleted from REACTION code.    A1354002    9 
           ANG-ERR -> ANG-ERR-D.                                  A1354002   10 
ENDBIB               8          0                                 A1354002   11 
COMMON               1          3                                 A1354002   12 
ANG-ERR-D                                                         A1354002   13 
ADEG                                                              A1354002   14 
 1.0                                                              A1354002   15 
ENDCOMMON            3          0                                 A1354002   16 
DATA                 5        128                                 A1354002   17 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              A1354002   18 
        1.4         0.      149.1  1.448E+04  6.476E+02           A1354002   59 
        1.4       0.48        2.7  7.566E+03  5.001E+02           A1354002   60 
        1.4       0.48       21.6  1.036E+04  2.857E+02           A1354002   61 
        1.4       0.48       43.8  1.237E+04  7.140E+01           A1354002   62 
        1.4       0.48       65.6  9.593E+03  2.861E+02           A1354002   63 
        1.4       0.48       85.5  7.316E+03  5.715E+02           A1354002   64 
        1.4       0.48      111.1  6.469E+03  7.140E+01           A1354002   65 
        1.4       0.48      130.1  6.121E+03  7.140E+01           A1354002   66 
        1.4       0.48      148.8  4.485E+03  5.010E+02           A1354002   67 
        1.8         0.        2.4  1.349E+04  2.919E+02           A1354002   68 
        1.8         0.       21.1  1.842E+04  3.648E+02           A1354002   69 
        1.8         0.       43.2  1.874E+04  5.120E+02           A1354002   70 
        1.8         0.       65.3  1.250E+04  7.300E+01           A1354002   71 
        1.8         0.       85.5  1.078E+04  2.906E+02           A1354002   72 
        1.8         0.      111.9  1.184E+04  7.300E+01           A1354002   73 
        1.8         0.      130.4  1.334E+04  7.300E+01           A1354002   74 
        1.8         0.      148.9  1.382E+04  2.919E+02           A1354002   75 
        1.8       0.48        2.1  7.440E+03  5.765E+02           A1354002   76 
        1.8       0.48       21.1  1.292E+04  3.597E+02           A1354002   77 
        1.8       0.48       43.0  1.523E+04  2.878E+02           A1354002   78 
        1.8       0.48       64.9  1.013E+04  5.756E+02           A1354002   79 
        1.8       0.48       85.6  7.478E+03  5.765E+02           A1354002   80 
        1.8       0.48      111.3  6.697E+03  2.155E+02           A1354002   81 
        1.8       0.48      130.6  6.922E+03  2.881E+02           A1354002   82 
        1.8       0.48      148.7  5.202E+03  5.759E+02           A1354002   83 
         2.         0.        3.1  1.344E+04  7.810E+01           A1354002   84 
         2.         0.       21.0  1.832E+04  7.810E+01           A1354002   85 
         2.         0.       43.9  1.891E+04  7.810E+01           A1354002   86 
         2.         0.       65.2  1.177E+04  2.331E+02           A1354002   87 
         2.         0.       85.3  9.538E+03  5.484E+02           A1354002   88 
         2.         0.      111.7  1.129E+04  7.810E+01           A1354002   89 
         2.         0.      130.7  1.282E+04  7.810E+01           A1354002   90 
         2.         0.      149.1  1.310E+04  3.867E+02           A1354002   91 
         2.       0.48        2.3  8.672E+03  3.128E+02           A1354002   92 
         2.       0.48       21.5  1.399E+04  3.122E+02           A1354002   93 
         2.       0.48       44.0  1.650E+04  7.031E+02           A1354002   94 
         2.       0.48       65.6  9.950E+03  7.035E+02           A1354002   95 
         2.       0.48       85.8  7.224E+03  5.469E+02           A1354002   96 
         2.       0.48      111.6  6.923E+03  7.810E+01           A1354002   97 
         2.       0.48      131.7  6.619E+03  7.810E+01           A1354002   98 
         2.       0.48      149.4  5.377E+03  5.469E+02           A1354002   99 
        2.3         0.        2.2  1.035E+04  2.312E+02           A1354002  100 
        2.3         0.       22.3  1.799E+04  3.114E+02           A1354002  101 
        2.3         0.       43.6  1.795E+04  3.101E+02           A1354002  102 
        2.3         0.       65.7  9.229E+03  3.087E+02           A1354002  103 
        2.3         0.       85.8  7.641E+03  7.750E+01           A1354002  104 
        2.3         0.      111.4  1.016E+04  7.750E+01           A1354002  105 
        2.3         0.      130.9  1.105E+04  3.114E+02           A1354002  106 
        2.3         0.      149.3  1.071E+04  3.087E+02           A1354002  107 
        2.3       0.48        2.1  7.733E+03  3.135E+02           A1354002  108 
        2.3       0.48       22.5  1.517E+04  3.906E+02           A1354002  109 
        2.3       0.48       43.2  1.650E+04  6.250E+02           A1354002  110 
        2.3       0.48       65.6  8.934E+03  3.910E+02           A1354002  111 
        2.3       0.48       85.8  6.208E+03  7.810E+01           A1354002  112 
        2.3       0.48      111.1  6.005E+03  3.063E+02           A1354002  113 
        2.3       0.48      131.0  6.150E+03  3.125E+02           A1354002  114 
        2.3       0.48      149.1  5.298E+03  2.354E+02           A1354002  115 
        2.6         0.        3.1  1.101E+04  2.343E+02           A1354002  116 
        2.6         0.       21.1  1.879E+04  3.124E+02           A1354002  117 
        2.6         0.       43.1  1.836E+04  7.015E+02           A1354002  118 
        2.6         0.       64.6  9.573E+03  3.905E+02           A1354002  119 
        2.6         0.       86.4  8.051E+03  5.453E+02           A1354002  120 
        2.6         0.      111.8  1.082E+04  7.810E+01           A1354002  121 
        2.6         0.      131.1  1.196E+04  7.810E+01           A1354002  122 
        2.6         0.      148.9  1.169E+04  2.343E+02           A1354002  123 
        2.6       0.48        2.8  9.375E+03  5.478E+02           A1354002  124 
        2.6       0.48       21.5  1.743E+04  3.909E+02           A1354002  125 
        2.6       0.48       43.8  1.837E+04  6.253E+02           A1354002  126 
        2.6       0.48       65.2  9.638E+03  7.031E+02           A1354002  127 
        2.6       0.48       86.2  6.913E+03  3.135E+02           A1354002  128 
        2.6       0.48      111.9  6.611E+03  3.128E+02           A1354002  129 
        2.6       0.48      130.9  6.619E+03  7.810E+01           A1354002  130 
        2.6       0.48      149.5  5.689E+03  5.472E+02           A1354002  131 
        2.9         0.        2.9  6.495E+03  3.948E+02           A1354002  132 
        2.9         0.       22.0  1.465E+04  3.935E+02           A1354002  133 
        2.9         0.       43.9  1.366E+04  7.870E+01           A1354002  134 
