ENTRY            A1183   19990319                             0000A118300000001 
SUBENT        A1183001   19990319                             0000A118300100001 
BIB                  8         11                                 A118300100002 
INSTITUTE  (2SWTETH)                                              A118300100003 
REFERENCE  (J,NP/A,324,(1),99,197907)                             A118300100004 
AUTHOR     (B.JENNY,W.GRUEBLER,V.KONIG,P.A.SCHMELZBACH,R.RISLER,  A118300100005 
           H.R.BURGI,D.O.BOERMA)                                  A118300100006 
TITLE      Analyzing power and cross-section measurements for     A118300100007 
           3He(d,d)3He scattering                                 A118300100008 
FACILITY   (VDGT)                                                 A118300100009 
SAMPLE     3He gas target (purity 99.9%)                          A118300100010 
DETECTOR   (SOLST) SILICON SURFACE-BARRIER                        A118300100011 
HISTORY    (19830818C) Compilation produced by Arzamas RFNC-VNIIEFA118300100012 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A118300100013 
ENDBIB              11          0                                 A118300100014 
NOCOMMON             0          0                                 A118300100015 
ENDSUBENT           14          0                                 A118300199999 
SUBENT        A1183002   19990319                             0000A118300200001 
BIB                  4          8                                 A118300200002 
REACTION   (2-HE-3(D,EL)2-HE-3,,DA,,,EXP)                         A118300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A118300200004 
           (DATA-ERR) Digitizing error                            A118300200005 
           (DATA-ERR1) Absolute error above 5 MeV                 A118300200006 
           (DATA-ERR2) Absolute error later 5 MeV                 A118300200007 
FLAG       (1.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,D,EXP)           A118300200008 
           (2.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,HE3,EXP)         A118300200009 
STATUS     (CURVE) fig 1                                          A118300200010 
ENDBIB               8          0                                 A118300200011 
COMMON               3          3                                 A118300200012 
ANG-ERR    DATA-ERR1  DATA-ERR2                                   A118300200013 
ADEG       PER-CENT   PER-CENT                                    A118300200014 
  1.         3.         7.                                        A118300200015 
ENDCOMMON            3          0                                 A118300200016 
DATA                 5        376                                 A118300200017 
EN         ANG-CM     DATA-CM    DATA-ERR   FLAG                  A118300200018 
     5.        47.51     106.3        4.517      2.               A118300200101 
     5.        51.98      81.23       3.453      2.               A118300200102 
     5.        55.33      65.54       2.786      2.               A118300200103 
     5.        59.83      52.81       2.245      2.               A118300200104 
     5.        63.23      47.35       2.012      2.               A118300200105 
     5.        66.64      42.45       1.804      2.               A118300200106 
     5.        71.21      40.08       1.703      2.               A118300200107 
     5.        74.67      39.93       1.697      2.               A118300200108 
     5.        78.15      41.94       1.783      2.               A118300200109 
     5.        82.78      44.01       1.87       2.               A118300200110 
     5.        86.24      43.85       1.864      2.               A118300200111 
     5.        90.84      43.64       1.855      2.               A118300200112 
     5.        94.29      43.48       1.848      2.               A118300200113 
     5.        97.72      41.1        1.747      2.               A118300200114 
     5.       100.        38.89       1.653      2.               A118300200115 
     5.       103.4       33.08       1.406      2.               A118300200116 
     5.       106.8       32.96       1.401      2.               A118300200117 
     5.       110.3       31.15       1.324      2.               A118300200118 
     5.       112.6       31.07       1.321      2.               A118300200119 
     5.       117.1       26.4        1.122      1.               A118300200120 
     5.       119.5       30.85       1.311      2.               A118300200121 
     5.       120.7       36.1        1.534      1.               A118300200122 
     5.       126.5       42.04       1.787      2.               A118300200123 
     5.       126.7       54.73       2.326      1.               A118300200124 
     5.       128.9       51.79       2.201      2.               A118300200125 
     5.       131.5       83.07       3.531      1.               A118300200126 
     5.       136.3      126.1        5.359      1.               A118300200127 
     5.       142.2      181.4        7.708      1.               A118300200128 
     5.       147.       261.1       11.1        1.               A118300200129 
     5.       152.9      337.9       14.36       1.               A118300200130 
     5.       156.5      438.4       18.63       1.               A118300200131 
     5.       163.5      509.9       21.67       1.               A118300200132 
     6.        13.12    3403.        92.1        2.               A118300200133 
     6.        18.39     954.6       25.83       2.               A118300200134 
     6.        21.59     505.4       13.68       2.               A118300200135 
     6.        26.08     386.7       10.47       2.               A118300200136 
     6.        29.43     296.2        8.017      2.               A118300200137 
     6.        33.97     251.9        6.818      2.               A118300200138 
     6.        37.33     203.4        5.505      2.               A118300200139 
