ENTRY            A0089   20220303                             A099A0089  0    1 
SUBENT        A0089001   20220303                             A099A0089  1    1 
BIB                 11         34                                 A0089  1    2 
TITLE      Cross section and resonance strength measurements of   A0089  1    3 
           19-F(p,alpha+gamma)16-O at Ep=200-800 keV.             A0089  1    4 
AUTHOR     (K.Spyrou, C.Chronidou, S.Harssopulos, S.Kossionides,  A0089  1    5 
           T.Paradellis, C.Rolfs, W.H.Schulte, L.Borucki)         A0089  1    6 
INSTITUTE  (2GRCATH) Institute of nuclear physics, laboratory for A0089  1    7 
           material analysis.                                     A0089  1    8 
           (2GERBOC)                                              A0089  1    9 
REFERENCE  (J,EPJ/A,7,79,2000)                                    A0089  1   10 
FACILITY   (CCW,2GERBOC) 450-keV accelerator                      A0089  1   11 
           (VDGT,2GERBOC) 4- MeV tandem.                          A0089  1   12 
METHOD     (BCINT,SITA,GSPEC)                                     A0089  1   13 
PART-DET   (G) Three gamma-rays of energy 6130, 6917 and 7117 keV A0089  1   14 
           are expected in the investigated reaction which        A0089  1   15 
           correspond to the (p,alpha2),(p,alpha3), and (p,alpha4)A0089  1   16 
           branches, respectively.                                A0089  1   17 
           Most of the resonances at 300-800 keV deexcitate       A0089  1   18 
           predominantly through the (p,a/2) branch.              A0089  1   19 
DETECTOR   (D4PI,NAICR)The gamma-rays have been detected by a     A0089  1   20 
           12"x12" NaI(Tl) crystal with a central borehole of 35  A0089  1   21 
           mm diameter and a 0.5 mm aluminium wall thickness.     A0089  1   22 
           A target could Be placed at the center of the crystal. A0089  1   23 
           Due to the 4-pi geometry covered by the summing        A0089  1   24 
           crystal, the detected gamma-rays are angle integrated  A0089  1   25 
           leading to the ability of measuring directly the total A0089  1   26 
           cross section.                                         A0089  1   27 
ERR-ANALYS (ERR-1) Estimated error of accumulated charge on targetA0089  1   28 
ADD-RES    (STRUC) Energies and widths of observed resonances.    A0089  1   29 
           Influence of unobserved 11-keV resonance.              A0089  1   30 
HISTORY    (20000622C)                                            A0089  1   31 
           (20000707R)                                            A0089  1   32 
           (20010613A) Remarks of V.Mclane are included.          A0089  1   33 
           (20010614U) Last checking has been done.               A0089  1   34 
           (20200312A) SD: Corrections in all Subents.            A0089  1   35 
           (20220303A) SD: Correction in Subent 004.              A0089  1   36 
ENDBIB              34          0                                 A0089  1   37 
COMMON               1          3                                 A0089  1   38 
ERR-1                                                             A0089  1   39 
PER-CENT                                                          A0089  1   40 
         3.                                                       A0089  1   41 
ENDCOMMON            3          0                                 A0089  1   42 
ENDSUBENT           41          0                                 A0089  199999 
SUBENT        A0089002   20200312                             A094A0089  2    1 
BIB                  7         16                                 A0089  2    2 
REACTION   (9-F-19(P,A)8-O-16,,SIG,G,REL)  Figure 3               A0089  2    3 
COMMENT    - by compiler - authors' data are presented as         A0089  2    4 
           cross section (in millibarns) multiplied by target     A0089  2    5 
           thickness (in mu-g/cm**2).                             A0089  2    6 
SAMPLE     The experiments were carried out using three thin      A0089  2    7 
           fluorine targets, all of them produced by evaporation  A0089  2    8 
           natural Ca-F(2) powder on a clean copper backing.      A0089  2    9 
           The thin targets were used to obtain the excitation    A0089  2   10 
           function stepwise for proton energies 417-800, 217-435,A0089  2   11 
           and 200-223 keV.                                       A0089  2   12 
FLAG       (1.) Target #1 was used.                               A0089  2   13 
           (2.) Target #2 was used                                A0089  2   14 
           (3.) target #3 was used.                               A0089  2   15 
ERR-ANALYS (ERR-T) Total uncertainty                              A0089  2   16 
STATUS     (TABLE) Data from author                               A0089  2   17 
HISTORY    (20200312U) SD: STATUS added. ERR-ANALYS updated.      A0089  2   18 
ENDBIB              16          0                                 A0089  2   19 
NOCOMMON             0          0                                 A0089  2   20 
DATA                 4        166                                 A0089  2   21 
EN         DATA       ERR-T      FLAG                             A0089  2   22 
KEV        ARB-UNITS  ARB-UNITS  NO-DIM                           A0089  2   23 
       195.    0.00019    0.00018         3.                      A0089  2   24 
       205.    0.00066    0.00019         3.                      A0089  2   25 
       210.    0.00178    0.00027         3.                      A0089  2   26 
       212.    0.00523    0.00214         2.                      A0089  2   27 
       213.    0.00302    0.00063         3.                      A0089  2   28 
       215.    0.00521    0.00084         3.                      A0089  2   29 
       215.    0.01091    0.00248         2.                      A0089  2   30 
       216.    0.00999    0.00138         3.                      A0089  2   31 
       216.    0.01219    0.00265         2.                      A0089  2   32 
       217.     0.0167    0.00177         3.                      A0089  2   33 
       217.    0.02111    0.00333         2.                      A0089  2   34 
       218.    0.05145    0.00494         3.                      A0089  2   35 
       218.    0.06284    0.00716         2.                      A0089  2   36 
       219.    0.18845    0.01837         2.                      A0089  2   37 
       219.    0.20607    0.01909         3.                      A0089  2   38 
       220.    0.24061    0.02315         2.                      A0089  2   39 
       220.    0.27392    0.02513         3.                      A0089  2   40 
       221.    0.20444    0.01883         3.                      A0089  2   41 
       221.    0.26041      0.025         2.                      A0089  2   42 
       222.    0.08684    0.00819         3.                      A0089  2   43 
       222.    0.21187    0.02066         2.                      A0089  2   44 
       223.    0.02688    0.00276         3.                      A0089  2   45 
       223.    0.11731    0.01216         2.                      A0089  2   46 
       224.    0.01194     0.0015         3.                      A0089  2   47 
       224.    0.04771    0.00584         2.                      A0089  2   48 
       225.    0.00777    0.00104         3.                      A0089  2   49 
       225.    0.02118    0.00318         2.                      A0089  2   50 
       226.     0.0059    0.00087         3.                      A0089  2   51 
       226.    0.01339    0.00261         2.                      A0089  2   52 
       227.    0.00396    0.00082         3.                      A0089  2   53 
       227.    0.00834    0.00203         2.                      A0089  2   54 
       228.    0.00269    0.00057         3.                      A0089  2   55 
       229.    0.00534    0.00188         2.                      A0089  2   56 
       230.     0.0061    0.00191         2.                      A0089  2   57 
       231.     0.0078      0.002         2.                      A0089  2   58 
       232.    0.02712    0.00373         2.                      A0089  2   59 
       233.    0.03651     0.0046         2.                      A0089  2   60 
       234.    0.03252    0.00412         2.                      A0089  2   61 
       235.    0.02712    0.00367         2.                      A0089  2   62 
       236.    0.01816    0.00286         2.                      A0089  2   63 
       237.    0.00703    0.00191         2.                      A0089  2   64 
       238.    0.00608    0.00181         2.                      A0089  2   65 
       240.    0.00567    0.00171         2.                      A0089  2   66 
       245.    0.00801    0.00189         2.                      A0089  2   67 
       250.    0.00844    0.00192         2.                      A0089  2   68 
       260.    0.01514    0.00251         2.                      A0089  2   69 
       270.    0.02323    0.00324         2.                      A0089  2   70 
       280.    0.04216    0.00496         2.                      A0089  2   71 
       290.    0.08316    0.00862         2.                      A0089  2   72 
       300.    0.18223    0.01761         2.                      A0089  2   73 
       310.    0.47195    0.04372         2.                      A0089  2   74 
       315.    0.85165    0.07789         2.                      A0089  2   75 
       320.    1.72737    0.15694         2.                      A0089  2   76 
       325.    4.61342    0.41709         2.                      A0089  2   77 
       327.    7.99195    0.72098         2.                      A0089  2   78 
       329.   16.21852    1.46195         2.                      A0089  2   79 
       330.   25.48431    2.29658         2.                      A0089  2   80 
       331.    46.0086    4.14421         2.                      A0089  2   81 
       332.  125.01755   11.25993         2.                      A0089  2   82 
       333.  237.70581   21.40829         2.                      A0089  2   83 
       334.  280.05031   25.22483         2.                      A0089  2   84 
       335.  287.38842   25.88692         2.                      A0089  2   85 
       336.  212.14065    19.1139         2.                      A0089  2   86 
       337.  116.84189   10.53047         2.                      A0089  2   87 
       338.   65.10655    5.86982         2.                      A0089  2   88 
       339.   39.42613    3.55592         2.                      A0089  2   89 
