ENTRY            A1419   19990323                             0000A141900000001 
SUBENT        A1419001   19990323                             0000A141900100001 
BIB                 11         31                                 A141900100002 
INSTITUTE  (2SWDLND)                                              A141900100003 
REFERENCE  (J,AF,35,(34),411,196702)                              A141900100004 
AUTHOR     (L.NILSSON,I.BERGQVIST)                                A141900100005 
TITLE      Yields and angular distributions of gamma rays from theA141900100006 
           7Li(p,gamma)8Be reaction                               A141900100007 
FACILITY   (VDG)                                                  A141900100008 
SAMPLE     Natural Lithium on to Tantalum Discs                   A141900100009 
METHOD     (TOF,PHD)                                              A141900100010 
DETECTOR   (NAICR) Scintillation spectrometer 12.7 cm in diameter A141900100011 
           10.2 cm long                                           A141900100012 
ANALYSIS   The experimental angular distributions were analysed   A141900100013 
           by least-squares fitting of Legendre polynomial        A141900100014 
           expansions to the experimental points theoretical      A141900100015 
           angular distributions are given by                     A141900100016 
           w(theta)=a0*(1+a1*p1(cos(theta))+a2*p2(cos(theta))+    A141900100017 
                 a3*p3(cos(theta))+...)                           A141900100018 
ERR-ANALYS (DATA-ERR1) Relative error in the gamma-0 Intensity    A141900100019 
           below the neutron threshold.                           A141900100020 
           (DATA-ERR2) Relative error in the gamma-0 intensity    A141900100021 
           above the neutron threshold.                           A141900100022 
           (DATA-ERR3) Relative error in the gamma-1 intensity    A141900100023 
           below the neutron threshold.                           A141900100024 
           (DATA-ERR4) Relative error in the gamma-1 intensity    A141900100025 
           above the neutron threshold.                           A141900100026 
           The uncertainties in the results of the gamma ray      A141900100027 
           intensities originate mainly from uncertainties in the A141900100028 
           determination of the spectrometer response function andA141900100029 
           in pulse-hight calibration and from statistical  errorsA141900100030 
HISTORY    (19800901C) Compilation Produced by RFNC-VNIIEF Sarov  A141900100031 
           (19970924U) Last checking has been done.               A141900100032 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A141900100033 
ENDBIB              31          0                                 A141900100034 
COMMON               4          3                                 A141900100035 
DATA-ERR1  DATA-ERR2  DATA-ERR3  DATA-ERR4                        A141900100036 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         A141900100037 
         5.         7.         3.         4.                      A141900100038 
ENDCOMMON            3          0                                 A141900100039 
ENDSUBENT           38          0                                 A141900199999 
SUBENT        A1419002   19990323                             0000A141900200001 
BIB                  4          6                                 A141900200002 
REACTION   (3-LI-7(P,G)4-BE-8,PAR,DA,,REL,EXP)                    A141900200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A141900200004 
           (DATA-ERR) From graphic bars and the digitizing        A141900200005 
           The error bars were not discussed.                     A141900200006 
COMMENT    The curves are normalized to unity at 90 degr.         A141900200007 
STATUS     (CURVE) Fig 5 left                                     A141900200008 
ENDBIB               6          0                                 A141900200009 
COMMON               1          3                                 A141900200010 
ANG-ERR                                                           A141900200011 
ADEG                                                              A141900200012 
  1.                                                              A141900200013 
ENDCOMMON            3          0                                 A141900200014 
DATA                 5        114                                 A141900200015 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              A141900200016 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             A141900200017 
     1.4        0.         1.491      2.825      0.1763           A141900200018 
     1.4        0.        30.5        2.189      0.1768           A141900200019 
     1.4        0.        44.97       1.901      0.1474           A141900200020 
     1.4        0.        60.87       1.613      0.1175           A141900200021 
     1.4        0.        75.5        1.148      0.117            A141900200022 
     1.4        0.        91.35       0.9188     0.0577           A141900200023 
     1.4        0.       105.6        0.9242     0.047            A141900200024 
     1.4        0.       120.3        0.8419     0.0267           A141900200025 
     1.4        0.       134.1        0.8761     0.0267           A141900200026 
     1.4        2.9        2.117      1.779      0.0298           A141900200027 
     1.4        2.9       31.72       1.678      0.0298           A141900200028 
     1.4        2.9       47.36       1.461      0.0298           A141900200029 
     1.4        2.9       61.51       1.354      0.0298           A141900200030 
     1.4        2.9       78.56       1.138      0.0298           A141900200031 
     1.4        2.9       91.37       0.9474     0.0298           A141900200032 
     1.4        2.9      105.3        1.091      0.0298           A141900200033 
     1.4        2.9      120.7        1.152      0.0298           A141900200034 
     1.4        2.9      136.1        1.268      0.0298           A141900200035 
     1.6        0.         0.5293     2.402      0.1137           A141900200036 
     1.6        0.        29.23       2.157      0.1429           A141900200037 
     1.6        0.        48.25       1.651      0.1435           A141900200038 
     1.6        0.        68.45       1.373      0.0571           A141900200039 
     1.6        0.        87.53       0.8099     0.0241           A141900200040 
     1.6        0.       105.7        1.161      0.0584           A141900200041 
     1.6        0.       125.7        1.083      0.0241           A141900200042 
     1.6        0.       145.6        1.063      0.1143           A141900200043 
     1.6        2.9        4.049      1.807      0.0299           A141900200044 
     1.6        2.9       30.86       1.677      0.0299           A141900200045 
     1.6        2.9       52.12       1.461      0.0299           A141900200046 
     1.6        2.9       70.57       1.245      0.0299           A141900200047 
     1.6        2.9       91.83       1.029      0.0299           A141900200048 
     1.6        2.9      109.9        1.258      0.0299           A141900200049 
     1.6        2.9      129.5        1.319      0.0299           A141900200050 
     1.6        2.9      150.4        1.548      0.0299           A141900200051 
     1.8        0.         0.1869     2.287      0.1428           A141900200052 
     1.8        0.        29.8        2.155      0.1428           A141900200053 
     1.8        0.        48.75       1.648      0.1433           A141900200054 
     1.8        0.        69.05       1.227      0.0857           A141900200055 
     1.8        0.        89.29       0.8626     0.0571           A141900200056 
     1.8        0.       107.6        1.098      0.0576           A141900200057 
     1.8        0.       127.         1.04       0.1215           A141900200058 
     1.8        0.       148.6        1.284      0.1142           A141900200059 
     1.8        2.9        1.426      1.687      0.0307           A141900200060 
     1.8        2.9       29.65       1.553      0.0307           A141900200061 
     1.8        2.9       49.39       1.474      0.0307           A141900200062 
     1.8        2.9       69.34       1.138      0.0307           A141900200063 
     1.8        2.9       90.57       0.9448     0.0307           A141900200064 
     1.8        2.9      108.7        1.179      0.0307           A141900200065 
     1.8        2.9      128.3        1.272      0.0307           A141900200066 
     1.8        2.9      149.3        1.279      0.0307           A141900200067 
     2.         0.         0.1858     2.195      0.1948           A141900200068 
