ENTRY            A0880   20120326                             A077A088000000001 
SUBENT        A0880001   20120326                             A077A088000100001 
BIB                 11         20                                 A088000100002 
TITLE      Nuclear level densities in 47V, 48V, 49V, 53Mn and 54MnA088000100003 
           from neutron evaporation spectra.                      A088000100004 
AUTHOR     (B.V.Zhuravlev, A.A.Lychagin, N.N.Titarenko,           A088000100005 
           V.G.Demenkov, V.I.Trykova)                             A088000100006 
INSTITUTE  (4RUSFEI)                                              A088000100007 
REFERENCE  (J,YF,74,355,2011)                                     A088000100008 
           (J,PAN,74,335,2011)                                    A088000100009 
REL-REF    (O,,B.V.Zhuravlev+,S,ISINN-18,225,2011)                A088000100010 
           Same data were reported                                A088000100011 
FACILITY   (VDGT,4RUSFEI) The pulsed tandem accelerator EGP-15    A088000100012 
                         of IPPE.                                 A088000100013 
DETECTOR   (SCIN) stilbene crystal (d=40 mm, h=40 mm) and FEU-43  A088000100014 
           photomultiplier.                                       A088000100015 
METHOD     (TOF)                                                  A088000100016 
SAMPLE     Self-supporting metallic foil 1.34, 0.88, 1.96, 6.30,  A088000100017 
           1.37 and 2.00 mg/cm*2 in thickness and enriched to     A088000100018 
           76.1, 97.8, 60.7, 98.6, 92.8 and 79.7% in 47Ti, 48Ti,  A088000100019 
            49Ti, 52Cr, 53Cr and 54Cr, respectively.              A088000100020 
ADD-RES    (N-SPC)                                                A088000100021 
HISTORY    (20110628C) SB                                         A088000100022 
ENDBIB              20          0                                 A088000100023 
NOCOMMON             0          0                                 A088000100024 
ENDSUBENT           23          0                                 A088000199999 
SUBENT        A0880002   20110726                             A072A088000200001 
BIB                  3          5                                 A088000200002 
REACTION   (22-TI-49(P,N)23-V-49,,DE)                             A088000200003 
EN-SEC     (E,N)                                                  A088000200004 
STATUS     (TABLE).Table data were received from Dr.A.A.Lychagin  A088000200005 
           for fig.1 of J,PAN,74,335,2011                         A088000200006 
           (APRVD).By DR.A.A.Lychagin                             A088000200007 
ENDBIB               5          0                                 A088000200008 
NOCOMMON             0          0                                 A088000200009 
DATA                 4        664                                 A088000200010 
EN         E          DATA       DATA-ERR                         A088000200011 
MEV        MEV        MB/MEV     MB/MEV                           A088000200012 
       8.08      0.375      132.6       11.9                      A088000200013 
       8.08      0.400      144.5       11.6                      A088000200014 
       8.08      0.425      145.5       12.4                      A088000200015 
       8.08      0.450      152.3       12.2                      A088000200016 
       8.08      0.475      177.1       14.2                      A088000200017 
       8.08      0.500      159.5       11.2                      A088000200018 
       8.08      0.525      107.4       7.52                      A088000200019 
       8.08      0.550      131.3       9.19                      A088000200020 
       8.08      0.575      202.5       12.1                      A088000200021 
       8.08      0.600      231.4       13.9                      A088000200022 
       8.08      0.625      221.3       13.3                      A088000200023 
       8.08      0.650      208.5       12.1                      A088000200024 
       8.08      0.675      195.9       11.2                      A088000200025 
       8.08      0.700      156.9       8.79                      A088000200026 
       8.08      0.725      148.9       8.18                      A088000200027 
       8.08      0.750      185.9       10.2                      A088000200028 
       8.08      0.775      183.1       9.88                      A088000200029 
       8.08      0.800      178.1       9.62                      A088000200030 
       8.08      0.825      199.1       10.6                      A088000200031 
       8.08      0.850      221.4       11.7                      A088000200032 
       8.08      0.875      230.7       12.0                      A088000200033 
       8.08      0.900      205.3       10.7                      A088000200034 
       8.08      0.925      190.7       9.73                      A088000200035 
       8.08      0.950      194.3       9.91                      A088000200036 
       8.08      0.975      173.6       8.68                      A088000200037 
       8.08      1.000      170.9       8.37                      A088000200038 
       8.08      1.025      199.5       9.78                      A088000200039 
       8.08      1.050      213.4       10.3                      A088000200040 
       8.08      1.075      204.0       9.80                      A088000200041 
       8.08      1.100      209.4       9.84                      A088000200042 
       8.08      1.125      240.6       11.3                      A088000200043 
       8.08      1.150      251.3       11.7                      A088000200044 
       8.08      1.175      234.0       10.9                      A088000200045 
       8.08      1.200      216.4       9.95                      A088000200046 
       8.08      1.225      211.0       9.71                      A088000200047 
       8.08      1.250      215.1       9.90                      A088000200048 
       8.08      1.275      211.0       9.71                      A088000200049 
       8.08      1.300      194.5       8.95                      A088000200050 
       8.08      1.325      187.7       8.64                      A088000200051 
