ENTRY            A0712   20240918                             A118A0712000    1 
SUBENT        A0712001   20240918                             A118A0712001    1 
BIB                 13         33                                 A0712001    2 
TITLE      Elastic scattering and fusion of 9Be+208Pb:  density   A0712001    3 
           function dependence of the double folding              A0712001    4 
           renormalization                                        A0712001    5 
AUTHOR     (R.J.Woolliscroft, B.R.Fulton, R.L.Cowin, M.Dasgupta,  A0712001    6 
           D.J.Hinde, C.R.Morton, A.C.Berriman)                   A0712001    7 
REFERENCE  (J,PR/C,69,044612,2004)                                A0712001    8 
INSTITUTE  (2UK BIR,3AULCBR,2UK YRK)                              A0712001    9 
FACILITY   (VDGT,3AULCBR) the 14UD Pelletron.                     A0712001   10 
SAMPLE     180 mug/cm2 208-Pb-Cl2 on a 15 mug/cm2 natural carbon  A0712001   11 
           backing.                                               A0712001   12 
MONITOR    (82-PB-208(4-BE-9,EL)82-PB-208,,DA,,RTH)               A0712001   13 
           To provide an absolute normalization for the scatteringA0712001   14 
           yield, two monitor detectors were used. These were     A0712001   15 
           silicon surface barrier detectors, positioned at       A0712001   16 
           ~15 deg. to the beam.                                  A0712001   17 
DETECTOR   (TELES,SIBAR) Three silicon position sensitive         A0712001   18 
           detector dE-E telescopes were employed. The passing    A0712001   19 
            dE detectors were 69 um thick, and the stopping       A0712001   20 
           E-detectors were 500 um thick.                         A0712001   21 
METHOD     (SITA,EXTB,EDE)                                        A0712001   22 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty. A0712001   23 
ADD-RES    (POT) optical model parameters were deduced at some    A0712001   24 
           density model of 9-Be.                                 A0712001   25 
           Fusion cross section was calculated too.               A0712001   26 
STATUS     (TABLE,,R.J.Woolliscroft+,J,PR/C,69,044612,2004) Data  A0712001   27 
           tables in supplied material: E-PRVCAN-69-055404.       A0712001   28 
HISTORY    (20041130C) by F.Ch                                    A0712001   29 
           (20041125R)                                            A0712001   30 
           (20090921A) BIB section updated. Correction was done,  A0712001   31 
           according V.Zerkin remarks-missing pointer near        A0712001   32 
           DATA-Header and other new Exfor rules.                 A0712001   33 
           (20240918A) SD: SF8=RTH added to MONITOR reaction code.A0712001   34 
           BIB updated. Correction in Subent 002.                 A0712001   35 
ENDBIB              33          0                                 A0712001   36 
NOCOMMON             0          0                                 A0712001   37 
ENDSUBENT           36          0                                 A071200199999 
SUBENT        A0712002   20240918                             A118A0712002    1 
BIB                  2          3                                 A0712002    2 
REACTION  E(82-PB-208(4-BE-9,EL)82-PB-208,,DA)                    A0712002    3 
          R(82-PB-208(4-BE-9,EL)82-PB-208,,DA,,RTH)               A0712002    4 
HISTORY    (20240918A) SD: DATA-ERR pointer was changed (R -> E). A0712002    5 
ENDBIB               3          0                                 A0712002    6 
NOCOMMON             0          0                                 A0712002    7 
DATA                 5        578                                 A0712002    8 
EN         ANG-CM     DATA-CM   EDATA-ERR  EDATA      R           A0712002    9 
MEV        ADEG       MB/SR      PER-CENT   NO-DIM                A0712002   10 
        38.      62.15     1521.1        0.7     1.0276           A0712002   11 
        38.      63.38     1402.6        0.7     1.0163           A0712002   12 
        38.      64.86     1286.6        0.7     1.0125           A0712002   13 
        38.      66.18     1216.1        0.7     1.0283           A0712002   14 
        38.      67.45     1147.5        0.8      1.038           A0712002   15 
        38.      68.78     1046.7        0.8     1.0137           A0712002   16 
        38.       70.1     993.55        0.8     1.0285           A0712002   17 
        38.      71.42     958.89        0.8     1.0592           A0712002   18 
        38.      72.74     871.52        0.9     1.0256           A0712002   19 
        38.      74.11     818.71        0.9     1.0272           A0712002   20 
        38.       77.4     715.64        0.8     1.0408           A0712002   21 
        38.      78.61     668.68        0.8     1.0247           A0712002   22 
        38.      80.08     632.07        0.9     1.0302           A0712002   23 
        38.      81.39     601.93        0.9     1.0353           A0712002   24 
        38.      82.65     575.54        0.9     1.0413           A0712002   25 
        38.      83.96     542.06        0.9     1.0324           A0712002   26 
        38.      85.26     525.82        0.9      1.053           A0712002   27 
        38.      86.57     497.04         1.     1.0453           A0712002   28 
        38.      87.88     467.31         1.      1.031           A0712002   29 
        38.      89.23     447.56         1.     1.0364           A0712002   30 
        38.      92.48      409.3        0.6     1.0601           A0712002   31 
        38.      93.78     389.54        0.6     1.0532           A0712002   32 
        38.      95.08     373.62        0.7     1.0534           A0712002   33 
        38.      96.48     348.43        0.7     1.0266           A0712002   34 
        38.      97.77     333.84        0.7     1.0237           A0712002   35 
        38.      99.12     312.79        0.8    0.99872           A0712002   36 
        38.     100.46     297.31        0.8     0.9875           A0712002   37 
        38.      101.7     287.21        0.8    0.98862           A0712002   38 
        38.     103.04     274.79        0.9    0.98215           A0712002   39 
        38.     104.28     270.38        0.9    0.99984           A0712002   40 
        38.      107.4     242.53        0.9    0.97374           A0712002   41 
        38.     108.58     233.12        0.9    0.96455           A0712002   42 
        38.     110.02     224.72         1.    0.96337           A0712002   43 
        38.      111.3     212.46         1.    0.93943           A0712002   44 
        38.     112.53     211.72         1.    0.96373           A0712002   45 
        38.     113.81     201.25         1.    0.94348           A0712002   46 
        38.     115.09     199.23         1.    0.96124           A0712002   47 
        38.     116.37     197.03        1.1    0.97766           A0712002   48 
        38.     117.64      185.6        1.1    0.94643           A0712002   49 
        38.     118.97     175.78        1.1    0.92144           A0712002   50 
        38.     122.15      165.7        0.6    0.92548           A0712002   51 
        38.     123.32     156.82        0.6    0.89569           A0712002   52 
        38.     124.74     152.18        0.6    0.89234           A0712002   53 
        38.     126.01     147.65        0.7    0.88583           A0712002   54 
        38.     127.23     141.87        0.7     0.8695           A0712002   55 
        38.      128.5     135.82        0.7    0.85063           A0712002   56 
        38.     129.76     135.01        0.7    0.86355           A0712002   57 
        38.     131.03     133.94        0.7    0.87434           A0712002   58 
        38.     132.29     126.27        0.7    0.84079           A0712002   59 
        38.      133.6     122.65        0.7     0.8331           A0712002   60 
        38.     136.76     115.32        0.9    0.81969           A0712002   61 
