ENTRY            A1390   19990322                             0000A139000000001 
SUBENT        A1390001   19990322                             0000A139000100001 
BIB                 11         22                                 A139000100002 
INSTITUTE  (2FR SAC)                                              A139000100003 
REFERENCE  (J,NP,43,424,196305)                                   A139000100004 
AUTHOR     (J.M.F.JERONYMO,G.S.MANI,A.SADEGHI)                    A139000100005 
TITLE      The Li-6(p,alpha)He-3 reaction                         A139000100006 
FACILITY   (VDG)                                                  A139000100007 
SAMPLE     6Li(99.6%) metal targets deposited on 10 mu-g/cm**2    A139000100008 
           carbon backings. The thickness of the 6Li in the       A139000100009 
           targets was of the order of 10 mu-g/cm**2.             A139000100010 
METHOD     (PHD)                                                  A139000100011 
DETECTOR   (SOLST) Solid state counter was used as particle detec.A139000100012 
           from 20 degr. to 80 degr. in the lab.system in steps   A139000100013 
           of around 5 degr. in most cases.                       A139000100014 
           A solid state detector fixed at 90 degr. served as     A139000100015 
           monitor. Only the 3He pulses of the monitor were used  A139000100016 
           for normalising data.                                  A139000100017 
ERR-ANALYS (DATA-ERR) Digitizing error                            A139000100018 
           (DATA-ERR1) From graphic bars (statistical error)      A139000100019 
COMMENT    The excitstion curves obtained from 1.9 MeV to 5 MeV   A139000100020 
           for various angles were corrected for solid angle and  A139000100021 
           normalised to the monitor.                             A139000100022 
HISTORY    (19800723C) Compilation produced by Arzamas RFNC-VNIIEFA139000100023 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A139000100024 
ENDBIB              22          0                                 A139000100025 
NOCOMMON             0          0                                 A139000100026 
ENDSUBENT           25          0                                 A139000199999 
SUBENT        A1390002   19990322                             0000A139000200001 
BIB                  3          3                                 A139000200002 
REACTION   (3-LI-6(P,HE3)2-HE-4,,DA,,REL,EXP)                     A139000200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A139000200004 
STATUS     (CURVE) Fig 1                                          A139000200005 
ENDBIB               3          0                                 A139000200006 
COMMON               2          3                                 A139000200007 
ANG-ERR    DATA-ERR                                               A139000200008 
ADEG       ARB-UNITS                                              A139000200009 
 0.4        0.003                                                 A139000200010 
ENDCOMMON            3          0                                 A139000200011 
DATA                 4        505                                 A139000200012 
EN         ANG-CM     DATA-CM    DATA-ERR1                        A139000200013 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A139000200014 
     1.985     22.91       2.174      0.1063                      A139000200015 
     1.985     40.21       1.742      0.0886                      A139000200016 
     1.985     46.58       1.456      0.0814                      A139000200017 
     1.985     52.28       1.564      0.0708                      A139000200018 
     1.985     57.83       1.324      0.0706                      A139000200019 
     1.985     62.72       1.47       0.0672                      A139000200020 
     1.985     69.12       1.308      0.0603                      A139000200021 
     1.985     74.38       1.316      0.0497                      A139000200022 
     1.985     78.82       1.367      0.0602                      A139000200023 
     1.985     84.56       0.7835     0.032                       A139000200024 
     1.985     85.98       0.9147     0.039                       A139000200025 
     1.985     91.41       0.9901     0.0391                      A139000200026 
     1.985     95.7        1.097      0.0354                      A139000200027 
     1.985    102.         1.123      0.0389                      A139000200028 
     1.985    106.9        1.124      0.0389                      A139000200029 
     1.985    113.4        1.192      0.0531                      A139000200030 
     1.985    119.9        1.119      0.0531                      A139000200031 
     1.985    124.7        1.18       0.0566                      A139000200032 
     1.985    130.1        1.117      0.0565                      A139000200033 
     1.985    136.8        1.388      0.0601                      A139000200034 
     1.985    155.5        2.326      0.1098                      A139000200035 
     2.135     23.25       1.835      0.0814                      A139000200036 
     2.135     41.74       1.566      0.0672                      A139000200037 
     2.135     47.21       1.302      0.0672                      A139000200038 
     2.135     52.17       1.455      0.0709                      A139000200039 
     2.135     58.68       1.367      0.0637                      A139000200040 
     2.135     64.03       1.329      0.0673                      A139000200041 
     2.135     69.43       1.27       0.0602                      A139000200042 
     2.135     74.71       1.268      0.0567                      A139000200043 
     2.135     81.1        1.241      0.0672                      A139000200044 
     2.135     84.64       1.227      0.0636                      A139000200045 
     2.135     85.34       0.8839     0.0389                      A139000200046 
     2.135     89.59       1.044      0.0461                      A139000200047 
     2.135     91.56       1.112      0.0531                      A139000200048 
     2.135     96.12       1.12       0.0566                      A139000200049 
     2.135    101.4        1.106      0.046                       A139000200050 
     2.135    107.3        1.001      0.0425                      A139000200051 
     2.135    113.6        1.006      0.0494                      A139000200052 
     2.135    118.         1.084      0.039                       A139000200053 
     2.135    123.8        1.163      0.0461                      A139000200054 
     2.135    129.8        1.164      0.053                       A139000200055 
     2.135    136.2        1.311      0.0567                      A139000200056 
     2.135    154.         1.551      0.0709                      A139000200057 
     2.29      24.6        1.704      0.0812                      A139000200058 
     2.29      42.54       1.51       0.0742                      A139000200059 
     2.29      48.68       1.228      0.0671                      A139000200060 
     2.29      53.95       1.424      0.0671                      A139000200061 
     2.29      59.57       1.237      0.0742                      A139000200062 
     2.29      65.62       1.39       0.0636                      A139000200063 
     2.29      70.92       1.186      0.0531                      A139000200064 
     2.29      76.81       1.237      0.0531                      A139000200065 
     2.29      81.34       1.259      0.06                        A139000200066 
     2.29      84.78       1.111      0.0531                      A139000200067 
     2.29      86.25       0.8853     0.0388                      A139000200068 
     2.29      90.53       1.041      0.0564                      A139000200069 
     2.29      92.87       0.9148     0.0424                      A139000200070 
     2.29      96.07       1.092      0.0494                      A139000200071 
     2.29     101.         1.096      0.0494                      A139000200072 
     2.29     106.4        1.03       0.0531                      A139000200073 
     2.29     112.6        1.092      0.0495                      A139000200074 
     2.29     118.2        1.121      0.0494                      A139000200075 
     2.29     124.8        1.143      0.0529                      A139000200076 
     2.29     130.3        1.02       0.0494                      A139000200077 
     2.29     136.7        1.205      0.0601                      A139000200078 
     2.29     155.5        1.492      0.0707                      A139000200079 
     2.617     25.33       1.544      0.0775                      A139000200080 
     2.617     43.04       1.262      0.0528                      A139000200081 
     2.617     48.82       1.168      0.0564                      A139000200082 
     2.617     55.03       1.243      0.0633                      A139000200083 
     2.617     60.36       1.213      0.0666                      A139000200084 
     2.617     65.92       1.252      0.0597                      A139000200085 
     2.617     71.61       1.215      0.0456                      A139000200086 
     2.617     76.89       1.212      0.0562                      A139000200087 
     2.617     82.44       1.259      0.0632                      A139000200088 
     2.617     85.12       1.129      0.0597                      A139000200089 
     2.617     87.89       0.9434     0.0457                      A139000200090 
     2.617     89.83       1.049      0.0598                      A139000200091 
     2.617     92.32       1.029      0.0808                      A139000200092 
     2.617     96.04       1.121      0.0702                      A139000200093 
     2.617    101.         1.072      0.0597                      A139000200094 
     2.617    107.2        0.9891     0.0457                      A139000200095 
     2.617    112.7        1.039      0.0562                      A139000200096 
     2.617    119.4        1.026      0.0527                      A139000200097 
     2.617    124.         1.013      0.0526                      A139000200098 
     2.617    131.4        1.008      0.0491                      A139000200099 
     2.617    137.1        1.174      0.0632                      A139000200100 
     2.617    154.5        1.3        0.0704                      A139000200101 
     2.788     27.3        1.373      0.0671                      A139000200102 
     2.788     45.36       1.278      0.0636                      A139000200103 
     2.788     50.89       1.074      0.0494                      A139000200104 
     2.788     57.12       1.432      0.0636                      A139000200105 
     2.788     62.01       1.186      0.046                       A139000200106 
     2.788     68.55       1.296      0.0601                      A139000200107 
     2.788     74.31       1.191      0.0531                      A139000200108 
     2.788     79.56       1.217      0.0635                      A139000200109 
     2.788     85.46       1.275      0.0672                      A139000200110 
     2.788     87.46       1.363      0.0601                      A139000200111 
     2.788     90.56       0.8585     0.0389                      A139000200112 
     2.788     92.46       1.025      0.0495                      A139000200113 
     2.788     95.43       1.184      0.0601                      A139000200114 
     2.788     97.54       1.178      0.053                       A139000200115 
     2.788    103.6        1.143      0.0495                      A139000200116 
     2.788    109.4        1.021      0.0601                      A139000200117 
     2.788    115.2        1.117      0.0529                      A139000200118 
     2.788    121.         0.9665     0.046                       A139000200119 
     2.788    126.4        1.137      0.0531                      A139000200120 
     2.788    133.         0.9863     0.0459                      A139000200121 
     2.788    139.         1.178      0.0565                      A139000200122 
     2.788    156.8        1.333      0.0671                      A139000200123 
     2.965     23.63       1.309      0.0671                      A139000200124 
     2.965     42.7        1.242      0.06                        A139000200125 
     2.965     48.45       1.144      0.0531                      A139000200126 
     2.965     54.42       1.396      0.0565                      A139000200127 
     2.965     60.33       1.192      0.0496                      A139000200128 
     2.965     65.39       1.341      0.0672                      A139000200129 
     2.965     71.75       1.311      0.0459                      A139000200130 
     2.965     76.66       1.315      0.0672                      A139000200131 
     2.965     82.31       1.295      0.053                       A139000200132 
     2.965     83.98       1.358      0.0671                      A139000200133 
     2.965     87.77       0.9068     0.0354                      A139000200134 
     2.965     89.7        1.034      0.0495                      A139000200135 
     2.965     92.3        1.187      0.0529                      A139000200136 
     2.965     94.08       1.166      0.0495                      A139000200137 
     2.965    100.6        1.043      0.0495                      A139000200138 
     2.965    105.8        1.087      0.0459                      A139000200139 
     2.965    111.4        1.059      0.0565                      A139000200140 
     2.965    117.1        1.007      0.0565                      A139000200141 
     2.965    123.6        1.139      0.0424                      A139000200142 
     2.965    129.9        0.9563     0.0354                      A139000200143 
     2.965    136.         1.106      0.0459                      A139000200144 
     2.965    154.9        1.399      0.0602                      A139000200145 
     3.056     23.45       1.261      0.0564                      A139000200146 
     3.056     35.97       1.146      0.0529                      A139000200147 
     3.056     41.84       1.197      0.0599                      A139000200148 
     3.056     47.27       1.113      0.0459                      A139000200149 
     3.056     53.63       1.273      0.0636                      A139000200150 
     3.056     59.83       1.158      0.0564                      A139000200151 
     3.056     65.16       1.303      0.0458                      A139000200152 
     3.056     71.47       1.311      0.0528                      A139000200153 
     3.056     77.07       1.319      0.0635                      A139000200154 
     3.056     81.62       1.327      0.0705                      A139000200155 
     3.056     83.03       1.324      0.0564                      A139000200156 
     3.056     86.92       0.9575     0.0528                      A139000200157 
     3.056     88.43       1.081      0.0564                      A139000200158 
     3.056     93.47       1.195      0.0599                      A139000200159 
     3.056     99.7        1.066      0.0564                      A139000200160 
     3.056    104.8        1.144      0.0529                      A139000200161 
     3.056    111.6        1.099      0.0529                      A139000200162 
     3.056    117.         1.023      0.0494                      A139000200163 
     3.056    123.4        0.9848     0.0457                      A139000200164 
     3.056    129.4        0.9682     0.0424                      A139000200165 
     3.056    135.5        1.1        0.0494                      A139000200166 
     3.056    142.2        1.224      0.0493                      A139000200167 
     3.056    154.1        1.276      0.0599                      A139000200168 
     3.147     25.87       1.214      0.0604                      A139000200169 
     3.147     37.14       1.191      0.0567                      A139000200170 
     3.147     43.82       1.178      0.0497                      A139000200171 
     3.147     49.82       1.154      0.0497                      A139000200172 
     3.147     56.31       1.308      0.0568                      A139000200173 
     3.147     62.34       1.259      0.0602                      A139000200174 
     3.147     67.86       1.345      0.0638                      A139000200175 
     3.147     73.23       1.257      0.0604                      A139000200176 
     3.147     78.42       1.325      0.0568                      A139000200177 
     3.147     83.45       1.234      0.0532                      A139000200178 
     3.147     85.47       1.302      0.0638                      A139000200179 
     3.147     89.12       0.8946     0.0425                      A139000200180 
     3.147     90.27       1.111      0.0568                      A139000200181 
     3.147     94.45       1.137      0.0497                      A139000200182 
     3.147     96.19       1.151      0.0602                      A139000200183 
     3.147    100.5        1.109      0.0532                      A139000200184 
     3.147    106.9        1.022      0.0603                      A139000200185 
     3.147    112.8        1.097      0.0567                      A139000200186 
     3.147    118.5        0.9882     0.0391                      A139000200187 
     3.147    124.7        1.085      0.0496                      A139000200188 
     3.147    130.5        0.9761     0.0461                      A139000200189 
     3.147    136.7        1.044      0.046                       A139000200190 
     3.147    143.9        1.237      0.039                       A139000200191 
     3.147    155.         1.31       0.0533                      A139000200192 
     3.241     25.14       1.209      0.0608                      A139000200193 
     3.241     37.18       1.136      0.0643                      A139000200194 
     3.241     43.4        1.212      0.0608                      A139000200195 
     3.241     49.43       1.167      0.0536                      A139000200196 
     3.241     55.         1.2        0.05                        A139000200197 
     3.241     61.94       1.265      0.0642                      A139000200198 
     3.241     67.44       1.352      0.0606                      A139000200199 
     3.241     71.99       1.364      0.0678                      A139000200200 
