ENTRY            A1077   19990319                             0000A107700000001 
SUBENT        A1077001   19990319                             0000A107700100001 
BIB                 10         18                                 A107700100002 
INSTITUTE  (2GERBOC)                                              A107700100003 
REFERENCE  (J,NP/A,239,(1),125,197502)                            A107700100004 
AUTHOR     (G.POSPIECH,H.GENZ,E.H.MARLINGHAUS,A.RICHTER,          A107700100005 
           G.SCHRIEDER)                                           A107700100006 
TITLE      Reactions 2H(d,p)3H and 2H(d,n)3He below 150 KeV       A107700100007 
FACILITY   (LINAC) 400 KeV Sames accelerator                      A107700100008 
SAMPLE     The targets consisted of deuterated polyethylene       A107700100009 
            (CD2)n 9+-2 mu-g/cm2 thick evaporated on thin carbon  A107700100010 
           foils of thickness 6+-1.5 mu-g/cm2                     A107700100011 
METHOD     (PHD)                                                  A107700100012 
DETECTOR   (SOLST) Six surface-barrier si detectors               A107700100013 
ERR-ANALYS (ANG-ERR) Digitizing error                             A107700100014 
           (DATA-ERR) From graphic bars and digitizing error.     A107700100015 
           The uncertainties in the experimental points (<2.5%)   A107700100016 
           are due to statistical errors and to  errors from      A107700100017 
           background subtraction in the spectra.                 A107700100018 
HISTORY    (19810327C) Compilation produced by Arzamas RFNC-VNIIEFA107700100019 
           (19990205U)CNPD: corrected 4-dig. year and lower cases.A107700100020 
ENDBIB              18          0                                 A107700100021 
COMMON               1          3                                 A107700100022 
ANG-ERR                                                           A107700100023 
ADEG                                                              A107700100024 
 0.8                                                              A107700100025 
ENDCOMMON            3          0                                 A107700100026 
ENDSUBENT           25          0                                 A107700199999 
SUBENT        A1077002   19990319                             0000A107700200001 
BIB                  2          2                                 A107700200002 
REACTION   (1-H-2(D,P)1-H-3,,DA,,REL,EXP)                         A107700200003 
STATUS     (CURVE) Fig 2                                          A107700200004 
ENDBIB               2          0                                 A107700200005 
NOCOMMON             0          0                                 A107700200006 
DATA                 4         90                                 A107700200007 
EN         ANG-CM     DATA-CM    DATA-ERR                         A107700200008 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A107700200009 
     0.075     16.2        0.7302     0.0129                      A107700200010 
     0.075     27.93       0.7273     0.0129                      A107700200011 
     0.075     40.71       0.6211     0.0129                      A107700200012 
     0.075     49.7        0.5674     0.0129                      A107700200013 
     0.075     67.6        0.4212     0.0129                      A107700200014 
     0.075     69.03       0.4724     0.0129                      A107700200015 
     0.075    105.6        0.4761     0.0129                      A107700200016 
     0.075    110.6        0.4234     0.0129                      A107700200017 
     0.075    130.5        0.5214     0.0129                      A107700200018 
     0.075    137.1        0.5841     0.0129                      A107700200019 
     0.075    153.         0.6703     0.0129                      A107700200020 
     0.075    164.7        0.6416     0.0129                      A107700200021 
     0.085     17.23       1.142      0.0129                      A107700200022 
     0.085     28.7        1.036      0.0003                      A107700200023 
     0.085     38.91       0.9435     0.0393                      A107700200024 
     0.085     47.93       0.9026     0.0508                      A107700200025 
     0.085     64.56       0.7697     0.0129                      A107700200026 
     0.085     69.77       0.7684     0.0515                      A107700200027 
     0.085    106.2        0.7335     0.0129                      A107700200028 
     0.085    110.2        0.7583     0.0129                      A107700200029 
     0.085    129.9        0.8049     0.0515                      A107700200030 
     0.085    135.3        0.9065     0.0119                      A107700200031 
     0.085    151.2        1.006      0.0125                      A107700200032 
     0.085    161.8        1.054      0.0007                      A107700200033 
     0.094     17.74       1.348      0.0129                      A107700200034 
     0.094     29.35       1.294      0.0129                      A107700200035 
     0.094     38.21       1.188      0.0129                      A107700200036 
     0.094     48.64       1.186      0.0129                      A107700200037 
     0.094     65.23       1.04       0.0129                      A107700200038 
     0.094     67.93       1.078      0.0129                      A107700200039 
     0.094    106.8        0.9909     0.0129                      A107700200040 
     0.094    110.9        1.067      0.0129                      A107700200041 
     0.094    129.3        1.114      0.0129                      A107700200042 
