ENTRY            A0702   20100519                             A068A070200000001 
SUBENT        A0702001   20100519                             A068A070200100001 
BIB                 10         23                                 A070200100002 
TITLE      Complex nuclear-structure phenomena revealed from the  A070200100003 
           nuclide production in fragmentation reactions.         A070200100004 
REFERENCE  (J,NP/A,733,299,2004)                                  A070200100005 
           (T,RICCIARDI,200502) The thesis ID "GSI Diss.2005-07"  A070200100006 
AUTHOR     (M.V.Ricciardi, A.V.Ignatyuk, A.Kelic, P.Napolitani,   A070200100007 
           F.Rejmund, K.-H.Schmidt, O.Yordanov)                   A070200100008 
INSTITUTE  (2GERGSI)                                              A070200100009 
           (4RUSFEI)                                              A070200100010 
           (2FR PAR)                                              A070200100011 
SAMPLE     A 36 mg/cm**2 titanium target was used.                A070200100012 
DETECTOR   (MAGSP)                                                A070200100013 
           (MWPC)                                                 A070200100014 
           (SCIN)                                                 A070200100015 
FACILITY   (SYNCH,2GERGSI)                                        A070200100016 
           (FRS,2GERGSI)                                          A070200100017 
METHOD     (TOF)                                                  A070200100018 
HISTORY    (20100331C) S.B                                        A070200100019 
ERR-ANALYS (-ERR-T).The uncertainty is reported by authors in     A070200100020 
           table.They include both the statistical and the        A070200100021 
           systematic errors.                                     A070200100022 
           (+ERR-T).The uncertainty is reported by authors in     A070200100023 
           table. They include both the statistical and the       A070200100024 
           systematic errors.                                     A070200100025 
ENDBIB              23          0                                 A070200100026 
COMMON               1          3                                 A070200100027 
EN                                                                A070200100028 
GEV/A                                                             A070200100029 
         1.                                                       A070200100030 
ENDCOMMON            3          0                                 A070200100031 
ENDSUBENT           30          0                                 A070200199999 
SUBENT        A0702002   20100405                             A068A070200200001 
BIB                  2          2                                 A070200200002 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,IPA)                    A070200200003 
STATUS     (TABLE).Table B.3 from T,RICCIARDI,200502              A070200200004 
ENDBIB               2          0                                 A070200200005 
COMMON               1          3                                 A070200200006 
ANG-MAX                                                           A070200200007 
ARAD                                                              A070200200008 
     0.015                                                        A070200200009 
ENDCOMMON            3          0                                 A070200200010 
DATA                 5        112                                 A070200200011 
ELEMENT    MASS       DATA       +ERR-T     -ERR-T                A070200200012 
NO-DIM     NO-DIM     MB         PER-CENT   PER-CENT              A070200200013 
7.         14.        2.9        33.        32.                   A070200200014 
7.         15.        11.        30.        30.                   A070200200015 
7.         16.        3.2        31.        30.                   A070200200016 
7.         17.        2.6        32.        31.                   A070200200017 
7.         18.        0.57       41.        37.                   A070200200018 
7.         19.        0.17       34.        33.                   A070200200019 
8.         15.        0.30       62.        47.                   A070200200020 
8.         16.        7.6        31.        31.                   A070200200021 
8.         17.        5.7        30.        30.                   A070200200022 
8.         18.        8.8        30.        30.                   A070200200023 
8.         19.        3.4        30.        30.                   A070200200024 
8.         20.        1.4        35.        34.                   A070200200025 
8.         21.        0.26       52.        43.                   A070200200026 
8.         22.        0.12       57.        44.                   A070200200027 
9.         17.        0.082      56.        43.                   A070200200028 
9.         18.        1.4        39.        36.                   A070200200029 
9.         19.        5.7        30.        30.                   A070200200030 
9.         20.        7.6        33.        32.                   A070200200031 
9.         21.        5.2        30.        30.                   A070200200032 
9.         22.        1.4        40.        37.                   A070200200033 
9.         23.        0.64       40.        36.                   A070200200034 
9.         24.        0.067      92.        64.                   A070200200035 
10.        20.        1.9        39.        36.                   A070200200036 
10.        21.        5.9        29.        29.                   A070200200037 
10.        22.        8.3        32.        31.                   A070200200038 
10.        23.        3.4        31.        31.                   A070200200039 
10.        24.        2.0        33.        33.                   A070200200040 
10.        25.        0.29       64.        50.                   A070200200041 
10.        26.        0.072      71.        48.                   A070200200042 
11.        21.        0.085      60.        45.                   A070200200043 
11.        22.        1.2        51.        41.                   A070200200044 
11.        23.        6.7        30.        29.                   A070200200045 
11.        24.        5.5        32.        31.                   A070200200046 
11.        25.        5.8        32.        30.                   A070200200047 
11.        26.        1.8        33.        33.                   A070200200048 
11.        28.        0.14       98.        63.                   A070200200049 
12.        23.        0.053      73.        49.                   A070200200050 
12.        24.        1.4        30.        29.                   A070200200051 
12.        25.        5.3        30.        30.                   A070200200052 
12.        26.        7.2        30.        30.                   A070200200053 
12.        27.        5.0        37.        35.                   A070200200054 
12.        28.        2.5        36.        34.                   A070200200055 
12.        29.        0.40       58.        44.                   A070200200056 
12.        30.        0.20       127.       83.                   A070200200057 
13.        25.        0.13       127.       79.                   A070200200058 
13.        26.        0.42       33.        31.                   A070200200059 
13.        27.        5.5        30.        30.                   A070200200060 
13.        28.        5.0        30.        30.                   A070200200061 
13.        29.        5.5        40.        36.                   A070200200062 
13.        30.        2.2        36.        34.                   A070200200063 
13.        31.        1.0        99.        69.                   A070200200064 
14.        28.        0.81       30.        30.                   A070200200065 
14.        29.        4.0        33.        33.                   A070200200066 
14.        30.        6.5        31.        30.                   A070200200067 
14.        31.        4.5        43.        37.                   A070200200068 
14.        32.        2.9        31.        30.                   A070200200069 
14.        33.        0.67       44.        39.                   A070200200070 
14.        34.        0.21       44.        38.                   A070200200071 
15.        30.        0.14       41.        36.                   A070200200072 
15.        31.        3.0        33.        32.                   A070200200073 
15.        32.        4.5        30.        30.                   A070200200074 
15.        33.        4.2        45.        39.                   A070200200075 
15.        34.        2.8        36.        34.                   A070200200076 
15.        35.        1.4        33.        33.                   A070200200077 
15.        36.        0.30       97.        81.                   A070200200078 
16.        32.        0.16       47.        39.                   A070200200079 
16.        33.        2.0        36.        33.                   A070200200080 
16.        34.        4.9        30.        30.                   A070200200081 
16.        35.        3.7        43.        37.                   A070200200082 
16.        36.        3.7        38.        35.                   A070200200083 
16.        37.        1.5        33.        32.                   A070200200084 
16.        38.        0.54       62.        46.                   A070200200085 
16.        39.        0.19       63.        46.                   A070200200086 
17.        34.        0.061      92.        62.                   A070200200087 
17.        35.        1.2        61.        46.                   A070200200088 
17.        36.        3.6        31.        30.                   A070200200089 
17.        37.        4.0        37.        34.                   A070200200090 
17.        38.        2.7        30.        30.                   A070200200091 
17.        39.        2.2        36.        34.                   A070200200092 
17.        40.        0.67       51.        42.                   A070200200093 
17.        41.        0.11       58.        44.                   A070200200094 
18.        36.        0.087      85.        53.                   A070200200095 
18.        37.        0.85       55.        44.                   A070200200096 
18.        38.        3.3        31.        31.                   A070200200097 
18.        39.        3.2        38.        35.                   A070200200098 
18.        40.        2.3        30.        30.                   A070200200099 
18.        41.        2.6        32.        32.                   A070200200100 
18.        42.        1.2        34.        33.                   A070200200101 
18.        43.        0.23       33.        31.                   A070200200102 
19.        39.        0.54       56.        46.                   A070200200103 
19.        40.        2.5        33.        32.                   A070200200104 
19.        41.        3.2        38.        35.                   A070200200105 
19.        42.        2.6        30.        30.                   A070200200106 
19.        43.        2.9        37.        34.                   A070200200107 
19.        44.        1.36       33.        33.                   A070200200108 
19.        45.        0.49       83.        53.                   A070200200109 
20.        41.        0.42       56.        46.                   A070200200110 
20.        42.        2.3        32.        31.                   A070200200111 
20.        43.        3.1        37.        34.                   A070200200112 
20.        44.        2.2        31.        30.                   A070200200113 
20.        45.        3.31       41.        37.                   A070200200114 
20.        46.        1.5        33.        32.                   A070200200115 
20.        47.        0.52       46.        40.                   A070200200116 
20.        48.        0.089      51.        41.                   A070200200117 
21.        43.        0.20       45.        38.                   A070200200118 
21.        44.        1.6        38.        35.                   A070200200119 
21.        45.        3.3        34.        32.                   A070200200120 
21.        46.        2.5        29.        29.                   A070200200121 
21.        47.        2.6        30.        30.                   A070200200122 
21.        48.        1.9        34.        33.                   A070200200123 
21.        49.        0.61       36.        34.                   A070200200124 
21.        50.        0.10       30.        30.                   A070200200125 
ENDDATA            114          0                                 A070200200126 
ENDSUBENT          125          0                                 A070200299999 
SUBENT        A0702003   20100405                             A068A070200300001 
BIB                  3          7                                 A070200300002 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,SIG)                    A070200300003 
ANALYSIS   (INTAD) Because forward component of the fission-like  A070200300004 
           process could not be observed directly, specific       A070200300005 
           assumptions were needed to deduce the cross sections.  A070200300006 
           See sect. 2.6.6 of the thesis.                         A070200300007 
STATUS     (TABLE).Table B.4 from T,RICCIARDI,200502              A070200300008 
           (DEP,A0702002)                                         A070200300009 
ENDBIB               7          0                                 A070200300010 
NOCOMMON             0          0                                 A070200300011 
DATA                 5        112                                 A070200300012 
ELEMENT    MASS       DATA       +ERR-T     -ERR-T                A070200300013 
NO-DIM     NO-DIM     MB         PER-CENT   PER-CENT              A070200300014 
7.         14.        7.7        65.        65.                   A070200300015 
7.         15.        37.        64.        64.                   A070200300016 
7.         16.        11.        64.        64.                   A070200300017 
7.         17.        8.5        65.        65.                   A070200300018 
7.         18.        1.6        68.        67.                   A070200300019 
7.         19.        0.86       67.        66.                   A070200300020 
8.         15.        0.97       50.        49.                   A070200300021 
8.         16.        24.        46.        46.                   A070200300022 
8.         17.        19.        46.        46.                   A070200300023 
8.         18.        31.        46.        46.                   A070200300024 
8.         19.        11.        46.        46.                   A070200300025 
8.         20.        4.8        47.        47.                   A070200300026 
8.         21.        0.64       54.        51.                   A070200300027 
8.         22.        0.58       67.        57.                   A070200300028 
9.         17.        0.33       63.        53.                   A070200300029 
9.         18.        4.0        43.        43.                   A070200300030 
9.         19.        18.        42.        42.                   A070200300031 
9.         20.        25.        42.        42.                   A070200300032 
9.         21.        17.        42.        42.                   A070200300033 
9.         22.        4.5        45.        44.                   A070200300034 
9.         23.        1.9        45.        44.                   A070200300035 
9.         24.        0.24       97.        71.                   A070200300036 
10.        20.        5.2        42.        42.                   A070200300037 
10.        21.        18.        41.        41.                   A070200300038 
10.        22.        25.        41.        41.                   A070200300039 
10.        23.        12.        41.        41.                   A070200300040 
10.        24.        6.2        42.        42.                   A070200300041 
10.        25.        0.71       61.        51.                   A070200300042 
