ENTRY            A1513   20120411                             A078A151300000001 
SUBENT        A1513001   20120411                             A078A151300100001 
BIB                  6         11                                 A151300100002 
REFERENCE  (R,CEA-R-3428,1968)                                    A151300100003 
AUTHOR     (F.Bertrand,G.Grenier,J.Pornet)                        A151300100004 
TITLE      6Li(p,alpha)3He, 6Li(d,alpha)4He, 6Li(d,p0)7Li,        A151300100005 
           6Li(d,p1)7Li* reaction investigation in the energy     A151300100006 
           interval from 300 keV to 1000 keV                      A151300100007 
INSTITUTE  (2FR VNV)                                              A151300100008 
METHOD     (SITA)                                                 A151300100009 
HISTORY    (19800814C) Compilation produced by Arzamas RFNC-VNIIEFA151300100010 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A151300100011 
           (20120411A).Correction was made according Naohiko      A151300100012 
           comments and new exfor rules-SB                        A151300100013 
ENDBIB              11          0                                 A151300100014 
NOCOMMON             0          0                                 A151300100015 
ENDSUBENT           14          0                                 A151300199999 
SUBENT        A1513002   20120411                             A078A151300200001 
BIB                  3          5                                 A151300200002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA)                                A151300200003 
ERR-ANALYS (ANG-ERR-D) Digitizing error                           A151300200004 
           (DATA-ERR) From graphic bars and the digitizing        A151300200005 
           the error bars were not discussed.                     A151300200006 
STATUS     (CURVE)                                                A151300200007 
ENDBIB               5          0                                 A151300200008 
COMMON               1          3                                 A151300200009 
ANG-ERR-D                                                         A151300200010 
ADEG                                                              A151300200011 
 0.5                                                              A151300200012 
ENDCOMMON            3          0                                 A151300200013 
DATA                 4        126                                 A151300200014 
EN         ANG-CM     DATA-CM    DATA-ERR                         A151300200015 
MEV        ADEG       MB/SR      MB/SR                            A151300200016 
     0.3       10.5        1.37       0.04                        A151300200017 
     0.3       21.5        1.39       0.042                       A151300200018 
     0.3       31.5        3.33       0.1                         A151300200019 
     0.3       41.5        1.34       0.04                        A151300200020 
     0.3       52.         1.36       0.04                        A151300200021 
     0.3       61.5        1.32       0.04                        A151300200022 
     0.3       72.         1.3        0.039                       A151300200023 
     0.3       82.         1.38       0.041                       A151300200024 
     0.3       92.         1.35       0.041                       A151300200025 
     0.3      110.5        1.35       0.041                       A151300200026 
     0.3      120.5        1.37       0.04                        A151300200027 
     0.3      130.5        1.39       0.04                        A151300200028 
     0.3      149.5        1.3        0.039                       A151300200029 
     0.3      160.         1.35       0.041                       A151300200030 
     0.4       10.5        3.18       0.095                       A151300200031 
     0.4       21.5        3.09       0.093                       A151300200032 
     0.4       32.5        3.19       0.01                        A151300200033 
     0.4       42.         3.09       0.093                       A151300200034 
     0.4       51.5        3.03       0.091                       A151300200035 
     0.4       62.5        3.07       0.092                       A151300200036 
     0.4       72.5        3.11       0.01                        A151300200037 
     0.4       82.5        3.17       0.095                       A151300200038 
     0.4       92.5        3.08       0.08                        A151300200039 
     0.4      111.         3.18       0.095                       A151300200040 
     0.4      120.5        2.99       0.09                        A151300200041 
     0.4      130.5        3.01       0.09                        A151300200042 
     0.4      140.         3.08       0.092                       A151300200043 
     0.4      149.5        3.01       0.09                        A151300200044 
     0.4      158.5        3.09       0.093                       A151300200045 
     0.5       11.         4.34       0.13                        A151300200046 
     0.5       21.5        4.47       0.134                       A151300200047 
     0.5       32.5        4.43       0.13                        A151300200048 
     0.5       42.         4.34       0.13                        A151300200049 
     0.5       53.5        4.28       0.128                       A151300200050 
     0.5       63.         4.08       0.122                       A151300200051 
     0.5       73.         4.22       0.12                        A151300200052 
     0.5       91.5        4.02       0.121                       A151300200053 
     0.5       93.5        4.04       0.121                       A151300200054 
     0.5      101.5        4.3        0.14                        A151300200055 
     0.5      110.5        4.15       0.125                       A151300200056 
     0.5      120.5        4.23       0.12                        A151300200057 
     0.5      130.5        4.17       0.051                       A151300200058 
     0.5      141.         4.34       0.13                        A151300200059 
     0.5      149.5        4.26       0.128                       A151300200060 
     0.5      160.         4.42       0.133                       A151300200061 
     0.6       10.5        5.22       0.157                       A151300200062 
     0.6       21.5        5.19       0.156                       A151300200063 
     0.6       32.5        4.99       0.15                        A151300200064 
     0.6       42.5        5.14       0.15                        A151300200065 
     0.6       53.5        5.07       0.152                       A151300200066 
     0.6       62.5        4.76       0.143                       A151300200067 
     0.6       73.5        4.83       0.145                       A151300200068 
     0.6       83.5        4.75       0.14                        A151300200069 
     0.6       91.5        4.7        0.141                       A151300200070 
     0.6       93.5        4.83       0.145                       A151300200071 
     0.6      101.5        4.65       0.12                        A151300200072 
     0.6      111.5        4.68       0.14                        A151300200073 
     0.6      121.5        5.         0.15                        A151300200074 
     0.6      130.5        4.87       0.146                       A151300200075 
     0.6      140.         5.05       0.152                       A151300200076 
     0.6      151.         5.06       0.152                       A151300200077 
     0.6      160.         5.29       0.159                       A151300200078 
     0.7       11.         4.61       0.138                       A151300200079 
     0.7       23.         5.29       0.159                       A151300200080 
     0.7       33.         5.12       0.154                       A151300200081 
     0.7       43.5        5.09       0.153                       A151300200082 
     0.7       54.5        4.88       0.146                       A151300200083 
     0.7       64.5        4.81       0.144                       A151300200084 
     0.7       73.5        4.74       0.142                       A151300200085 
     0.7       84.5        4.69       0.141                       A151300200086 
     0.7       92.5        4.69       0.141                       A151300200087 
     0.7      103.5        4.81       0.144                       A151300200088 
     0.7      112.         4.77       0.14                        A151300200089 
     0.7      121.         5.01       0.15                        A151300200090 
     0.7      131.         5.19       0.156                       A151300200091 
     0.7      141.         5.19       0.156                       A151300200092 
     0.7      150.5        5.36       0.161                       A151300200093 
     0.7      161.         5.44       0.163                       A151300200094 
     0.8       11.         5.69       0.171                       A151300200095 
     0.8       22.         5.49       0.165                       A151300200096 
     0.8       32.5        5.61       0.17                        A151300200097 
     0.8       43.         5.21       0.156                       A151300200098 
     0.8       54.5        4.74       0.14                        A151300200099 
     0.8       63.5        4.8        0.144                       A151300200100 
     0.8       74.         4.72       0.142                       A151300200101 
     0.8       84.5        4.53       0.136                       A151300200102 
     0.8       92.5        4.64       0.139                       A151300200103 
     0.8      102.5        4.65       0.14                        A151300200104 
     0.8      112.         4.97       0.17                        A151300200105 
     0.8      121.5        5.03       0.151                       A151300200106 
     0.8      131.         5.36       0.16                        A151300200107 
     0.8      141.5        5.25       0.158                       A151300200108 
     0.8      151.         5.47       0.164                       A151300200109 
