ENTRY            A1440   19990323                             0000A144000000001 
SUBENT        A1440001   19990323                             0000A144000100001 
BIB                 10         29                                 A144000100002 
INSTITUTE  (3EGYCAI)                                              A144000100003 
REFERENCE  (J,NP,48,(2),299,196310)                               A144000100004 
AUTHOR     (Y.P.ANTOUFIEV,M.M.EL-SHESHENI,H.R.SAAD,Z.A.SALEH,     A144000100005 
           P.V.SOROKIN)                                           A144000100006 
TITLE      Investigation of the reaction 6Li(d,alpha)4He at       A144000100007 
           deuteron energy 1 - 2.5 MeV                            A144000100008 
FACILITY   (VDG)                                                  A144000100009 
SAMPLE     The target was prepared by evaporating metallic        A144000100010 
           6Li(95.5% rich) in vacuum onto an optically transparentA144000100011 
           rent silver foil. Thickness of the target did not      A144000100012 
           exceed 20 keV for Ed=1 MeV                             A144000100013 
METHOD     (PHD)                                                  A144000100014 
DETECTOR   (SOLST) Two semi-conductor detectors                   A144000100015 
COMMENT    After the present work was finished, the results of an A144000100016 
           investigation of the reaction 6Li(d,a)4He by Jeronimo  A144000100017 
           REF (O0008,JERONIMO+,J,NP,38,,11,1962) were published. A144000100018 
           To compare with the results of our work angular        A144000100019 
           distributions are given in the form                    A144000100020 
                 1+a(e)*cos(theta)**2+b(e)*cos(theta)**4.         A144000100021 
           thus obtained coefficients a(e) and b(e) showed the    A144000100022 
           essential difference of the coefficients, which is     A144000100023 
           extremely suprising, since the methods of investigationA144000100024 
           in both experiments were identical. A detailed study ofA144000100025 
           ref. showed that its authors did not convert the       A144000100026 
           measurered intensity into the centre-of-mass system    A144000100027 
           in the laboratory coordinate system the angular        A144000100028 
           distributions obtained in both works, coincide well.   A144000100029 
HISTORY    (19810309C) Compilation produced by Arzamas RFNC-VNIIEFA144000100030 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A144000100031 
ENDBIB              29          0                                 A144000100032 
NOCOMMON             0          0                                 A144000100033 
ENDSUBENT           32          0                                 A144000199999 
SUBENT        A1440002   19990323                             0000A144000200001 
BIB                  3          4                                 A144000200002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,REL,EXP)                       A144000200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A144000200004 
           (DATA-ERR) Digitizing error                            A144000200005 
STATUS     (CURVE) Fig 2                                          A144000200006 
ENDBIB               4          0                                 A144000200007 
COMMON               3          3                                 A144000200008 
EN-ERR     ANG        DATA-ERR                                    A144000200009 
MEV        ADEG       ARB-UNITS                                   A144000200010 
 0.01        150.0     0.007                                      A144000200011 
ENDCOMMON            3          0                                 A144000200012 
DATA                 2          7                                 A144000200013 
EN         DATA                                                   A144000200014 
MEV        ARB-UNITS                                              A144000200015 
     1.009      1.2                                               A144000200016 
     1.247      0.9804                                            A144000200017 
     1.503      0.9069                                            A144000200018 
     1.741      0.9234                                            A144000200019 
     2.014      1.01                                              A144000200020 
     2.261      1.068                                             A144000200021 
     2.534      1.113                                             A144000200022 
ENDDATA              9          0                                 A144000200023 
ENDSUBENT           22          0                                 A144000299999 
SUBENT        A1440003   19990323                             0000A144000300001 
BIB                  3          7                                 A144000300002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,REL,EXP)                       A144000300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A144000300004 
           (DATA-ERR) From the graphic bars (statistical) and     A144000300005 
           digitizing error. The error was shown only at that     A144000300006 
           points, where it was greater the radius of the         A144000300007 
           points at the figure.                                  A144000300008 
STATUS     (CURVE) Fig 3                                          A144000300009 
ENDBIB               7          0                                 A144000300010 
COMMON               1          3                                 A144000300011 
ANG-ERR                                                           A144000300012 
ADEG                                                              A144000300013 
 2.                                                               A144000300014 
ENDCOMMON            3          0                                 A144000300015 
DATA                 4         71                                 A144000300016 
EN         ANG-CM     DATA-CM    DATA-ERR                         A144000300017 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A144000300018 
     1.        88.22       0.9759     0.027                       A144000300019 
     1.        96.89       1.033      0.027                       A144000300020 
     1.       105.6        0.9819     0.027                       A144000300021 
     1.       113.2        1.066      0.027                       A144000300022 
     1.       121.9        1.042      0.027                       A144000300023 
     1.       136.         1.047      0.027                       A144000300024 
     1.       143.6        1.103      0.027                       A144000300025 
     1.       149.         1.213      0.027                       A144000300026 
     1.       154.4        1.296      0.027                       A144000300027 
     1.       155.4        1.432      0.027                       A144000300028 
     1.25      95.32       1.033      0.027                       A144000300029 
     1.25     106.2        1.064      0.027                       A144000300030 
     1.25     114.9        1.067      0.027                       A144000300031 
     1.25     123.5        1.178      0.027                       A144000300032 
     1.25     130.         1.262      0.027                       A144000300033 
     1.25     137.6        1.291      0.027                       A144000300034 
     1.25     144.1        1.348      0.027                       A144000300035 
     1.25     147.3        1.538      0.027                       A144000300036 
     1.25     151.6        1.593      0.027                       A144000300037 
     1.25     154.8        1.648      0.027                       A144000300038 
     1.5       87.24       1.031      0.0274                      A144000300039 
     1.5       98.14       0.9797     0.0274                      A144000300040 
     1.5      106.8        1.065      0.0274                      A144000300041 
     1.5      121.9        1.235      0.0274                      A144000300042 
     1.5      129.4        1.511      0.0274                      A144000300043 
     1.5      136.9        1.678      0.164                       A144000300044 
     1.5      143.3        1.927      0.1366                      A144000300045 
     1.5      148.7        2.011      0.1366                      A144000300046 
     1.5      150.8        2.341      0.1096                      A144000300047 
     1.5      154.1        2.205      0.1366                      A144000300048 
     1.75      88.91       0.9767     0.0274                      A144000300049 
     1.75      98.69       0.9801     0.0274                      A144000300050 
     1.75     106.3        0.928      0.0274                      A144000300051 
     1.75     117.1        1.151      0.0274                      A144000300052 
     1.75     124.7        1.208      0.0274                      A144000300053 
     1.75     131.1        1.375      0.0274                      A144000300054 
     1.75     139.8        1.488      0.0274                      A144000300055 
     1.75     145.         1.818      0.1092                      A144000300056 
     1.75     149.3        1.984      0.0544                      A144000300057 
     1.75     152.5        2.04       0.1088                      A144000300058 
     1.75     154.7        2.151      0.1366                      A144000300059 
     2.        90.31       1.005      0.0278                      A144000300060 
     2.        99.         1.008      0.0278                      A144000300061 
     2.       108.8        1.039      0.0278                      A144000300062 
     2.       114.2        0.9575     0.0278                      A144000300063 
     2.       122.7        1.377      0.0278                      A144000300064 
     2.       130.3        1.408      0.0278                      A144000300065 
     2.       137.7        1.883      0.1662                      A144000300066 
     2.       148.2        2.747      0.0829                      A144000300067 
     2.       152.5        2.86       0.0825                      A144000300068 
     2.       154.7        2.722      0.1389                      A144000300069 
     2.25      97.45       0.9804     0.027                       A144000300070 
     2.25     107.2        1.092      0.027                       A144000300071 
     2.25     117.         1.068      0.027                       A144000300072 
     2.25     123.4        1.287      0.027                       A144000300073 
     2.25     130.8        1.614      0.1077                      A144000300074 
     2.25     143.6        2.185      0.1347                      A144000300075 
     2.25     149.         2.322      0.0537                      A144000300076 
     2.25     152.         2.702      0.1621                      A144000300077 
     2.25     154.3        2.621      0.1081                      A144000300078 
     2.5       88.29       0.8671     0.0274                      A144000300079 
     2.5       98.05       0.898      0.0274                      A144000300080 
     2.5      106.7        0.9558     0.0274                      A144000300081 
     2.5      114.3        1.013      0.0274                      A144000300082 
     2.5      117.5        1.179      0.0274                      A144000300083 
     2.5      124.         1.263      0.0274                      A144000300084 
     2.5      131.5        1.512      0.0274                      A144000300085 
     2.5      137.9        1.761      0.137                       A144000300086 
     2.5      144.2        2.174      0.1636                      A144000300087 
     2.5      151.5        2.67       0.1096                      A144000300088 
     2.5      153.6        2.945      0.1644                      A144000300089 
