ENTRY            A1078   19990319                             0000A107800000001 
SUBENT        A1078001   19990319                             0000A107800100001 
BIB                  9         12                                 A107800100002 
INSTITUTE  (2GERUEN)                                              A107800100003 
REFERENCE  (J,NP/A,166,(2),253,197105)                            A107800100004 
AUTHOR     (W.KLINGER,F.DUSCH,R.FLEISCHMANN)                      A107800100005 
TITLE      The analyzing power of the reaction 3He(d,p)4He for    A107800100006 
           vector-polarized deuterons between 2 and 13 MeV        A107800100007 
FACILITY   (VDGT)                                                 A107800100008 
SAMPLE     The 3He gas target                                     A107800100009 
METHOD     (PHD)                                                  A107800100010 
DETECTOR   (SOLST) A 43 cm ortec scattering chamber using 16 solidA107800100011 
           state detectors                                        A107800100012 
HISTORY    (19810327C) Compilation produced by Arzamas RFNC-VNIIEFA107800100013 
           (19990205U)CNPD: corrected 4-dig. year and lower cases.A107800100014 
ENDBIB              12          0                                 A107800100015 
NOCOMMON             0          0                                 A107800100016 
ENDSUBENT           15          0                                 A107800199999 
SUBENT        A1078002   19990319                             0000A107800200001 
BIB                  4          7                                 A107800200002 
REACTION   (2-HE-3(D,P)2-HE-4,,DA,,LEG,EXP)                       A107800200003 
MONIT-REF  (A1144001,YARNELL+,J,PR,90,(2),292,195304)             A107800200004 
           (C0012001,STEWART+,J,PR,119,(5),1649,196009)           A107800200005 
ERR-ANALYS (EN-ERR) Digitizing error                              A107800200006 
           (DATA-ERR) Digitizing error bars show the influence of A107800200007 
           the statistical error only                             A107800200008 
STATUS     (CURVE) Fig 2                                          A107800200009 
ENDBIB               7          0                                 A107800200010 
COMMON               1          3                                 A107800200011 
EN-ERR                                                            A107800200012 
MEV                                                               A107800200013 
 0.1                                                              A107800200014 
ENDCOMMON            3          0                                 A107800200015 
DATA                 4        149                                 A107800200016 
EN         NUMBER-CM  DATA-CM    DATA-ERR                         A107800200017 
MEV        NO-DIM     MB/SR      MB/SR                            A107800200018 
     2.112      0.         7.962      0.087                       A107800200019 
     2.155      1.         1.267      0.0869                      A107800200020 
     2.217      2.         1.008      0.0869                      A107800200021 
     2.731      3.         0.3104     0.0833                      A107800200022 
     2.749      2.         1.629      0.0869                      A107800200023 
     2.772      1.         1.282      0.0869                      A107800200024 
     2.812      0.         6.587      0.087                       A107800200025 
     3.126      1.         1.377      0.0869                      A107800200026 
     3.261      3.         0.4055     0.0833                      A107800200027 
     3.28       2.         2.163      0.0869                      A107800200028 
     3.339      0.         6.077      0.087                       A107800200029 
     3.569      5.         0.6305     0.0909                      A107800200030 
     3.615      3.         0.8299     0.0833                      A107800200031 
     3.724      2.         2.782      0.0869                      A107800200032 
     3.744      1.         1.565      0.0869                      A107800200033 
     3.766      4.         0.6351     0.0909                      A107800200034 
     3.779      0.         5.74       0.087                       A107800200035 
     4.101      5.         1.189      0.0909                      A107800200036 
     4.121      4.         1.098      0.0909                      A107800200037 
     4.167      2.         3.228      0.0869                      A107800200038 
     4.186      1.         1.663      0.0869                      A107800200039 
     4.233      3.         0.9269     0.0833                      A107800200040 
     4.308      0.         5.665      0.087                       A107800200041 
     4.788      6.         0.7719     0.0833                      A107800200042 
     4.804      1.         1.851      0.0869                      A107800200043 
     4.808      5.         1.478      0.0909                      A107800200044 
     4.827      4.         1.206      0.0909                      A107800200045 
     4.851      3.         1.024      0.0833                      A107800200046 
     4.875      2.         3.679      0.0869                      A107800200047 
     4.925      0.         5.505      0.087                       A107800200048 
     5.229      2.         3.948      0.0869                      A107800200049 
     5.318      6.         0.9503     0.0833                      A107800200050 
     5.338      5.         1.673      0.0909                      A107800200051 
