ENTRY            A1539   20180429                             A089A1539  0    1 
SUBENT        A1539001   20180429                             A089A1539  1    1 
BIB                 10         20                                 A1539  1    2 
INSTITUTE  (3CHFSHI)                                              A1539  1    3 
REFERENCE  (J,NP/A,275,93,197701)                                 A1539  1    4 
AUTHOR     (Chia-Shou Lin,Wan-Shou Hou,Min Wen,Jen-Chang Chou)    A1539  1    5 
TITLE      Cross section measurements for the 6Li(p,alpha)3He     A1539  1    6 
           reaction in the proton energy range 1.0 - 2.6 MeV      A1539  1    7 
FACILITY   (VDG,3CHFSHI)                                          A1539  1    8 
SAMPLE     (3-LI-6,ENR=0.9603) Lithium fluoride (96.03%) in 6Li   A1539  1    9 
           onto a carbon backing of about 35 mu-g/cm2. The        A1539  1   10 
           thickness of the 6LiF in the targets was 110+-5 mug/cm2A1539  1   11 
METHOD     (COINC,PHD)                                            A1539  1   12 
DETECTOR   (SIBAR) 500 mu-m silicon surface barrier detectors     A1539  1   13 
ERR-ANALYS (ERR-1) The uncertainty in target thickness            A1539  1   14 
           (ERR-2) the errors in current integrator calibration   A1539  1   15 
           (ERR-3) The errors in solid angle measurements         A1539  1   16 
HISTORY    (19800820C) Compilation produced by RFNC-VNIIEF Sarov  A1539  1   17 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A1539  1   18 
           (20130130A). Missing value was added in Sub.004 for    A1539  1   19 
           Data-section-sb                                        A1539  1   20 
           (20180429A) SD: REACTION code corrected in Subents     A1539  1   21 
           002,003. BIB, ERR-ANALYS was updated.                  A1539  1   22 
ENDBIB              20          0                                 A1539  1   23 
COMMON               3          3                                 A1539  1   24 
ERR-1      ERR-2      ERR-3                                       A1539  1   25 
PER-CENT   PER-CENT   PER-CENT                                    A1539  1   26 
  8.0       4.0         3.0                                       A1539  1   27 
ENDCOMMON            3          0                                 A1539  1   28 
ENDSUBENT           27          0                                 A1539  199999 
SUBENT        A1539002   20180429                             A089A1539  2    1 
BIB                  4          7                                 A1539  2    2 
REACTION   (3-LI-6(P,HE3)2-HE-4,,DA,A)                            A1539  2    3 
ERR-ANALYS (ERR-T) The error in absolute differential cross sect. A1539  2    4 
           (ERR-S,,3.) Statistical error                          A1539  2    5 
STATUS     (CURVE) Fig 4a,4b of J,NP/A,275,93,1977                A1539  2    6 
HISTORY    (20180429A) SD: SF7=A was added to REACTION code       A1539  2    7 
           according to comment from Dr. I.Thompson (2018-04-23). A1539  2    8 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-T.               A1539  2    9 
ENDBIB               7          0                                 A1539  2   10 
NOCOMMON             0          0                                 A1539  2   11 
DATA                 5        260                                 A1539  2   12 
EN         ANG-CM     ANG-ERR-D  DATA-CM    ERR-T                 A1539  2   13 
     1.7       71.46       1.155     11.06       0.3336           A1539  2  103 
     1.7       77.54       1.155     11.26       0.3246           A1539  2  104 
     1.7       81.56       1.155     11.44       0.345            A1539  2  105 
     1.7       89.62       1.155     12.54       0.3783           A1539  2  106 
     1.7       93.66       1.155     12.56       0.3788           A1539  2  107 
     1.7       99.72       1.155     12.97       0.3912           A1539  2  108 
     1.7      103.7        1.155     13.79       0.4157           A1539  2  109 
     1.7      110.8        1.155     15.57       0.4694           A1539  2  110 
     1.7      121.9        1.155     16.59       0.5003           A1539  2  111 
     1.7      134.         1.155     17.69       0.5333           A1539  2  112 
     1.7      144.1        1.155     19.99       0.6029           A1539  2  113 
     1.7      157.2        1.155     21.32       0.643            A1539  2  114 
     1.75      26.07       1.155     11.54       0.348            A1539  2  115 
     1.75      37.24       1.155     10.29       0.3103           A1539  2  116 
     1.75      49.38       1.155     10.34       0.3117           A1539  2  117 
     1.75      60.5        1.155     10.38       0.313            A1539  2  118 
     1.75      72.6        1.155     11.4        0.3438           A1539  2  119 
     1.75      78.66       1.155     11.77       0.3549           A1539  2  120 
     1.75      82.65       1.155     13.28       0.4003           A1539  2  121 
     1.75      89.73       1.155     13.31       0.4014           A1539  2  122 
     1.75      93.77       1.155     13.73       0.4141           A1539  2  123 
     1.75      99.82       1.155     14.18       0.4276           A1539  2  124 
     1.75     104.9        1.155     14.21       0.4284           A1539  2  125 
     1.75     110.9        1.155     15.11       0.4557           A1539  2  126 
     1.75     122.         1.155     16.61       0.5309           A1539  2  127 
     1.75     133.1        1.155     17.16       0.5175           A1539  2  128 
     1.75     143.2        1.155     19.4        0.585            A1539  2  129 
     1.75     156.3        1.155     21.96       0.6621           A1539  2  130 
     1.8       22.96       1.452     12.8        0.3671           A1539  2  131 
     1.8       34.82       1.452     11.16       0.3201           A1539  2  132 
     1.8       46.65       1.452     10.59       0.3038           A1539  2  133 
     1.8       58.45       1.452     10.64       0.3051           A1539  2  134 
     1.8       70.24       1.452     10.99       0.3153           A1539  2  135 
     1.8       77.09       1.452     12.         0.3441           A1539  2  136 
     1.8       81.03       1.452     12.01       0.3446           A1539  2  137 
     1.8       87.9        1.452     12.39       0.3553           A1539  2  138 
     1.8       92.8        1.452     13.13       0.3767           A1539  2  139 
     1.8       98.7        1.452     13.16       0.3775           A1539  2  140 
     1.8      102.6        1.452     14.35       0.4115           A1539  2  141 
     1.8      109.5        1.452     15.22       0.4366           A1539  2  142 
     1.8      120.2        1.452     17.6        0.5049           A1539  2  143 
     1.8      130.         1.452     19.23       0.5516           A1539  2  144 
     1.8      141.8        1.452     20.44       0.5862           A1539  2  145 
     1.8      155.6        1.452     21.74       0.6235           A1539  2  146 
