ENTRY            A0113   20210211                             A096A0113  0    1 
SUBENT        A0113001   20210211                             A096A0113  1    1 
BIB                 10         21                                 A0113  1    2 
TITLE      Projectile-fragment yields as a probe for the          A0113  1    3 
           collective enhancement in the nuclear level density    A0113  1    4 
AUTHOR     (A.R.Junghans, M.De Jong, H.-G.Clerc,                  A0113  1    5 
           A.V.Ignatyuk, G.A.Kudyaev, K.-H.Schmidt)               A0113  1    6 
INSTITUTE  (2GERTHD,4RUSFEI,2GERGSI)                              A0113  1    7 
REFERENCE  (J,NP/A,629,635,1998)                                  A0113  1    8 
REL-REF    (M,O0956001,H.-G.Clerc+,J,NP/A,590,785,1995)           A0113  1    9 
           (I,A0106001,M.de Jong+,J,NP/A,628,479,1998)            A0113  1   10 
FACILITY   (SYNCH,2GERGSI)                                        A0113  1   11 
           (OLMS,2GERGSI)                                         A0113  1   12 
METHOD     (SITA,OLMS,TOF,EDE)                                    A0113  1   13 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0113  1   14 
STATUS     (TABLE) All data were received from Web-site of GSI.   A0113  1   15 
HISTORY    (20010321C)                                            A0113  1   16 
           (20010613U) Last checking has been done.               A0113  1   17 
           (20200530A) SD: Corrections in all Subents. COMMENT    A0113  1   18 
           deleted (abstract of the article useless in the entry).A0113  1   19 
           Energy units in the COMMON changed. Subents 002-251    A0113  1   20 
           were merged.                                           A0113  1   21 
           (20210211A) SD: Subents 003-251 deleted (info moves to A0113  1   22 
           Subent 002).                                           A0113  1   23 
ENDBIB              21          0                                 A0113  1   24 
COMMON               1          3                                 A0113  1   25 
EN                                                                A0113  1   26 
MEV/A                                                             A0113  1   27 
        88.       208.       0.03      0.014                      A0113  2   91 
        87.       223.      0.095       0.02                      A0113  2   92 
        87.       222.       0.15       0.03                      A0113  2   93 
        87.       221.       0.18       0.04                      A0113  2   94 
        87.       220.       0.36       0.07                      A0113  2   95 
        87.       219.       0.48       0.09                      A0113  2   96 
        87.       218.       0.75       0.14                      A0113  2   97 
        87.       217.       0.91       0.17                      A0113  2   98 
        87.       216.       0.91       0.17                      A0113  2   99 
        87.       215.       0.97       0.18                      A0113  2  100 
        87.       214.       1.78       0.34                      A0113  2  101 
        87.       213.       2.01       0.38                      A0113  2  102 
        87.       212.       1.89       0.36                      A0113  2  103 
        87.       211.        1.9       0.36                      A0113  2  104 
        87.       210.       1.62       0.31                      A0113  2  105 
        87.       209.       1.14       0.21                      A0113  2  106 
        87.       208.       0.81       0.15                      A0113  2  107 
        87.       207.       0.37       0.07                      A0113  2  108 
        87.       206.      0.074      0.022                      A0113  2  109 
        86.       217.       0.22       0.05                      A0113  2  110 
        86.       216.       0.24       0.05                      A0113  2  111 
        86.       215.       0.29       0.05                      A0113  2  112 
        86.       213.       0.75       0.14                      A0113  2  113 
        86.       212.        1.1       0.21                      A0113  2  114 
        86.       211.       1.36       0.26                      A0113  2  115 
        86.       210.       1.66       0.31                      A0113  2  116 
        86.       209.       1.62       0.31                      A0113  2  117 
        86.       208.       1.71       0.32                      A0113  2  118 
        86.       207.       1.64       0.31                      A0113  2  119 
        86.       206.       1.31       0.25                      A0113  2  120 
        86.       205.       0.76       0.14                      A0113  2  121 
        86.       204.        0.6       0.11                      A0113  2  122 
        85.       216.      0.033      0.009                      A0113  2  123 
        85.       215.      0.047      0.019                      A0113  2  124 
        85.       214.      0.076      0.024                      A0113  2  125 
        85.       212.        0.3       0.08                      A0113  2  126 
        85.       211.       0.71       0.14                      A0113  2  127 
        85.       210.       0.64       0.13                      A0113  2  128 
        85.       209.       0.82       0.16                      A0113  2  129 
        85.       208.       1.19       0.23                      A0113  2  130 
        85.       207.       1.36       0.26                      A0113  2  131 
        85.       206.       1.69       0.33                      A0113  2  132 
        85.       205.       2.01       0.39                      A0113  2  133 
        85.       204.       1.82       0.35                      A0113  2  134 
        85.       203.       1.74       0.33                      A0113  2  135 
        85.       202.       1.13       0.22                      A0113  2  136 
