ENTRY            A1492   19990324                             0000A149200000001 
SUBENT        A1492001   19990324                             0000A149200100001 
BIB                 13         30                                 A149200100002 
INSTITUTE  (2JPNTOH)                                              A149200100003 
REFERENCE  (J,JPJ,29,(3),533,197009)                              A149200100004 
AUTHOR     (H.ORIHARA,M.BABA,M.AKIYAMA,S.IWASAKI,T.NAKAGAWA,      A149200100005 
           H.UENO,M.WATANABE)                                     A149200100006 
TITLE      The (3He,alpha) reaction on 7Li from 5.0 to 8.0 mev    A149200100007 
FACILITY   (VDG)                                                  A149200100008 
INC-SPECT  Energy resolution of the beam                          A149200100009 
SAMPLE     Evaporating natural metallic lithium onto a thin carbonA149200100010 
           foil and had a thickness of 4.5 microg/cm**2           A149200100011 
DETECTOR   (SOLST) The solid angle of the detector was            A149200100012 
            (2.10-+0.04)*10**(-3) ster., which determined from    A149200100013 
           the Coulomb scattering of protons by silver foil of    A149200100014 
           known thickness at Ep=3.0 MeV.                         A149200100015 
           A monitor detector was at 120 degr.                    A149200100016 
MONITOR    (3-LI-6(P,EL)3-LI-6,,DA) Target thickness obtained by  A149200100017 
           measuring the elastic scattering of protons (0.9-1.3)  A149200100018 
           mev at the 160 degr. at lab. system and comparing      A149200100019 
           these yield with the elastic scattering data of        A149200100020 
           Warters (see REL-REF)                                  A149200100021 
MONIT-REF  (A1401001,WARTERS+,J,PR,91,917,1953)                   A149200100022 
ERR-ANALYS (ERR-T) The uncertainty in the absolute cross section  A149200100023 
           (DATA-ERR) From graphic bars (statistical) and         A149200100024 
           digitizing error                                       A149200100025 
CRITIQUE   In the text (p.534) the authors gave the value         A149200100026 
            (2.49+-0.37)mb/sr for the cross section of the        A149200100027 
           7Li(He3,alpha0)6Li reaction at 160 degr.lab. and 6 MeV A149200100028 
           bombarding energy. But on the figure the value of the  A149200100029 
           appropriated cross section equal 3.0 mb/sr.            A149200100030 
HISTORY    (19800812C) Compilation Produced by RFNC-VNIIEF Sarov  A149200100031 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A149200100032 
ENDBIB              30          0                                 A149200100033 
COMMON               2          3                                 A149200100034 
EN-RSL     ERR-T                                                  A149200100035 
PER-CENT   PER-CENT                                               A149200100036 
 0.1         15.0                                                 A149200100037 
ENDCOMMON            3          0                                 A149200100038 
ENDSUBENT           37          0                                 A149200199999 
SUBENT        A1492002   19990324                             0000A149200200001 
BIB                  3          3                                 A149200200002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A149200200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A149200200004 
STATUS     (CURVE) Fig 3 points                                   A149200200005 
ENDBIB               3          0                                 A149200200006 
COMMON               1          3                                 A149200200007 
EN-ERR                                                            A149200200008 
MEV                                                               A149200200009 
 0.001                                                            A149200200010 
ENDCOMMON            3          0                                 A149200200011 
DATA                 5        239                                 A149200200012 
EN         ANG        E-LVL      DATA       DATA-ERR              A149200200013 
MEV        ADEG       MEV        MB/SR      MB/SR                 A149200200014 
     4.489     20.         0.         3.769      0.4762           A149200200015 
     4.489     20.         3.56       1.421      0.0471           A149200200016 
     4.493     20.         2.18       1.844      0.1887           A149200200017 
     4.989    160.         3.56       1.402      0.2303           A149200200018 
     4.99      20.         0.         3.692      0.4286           A149200200019 
     4.995    160.         0.         2.502      0.2377           A149200200020 
     4.998     20.         2.18       1.822      0.0471           A149200200021 
     4.999     20.         3.56       1.163      0.0471           A149200200022 
     5.028     20.         0.         3.788      0.0476           A149200200023 
     5.045     20.         2.18       1.918      0.0471           A149200200024 
     5.046     20.         3.56       1.071      0.0471           A149200200025 
     5.047    160.         0.         2.646      0.0476           A149200200026 
     5.05     160.         3.56       1.036      0.2307           A149200200027 
     5.085     20.         0.         3.695      0.0476           A149200200028 
     5.093    160.         3.56       1.407      0.2312           A149200200029 
     5.095    160.         0.         2.458      0.0476           A149200200030 
     5.102     20.         2.18       1.968      0.0471           A149200200031 
     5.103     20.         3.56       0.8384     0.0471           A149200200032 
     5.142     20.         0.         3.555      0.0476           A149200200033 
     5.149     20.         2.18       1.782      0.0471           A149200200034 
     5.151    160.         0.         2.745      0.0476           A149200200035 
     5.154    160.         3.56       1.502      0.0461           A149200200036 
     5.201    160.         3.56       1.274      0.0461           A149200200037 
     5.208    160.         0.         2.605      0.0476           A149200200038 
     5.215     20.         2.18       2.02       0.0471           A149200200039 
     5.237     20.         0.         3.463      0.0476           A149200200040 
     5.246    160.         0.         2.844      0.3333           A149200200041 
     5.253    160.         3.56       1.507      0.2764           A149200200042 
     5.284     20.         0.         3.607      0.0476           A149200200043 
     5.293    160.         0.         3.227      0.3809           A149200200044 
     5.295    160.         3.56       1.878      0.1846           A149200200045 
     5.319     20.         2.18       2.12       0.0471           A149200200046 
     5.343    160.         3.56       1.465      0.1846           A149200200047 
     5.35     160.         0.         2.753      0.3333           A149200200048 
     5.397     20.         0.         3.421      0.0476           A149200200049 
     5.397    160.         0.         2.945      0.3333           A149200200050 
     5.399    160.         3.56       1.514      0.1846           A149200200051 
     5.422     20.         2.18       2.077      0.0471           A149200200052 
     5.445     20.         0.         3.518      0.0476           A149200200053 
     5.447    160.         3.56       1.101      0.2307           A149200200054 
     5.45     160.         0.         2.471      0.333            A149200200055 
     5.489    160.         3.56       1.425      0.0927           A149200200056 
     5.497    160.         0.         2.758      0.333            A149200200057 
     5.498     20.         2.18       2.128      0.0471           A149200200058 
     5.539     20.         0.         3.664      0.0476           A149200200059 
     5.54     160.         3.56       1.613      0.2307           A149200200060 
     5.549    160.         0.         2.855      0.0476           A149200200061 
     5.554     20.         2.18       2.272      0.0471           A149200200062 
     5.584     20.         3.56       0.8616     0.0471           A149200200063 
     5.587     20.         0.         3.285      0.381            A149200200064 
     5.592     20.         2.18       2.415      0.0471           A149200200065 
     5.596    160.         0.         2.857      0.0476           A149200200066 
     5.597    160.         3.56       1.339      0.1845           A149200200067 
     5.635    160.         3.56       1.525      0.0461           A149200200068 
     5.64      20.         3.56       1.1        0.0471           A149200200069 
     5.643     20.         0.         3.716      0.3333           A149200200070 
     5.643    160.         0.         2.906      0.0476           A149200200071 
     5.686     20.         2.18       2.373      0.0471           A149200200072 
     5.691     20.         0.         3.384      0.0476           A149200200073 
     5.691    160.         3.56       1.62       0.2307           A149200200074 
