ENTRY            A1044   19990319                             0000A104400000001 
SUBENT        A1044001   19990319                             0000A104400100001 
BIB                  9         13                                 A104400100002 
INSTITUTE  (2GERUEN)                                              A104400100003 
REFERENCE  (J,PL/B,34,(4),283,197103)                             A104400100004 
AUTHOR     (K.KILIAN,H.TREIBER,R.STRAUS,D.FICK)                   A104400100005 
TITLE      Levels in 5He excited in the elastic D - 3H scattering A104400100006 
FACILITY   (VDGT)                                                 A104400100007 
SAMPLE     The target consisted of a titanium foil with tritium   A104400100008 
           incorporated on a gold backing                         A104400100009 
METHOD     Angular distributions have been obtained in two runs,  A104400100010 
           with deuteron spin up and down,using up to 16 detectorsA104400100011 
           simultaneously                                         A104400100012 
DETECTOR   (SOLST)                                                A104400100013 
HISTORY    (19810527C) Compilation produced by Arzamas RFNC-VNIIEFA104400100014 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A104400100015 
ENDBIB              13          0                                 A104400100016 
NOCOMMON             0          0                                 A104400100017 
ENDSUBENT           16          0                                 A104400199999 
SUBENT        A1044002   19990319                             0000A104400200001 
BIB                  4          7                                 A104400200002 
REACTION   (1-H-3(D,EL)1-H-3,,DA,,LEG,EXP)                        A104400200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A104400200004 
           (DATA-ERR) From graphic bars (statistic)and digitizing A104400200005 
           error                                                  A104400200006 
FLAG       (1.) The results 1 of two independent experimental runsA104400200007 
           (2.) The results 2 of two independent experimental runsA104400200008 
STATUS     (CURVE) Fig 1 left part                                A104400200009 
ENDBIB               7          0                                 A104400200010 
COMMON               1          3                                 A104400200011 
EN-ERR                                                            A104400200012 
MEV                                                               A104400200013 
 0.03                                                             A104400200014 
ENDCOMMON            3          0                                 A104400200015 
DATA                 5        228                                 A104400200016 
EN         NUMBER-CM  DATA-CM    DATA-ERR   FLAG                  A104400200017 
MEV        NO-DIM     MB/SR      MB/SR      NO-DIM                A104400200018 
     3.26       1.      -100.6       38.87       1.               A104400200019 
     3.261      3.       -96.64      51.28       1.               A104400200020 
     3.272      4.        62.38      18.32       1.               A104400200021 
     3.274      2.       187.3       34.69       1.               A104400200022 
     3.284      0.        87.52      12.47       1.               A104400200023 
     3.313      5.        -7.651     26.66       1.               A104400200024 
     3.44       1.       -78.11      24.55       2.               A104400200025 
     3.441      3.       -85.21      34.87       2.               A104400200026 
     3.452      4.        56.27      14.25       2.               A104400200027 
     3.464      0.        81.28      12.47       2.               A104400200028 
     3.494      5.         0.5415    18.46       2.               A104400200029 
     3.499      2.       169.        26.53       2.               A104400200030 
     3.582      3.       -92.56      28.72       1.               A104400200031 
     3.585      0.        89.6        1.025      1.               A104400200032 
     3.586      1.       -90.4       20.46       1.               A104400200033 
     3.589      2.       181.2       22.45       1.               A104400200034 
     3.629      5.        -7.67      14.36       1.               A104400200035 
     3.632      4.        64.41      16.29       1.               A104400200036 
     3.755      0.        93.76       1.025      1.               A104400200037 
     3.756      1.       -92.4       12.27       1.               A104400200038 
     3.757      3.       -98.72      14.36       1.               A104400200039 
     3.768      4.        80.72       1.051      1.               A104400200040 
     3.77       2.       193.4       12.25       1.               A104400200041 
     3.779      5.       -13.83      14.36       1.               A104400200042 
     3.936      1.       -76.06      26.6        2.               A104400200043 
     3.937      3.       -86.4       34.87       2.               A104400200044 
     3.945      5.        -5.637     24.61       2.               A104400200045 
     3.948      4.        88.8       20.35       2.               A104400200046 
     3.95       2.       201.6       26.53       2.               A104400200047 
     3.96       0.        93.76      10.39       2.               A104400200048 
     4.038      3.      -117.2       24.62       1.               A104400200049 
     4.04       2.       215.8       14.29       1.               A104400200050 
     4.041      0.       100.         1.025      1.               A104400200051 
     4.041      1.       -94.48      16.37       1.               A104400200052 
     4.054      4.       109.1       10.18       1.               A104400200053 
     4.054      5.       -22.06      14.36       2.               A104400200054 
     4.251      0.       104.2        1.025      1.               A104400200055 
     4.252      1.       -92.4       18.42       1.               A104400200056 
     4.253      3.      -109.        22.56       1.               A104400200057 
     4.265      4.       119.4       12.22       1.               A104400200058 
     4.266      2.       226.1       14.29       1.               A104400200059 
     4.275      5.       -17.96      12.31       2.               A104400200060 
     4.443      3.       -88.4       28.72       2.               A104400200061 
     4.445      4.       123.4       12.22       2.               A104400200062 
     4.446      2.       228.1       20.41       2.               A104400200063 
     4.456      0.       104.2        8.312      2.               A104400200064 
     4.467      1.       -67.86      16.37       1.               A104400200065 
     4.475      5.       -11.82      16.41       2.               A104400200066 
     4.557      0.       106.2        1.025      1.               A104400200067 
     4.558      3.       -92.56      20.51       1.               A104400200068 
     4.565      5.       -15.82      10.26       1.               A104400200069 
     4.571      4.       137.7       14.25       1.               A104400200070 
     4.572      1.       -69.91      18.41       1.               A104400200071 
     4.576      2.       226.1       16.33       1.               A104400200072 
     4.747      0.       110.4        1.025      1.               A104400200073 
     4.747      1.       -65.82      12.27       1.               A104400200074 
     4.749      3.       -84.32      20.51       1.               A104400200075 
     4.761      4.       139.7        1.051      1.               A104400200076 
     4.761      5.       -20.04      10.26       1.               A104400200077 
     4.766      2.       228.1       14.29       1.               A104400200078 
     4.961      1.       -51.49      22.5        2.               A104400200079 
     4.962      0.       118.6       10.39       2.               A104400200080 
     4.974      3.       -60.9       36.92       2.               A104400200081 
     4.981      5.       -18.        24.62       2.               A104400200082 
     4.987      2.       248.5       22.45       2.               A104400200083 
     4.987      4.       160.        18.32       2.               A104400200084 
     5.047      1.       -39.22       0.9208     1.               A104400200085 
     5.053      0.       116.6        1.025      1.               A104400200086 
     5.076      3.       -49.9       36.92       1.               A104400200087 
     5.077      2.       232.2        0.984      1.               A104400200088 
     5.077      4.       158.         1.051      1.               A104400200089 
     5.077      5.       -18.01       1.082      1.               A104400200090 
     5.243      0.       120.7        1.025      1.               A104400200091 
     5.243      1.       -28.98      16.37       1.               A104400200092 
     5.244      3.       -39.18      18.46       1.               A104400200093 
     5.257      2.       244.4       14.29       1.               A104400200094 
     5.267      5.       -11.86      14.36       1.               A104400200095 
     5.272      4.       169.2       14.25       1.               A104400200096 
     5.553      0.       131.         1.025      1.               A104400200097 
     5.558      1.        -9.52      18.42       1.               A104400200098 
     5.559      3.       -18.66      28.72       1.               A104400200099 
     5.563      2.       258.6       16.33       1.               A104400200100 
     5.564      4.       194.6        8.144      1.               A104400200101 
     5.564      5.       -20.09      16.41       1.               A104400200102 
     5.668      1.        -0.3338    16.37       1.               A104400200103 
     5.669      3.         7.249     24.62       1.               A104400200104 
     5.674      0.       124.9        1.025      1.               A104400200105 
     5.678      2.       238.2       16.33       1.               A104400200106 
     5.679      4.       186.4       12.22       1.               A104400200107 
     5.68       5.       -13.94      18.46       1.               A104400200108 
     5.868      1.         6.035     24.55       2.               A104400200109 
     5.874      0.       131.1        8.312      2.               A104400200110 
     5.883      5.        -7.799     22.56       2.               A104400200111 
     5.884      3.        12.13      18.46       2.               A104400200112 
     5.889      2.       252.6       18.37       2.               A104400200113 
     5.889      4.       198.6       20.36       2.               A104400200114 
     6.144      0.       131.1        1.025      1.               A104400200115 
     6.144      1.        16.04      14.32       1.               A104400200116 
     6.153      5.       -24.22      12.3        1.               A104400200117 
     6.16       3.        12.13      18.46       1.               A104400200118 
     6.164      2.       250.5       16.33       1.               A104400200119 
     6.165      4.       210.9       10.18       1.               A104400200120 
     6.325      0.       133.2        1.025      1.               A104400200121 
     6.334      5.         0.3778    14.36       1.               A104400200122 
     6.339      1.        50.82      12.27       1.               A104400200123 
     6.339      2.       248.5       14.29       1.               A104400200124 
     6.339      3.        57.26      20.51       1.               A104400200125 
     6.34       4.       210.8       12.22       1.               A104400200126 
     6.45       0.       131.1        8.312      2.               A104400200127 
     6.459      1.        42.64      20.46       2.               A104400200128 
     6.46       3.        49.06      32.82       2.               A104400200129 
     6.469      5.       -13.98      20.51       2.               A104400200130 
     6.475      4.       198.6       20.36       2.               A104400200131 
     6.479      2.       236.2       26.53       2.               A104400200132 
     6.644      1.        48.78      14.32       1.               A104400200133 
     6.65       0.       133.2        1.025      1.               A104400200134 
     6.65       3.        49.06      24.62       1.               A104400200135 
     6.658      5.       -22.2       14.36       1.               A104400200136 
     6.66       2.       238.2       18.37       1.               A104400200137 
     6.661      4.       212.9       12.22       1.               A104400200138 
     6.85       0.       127.         1.025      1.               A104400200139 
     6.85       3.        83.92      22.56       1.               A104400200140 
     6.855      1.        71.29      14.32       1.               A104400200141 
     6.864      5.        -5.806     16.41       1.               A104400200142 
     6.87       2.       232.2       14.29       1.               A104400200143 
     6.871      4.       210.8       12.22       1.               A104400200144 
     6.975      1.        61.06      22.5        2.               A104400200145 
     6.975      3.        73.68      26.67       2.               A104400200146 
     6.984      5.       -20.17      18.46       2.               A104400200147 
     6.991      0.       129.         1.025      2.               A104400200148 
     7.         2.       228.        18.37       2.               A104400200149 
     7.         4.       206.7       16.29       2.               A104400200150 
     7.126      0.       129.        10.39       1.               A104400200151 
     7.135      1.        85.6       18.42       1.               A104400200152 
     7.14       3.        96.24      30.77       1.               A104400200153 
     7.14       5.        -3.774     18.46       1.               A104400200154 
     7.145      2.       238.2       22.45       1.               A104400200155 
     7.147      4.       210.8       22.39       1.               A104400200156 
     7.475      1.        95.6       16.37       1.               A104400200157 
     7.475      3.       133.2       53.34       1.               A104400200158 
     7.476      5.        -5.84      16.41       1.               A104400200159 
     7.477      0.       120.6       12.47       1.               A104400200160 
     7.501      2.       221.9       38.78       1.               A104400200161 
     7.502      4.       202.7       12.22       1.               A104400200162 
     7.73       0.       124.8        1.025      1.               A104400200163 
     7.731      1.        95.84      14.32       1.               A104400200164 
     7.731      3.       116.8       24.62       1.               A104400200165 
     7.736      2.       221.9       18.37       1.               A104400200166 
     7.738      4.       212.8       10.18       1.               A104400200167 
     7.756      5.         2.346     14.36       1.               A104400200168 
     7.986      1.       110.2       20.46       2.               A104400200169 
     7.987      0.       118.6        1.025      2.               A104400200170 
     7.991      3.       133.2       30.77       2.               A104400200171 
     8.002      5.         4.383     20.51       2.               A104400200172 
     8.007      2.       211.7       18.37       2.               A104400200173 
     8.007      4.       186.3       18.32       2.               A104400200174 
     8.253      0.       116.5        8.312      2.               A104400200175 
     8.261      1.       136.8       18.41       2.               A104400200176 
     8.261      3.       174.2       26.66       2.               A104400200177 
     8.273      5.        24.88      20.51       2.               A104400200178 
     8.278      2.       199.4       38.78       2.               A104400200179 
     8.278      4.       184.3       12.22       2.               A104400200180 
     8.398      1.       120.4       20.46       1.               A104400200181 
     8.398      3.       147.6       28.72       1.               A104400200182 
     8.407      5.        14.62      18.46       1.               A104400200183 
     8.423      0.       120.6        1.025      1.               A104400200184 
     8.427      2.       219.8       18.37       1.               A104400200185 
     8.428      4.       198.6       16.29       1.               A104400200186 
     8.743      0.       118.6        6.234      1.               A104400200187 
     8.743      5.        12.54      20.51       1.               A104400200188 
     8.757      3.       161.9       28.72       1.               A104400200189 
     8.763      2.       217.8       20.41       1.               A104400200190 
     8.764      4.       194.4       20.36       1.               A104400200191 
     8.765      1.       124.5       16.37       1.               A104400200192 
     8.822      1.       132.7       18.41       1.               A104400200193 
     8.822      3.       149.6       28.72       1.               A104400200194 
     8.828      2.       211.7       14.29       1.               A104400200195 
     8.829      0.       118.6        1.025      1.               A104400200196 
     8.838      5.         6.385     24.62       1.               A104400200197 
     8.844      4.       198.5       14.25       1.               A104400200198 
     9.229      5.        16.62      16.41       2.               A104400200199 
     9.234      0.       108.2        1.025      2.               A104400200200 
     9.253      1.       130.6       14.32       2.               A104400200201 
