ENTRY            A1253   20120327                             A077A125300000001 
SUBENT        A1253001   20120327                             A077A125300100001 
BIB                  7         12                                 A125300100002 
INSTITUTE  (4RUSJIA)                                              A125300100003 
REFERENCE  (J,YF,29,(5),1137,1979)                                A125300100004 
           (J,SNP,29,585,1979) English translation                A125300100005 
AUTHOR     (I.Ja.Barit,Ju.G.Balashko,L.S.Dulkova,V.P.Zavarzina)   A125300100006 
TITLE      D-helium differential cross section scattering         A125300100007 
           in deuteron energy range 870 to 1430 keV               A125300100008 
FACILITY   (VDG)                                                  A125300100009 
SAMPLE     Gas targets- 4He (four series of exp.) and  4He+H.     A125300100010 
HISTORY    (19881214C) compilation produced by Arzamas RFNC-VNIIEFA125300100011 
           (19990315U)cnpd: corrected 4-dig. year and lower cases.A125300100012 
           (20120327A) BIB section upgrated                       A125300100013 
           English translation of 'YF' was added-sb               A125300100014 
ENDBIB              12          0                                 A125300100015 
NOCOMMON             0          0                                 A125300100016 
ENDSUBENT           15          0                                 A125300199999 
SUBENT        A1253002   19990322                             0000A125300200001 
BIB                  3          5                                 A125300200002 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA,,,EXP)                         A125300200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A125300200004 
           (DATA-ERR) Digitizing error                            A125300200005 
           (ERR-T) Absolute error                                 A125300200006 
STATUS     (CURVE) Fig 2                                          A125300200007 
ENDBIB               5          0                                 A125300200008 
COMMON               1          3                                 A125300200009 
EN-ERR                                                            A125300200010 
MEV                                                               A125300200011 
  0.001                                                           A125300200012 
ENDCOMMON            3          0                                 A125300200013 
DATA                 5        302                                 A125300200014 
EN         ANG-CM     ERR-T      DATA-CM    DATA-ERR              A125300200015 
     1.021     48.9        6.         0.5426     0.0065           A125300200105 
     1.022     60.25       6.         0.3428     0.0014           A125300200106 
     1.022     90.         6.         0.1852     0.0061           A125300200107 
     1.024    125.        10.         0.1622     0.003            A125300200108 
     1.025     38.75       6.         0.9335     0.0587           A125300200109 
     1.025     90.         6.         0.1837     0.0007           A125300200110 
     1.026     48.9        6.         0.5653     0.0065           A125300200111 
     1.029     38.75       6.         0.9182     0.0124           A125300200112 
     1.029     48.9        6.         0.519      0.0065           A125300200113 
     1.03      48.9        6.         0.5881     0.0065           A125300200114 
     1.03      60.25       6.         0.3581     0.0092           A125300200115 
     1.03     125.        10.         0.1751     0.003            A125300200116 
     1.031     60.25       6.         0.3643     0.0014           A125300200117 
     1.031     90.         6.         0.1776     0.0007           A125300200118 
     1.033     38.75       6.         0.9765     0.0124           A125300200119 
     1.033     48.9        6.         0.5571     0.0065           A125300200120 
     1.035    125.        10.         0.1751     0.003            A125300200121 
     1.036     38.75       6.         0.9321     0.0124           A125300200122 
     1.036     48.9        6.         0.6184     0.0065           A125300200123 
     1.037     60.25       6.         0.3765     0.0014           A125300200124 
     1.037     90.         6.         0.1731     0.0076           A125300200125 
     1.038     48.9        6.         0.5645     0.0065           A125300200126 
     1.038    125.        10.         0.2074     0.003            A125300200127 
     1.039     38.75       6.         1.02       0.0443           A125300200128 
     1.04      90.         6.         0.1761     0.0061           A125300200129 
     1.041     48.9        6.         0.6412     0.0065           A125300200130 
     1.041    125.        10.         0.2203     0.003            A125300200131 
     1.042     38.75       6.         1.093      0.0441           A125300200132 
     1.042     60.25       6.         0.3858     0.0014           A125300200133 
     1.043     90.         6.         0.1731     0.0007           A125300200134 
