ENTRY            A0301   19870425                             0000A030100000001 
SUBENT        A0301001   19870425                             0000A030100100001 
BIB                  9         17                                 A030100100002 
INSTITUTE  (4CCPFEI)                                              A030100100003 
REFERENCE  (C,83KIEV,3,283,84)                                    A030100100004 
AUTHOR     (N.S.BIRYUKOV, B.V.ZHURAVLEV, A.P.RUDENKO,             A030100100005 
           O.A.SALNIKOV, V.I.TRYKOVA)                             A030100100006 
TITLE      NEUTRONS FROM (D,N) REACTION ON 115IN.                 A030100100007 
FACILITY   (CYCLO,4CCPFEI)                                        A030100100008 
METHOD     (TOF,BCINT,SITA)                                       A030100100009 
PART-DET   (N)                                                    A030100100010 
ERR-ANALYS (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.         A030100100011 
           (DATA-ERR).TOTAL UNCERTAINTY.                          A030100100012 
HISTORY    (860215C).BY AUTHORS.                                  A030100100013 
           (860517T).BY CAJAD.                                    A030100100014 
           (860620L).                                             A030100100015 
           (860915U)                                              A030100100016 
           (870422A). ACCORDING TO MEMO CP-D/161.                 A030100100017 
           (860915U)                                              A030100100018 
           (870425U)                                              A030100100019 
ENDBIB              17          0                                 A030100100020 
COMMON               2          3                                 A030100100021 
EN         EN-ERR                                                 A030100100022 
MEV        MEV                                                    A030100100023 
    22.3        0.3                                               A030100100024 
ENDCOMMON            3          0                                 A030100100025 
ENDSUBENT           24          0                                 A030100199999 
SUBENT        A0301002   19870425                             0000A030100200001 
BIB                  2          2                                 A030100200002 
REACTION   (49-IN-115(D,X)0-NN-1,,DA/DE,,,EXP)                    A030100200003 
SAMPLE     IN-115(99.98 PERCENT).THICKNESS OF FOIL=4.00E-3G/CM**2 A030100200004 
ENDBIB               2          0                                 A030100200005 
NOCOMMON             0          0                                 A030100200006 
DATA                 4        343                                 A030100200007 
E          ANG        DATA       DATA-ERR                         A030100200008 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        A030100200009 
    4.59      90.        14.95       0.61                         A030100200102 
    4.59     120.         9.96       0.42                         A030100200103 
    4.59     150.        13.09       0.62                         A030100200104 
    4.79      30.        19.13       0.80                         A030100200105 
    4.79      60.        15.77       0.68                         A030100200106 
    4.79      90.        13.57       0.60                         A030100200107 
    4.79     120.         8.86       0.41                         A030100200108 
    4.79     150.        12.17       0.69                         A030100200109 
    5.01      30.        18.11       0.73                         A030100200110 
    5.01      60.        14.63       0.60                         A030100200111 
    5.01      90.        12.34       0.51                         A030100200112 
    5.01     120.         7.91       0.35                         A030100200113 
    5.01     150.        10.53       0.53                         A030100200114 
    5.24      30.        17.16       0.72                         A030100200115 
    5.24      60.        13.21       0.57                         A030100200116 
    5.24      90.        10.30       0.47                         A030100200117 
    5.24     120.         6.58       0.32                         A030100200118 
    5.24     150.         8.32       0.51                         A030100200119 
    5.44      30.        16.84       0.72                         A030100200120 
    5.44      60.        12.33       0.54                         A030100200121 
    5.44      90.         9.27       0.42                         A030100200122 
    5.44     120.         6.13       0.30                         A030100200123 
    5.44     150.         7.20       0.46                         A030100200124 
    5.64      30.        16.13       0.68                         A030100200125 
    5.64      60.        11.10       0.49                         A030100200126 
    5.64      90.         8.88       0.41                         A030100200127 
    5.64     120.         5.54       0.28                         A030100200128 
    5.64     150.         6.36       0.41                         A030100200129 
    5.81      30.        16.60       0.71                         A030100200130 
    5.81      60.        10.71       0.48                         A030100200131 
    5.81      90.         7.59       0.36                         A030100200132 
    5.81     120.         4.94       0.26                         A030100200133 
    5.81     150.         5.88       0.38                         A030100200134 
    5.98      30.        16.46       0.70                         A030100200135 
    5.98      60.        10.34       0.46                         A030100200136 
    5.98      90.         6.97       0.33                         A030100200137 
    5.98     120.         4.14       0.21                         A030100200138 
    5.98     150.         5.54       0.36                         A030100200139 
    6.22      30.        16.40       0.70                         A030100200140 
    6.22      60.         9.29       0.42                         A030100200141 
