    10.32      70.1       19.07       0.5988                      A103900200093 
    10.39      54.8       26.32       1.205                       A103900200094 
    10.41      30.6       93.52       1.96                        A103900200095 
    10.8       70.1       28.68       0.5988                      A103900200096 
    10.82      90.        27.48       0.5988                      A103900200097 
    10.87      54.8       25.17       1.205                       A103900200098 
    10.95      30.6       87.43       1.833                       A103900200099 
    11.29      90.        29.9        0.5988                      A103900200100 
    11.33      70.1       26.31       0.5988                      A103900200101 
    11.37      54.8       28.85       1.205                       A103900200102 
    11.47      30.6       76.74       1.608                       A103900200103 
    11.8       90.        28.14       0.5988                      A103900200104 
    11.84      70.1       26.94       0.5988                      A103900200105 
    11.88      54.8       24.09       1.205                       A103900200106 
    11.98      30.6       73.19       1.534                       A103900200107 
ENDDATA             94          0                                 A103900200108 
ENDSUBENT          107          0                                 A103900299999 
SUBENT        A1039003   19990319                             0000A103900300001 
BIB                  3          4                                 A103900300002 
REACTION   (2-HE-3(HE3,EL)2-HE-3,,DA,,,EXP)                       A103900300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A103900300004 
           (DATA-ERR) Digitizing error                            A103900300005 
STATUS     (CURVE) Fig 3,4,5                                      A103900300006 
ENDBIB               4          0                                 A103900300007 
COMMON               1          3                                 A103900300008 
ANG-ERR                                                           A103900300009 
ADEG                                                              A103900300010 
 0.2                                                              A103900300011 
ENDCOMMON            3          0                                 A103900300012 
DATA                 4         69                                 A103900300013 
EN         ANG-CM     DATA-CM    DATA-ERR                         A103900300014 
MEV        ADEG       MB/SR      MB/SR                            A103900300015 
     3.03      24.2     5062.        78.84                        A103900300016 
     3.03      30.85    1909.        29.73                        A103900300017 
     3.03      35.28    1012.        15.76                        A103900300018 
     3.03      40.39     616.6        9.603                       A103900300019 
     3.03      45.29     393.5        6.128                       A103900300020 
     3.03      50.17     218.5        3.403                       A103900300021 
     3.03      54.86     202.         3.146                       A103900300022 
     3.03      60.21     152.8        2.379                       A103900300023 
     3.03      65.11     122.9        1.914                       A103900300024 
     3.03      70.25     106.8        1.664                       A103900300025 
     3.03      75.61      91.44       1.424                       A103900300026 
     3.03      80.53      89.94       1.401                       A103900300027 
     3.03      85.22      84.46       1.315                       A103900300028 
     5.9       24.01     949.6        9.767                       A103900300029 
     5.9       30.59     327.2        3.366                       A103900300030 
     5.9       34.78     190.1        1.956                       A103900300031 
     5.9       39.86     116.3        1.196                       A103900300032 
     5.9       44.95      85.45       0.879                       A103900300033 
