ENTRY            A1486   19990324                             0000A148600000001 
SUBENT        A1486001   19990324                             0000A148600100001 
BIB                 12         24                                 A148600100002 
INSTITUTE  (1USARIC)                                              A148600100003 
REFERENCE  (J,NP,67,(3),517,196506)                               A148600100004 
AUTHOR     (P.D.FORSYTH,R.R.PERRY)                                A148600100005 
TITLE      The 7Li(HE3,ALPHA)6Li Reaction Between 1.3 and 5.5 MeV A148600100006 
FACILITY   (VDG)                                                  A148600100007 
SAMPLE     Metallic 7Li (99.99% PURITY) onto thin carbon foils    A148600100008 
           The various targets had thicknesses ranging between    A148600100009 
           30 and 60 mu-g/cm2 of lithium.                         A148600100010 
METHOD     (PHD)                                                  A148600100011 
DETECTOR   (SOLST)                                                A148600100012 
           A Fixed monitor counter at 90 degr. was used to check  A148600100013 
           target deterioration.                                  A148600100014 
MONITOR    (3-LI-7(P,EL)3-LI-7,,DA)                               A148600100015 
           For Li-7(HE3,A0)Li-6 Cross Sect. = 1.47+-0.2 Mb/Sr.    A148600100016 
MONIT-REF  (A1401001,WARTERS+,J,PR,91,917,1953) For Li-7          A148600100017 
           (,WEBB,J,PR,99,138,1955)   For F-19                    A148600100018 
ERR-ANALYS (DATA-ERR2) The relative error in the cross section forA148600100019 
           the alpha0 and alpha1 groups did not depend on the     A148600100020 
           normalizations.                                        A148600100021 
           (ERR-T) Absolute error on the cross section scale      A148600100022 
HISTORY    (19800829C) Compilation produced by RFNC-VNIIEF Sarov  A148600100023 
           (19970920A) Err-Analys is corrected by CAJAD.          A148600100024 
           (19970923U) Last checking has been done.               A148600100025 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A148600100026 
ENDBIB              24          0                                 A148600100027 
COMMON               4          3                                 A148600100028 
EN-NRM     ANG-NRM    DATA-ERR2  ERR-T                            A148600100029 
MEV        ADEG       PER-CENT   PER-CENT                         A148600100030 
  2.98       90.         10.        15.                           A148600100031 
ENDCOMMON            3          0                                 A148600100032 
ENDSUBENT           31          0                                 A148600199999 
SUBENT        A1486002   19990324                             0000A148600200001 
BIB                  4          8                                 A148600200002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A148600200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A148600200004 
           (DATA-ERR) Digitizing error                            A148600200005 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600200006 
           the relative errors associated with the cross section  A148600200007 
FLAG       (1.) 1961 data                                         A148600200008 
           (2.) 1963 data                                         A148600200009 
STATUS     (CURVE) Fig 1,2                                        A148600200010 
ENDBIB               8          0                                 A148600200011 
COMMON               2          3                                 A148600200012 
EN-ERR     DATA-ERR                                               A148600200013 
MEV        MB/SR                                                  A148600200014 
      0.007      0.005                                            A148600200015 
ENDCOMMON            3          0                                 A148600200016 
DATA                 6        275                                 A148600200017 
EN         E-LVL      ANG        DATA       DATA-ERR1  FLAG       A148600200018 
MEV        MEV        ADEG       MB/SR      MB/SR      NO-DIM     A148600200019 
     1.269      0.        90.         0.2017     0.0157     1.    A148600200020 
     1.283      2.18      90.         0.1222     0.0115     1.    A148600200021 
     1.324      0.       165.         0.1451     0.0156     1.    A148600200022 
     1.34       2.18     165.         0.0549                1.    A148600200023 
     1.36       0.         8.         0.5236     0.0158     1.    A148600200024 
     1.374      0.        90.         0.2377     0.0104     1.    A148600200025 
     1.38       0.       165.         0.1656     0.0156     1.    A148600200026 
     1.38       2.18      90.         0.1339     0.0115     1.    A148600200027 
     1.397      2.18     165.         0.0589                1.    A148600200028 
     1.436      0.       165.         0.1653     0.0156     1.    A148600200029 
     1.437      0.         8.         0.6491     0.0158     1.    A148600200030 
     1.448      2.18     165.         0.0823                1.    A148600200031 
     1.479      0.        90.         0.2423     0.0156     1.    A148600200032 
     1.488      2.18      90.         0.1802     0.0115     1.    A148600200033 
     1.498      0.       165.         0.165      0.026      1.    A148600200034 
     1.5        0.         8.         0.7064     0.0158     1.    A148600200035 
     1.509      2.18     165.         0.1095                1.    A148600200036 
     1.547      0.       165.         0.1544     0.0156     1.    A148600200037 
     1.555      0.         8.         0.706      0.0106     1.    A148600200038 
     1.566      2.18     165.         0.1058                1.    A148600200039 
     1.584      0.        90.         0.2939     0.0156     1.    A148600200040 
     1.596      2.18      90.         0.1958     0.0154     1.    A148600200041 
     1.61       0.       165.         0.1437     0.0156     1.    A148600200042 
     1.611      0.         8.         0.7739     0.0158     1.    A148600200043 
     1.627      2.18     165.         0.133                 1.    A148600200044 
     1.679      0.       165.         0.159      0.0156     1.    A148600200045 
     1.681      0.         8.         0.8364     0.0158     1.    A148600200046 
     1.694      2.18     165.         0.1486                1.    A148600200047 
     1.695      0.        90.         0.3558     0.0156     1.    A148600200048 
     1.709      2.18      90.         0.2113     0.0154     1.    A148600200049 
     1.735      0.       165.         0.1795     0.0156     1.    A148600200050 
     1.736      0.         8.         0.878      0.0158     1.    A148600200051 
     1.75       2.18     165.         0.2146     0.0155     1.    A148600200052 
     1.812      0.       165.         0.1688     0.0208     1.    A148600200053 
     1.815      0.        90.         0.501      0.0156     1.    A148600200054 
     1.82       0.         8.         0.9719     0.0264     1.    A148600200055 
     1.822      2.18     165.         0.207      0.0116     1.    A148600200056 
     1.826      2.18      90.         0.25       0.0154     1.    A148600200057 
     1.829      0.        90.         0.632      0.0365     2.    A148600200058 
     1.831      2.18       8.         0.4613     0.0272     2.    A148600200059 
     1.835      0.         8.         0.9541     0.0472     2.    A148600200060 
     1.839      2.18      90.         0.2124     0.0423     2.    A148600200061 
     1.867      0.       165.         0.1737     0.0156     1.    A148600200062 
     1.869      0.         8.         1.019      0.0158     1.    A148600200063 
     1.878      2.18     165.         0.1877     0.0155     1.    A148600200064 
     1.931      0.       165.         0.241      0.026      1.    A148600200065 
     1.932      0.         8.         1.087      0.0158     1.    A148600200066 
     1.945      2.18     165.         0.215      0.0155     1.    A148600200067 
     1.957      2.18       8.         0.6249     0.0272     2.    A148600200068 
     1.96       0.         8.         1.095      0.042      2.    A148600200069 
     1.966      2.18      90.         0.3473     0.0461     2.    A148600200070 
     1.97       0.        90.         0.772      0.0365     2.    A148600200071 
     1.998      0.        90.         0.6771     0.0208     1.    A148600200072 
     2.         0.       165.         0.2614     0.0208     1.    A148600200073 
     2.001      0.         8.         1.181      0.021      1.    A148600200074 
     2.005      2.18      90.         0.331      0.0115     1.    A148600200075 
     2.006      2.18     165.         0.2422     0.0155     1.    A148600200076 
     2.077      0.       165.         0.3183     0.0156     1.    A148600200077 
     2.078      0.         8.         1.264      0.021      1.    A148600200078 
     2.082      0.        90.         0.7704     0.0156     1.    A148600200079 
     2.082      2.18      90.         0.3658     0.0115     1.    A148600200080 
     2.083      2.18     165.         0.3005     0.0155     1.    A148600200081 
     2.099      2.18       8.         0.6991     0.0389     2.    A148600200082 
     2.107      0.         8.         1.209      0.0525     2.    A148600200083 
     2.111      0.        90.         0.9485     0.0469     2.    A148600200084 
     2.12       2.18      90.         0.34       0.0346     2.    A148600200085 
     2.14       0.       165.         0.3959     0.026      1.    A148600200086 
     2.143      2.18      90.         0.4158     0.0115     1.    A148600200087 
     2.145      0.        90.         0.8378     0.0208     1.    A148600200088 
     2.145      2.18     165.         0.32       0.0155     1.    A148600200089 
     2.148      0.         8.         1.306      0.021      1.    A148600200090 
     2.206      2.18     165.         0.3511     0.0116     1.    A148600200091 
     2.214      2.18      90.         0.4775     0.0115     1.    A148600200092 
     2.216      0.        90.         0.952      0.0156     1.    A148600200093 
     2.217      0.         8.         1.331      0.0158     1.    A148600200094 
     2.217      0.       165.         0.4631     0.0208     1.    A148600200095 
     2.234      2.18       8.         0.9678     0.0467     2.    A148600200096 
     2.244      0.        90.         1.026      0.0417     2.    A148600200097 
     2.246      0.         8.         1.192      0.042      2.    A148600200098 
     2.246      2.18      90.         0.5211     0.0461     2.    A148600200099 
     2.26       0.       165.         0.5669     0.026      1.    A148600200100 
     2.267      2.18     165.         0.328      0.0194     1.    A148600200101 
     2.28       0.         8.         1.242      0.021      1.    A148600200102 
     2.28       0.        90.         1.035      0.0104     1.    A148600200103 
     2.281      0.       165.         0.5668     0.0208     1.    A148600200104 
     2.281      2.18      90.         0.4968     0.0154     1.    A148600200105 
     2.283      2.18     165.         0.3939     0.0155     1.    A148600200106 
     2.316      0.       165.         0.6342     0.026      1.    A148600200107 
     2.319      2.18     165.         0.3203     0.0194     1.    A148600200108 
     2.337      0.       165.         0.6393     0.026      1.    A148600200109 
     2.339      2.18     165.         0.3591     0.0155     1.    A148600200110 
