ENTRY            A1375   19990322                             0000A137500000001 
SUBENT        A1375001   19990322                             0000A137500100001 
BIB                  8         12                                 A137500100002 
INSTITUTE  (2GERUEN)                                              A137500100003 
REFERENCE  (J,NP/A,120,678,196811)                                A137500100004 
AUTHOR     (W.DURR,G.CLAUSNITZER,D.FICK,R.FLEISCHMANN,            A137500100005 
           H.M.HOFMANN,K.KILIAN)                                  A137500100006 
TITLE      The 6Li(d,alpha) reaction with polarized deuterons     A137500100007 
           at the energy range E=2.1-10.9 MeV                     A137500100008 
FACILITY   (VDGT)                                                 A137500100009 
SAMPLE     6Li(99.6%) of 400 mu-g/cm2 thickness on the nickel     A137500100010 
           foil 50 mu-g/cm**2                                     A137500100011 
DETECTOR   (SOLST) Surface-barrier 14 detectors                   A137500100012 
HISTORY    (19800716C) Compilation produced by Arzamas RFNC-VNIIEFA137500100013 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A137500100014 
ENDBIB              12          0                                 A137500100015 
NOCOMMON             0          0                                 A137500100016 
ENDSUBENT           15          0                                 A137500199999 
SUBENT        A1375002   19990322                             0000A137500200001 
BIB                  4          6                                 A137500200002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,LEG,EXP)                       A137500200003 
MONIT-REF  (A1355001,CLARK+,J,NP/A,98,473,1967)                   A137500200004 
ERR-ANALYS (EN-ERR) Digitizing error                              A137500200005 
           (DATA-ERR) From graphic bars (statistical) and the     A137500200006 
           digitizing error                                       A137500200007 
STATUS     (CURVE) Fig 4                                          A137500200008 
ENDBIB               6          0                                 A137500200009 
COMMON               1          3                                 A137500200010 
EN-ERR                                                            A137500200011 
MEV                                                               A137500200012 
 0.03                                                             A137500200013 
ENDCOMMON            3          0                                 A137500200014 
DATA                 4        109                                 A137500200015 
EN         NUMBER-CM  DATA       DATA-ERR                         A137500200016 
MEV        NO-DIM     MB/SR      MB/SR                            A137500200017 
     2.888      4.         1.087      1.037                       A137500200018 
     2.944      2.         4.215      0.7143                      A137500200019 
     2.971      0.         8.216      0.48                        A137500200020 
     2.998      4.         0.7405     1.136                       A137500200021 
     3.058      2.         4.5        0.6667                      A137500200022 
     3.063      0.         9.032      0.384                       A137500200023 
     3.109      4.         0.5915     1.234                       A137500200024 
     3.141      2.         4.404      0.7143                      A137500200025 
     3.183      0.         9.847      0.4323                      A137500200026 
     3.183      4.         1.183      1.135                       A137500200027 
     3.266      2.         4.212      0.7145                      A137500200028 
     3.273      0.        10.37       0.384                       A137500200029 
     3.305      4.         0.5405     1.333                       A137500200030 
     3.332      2.         3.688      0.8095                      A137500200031 
     3.394      0.        11.19       0.576                       A137500200032 
     3.394      4.         1.231      1.235                       A137500200033 
     3.428      2.         3.497      0.8569                      A137500200034 
     3.482      4.         1.675      1.185                       A137500200035 
     3.5        0.        12.15       0.384                       A137500200036 
     3.523      2.         3.115      0.7143                      A137500200037 
     3.578      0.        12.92       0.432                       A137500200038 
     3.589      4.         1.229      1.037                       A137500200039 
     3.642      2.         2.399      0.6669                      A137500200040 
     3.666      0.        13.3        0.336                       A137500200041 
     3.688      4.         1.327      1.086                       A137500200042 
     3.721      2.         1.732      0.7141                      A137500200043 
     3.807      4.         0.5362     0.9382                      A137500200044 
     3.809      0.        13.44       0.288                       A137500200045 
     3.812      2.         1.112      0.4762                      A137500200046 
     3.892      0.        13.25       0.288                       A137500200047 
     3.907      4.         0.8316     0.6915                      A137500200048 
     3.932      2.         0.3497     0.4283                      A137500200049 
     3.974      4.         0.3867     0.79                        A137500200050 
     3.996      2.        -0.3176     0.4762                      A137500200051 
     4.001      0.        12.77       0.336                       A137500200052 
     4.074      2.        -0.9849     0.3809                      A137500200053 
     4.087      4.         0.6327     0.6419                      A137500200054 
     4.11       0.        12.29       0.288                       A137500200055 
     4.185      4.         0.6811     0.4446                      A137500200056 
     4.191      0.        11.76       0.288                       A137500200057 
     4.212      2.        -1.224      0.238                       A137500200058 
     4.268      4.         0.4337     0.6911                      A137500200059 
     4.291      2.        -1.796      0.4285                      A137500200060 
     4.297      0.        10.85       0.384                       A137500200061 
     4.348      4.         0.038      0.4935                      A137500200062 
     4.401      2.        -2.083      0.3809                      A137500200063 
     4.408      0.        10.65       0.288                       A137500200064 
     4.484      4.        -0.605      0.8392                      A137500200065 
     4.514      0.         9.836      0.24                        A137500200066 
     4.774      4.        -1.003      0.5925                      A137500200067 
     4.784      2.        -3.181      0.4286                      A137500200068 
     4.876      0.         7.385      0.3358                      A137500200069 
     5.173      4.        -0.2159     0.6913                      A137500200070 
     5.202      2.        -1.851      0.476                       A137500200071 
     5.255      0.         5.318      0.3838                      A137500200072 
     5.475      4.        -0.7614     0.4933                      A137500200073 
     5.491      2.        -2.377      0.3333                      A137500200074 
     5.56       0.         4.691      0.2402                      A137500200075 
     5.743      4.        -0.5664     0.5434                      A137500200076 
     5.802      2.        -1.999      0.381                       A137500200077 
     5.84       0.         4.161      0.3842                      A137500200078 
     6.022      4.        -0.7167     0.4442                      A137500200079 
     6.041      2.        -1.905      0.4283                      A137500200080 
     6.161      0.         3.631      0.288                       A137500200081 
     6.323      4.         0.0214     0.5925                      A137500200082 
     6.393      2.        -1.623      0.2857                      A137500200083 
     6.469      0.         3.292      0.288                       A137500200084 
     6.631      4.         0.0682     0.4444                      A137500200085 
     6.703      2.        -1.435      0.2381                      A137500200086 
     6.779      0.         3.05       0.24                        A137500200087 
     6.936      4.        -0.1812     0.3456                      A137500200088 
     7.012      2.        -1.342      0.1904                      A137500200089 
     7.059      0.         2.759      0.144                       A137500200090 
     7.235      2.        -1.296      0.0476                      A137500200091 
     7.244      4.        -0.1838     0.3456                      A137500200092 
     7.37       0.         2.709      0.192                       A137500200093 
     7.639      4.         0.2079     0.2469                      A137500200094 
     7.656      2.        -1.252      0.0476                      A137500200095 
     7.764      0.         2.322      0.2399                      A137500200096 
     7.917      4.         0.0081     0.0494                      A137500200097 
     7.994      2.        -0.9689     0.0476                      A137500200098 
     8.101      0.         2.031      0.192                       A137500200099 
     8.17       4.         0.1047     0.0494                      A137500200100 
     8.275      2.        -0.8759     0.0476                      A137500200101 
     8.383      0.         1.885      0.24                        A137500200102 
     8.62       4.         0.2985     0.0494                      A137500200103 
     8.669      2.        -0.6886     0.0476                      A137500200104 
     8.779      0.         1.785      0.192                       A137500200105 
     8.899      4.         0.1974     0.0494                      A137500200106 
     8.95       2.        -0.5956     0.0476                      A137500200107 
     9.075      0.         1.639      0.1918                      A137500200108 
     9.262      4.         0.0956     0.0494                      A137500200109 
     9.371      2.        -0.4562     0.0476                      A137500200110 
     9.457      0.         1.588      0.192                       A137500200111 
     9.597      4.        -0.006      0.0494                      A137500200112 
     9.68       2.        -0.3634     0.0476                      A137500200113 
     9.796      0.         1.441      0.144                       A137500200114 
     9.879      4.         0.1398     0.0494                      A137500200115 
     9.961      2.        -0.2704     0.0476                      A137500200116 
    10.05       0.         1.295      0.192                       A137500200117 
    10.19       4.         0.2854     0.0494                      A137500200118 
    10.24       2.        -0.0822     0.0476                      A137500200119 
    10.36       0.         1.389      0.24                        A137500200120 
    10.47       4.         0.3324     0.0494                      A137500200121 
    10.55       2.        -0.0847     0.0476                      A137500200122 
    10.67       0.         1.29       0.24                        A137500200123 
    10.8        2.        -0.0391     0.0476                      A137500200124 
    10.8        4.         0.3296     0.0494                      A137500200125 
    10.97       0.         1.192      0.2882                      A137500200126 
ENDDATA            111          0                                 A137500200127 
ENDSUBENT          126          0                                 A137500299999 
ENDENTRY             2          0                                 A137599999999 
