ENTRY            A0490   20030602                             0000A049000000001 
SUBENT        A0490001   20030602                             0000A049000100001 
BIB                 11         36                                 A049000100002 
TITLE      Measurement and analysis of neutron spectra from thick A049000100003 
           targets of Al and Ti bombarded by 30-50 MeV            A049000100004 
           alpha-particles                                        A049000100005 
AUTHOR     (D.Dhar, S.N.Roy, T.Bandyopadhyay, P.K.Sarkar)         A049000100006 
REFERENCE  (J,PR/C,67,024607,2003)                                A049000100007 
INSTITUTE  (3INDIND) Department of physics, Visva-Bharati         A049000100008 
           university                                             A049000100009 
           (3INDVEC)                                              A049000100010 
METHOD     (SITA) The targets, 25 mm in diameter have been fixed  A049000100011 
           perpendicular to the beam axis.  The thickness of the  A049000100012 
           targets are such that the incident alphas are          A049000100013 
           completely stopped in the target while the scattering  A049000100014 
           and absorption of neutrons produced in the target are  A049000100015 
           negligible.                                            A049000100016 
           (EXTB) The beam energy resolution is about 200 KeV for A049000100017 
           30-50 MeV incident alphas.                             A049000100018 
DETECTOR   (SCIN) The neutrons are measured with a 52.4 mm        A049000100019 
           diameter X 2.4 mm NE-213 liquid scintillator kept at a A049000100020 
           distance of 1.4 m from the target.  The detector angle A049000100021 
           of acceptance is 2.14 degree and energy resolution is  A049000100022 
           about 20%.                                             A049000100023 
HISTORY    (20030527C)                                            A049000100024 
           (20030602U) Last checking has been done.               A049000100025 
ERR-ANALYS (ERR-T) The total error associated with unfolded       A049000100026 
           spectra consists of                                    A049000100027 
           1.  The statistical error associated with the          A049000100028 
           measurement,                                           A049000100029 
           2.  The error arising from discretization of the       A049000100030 
           continuous spectra and of the response function,       A049000100031 
           3.  The statistical error inherent in the MONTE CARLO  A049000100032 
           calculation.                                           A049000100033 
           (E-ERR) Data point reader uncertainty.                 A049000100034 
EN-SEC     (E,N)                                                  A049000100035 
ADD-RES    (COMP) with PEGAQ, PRECO-D2, ALICE91                   A049000100036 
STATUS     (UNOBT)                                                A049000100037 
           (CURVE) By CAJAD                                       A049000100038 
ENDBIB              36          0                                 A049000100039 
NOCOMMON             0          0                                 A049000100040 
ENDSUBENT           39          0                                 A049000199999 
SUBENT        A0490002   20030602                             0000A049000200001 
BIB                  3          8                                 A049000200002 
REACTION   (13-AL-27(A,X)0-NN-1,,PY/DA/DE,,TT)                    A049000200003 
SAMPLE     Aluminum target thickness = 3.5 +/- 0.05 mm.           A049000200004 
ERR-ANALYS (DATA-ERR1) Data point reader uncertainty for 0 degree A049000200005 
           at 30 and 40 MeV and 30 and 45 degrees at 50 MeV.      A049000200006 
           (DATA-ERR2) Data point reader uncertainty for 30 and 45A049000200007 
           degrees at 30 MeV and for 0 degree for 50 MeV.         A049000200008 
           (DATA-ERR3) Data point reader uncertainty for 30 and 45A049000200009 
           degrees at 40 MeV.                                     A049000200010 
ENDBIB               8          0                                 A049000200011 
COMMON               3          3                                 A049000200012 
DATA-ERR1  DATA-ERR2  DATA-ERR3                                   A049000200013 
PER-CENT   PER-CENT   PER-CENT                                    A049000200014 
         7.         6.         5.                                 A049000200015 
ENDCOMMON            3          0                                 A049000200016 
DATA                 6        243                                 A049000200017 
EN         ANG        E          E-ERR      DATA       ERR-T      A049000200018 
MEV        ADEG       MEV        MEV        P/IN/MEVSR PER-CENT   A049000200019 
        30.         0.       2.88    1.2E-01    2.6E-05           A049000200020 
        30.         0.       3.91    1.2E-01   2.89E-05           A049000200021 
        30.         0.       4.85    1.2E-01   2.34E-05           A049000200022 
        30.         0.       5.97    1.2E-01    2.1E-05           A049000200023 
        30.         0.       6.83    1.2E-01    1.7E-05           A049000200024 
        30.         0.       7.87    1.2E-01   1.11E-05           A049000200025 
        30.         0.        8.9    1.2E-01     9.E-06           A049000200026 
        30.         0.       9.67    1.2E-01    7.7E-06           A049000200027 
        30.         0.  1.088E+01    1.2E-01    5.9E-06           A049000200028 
        30.         0.  1.191E+01    1.2E-01    4.8E-06           A049000200029 
        30.         0.  1.286E+01    1.2E-01   2.65E-06           A049000200030 
        30.         0.  1.381E+01    1.2E-01   1.74E-06           A049000200031 
        30.         0.  1.476E+01    1.2E-01   1.02E-06           A049000200032 
        30.         0.   1.58E+01    1.2E-01    6.3E-07           A049000200033 
        30.         0.  1.701E+01    1.2E-01   3.93E-07           A049000200034 
        30.         0.  1.787E+01    1.2E-01   2.57E-07           A049000200035 
        30.         0.  1.891E+01    1.2E-01   1.43E-07           A049000200036 
        30.         0.  1.977E+01    1.2E-01    8.4E-08           A049000200037 
        30.         0.  2.081E+01    1.2E-01    5.2E-08           A049000200038 
        30.         0.  2.184E+01    1.2E-01   3.81E-08           A049000200039 
        30.         0.  2.279E+01    1.2E-01   2.63E-08           A049000200040 
        30.         0.  2.391E+01    1.2E-01   1.72E-08           A049000200041 
        30.        30.       3.95     8.E-02   2.36E-05           A049000200042 
        30.        30.       4.87     8.E-02   2.28E-05           A049000200043 
        30.        30.        5.8     8.E-02   1.67E-05           A049000200044 
        30.        30.       6.83     8.E-02   1.33E-05           A049000200045 
        30.        30.       7.81     8.E-02    8.7E-06           A049000200046 
        30.        30.       8.97     8.E-02    6.4E-06           A049000200047 
        30.        30.     1.E+01     8.E-02   5.27E-06           A049000200048 
        30.        30.  1.081E+01     8.E-02   3.86E-06           A049000200049 
        30.        30.  1.202E+01     8.E-02   3.07E-06           A049000200050 
        30.        30.  1.289E+01     8.E-02   2.34E-06           A049000200051 
        30.        30.  1.381E+01     8.E-02   1.86E-06           A049000200052 
        30.        30.  1.507E+01     8.E-02    1.6E-06           A049000200053 
        30.        30.  1.576E+01     8.E-02   1.27E-06           A049000200054 
        30.        30.  1.686E+01     8.E-02   1.01E-06           A049000200055 
        30.        30.  1.783E+01     8.E-02    9.4E-07           A049000200056 
        30.        30.  1.892E+01     8.E-02   1.06E-06           A049000200057 
        30.        30.   1.99E+01     8.E-02    9.1E-07           A049000200058 
        30.        45.       2.83     8.E-02   2.63E-05           A049000200059 
        30.        45.       3.86     8.E-02   2.49E-05           A049000200060 
        30.        45.       4.72     8.E-02   2.06E-05           A049000200061 
        30.        45.       5.69     8.E-02   1.95E-05           A049000200062 
        30.        45.       6.76     8.E-02   1.48E-05           A049000200063 
        30.        45.       7.61     8.E-02   1.08E-05           A049000200064 
        30.        45.       8.75     8.E-02    8.2E-06           A049000200065 
        30.        45.       9.71     8.E-02    6.5E-06           A049000200066 
        30.        45.  1.068E+01     8.E-02    5.4E-06           A049000200067 
        30.        45.  1.169E+01     8.E-02   3.16E-06           A049000200068 
