24.        54.        1.0        0.2                              A090800200087 
24.        55.        0.22       0.04                             A090800200088 
25.        51.        0.8        0.2                              A090800200089 
25.        52.        3.8        0.8                              A090800200090 
25.        53.        7.         1.                               A090800200091 
25.        54.        7.         1.                               A090800200092 
25.        55.        2.8        0.6                              A090800200093 
25.        56.        1.1        0.2                              A090800200094 
25.        57.        0.32       0.07                             A090800200095 
26.        53.        0.7        0.1                              A090800200096 
26.        54.        3.2        0.6                              A090800200097 
26.        55.        7.         1.                               A090800200098 
26.        56.        8.         2.                               A090800200099 
26.        57.        3.8        0.8                              A090800200100 
26.        58.        1.3        0.3                              A090800200101 
26.        59.        0.37       0.08                             A090800200102 
27.        55.        0.40       0.1                              A090800200103 
27.        56.        2.3        0.6                              A090800200104 
27.        57.        6.         1.                               A090800200105 
27.        58.        8.         2.                               A090800200106 
27.        59.        6.         1.                               A090800200107 
27.        60.        1.5        0.3                              A090800200108 
27.        61.        0.5        0.1                              A090800200109 
27.        62.        0.16       0.03                             A090800200110 
28.        57.        0.24       0.05                             A090800200111 
28.        58.        1.5        0.3                              A090800200112 
28.        59.        4.9        1.0                              A090800200113 
28.        60.        8.         2.                               A090800200114 
28.        61.        7.         1.                               A090800200115 
28.        62.        2.1        0.4                              A090800200116 
28.        63.        0.7        0.1                              A090800200117 
28.        64.        0.25       0.05                             A090800200118 
29.        60.        1.0        0.2                              A090800200119 
29.        61.        3.7        0.7                              A090800200120 
29.        62.        7.         1.                               A090800200121 
29.        63.        7.         1.                               A090800200122 
29.        64.        2.6        0.5                              A090800200123 
29.        65.        1.0        0.2                              A090800200124 
29.        66.        0.27       0.06                             A090800200125 
30.        62.        0.7        0.1                              A090800200126 
30.        63.        3.1        0.6                              A090800200127 
30.        64.        7.         1.                               A090800200128 
30.        65.        8.         2.                               A090800200129 
30.        66.        4.4        0.9                              A090800200130 
30.        67.        1.3        0.3                              A090800200131 
30.        68.        0.5        0.1                              A090800200132 
30.        69.        0.18       0.04                             A090800200133 
31.        64.        0.43       0.09                             A090800200134 
31.        65.        2.0        0.4                              A090800200135 
31.        66.        5.         1.                               A090800200136 
31.        67.        8.         2.                               A090800200137 
31.        68.        6.         1.                               A090800200138 
31.        69.        2.1        0.4                              A090800200139 
31.        70.        1.7        0.7                              A090800200140 
31.        71.        0.27       0.05                             A090800200141 
32.        66.        0.32       0.06                             A090800200142 
32.        67.        1.5        0.3                              A090800200143 
32.        68.        4.9        1.0                              A090800200144 
32.        69.        8.         2.                               A090800200145 
32.        70.        7.         1.                               A090800200146 
32.        71.        2.1        0.8                              A090800200147 
32.        72.        1.2        0.4                              A090800200148 
32.        73.        0.3        0.1                              A090800200149 
33.        68.        0.24       0.05                             A090800200150 
33.        69.        1.0        0.2                              A090800200151 
33.        70.        3.3        0.7                              A090800200152 
33.        71.        8.         2.                               A090800200153 
33.        72.        8.         2.                               A090800200154 
33.        73.        3.9        0.8                              A090800200155 
33.        74.        0.44       0.09                             A090800200156 
33.        75.        0.16       0.03                             A090800200157 
34.        70.        0.16       0.03                             A090800200158 
34.        71.        0.9        0.2                              A090800200159 
34.        72.        3.5        0.7                              A090800200160 
34.        73.        7.         1.                               A090800200161 
34.        74.        10.        2.                               A090800200162 
34.        77.        1.9        0.8                              A090800200163 
34.        78.        0.23       0.08                             A090800200164 
35.        73.        0.33       0.07                             A090800200165 
35.        74.        1.4        0.3                              A090800200166 
35.        75.        5.         1.                               A090800200167 
35.        76.        9.         2.                               A090800200168 
35.        78.        2.7        0.6                              A090800200169 
35.        80.        0.28       0.06                             A090800200170 
36.        75.        0.7        0.1                              A090800200171 
36.        76.        3.2        0.7                              A090800200172 
36.        77.        7.         2.                               A090800200173 
36.        78.        12.        2.                               A090800200174 
36.        79.        9.         2.                               A090800200175 
36.        80.        3.1        0.7                              A090800200176 
36.        81.        1.1        0.3                              A090800200177 
37.        78.        2.4        0.5                              A090800200178 
37.        79.        6.         1.                               A090800200179 
37.        80.        11.        2.                               A090800200180 
37.        81.        9.         2.                               A090800200181 
37.        82.        3.8        0.8                              A090800200182 
37.        83.        2.0        0.6                              A090800200183 
37.        84.        1.5        0.4                              A090800200184 
37.        85.        0.18       0.04                             A090800200185 
38.        80.        1.8        0.4                              A090800200186 
38.        81.        6.         1.                               A090800200187 
38.        82.        12.        2.                               A090800200188 
38.        83.        10.        2.                               A090800200189 
38.        84.        6.         1.                               A090800200190 
38.        86.        0.9        0.3                              A090800200191 
38.        87.        0.5        0.1                              A090800200192 
39.        82.        1.2        0.3                              A090800200193 
39.        83.        6.         2.                               A090800200194 
39.        84.        10.        2.                               A090800200195 
39.        85.        14.        3.                               A090800200196 
39.        86.        20.        6.                               A090800200197 
39.        88.        5.         2.                               A090800200198 
39.        89.        0.5        0.2                              A090800200199 
40.        84.        0.9        0.2                              A090800200200 
40.        85.        4.         1.                               A090800200201 
40.        86.        10.        2.                               A090800200202 
40.        87.        14.        3.                               A090800200203 
40.        88.        10.        2.                               A090800200204 
40.        89.        3.8        0.8                              A090800200205 
41.        87.        6.         2.                               A090800200206 
41.        88.        9.         2.                               A090800200207 
41.        89.        15.        3.                               A090800200208 
41.        90.        11.        2.                               A090800200209 
41.        91.        5.         1.                               A090800200210 
41.        92.        0.15       0.04                             A090800200211 
42.        89.        6.         3.                               A090800200212 
42.        90.        8.         2.                               A090800200213 
42.        91.        16.        3.                               A090800200214 
42.        92.        12.        2.                               A090800200215 
42.        93.        7.         1.                               A090800200216 
42.        96.        0.5        0.2                              A090800200217 
43.        92.        7.         1.                               A090800200218 
43.        93.        16.        3.                               A090800200219 
43.        94.        17.        3.                               A090800200220 
43.        95.        10.        2.                               A090800200221 
43.        98.        0.8        0.3                              A090800200222 
44.        93.        5.         2.                               A090800200223 
44.        94.        6.         1.                               A090800200224 
44.        95.        15.        3.                               A090800200225 
44.        96.        17.        4.                               A090800200226 
44.        97.        11.        2.                               A090800200227 
44.        98.        6.         3.                               A090800200228 
45.        95.        2.2        0.9                              A090800200229 
45.        96.        4.7        1.0                              A090800200230 
45.        97.        14.        3.                               A090800200231 
45.        98.        18.        4.                               A090800200232 
45.        99.        15.        3.                               A090800200233 
45.        100.       8.         3.                               A090800200234 
46.        97.        1.1        0.4                              A090800200235 
46.        98.        3.9        0.8                              A090800200236 
46.        99.        12.        3.                               A090800200237 
46.        100.       19.        4.                               A090800200238 
46.        101.       19.        4.                               A090800200239 
46.        102.       12.        3.                               A090800200240 
47.        100.       2.8        0.6                              A090800200241 
47.        101.       10.        2.                               A090800200242 
47.        102.       17.        3.                               A090800200243 
47.        103.       27.        6.                               A090800200244 
48.        102.       1.6        0.3                              A090800200245 
48.        103.       7.         1.                               A090800200246 
48.        104.       16.        3.                               A090800200247 
48.        105.       29.        6.                               A090800200248 
48.        106.       24.        10.                              A090800200249 
49.        104.       0.8        0.2                              A090800200250 
49.        105.       3.5        0.7                              A090800200251 
49.        106.       9.         2.                               A090800200252 
49.        107.       24.        5.                               A090800200253 
49.        108.       24.        9.                               A090800200254 
50.        106.       0.32       0.07                             A090800200255 
50.        107.       1.1        0.2                              A090800200256 
50.        108.       9.         2.                               A090800200257 
50.        109.       20.        4.                               A090800200258 
ENDDATA            251          0                                 A090800200259 
ENDSUBENT          258          0                                 A090800299999 
SUBENT        A0908003   20111215                             A075A090800300001 
BIB                  2          2                                 A090800300002 
REACTION   (50-SN-124(50-SN-124,X)ELEM/MASS,,SIG)                 A090800300003 
STATUS     (TABLE).Table 3 of J,PR/C,84,054605,2011               A090800300004 
ENDBIB               2          0                                 A090800300005 
NOCOMMON             0          0                                 A090800300006 
DATA                 4        266                                 A090800300007 
ELEMENT    MASS       DATA       DATA-ERR                         A090800300008 
NO-DIM     NO-DIM     MB         PER-CENT                         A090800300009 
10.        21.        18.        3.                               A090800300010 
10.        22.        19.        4.                               A090800300011 
10.        23.        8.         2.                               A090800300012 
11.        23.        18.        3.                               A090800300013 
11.        24.        13.        3.                               A090800300014 
11.        25.        9.         2.                               A090800300015 
12.        25.        13.        3.                               A090800300016 
12.        26.        15.        3.                               A090800300017 
12.        29.        0.9        0.3                              A090800300018 
13.        27.        12.        3.                               A090800300019 
13.        28.        10.        2.                               A090800300020 
13.        29.        7.         1.                               A090800300021 
13.        30.        2.9        0.5                              A090800300022 
14.        29.        9.         2.                               A090800300023 
14.        30.        13.        3.                               A090800300024 
14.        31.        6.         1.                               A090800300025 
14.        32.        3.3        0.6                              A090800300026 
14.        33.        1.4        0.2                              A090800300027 
15.        31.        7.         1.                               A090800300028 
15.        32.        8.         2.                               A090800300029 
15.        33.        7.         1.                               A090800300030 
