ENTRY            A1512   19990324                             0000A151200000001 
SUBENT        A1512001   19990324                             0000A151200100001 
BIB                  6          7                                 A151200100002 
REFERENCE  (R,INR-849,1968)                                       A151200100003 
AUTHOR     (A.O.TURKIEWICZ)                                       A151200100004 
TITLE      Angular distribution of the 6Li(d,p)7Li reaction       A151200100005 
INSTITUTE  (3POLIBJ)                                              A151200100006 
METHOD     (SITA)                                                 A151200100007 
HISTORY    (19800814C) Compilation produced by Arzamas RFNC-VNIIEFA151200100008 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A151200100009 
ENDBIB               7          0                                 A151200100010 
NOCOMMON             0          0                                 A151200100011 
ENDSUBENT           10          0                                 A151200199999 
SUBENT        A1512002   19990324                             0000A151200200001 
BIB                  3          5                                 A151200200002 
REACTION   (3-LI-6(D,P)3-LI-7,PAR,DA,,REL)                        A151200200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A151200200004 
           (DATA-ERR) From graphic bars and the digitizing        A151200200005 
           the error bars were not discussed.                     A151200200006 
STATUS     (CURVE) fig 3,4,5,6,7,8,9 points                       A151200200007 
ENDBIB               5          0                                 A151200200008 
COMMON               2          3                                 A151200200009 
E-LVL      ANG-ERR                                                A151200200010 
MEV        ADEG                                                   A151200200011 
 0.0        0.6                                                   A151200200012 
ENDCOMMON            3          0                                 A151200200013 
DATA                 4        179                                 A151200200014 
EN         ANG-CM     DATA-CM    DATA-ERR                         A151200200015 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A151200200016 
     1.48      16.      1933.        42.71                        A151200200017 
     1.48      17.01    1944.        48.05                        A151200200018 
     1.48      19.97    2019.        42.71                        A151200200019 
     1.48      22.97    2068.        26.69                        A151200200020 
     1.48      27.15    2053.        42.49                        A151200200021 
     1.48      31.77    2075.        53.28                        A151200200022 
     1.48      35.44    2055.        42.71                        A151200200023 
     1.48      40.75    1992.        42.83                        A151200200024 
     1.48      46.24    1838.        42.26                        A151200200025 
     1.48      62.1     1185.       128.                          A151200200026 
     1.48      66.1     1255.        16.13                        A151200200027 
     1.48      76.73    1124.        21.36                        A151200200028 
     1.48      85.21    1029.        10.68                        A151200200029 
     1.48      95.44    1096.        32.03                        A151200200030 
     1.48     104.6     1156.        26.69                        A151200200031 
     1.48     113.3     1003.        32.03                        A151200200032 
     1.48     123.6     1011.        26.47                        A151200200033 
     1.48     132.       964.7       21.36                        A151200200034 
     1.48     140.3      934.5       21.36                        A151200200035 
     1.48     149.8      883.2       21.36                        A151200200036 
     1.48     157.1      847.4       16.02                        A151200200037 
     1.48     167.1      774.8       21.36                        A151200200038 
     1.8       16.08    2005.        32.11                        A151200200039 
     1.8       17.18    1968.        32.02                        A151200200040 
     1.8       20.05    2097.        26.66                        A151200200041 
     1.8       22.44    2210.        26.66                        A151200200042 
     1.8       26.9     2312.        42.63                        A151200200043 
     1.8       30.8     2441.        32.11                        A151200200044 
     1.8       35.36    2185.        21.41                        A151200200045 
     1.8       45.24    1828.        26.76                        A151200200046 
     1.8       55.22    1407.        32.11                        A151200200047 
     1.8       59.63    1237.        32.2                         A151200200048 
     1.8       65.07    1072.         5.352                       A151200200049 
     1.8       70.24    1057.        21.41                        A151200200050 
     1.8       74.41    1031.         5.352                       A151200200051 
     1.8       84.81     973.7       21.5                         A151200200052 
     1.8       90.05     921.2       21.41                        A151200200053 
     1.8       95.28     879.3       10.52                        A151200200054 
     1.8       99.31     933.5       21.41                        A151200200055 
     1.8      104.4      939.8       16.06                        A151200200056 
     1.8      109.5      978.2       26.57                        A151200200057 
     1.8      117.7     1012.        32.11                        A151200200058 
     1.8      122.9     1002.        21.41                        A151200200059 
     1.8      127.      1008.        21.41                        A151200200060 
     1.8      136.3      977.8       21.31                        A151200200061 
     1.8      140.       935.6       26.66                        A151200200062 
     1.8      144.7      931.1       21.41                        A151200200063 
     1.8      153.5      863.1       26.66                        A151200200064 
     1.8      157.2      847.7       26.66                        A151200200065 
     1.8      160.3      826.9       21.41                        A151200200066 
     1.8      166.       795.8       26.76                        A151200200067 
