EN         ANG        DATA       DATA-ERR                         A135700200020 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A135700200021 
     2.124     95.         4.874      0.0206                      A135700200107 
     2.149    125.         5.616      0.0206                      A135700200108 
     2.18     115.         5.171      0.0254                      A135700200109 
     2.181    105.         4.791      0.033                       A135700200110 
     2.195    135.         6.293      0.1097                      A135700200111 
     2.196    155.         7.803      0.1111                      A135700200112 
     2.209    130.         5.889      0.1091                      A135700200113 
     2.226    145.         6.65       0.1125                      A135700200114 
     2.258    165.         8.563      0.1125                      A135700200115 
     2.276    100.         4.471      0.1125                      A135700200116 
     2.312     85.         4.167      0.1097                      A135700200117 
     2.334    125.         5.726      0.0206                      A135700200118 
     2.34      95.         4.428      0.0206                      A135700200119 
     2.342     90.         4.317      0.0254                      A135700200120 
     2.365    105.         4.79       0.033                       A135700200121 
     2.394    130.         5.887      0.1091                      A135700200122 
     2.395    115.         5.059      0.0254                      A135700200123 
     2.413    135.         6.511      0.1097                      A135700200124 
     2.414    145.         7.437      0.1125                      A135700200125 
     2.414    155.         8.246      0.1111                      A135700200126 
     2.445    165.         8.786      0.1125                      A135700200127 
     2.555    100.         4.469      0.1125                      A135700200128 
     2.581    105.         4.789      0.033                       A135700200129 
     2.588     95.         4.426      0.0206                      A135700200130 
     2.59      90.         4.315      0.0254                      A135700200131 
     2.592     85.         4.384      0.1097                      A135700200132 
     2.611    125.         5.946      0.0206                      A135700200133 
     2.612    115.         5.613      0.0254                      A135700200134 
     2.631    145.         7.21       0.1125                      A135700200135 
     2.64     130.         5.886      0.1091                      A135700200136 
     2.657    135.         5.083      0.1097                      A135700200137 
     2.663    155.         8.355      0.1111                      A135700200138 
     2.711    100.         4.693      0.1125                      A135700200139 
     2.713     95.         4.536      0.0206                      A135700200140 
     2.715     90.         4.647      0.0254                      A135700200141 
     2.724    165.         8.784      0.1125                      A135700200142 
     2.736    125.         6.279      0.0206                      A135700200143 
     2.746     85.         4.164      0.1097                      A135700200144 
     2.755    135.         6.838      0.1097                      A135700200145 
     2.764    130.         6.324      0.1091                      A135700200146 
     2.765    105.         4.678      0.033                       A135700200147 
     2.766    115.         5.612      0.0254                      A135700200148 
     2.809     90.         4.98       0.0254                      A135700200149 
     2.817    165.         8.784      0.1125                      A135700200150 
     2.818    145.         7.546      0.1125                      A135700200151 
     2.828    125.         6.389      0.0206                      A135700200152 
     2.836    100.         5.142      0.1125                      A135700200153 
     2.838     95.         4.98       0.0206                      A135700200154 
     2.841     85.         4.602      0.1097                      A135700200155 
     2.85     155.         8.687      0.1111                      A135700200156 
     2.858    105.         5.006      0.033                       A135700200157 
     2.89     115.         5.944      0.0254                      A135700200158 
     2.913    145.         8.108      0.1125                      A135700200159 
     2.942    135.         6.947      0.1097                      A135700200160 
     2.944    165.         9.57       0.1125                      A135700200161 
     2.962    100.         5.704      0.1125                      A135700200162 
     2.963     95.         5.201      0.0206                      A135700200163 
     2.965     90.         5.201      0.0254                      A135700200164 
     2.983    115.         6.166      0.0254                      A135700200165 
     2.983    125.         6.721      0.0206                      A135700200166 
     2.997     85.         4.93       0.1097                      A135700200167 
     3.005    135.         7.495      0.1097                      A135700200168 
     3.014    105.         5.444      0.033                       A135700200169 
     3.044    130.         6.98       0.1091                      A135700200170 
     3.058     95.         5.978      0.0206                      A135700200171 
     3.067    145.         7.994      0.1125                      A135700200172 
     3.087    100.         5.928      0.1125                      A135700200173 
     3.099    165.         9.682      0.1125                      A135700200174 
     3.107    105.         5.773      0.033                       A135700200175 
     3.121     90.         5.533      0.0254                      A135700200176 
     3.123     85.         5.698      0.1097                      A135700200177 
     3.131    155.         9.241      0.1111                      A135700200178 
     3.138    115.         6.609      0.0254                      A135700200179 
     3.138    130.         7.529      0.1091                      A135700200180 
     3.139    125.         7.498      0.0206                      A135700200181 
     3.163    145.         8.781      0.1125                      A135700200182 
     3.193    135.         7.823      0.1097                      A135700200183 
     3.193    165.        10.02       0.1125                      A135700200184 
     3.244    100.         6.602      0.1125                      A135700200185 
     3.246     95.         6.421      0.0206                      A135700200186 
     3.247     90.         6.199      0.0254                      A135700200187 
     3.249     85.         6.246      0.1097                      A135700200188 
     3.264    125.         7.942      0.0206                      A135700200189 
     3.294    115.         7.164      0.0254                      A135700200190 
     3.295    105.         6.759      0.033                       A135700200191 
     3.318    145.         8.893      0.1125                      A135700200192 
     3.319    135.         8.59       0.1097                      A135700200193 
     3.322    130.         7.418      0.1091                      A135700200194 
     3.35     155.         9.795      0.1111                      A135700200195 
     3.35     165.        10.47       0.1125                      A135700200196 
     3.371    100.         7.613      0.1125                      A135700200197 
     3.373     95.         7.42       0.0206                      A135700200198 
     3.375     90.         7.309      0.0254                      A135700200199 
     3.388    125.         8.385      0.0206                      A135700200200 
     3.39     105.         7.527      0.033                       A135700200201 
     3.408     85.         7.342      0.1097                      A135700200202 
     3.42     115.         7.941      0.0254                      A135700200203 
     3.442    165.        10.13       0.1125                      A135700200204 
     3.444    145.         9.342      0.1125                      A135700200205 
     3.447    130.         8.075      0.1091                      A135700200206 
