ENTRY            A1025   19990319                             0000A102500000001 
SUBENT        A1025001   19990319                             0000A102500100001 
BIB                 11         26                                 A102500100002 
INSTITUTE  (3AULCBR)                                              A102500100003 
REFERENCE  (J,NP,52,(1),134,196403)                               A102500100004 
AUTHOR     (G.G.OHLSEN,P.G.YOUNG)                                 A102500100005 
TITLE      Deuteron-alpha elastic scattering                      A102500100006 
FACILITY   (VDGT)                                                 A102500100007 
SAMPLE     A gas target                                           A102500100008 
METHOD     (PHD)                                                  A102500100009 
DETECTOR   (SOLST) Surface-barrier                                A102500100010 
ERR-ANALYS (ERR-1) Uncertainty in charge collection and           A102500100011 
           integration                                            A102500100012 
           (ERR-2) Uncertainty in gas pressure and impurity       A102500100013 
           measurements                                           A102500100014 
           (ERR-3) Uncertainty in absolute temperature measurementA102500100015 
           (ERR-4) Uncertainty in detector slit geometry          A102500100016 
           (ERR-5) Uncertainty in angle setting and beam alignmentA102500100017 
           (ERR-6) Uncertainty in beam heating                    A102500100018 
           (ERR-7) Uncertainty in multiple scatter. by mylar foil A102500100019 
           (ERR-S) The statistical errors refers to the error     A102500100020 
           associated with a single datum point.                  A102500100021 
FLAG       (1.) The data are in the form of excitations functions A102500100022 
           at seven centre-of-mass angles: 30.6, 40.7, 51.9, 76.2,A102500100023 
           90.0, 125.3, and 139.1 degr.                           A102500100024 
           (2.) The data  at 139.1 and part of the data at 125.3  A102500100025 
           were obtained by observing the recoil alpha group.     A102500100026 
HISTORY    (19810604C) Compilation produced by Arzamas RFNC-VNIIEFA102500100027 
           (19990115U)CNPD: corrected 4-dig. year and lower cases.A102500100028 
ENDBIB              26          0                                 A102500100029 
COMMON               7          6                                 A102500100030 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-6      A102500100031 
ERR-7                                                             A102500100032 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   A102500100033 
PER-CENT                                                          A102500100034 
     5.8       90.        60.2        0.5        1.               A102500200081 
     5.8      125.3       92.7        1.3        2.               A102500200082 
     5.8      139.1      150.1        0.6        2.               A102500200083 
     6.        30.6      274.5        0.4        1.               A102500200084 
     6.        40.7      161.         0.5        1.               A102500200085 
     6.        51.9       87.3        0.9        1.               A102500200086 
     6.        76.2       48.         1.4        1.               A102500200087 
     6.        90.        59.6        0.5        1.               A102500200088 
     6.       125.3       88.5        1.3        2.               A102500200089 
     6.       139.1      142.8        0.7        2.               A102500200090 
     6.2       30.6      268.4        0.4        1.               A102500200091 
     6.2       40.7      155.5        0.5        1.               A102500200092 
     6.2       51.9       82.5        0.9        1.               A102500200093 
     6.2       76.2       47.         1.4        1.               A102500200094 
     6.2       90.        60.         0.5        1.               A102500200095 
     6.2      125.3       83.6        1.3        2.               A102500200096 
     6.2      139.1      133.8        0.7        1.               A102500200097 
     6.4       30.6      262.8        0.4        1.               A102500200098 
     6.4       40.7      150.         0.5        1.               A102500200099 
     6.4       51.9       77.6        0.9        1.               A102500200100 
     6.4       76.2       45.9        1.4        1.               A102500200101 
     6.4       90.        60.3        0.5        1.               A102500200102 
     6.4      125.3       79.         0.5        1.               A102500200103 
     6.4      139.1      125.         0.7        2.               A102500200104 
     6.6       30.6      257.         0.4        1.               A102500200105 
     6.6       40.7      144.         0.4        1.               A102500200106 
     6.6       51.9       73.         0.9        1.               A102500200107 
     6.6       76.2       45.5        0.4        1.               A102500200108 
     6.6       90.        61.         0.5        1.               A102500200109 
     6.6      125.3       74.         0.5        1.               A102500200110 
     6.6      139.1      114.7        0.8        2.               A102500200111 
     6.8       30.6      249.5        0.4        1.               A102500200112 
     6.8       40.7      138.         0.4        1.               A102500200113 
     6.8       51.9       68.1        0.7        1.               A102500200114 
     6.8       76.2       45.2        0.4        1.               A102500200115 
     6.8       90.        61.8        0.5        1.               A102500200116 
     6.8      125.3       69.5        0.5        1.               A102500200117 
     6.8      139.1      106.6        0.8        2.               A102500200118 
     7.        30.6      242.3        0.4        1.               A102500200119 
     7.        40.7      133.         0.5        1.               A102500200120 
     7.        51.9       63.3        0.7        1.               A102500200121 
     7.        76.2       44.6        0.4        1.               A102500200122 
     7.        90.        62.7        0.5        1.               A102500200123 
     7.       125.3       65.         0.5        1.               A102500200124 
     7.       139.1       99.4        0.8        2.               A102500200125 
     7.2       30.6      236.2        0.4        1.               A102500200126 
     7.2       40.7      128.         0.5        1.               A102500200127 
     7.2       51.9       58.6        0.8        1.               A102500200128 
     7.2       76.2       44.         0.4        1.               A102500200129 
     7.2       90.        63.5        0.5        1.               A102500200130 
     7.2      125.3       60.6        0.5        1.               A102500200131 
     7.2      139.1       91.7        0.9        2.               A102500200132 
     7.4       30.6      228.5        0.4        1.               A102500200133 
     7.4       40.7      123.         0.5        1.               A102500200134 
     7.4       51.9       54.3        0.8        1.               A102500200135 
     7.4       76.2       43.6        0.4        1.               A102500200136 
     7.4       90.        64.         0.5        1.               A102500200137 
     7.4      125.3       57.2        0.5        1.               A102500200138 
     7.4      139.1       84.3        0.9        2.               A102500200139 
     7.6       30.6      223.8        0.4        1.               A102500200140 
     7.6       40.7      117.5        0.5        1.               A102500200141 
     7.6       51.9       50.2        0.8        1.               A102500200142 
     7.6       76.2       42.7        0.4        1.               A102500200143 
     7.6       90.        64.2        0.5        1.               A102500200144 
     7.6      125.3       54.3        0.6        1.               A102500200145 
     7.6      139.1       79.3        0.9        2.               A102500200146 
     7.8       30.6      217.7        0.4        1.               A102500200147 
     7.8       40.7      113.         0.5        1.               A102500200148 
     7.8       51.9       46.4        0.9        1.               A102500200149 
     7.8       76.2       42.3        0.4        1.               A102500200150 
     7.8       90.        64.5        0.5        1.               A102500200151 
     7.8      125.3       52.2        0.6        1.               A102500200152 
     7.8      139.1       73.7        1.         2.               A102500200153 
     8.        30.6      212.5        0.4        1.               A102500200154 
     8.        40.7      108.5        0.5        1.               A102500200155 
     8.        51.9       43.4        0.9        1.               A102500200156 
     8.        76.2       41.5        0.4        1.               A102500200157 
     8.        90.        64.5        0.5        1.               A102500200158 
     8.       125.3       49.6        0.6        1.               A102500200159 
     8.       139.1       69.1        1.         2.               A102500200160 
     8.2       30.6      207.3        0.4        1.               A102500200161 
     8.2       40.7      104.5        0.5        1.               A102500200162 
     8.2       51.9       40.2        0.9        1.               A102500200163 
     8.2       76.2       40.9        0.4        1.               A102500200164 
     8.2       90.        64.5        0.5        1.               A102500200165 
     8.2      125.3       47.5        0.6        1.               A102500200166 
     8.2      139.1       63.9        1.2        2.               A102500200167 
     8.4       30.6      203.1        0.4        1.               A102500200168 
     8.4       40.7      100.5        0.5        1.               A102500200169 
     8.4       51.9       38.         1.         1.               A102500200170 
     8.4       76.2       40.3        0.4        1.               A102500200171 
     8.4       90.        64.3        0.5        1.               A102500200172 
     8.4      125.3       45.6        0.6        1.               A102500200173 
     8.4      139.1       59.8        1.2        2.               A102500200174 
     8.6       30.6      198.9        0.4        1.               A102500200175 
     8.6       40.7       96.5        0.5        1.               A102500200176 
     8.6       51.9       35.1        1.         1.               A102500200177 
     8.6       76.2       39.8        0.4        1.               A102500200178 
     8.6       90.        64.1        0.5        1.               A102500200179 
     8.6      125.3       44.         0.5        1.               A102500200180 
     8.6      139.1       55.9        1.2        2.               A102500200181 
     8.8       30.6      196.2        0.4        1.               A102500200182 
     8.8       40.7       93.5        0.5        1.               A102500200183 
     8.8       51.9       32.5        0.9        1.               A102500200184 
     8.8       76.2       39.3        0.4        1.               A102500200185 
     8.8       90.        64.         0.5        1.               A102500200186 
     8.8      125.3       42.5        0.5        1.               A102500200187 
     8.8      139.1       52.7        1.2        2.               A102500200188 
     9.        30.6      194.1        0.4        1.               A102500200189 
     9.        40.7       90.2        0.5        1.               A102500200190 
     9.        51.9       30.         0.9        1.               A102500200191 
     9.        76.2       38.5        0.4        1.               A102500200192 
     9.        90.        63.7        0.5        1.               A102500200193 
     9.       125.3       41.2        0.5        1.               A102500200194 
     9.       139.1       50.6        1.3        1.               A102500200195 
     9.2       30.6      190.7        0.4        1.               A102500200196 
     9.2       40.7       87.         0.5        1.               A102500200197 
     9.2       51.9       28.         0.9        1.               A102500200198 
     9.2       76.2       37.9        0.4        1.               A102500200199 
     9.2       90.        63.5        0.5        1.               A102500200200 
     9.2      125.3       40.         0.5        1.               A102500200201 
     9.2      139.1       48.6        1.3        2.               A102500200202 
     9.4       30.6      189.3        0.4        1.               A102500200203 
     9.4       40.7       84.2        0.6        1.               A102500200204 
     9.4       51.9       25.8        1.         1.               A102500200205 
     9.4       76.2       37.6        0.4        1.               A102500200206 
     9.4       90.        63.3        0.5        1.               A102500200207 
     9.4      125.3       38.9        0.5        1.               A102500200208 
     9.4      139.1       46.3        1.3        2.               A102500200209 
     9.6       30.6      186.9        0.4        1.               A102500200210 
     9.6       40.7       81.         0.6        1.               A102500200211 
     9.6       51.9       24.         1.         1.               A102500200212 
     9.6       76.2       36.9        0.4        1.               A102500200213 
     9.6       90.        62.8        0.5        1.               A102500200214 
     9.6      125.3       38.         0.6        1.               A102500200215 
     9.6      139.1       42.9        1.4        2.               A102500200216 
     9.8       30.6      185.8        0.4        1.               A102500200217 
     9.8       40.7       79.         0.6        1.               A102500200218 
     9.8       51.9       22.4        1.         1.               A102500200219 
     9.8       76.2       36.3        0.4        1.               A102500200220 
     9.8       90.        62.5        0.5        1.               A102500200221 
     9.8      125.3       37.2        0.6        1.               A102500200222 
     9.8      139.1       41.6        1.4        2.               A102500200223 
     9.94      30.6      185.4        0.4        1.               A102500200224 
     9.94      40.7       77.5        0.6        1.               A102500200225 
     9.94      51.9       21.1        1.1        1.               A102500200226 
     9.94      76.2       35.9        0.4        1.               A102500200227 
     9.94      90.        62.2        0.5        1.               A102500200228 
     9.94     125.3       36.8        0.6        1.               A102500200229 
     9.94     139.1       41.3        1.4        2.               A102500200230 
ENDDATA            223          0                                 A102500200231 
ENDSUBENT          230          0                                 A102500299999 
SUBENT        A1025003   19990319                             0000A102500300001 
BIB                  2          2                                 A102500300002 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA,,,EXP)                         A102500300003 
STATUS     (TABLE) Table 4                                        A102500300004 
ENDBIB               2          0                                 A102500300005 
NOCOMMON             0          0                                 A102500300006 
DATA                 5         61                                 A102500300007 
EN         ANG-CM     DATA-CM    ERR-S      FLAG                  A102500300008 
MEV        ADEG       MB/SR      PER-CENT   NO-DIM                A102500300009 
     4.55      24.       442.         0.3        1.               A102500300010 
     4.55      26.2      406.         0.3        1.               A102500300011 
     4.55      30.6      319.         0.3        1.               A102500300012 
     4.55      33.6      279.         0.3        1.               A102500300013 
     4.55      37.3      239.         0.4        1.               A102500300014 
     4.55      40.8      206.         0.5        1.               A102500300015 
     4.55      44.6      173.         0.5        1.               A102500300016 
     4.55      48.2      149.         0.6        1.               A102500300017 
     4.55      51.9      126.         0.7        1.               A102500300018 
     4.55      55.3      106.         0.8        1.               A102500300019 
     4.55      58.9       90.         0.9        1.               A102500300020 
     4.55      62.4       79.         1.         1.               A102500300021 
     4.55      65.8       71.         1.1        1.               A102500300022 
     4.55      69.3       65.         1.2        1.               A102500300023 
     4.55      72.7       59.         1.3        1.               A102500300024 
     4.55      76.        58.         1.3        1.               A102500300025 
     4.55      79.3       58.         1.4        1.               A102500300026 
     4.55      84.5       57.         1.5        1.               A102500300027 
     4.55      90.        57.         1.5        1.               A102500300028 
     4.55      94.6       60.         1.6        1.               A102500300029 
     4.55      99.4       63.         1.6        1.               A102500300030 
     4.55     104.        68.         1.7        1.               A102500300031 
     4.55     108.6       75.         1.7        1.               A102500300032 
     4.55     125.3      122.         3.         2.               A102500300033 
     4.55     130.       149.         1.5        2.               A102500300034 
     4.55     135.       180.         1.5        2.               A102500300035 
     4.55     139.1      209.         1.         2.               A102500300036 
     4.55     148.       282.         1.         2.               A102500300037 
     5.67      24.       420.         0.2        1.               A102500300038 
     5.67      26.2      358.         0.3        1.               A102500300039 
     5.67      30.6      284.         0.4        1.               A102500300040 
     5.67      33.6      238.         0.4        1.               A102500300041 
     5.67      37.3      199.         0.5        1.               A102500300042 
     5.67      40.8      168.         0.5        1.               A102500300043 
     5.67      44.6      136.         0.6        1.               A102500300044 
     5.67      48.1      109.         0.8        1.               A102500300045 
     5.67      51.9       92.         0.9        1.               A102500300046 
     5.67      55.3       77.         1.         1.               A102500300047 
     5.67      58.9       65.         1.1        1.               A102500300048 
     5.67      62.4       58.         1.2        1.               A102500300049 
     5.67      65.8       52.         1.3        1.               A102500300050 
     5.67      69.3       48.         1.4        1.               A102500300051 
     5.67      72.7       49.         1.5        1.               A102500300052 
     5.67      76.        48.         1.6        1.               A102500300053 
     5.67      79.3       54.         1.6        1.               A102500300054 
     5.67      84.5       54.         1.6        1.               A102500300055 
     5.67      90.        57.         1.6        1.               A102500300056 
     5.67      94.6       62.         1.6        1.               A102500300057 
     5.67      99.4       63.         1.7        1.               A102500300058 
     5.67     104.1       67.         1.7        1.               A102500300059 
     5.67     108.6       70.         1.8        1.               A102500300060 
     5.67     109.8       73.         4.5        2.               A102500300061 
     5.67     113.        73.         1.8        1.               A102500300062 
     5.67     115.        76.         3.         2.               A102500300063 
     5.67     120.        83.         2.3        2.               A102500300064 
     5.67     125.3       97.         2.3        2.               A102500300065 
     5.67     130.       112.         1.5        2.               A102500300066 
     5.67     135.       132.         1.4        2.               A102500300067 
     5.67     139.1      157.         1.2        2.               A102500300068 
     5.67     145.       191.         1.         2.               A102500300069 
     5.67     148.       213.         1.         2.               A102500300070 
ENDDATA             63          0                                 A102500300071 
ENDSUBENT           70          0                                 A102500399999 
ENDENTRY             3          0                                 A102599999999 
