ENTRY            A1427   19990323                             0000A142700000001 
SUBENT        A1427001   19990323                             0000A142700100001 
BIB                  8         11                                 A142700100002 
INSTITUTE  (3AULCBR)                                              A142700100003 
REFERENCE  (J,PL/B,30,(2),100,196909)                             A142700100004 
AUTHOR     (J.L.BLACK,W.J.CAELLI,D.L.LIVESEY,R.B.WATSON)          A142700100005 
TITLE      Search for lowest T=2 state of 8Be : experimental      A142700100006 
FACILITY   (VDGT)                                                 A142700100007 
SAMPLE     Enriched 6Li metal largets were prepared by evaporationA142700100008 
           of the metal onto thin layers of formvar which had     A142700100009 
           previously been picked up on 15 mu-g/cm**2 carbon foilsA142700100010 
DETECTOR   (SOLST) Silicon surface-barrier counters               A142700100011 
HISTORY    (19800804C) Compilation produced by Arzamas RFNC-VNIIEFA142700100012 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A142700100013 
ENDBIB              11          0                                 A142700100014 
NOCOMMON             0          0                                 A142700100015 
ENDSUBENT           14          0                                 A142700199999 
SUBENT        A1427002   19990323                             0000A142700200001 
BIB                  3          6                                 A142700200002 
REACTION   ((3-LI-6(D,P)3-LI-7,PAR,DA,,,EXP)//                    A142700200003 
           (3-LI-6(D,P)3-LI-7,PAR,DA,,,EXP))                      A142700200004 
ERR-ANALYS (EN-ERR) Digitizing error                              A142700200005 
           (DATA-ERR) From graphic bars (statistical)             A142700200006 
           and digitizing error                                   A142700200007 
STATUS     (CURVE) Fig 1                                          A142700200008 
ENDBIB               6          0                                 A142700200009 
COMMON               3          3                                 A142700200010 
EN-ERR     E-LVL-DN   E-LVL-NM                                    A142700200011 
MEV        MEV        MEV                                         A142700200012 
 0.001       0.0        0.48                                      A142700200013 
ENDCOMMON            3          0                                 A142700200014 
DATA                 4        175                                 A142700200015 
EN         ANG        DATA       DATA-ERR                         A142700200016 
MEV        ADEG       NO-DIM     NO-DIM                           A142700200017 
     6.732     90.         0.4467     0.0276                      A142700200018 
     6.736     90.         0.469      0.0277                      A142700200019 
     6.74      90.         0.472      0.0304                      A142700200020 
     6.743     90.         0.4638     0.0221                      A142700200021 
     6.746     90.         0.4723     0.0221                      A142700200022 
     6.749     90.         0.489      0.0276                      A142700200023 
     6.752     90.         0.4393     0.0276                      A142700200024 
     6.756     90.         0.4754     0.0304                      A142700200025 
     6.759     90.         0.4563     0.0221                      A142700200026 
     6.762     90.         0.4564     0.0248                      A142700200027 
     6.765     90.         0.4731     0.0221                      A142700200028 
     6.768     90.         0.4262     0.0249                      A142700200029 
     6.771     90.         0.4706     0.0221                      A142700200030 
     6.775     90.         0.4376     0.0277                      A142700200031 
     6.778     90.         0.4433     0.0248                      A142700200032 
     6.781     90.         0.4573     0.0248                      A142700200033 
     6.784     90.         0.4574     0.0221                      A142700200034 
     6.787     90.         0.4686     0.0248                      A142700200035 
     6.79      90.         0.4328     0.0277                      A142700200036 
     6.794     90.         0.4689     0.0277                      A142700200037 
     6.796     90.         0.4358     0.0221                      A142700200038 
     6.799     90.         0.4636     0.0249                      A142700200039 
     6.803     90.         0.4721     0.0221                      A142700200040 
     6.805     90.         0.4833     0.0221                      A142700200041 
     6.808     90.         0.4308     0.0277                      A142700200042 
     6.812     90.         0.467      0.0248                      A142700200043 
     6.814     90.         0.4726     0.0221                      A142700200044 
     6.817     90.         0.4506     0.0249                      A142700200045 
     6.82      90.         0.4563     0.0277                      A142700200046 
     6.823     90.         0.4592     0.0277                      A142700200047 
     6.827     90.         0.4732     0.0248                      A142700200048 
     6.829     90.         0.4429     0.0248                      A142700200049 
     6.832     90.         0.4541     0.0249                      A142700200050 
     6.836     90.         0.493      0.0248                      A142700200051 
     6.839     90.         0.4544     0.0276                      A142700200052 
     6.842     90.         0.4684     0.0248                      A142700200053 
     6.845     90.         0.4796     0.0221                      A142700200054 
     6.849     90.         0.4493     0.0248                      A142700200055 
     6.852     90.         0.4661     0.0221                      A142700200056 
     6.854     90.         0.4523     0.0249                      A142700200057 
     6.857     90.         0.4524     0.0249                      A142700200058 
     6.861     90.         0.4305     0.0277                      A142700200059 
     6.864     90.         0.4417     0.0221                      A142700200060 
     6.866     90.         0.4474     0.0221                      A142700200061 
     6.869     90.         0.4586     0.0276                      A142700200062 
     6.873     90.         0.4504     0.0248                      A142700200063 
     6.874     45.         0.7353     0.0277                      A142700200064 
     6.876     90.         0.4478     0.0248                      A142700200065 
     6.877     45.         0.7492     0.0277                      A142700200066 
     6.878     45.         0.7576     0.0248                      A142700200067 
     6.878     90.         0.4755     0.0304                      A142700200068 
     6.881     45.         0.7467     0.0304                      A142700200069 
     6.882     90.         0.4508     0.0249                      A142700200070 
     6.885     90.         0.451      0.0249                      A142700200071 
     6.886     45.         0.7358     0.0304                      A142700200072 
     6.888     90.         0.4373     0.0249                      A142700200073 
     6.889     45.         0.747      0.0276                      A142700200074 
     6.891     45.         0.7665     0.0277                      A142700200075 
     6.892     90.         0.4623     0.0221                      A142700200076 
     6.894     45.         0.739      0.0249                      A142700200077 
     6.894     90.         0.4763     0.0248                      A142700200078 
     6.897     45.         0.7668     0.0304                      A142700200079 
     6.897     90.         0.4433     0.0221                      A142700200080 
     6.901     45.         0.7559     0.0304                      A142700200081 
     6.901     90.         0.4379     0.0249                      A142700200082 
     6.904     90.         0.4519     0.0221                      A142700200083 
     6.905     45.         0.7561     0.0304                      A142700200084 
     6.907     90.         0.4548     0.0221                      A142700200085 
     6.908     45.         0.759      0.0276                      A142700200086 
     6.911     90.         0.4384     0.0276                      A142700200087 
     6.912     45.         0.7536     0.0332                      A142700200088 
     6.914     45.         0.7344     0.0277                      A142700200089 
     6.914     90.         0.4634     0.0249                      A142700200090 
     6.917     45.         0.7346     0.0303                      A142700200091 
     6.917     90.         0.4469     0.0249                      A142700200092 
     6.921     45.         0.7458     0.0304                      A142700200093 
     6.921     90.         0.4471     0.0222                      A142700200094 
     6.923     45.         0.7265     0.0332                      A142700200095 
     6.924     90.         0.4224     0.0221                      A142700200096 
     6.926     45.         0.7792     0.0304                      A142700200097 
     6.927     90.         0.4612     0.0249                      A142700200098 
     6.93      90.         0.4392     0.0277                      A142700200099 
     6.931     45.         0.7683     0.0304                      A142700200100 
     6.932     90.         0.4725     0.0193                      A142700200101 
     6.934     45.         0.7684     0.0249                      A142700200102 
     6.936     45.         0.7796     0.0276                      A142700200103 
     6.936     90.         0.4506     0.0248                      A142700200104 
