EN         ANG-CM     DATA-CM    DATA-ERR                         A111300200015 
MEV        ADEG       MB/SR      MB/SR                            A111300200016 
     5.907     90.        88.41       0.5617                      A111300200101 
     5.908     30.88     237.1        5.596                       A111300200102 
     5.915    109.7       52.44       0.5617                      A111300200103 
     5.952    164.4      110.8        0.5617                      A111300200104 
     5.994     90.        87.21       0.5617                      A111300200105 
     6.001    109.7       50.12       0.5617                      A111300200106 
     6.021    164.4      113.6        0.5617                      A111300200107 
     6.04      30.88     230.4        5.596                       A111300200108 
     6.086    109.7       46.68       0.5617                      A111300200109 
     6.104     90.        86.         0.5617                      A111300200110 
     6.107    164.4      110.7        0.5617                      A111300200111 
     6.151     30.88     235.1        5.596                       A111300200112 
     6.212     90.        83.1        0.5614                      A111300200113 
     6.237    164.4      108.4        0.5617                      A111300200114 
     6.244    109.7       48.8        0.5617                      A111300200115 
     6.282     30.88     211.6        5.596                       A111300200116 
     6.345     90.        82.99       0.5617                      A111300200117 
     6.353    109.7       47.02       0.5617                      A111300200118 
     6.371    164.4      109.4        0.5617                      A111300200119 
     6.459     30.88     210.1        5.596                       A111300200120 
     6.476     90.        81.19       0.5617                      A111300200121 
     6.482    109.7       42.98       0.5617                      A111300200122 
     6.503    164.4      108.1        0.5617                      A111300200123 
     6.592     30.88     214.6        5.596                       A111300200124 
     6.614    109.7       42.87       0.5617                      A111300200125 
     6.637    164.4      109.2        0.5617                      A111300200126 
     6.648     90.        76.56       0.5617                      A111300200127 
     6.725     30.88     207.9        5.596                       A111300200128 
     6.735     90.        74.24       0.5617                      A111300200129 
     6.746    109.7       41.64       0.5617                      A111300200130 
     6.809    164.4      104.5        0.5617                      A111300200131 
     6.902     30.88     212.1        5.596                       A111300200132 
     6.922    109.7       40.37       0.5617                      A111300200133 
     6.933     90.        72.95       0.5617                      A111300200134 
     6.957     90.        75.18       0.5617                      A111300200135 
     6.964    164.4      104.4        0.5617                      A111300200136 
     6.966    109.7       40.33       0.5617                      A111300200137 
     6.987    164.4      104.9        0.5617                      A111300200138 
     7.035     30.88     211.         5.596                       A111300200139 
     7.045     90.        74.54       0.5617                      A111300200140 
     7.054    109.7       39.14       0.5617                      A111300200141 
     7.118    164.4      103.1        0.5617                      A111300200142 
     7.168     30.88     209.9        5.596                       A111300200143 
     7.184    109.7       36.78       0.5617                      A111300200144 
     7.241     90.        71.57       0.5617                      A111300200145 
     7.249    164.4      100.8        0.5617                      A111300200146 
     7.344     30.88     202.8        5.596                       A111300200147 
     7.361    109.7       36.64       0.5617                      A111300200148 
     7.371     90.        68.65       0.5617                      A111300200149 
     7.407    164.4      103.5        0.5617                      A111300200150 
     7.477     30.88     201.7        5.596                       A111300200151 
     7.493    109.7       35.4        0.5617                      A111300200152 
     7.526     90.        68.53       0.5617                      A111300200153 
     7.561    164.4      102.8        0.5617                      A111300200154 
     7.648    109.7       35.28       0.5617                      A111300200155 
     7.654     30.88     200.3        5.596                       A111300200156 
     7.658     90.        66.73       0.5617                      A111300200157 
     7.69     164.4       99.29       0.5617                      A111300200158 
     7.8      109.7       32.34       0.5617                      A111300200159 
     7.813     90.        66.6        0.5617                      A111300200160 
     7.831     30.88     198.8        5.596                       A111300200161 
     7.845    164.4       98.6        0.5617                      A111300200162 
     7.888    109.7       31.71       0.5617                      A111300200163 
     7.931    109.7       30.55       0.5617                      A111300200164 
     7.964     30.88     197.7        5.596                       A111300200165 
     7.975    164.4       96.25       0.5617                      A111300200166 
     7.987     90.        64.21       0.5617                      A111300200167 
     8.021    164.4       97.33       0.5617                      A111300200168 
     8.095     90.        61.31       0.5617                      A111300200169 
     8.141     30.88     196.3        5.596                       A111300200170 
     8.152    109.7       29.8        0.5617                      A111300200171 
     8.174    164.4       95.52       0.5617                      A111300200172 
     8.274     30.88     195.2        5.596                       A111300200173 
     8.295     90.        61.71       0.5617                      A111300200174 
     8.305    109.7       27.43       0.5617                      A111300200175 
     8.307    164.4       95.97       0.5617                      A111300200176 
     8.404     90.        59.93       0.5617                      A111300200177 
     8.452     30.88     199.3        5.596                       A111300200178 
     8.46     109.7       27.86       0.5617                      A111300200179 
     8.486    164.4       97.51       0.5617                      A111300200180 
     8.584     30.88     192.6        5.596                       A111300200181 
     8.621     90.        56.94       0.5617                      A111300200182 
     8.623     90.        59.19       0.5617                      A111300200183 
     8.625     90.        55.82       0.5617                      A111300200184 
     8.636    109.7       26.03       0.5617                      A111300200185 
     8.659    164.4       92.87       0.5617                      A111300200186 
     8.759     30.88     168.8        5.596                       A111300200187 
     8.791    164.4       92.2        0.5617                      A111300200188 
     8.813    109.7       25.88       0.5617                      A111300200189 
     8.822     90.        57.34       0.5617                      A111300200190 
     8.901    109.7       25.25       0.5617                      A111300200191 
     8.909     90.        54.44       0.5617                      A111300200192 
     8.93      90.        55.02       0.5617                      A111300200193 
     8.937     30.88     178.5        5.596                       A111300200194 
     8.945    109.7       25.21       0.5617                      A111300200195 
     8.968    164.4       89.79       0.5617                      A111300200196 
     8.98      30.88     167.         5.596                       A111300200197 
     8.988    164.4       91.49       0.5617                      A111300200198 
     8.989    109.7       25.18       0.5617                      A111300200199 
     9.021     90.        56.61       0.5617                      A111300200200 
     9.033    164.4       90.32       0.5617                      A111300200201 
     9.07      30.88     177.4        5.596                       A111300200202 
     9.099    109.7       24.52       0.5617                      A111300200203 
     9.127     90.        52.03       0.5617                      A111300200204 
     9.144    164.4       90.22       0.5617                      A111300200205 
     9.159     30.88     176.7        5.596                       A111300200206 
     9.164    109.7       22.78       0.5617                      A111300200207 
     9.195     90.        53.66       0.5617                      A111300200208 
     9.232    109.7       24.41       0.5617                      A111300200209 
     9.232    164.4       90.15       0.5617                      A111300200210 
     9.247     30.88     176.         5.596                       A111300200211 
     9.282     90.        51.9        0.5617                      A111300200212 
     9.319    164.4       88.39       0.5617                      A111300200213 
     9.336     30.88     175.2        5.596                       A111300200214 
