ENTRY            A0803   20080826                             A064A080300000001 
SUBENT        A0803001   20080826                             A064A080300100001 
BIB                 13         34                                 A080300100002 
TITLE      Coupled reaction channels effects in the elastic       A080300100003 
           scattering of S-32,36+Ni-58,64.                        A080300100004 
AUTHOR     (A.M.Stefanini, A.Tivelli, G.Montagnoli, D.R.Napoli,   A080300100005 
           D.Bonamini, S.Beghini, F.Scarlassara, S.Soramel,       A080300100006 
           C.Signorini, A.DeRosa, G.Inglima, M.Sandori,           A080300100007 
           G.Cardella, M.Papa, F.Rizzo)                           A080300100008 
REFERENCE  (J,PR/C,41,1018,1990)                                  A080300100009 
INSTITUTE  (2ITYPAD)                                              A080300100010 
           (2ITYITY) Salerno university, Padova                   A080300100011 
           (2ITYNAP)                                              A080300100012 
           (2ITYCAT)                                              A080300100013 
FACILITY   (VDGT,2ITYPAD) The XTU tandem                          A080300100014 
METHOD     (TOF)                                                  A080300100015 
SAMPLE     The Ni targets were 30 mug/cm**2 evaporations on       A080300100016 
            20 mug/cm**2 carbon foils, enriched to 99.8% and 96.5%A080300100017 
           in mass 58 and 64, respectively.                       A080300100018 
INC-SOURCE  An FeS sample, enriched to around 40% in mass 36, was A080300100019 
           used in the sputtering ion source to produce the S-36  A080300100020 
           beam.                                                  A080300100021 
ADD-RES    (COMP).Optical model FITS.                             A080300100022 
DETECTOR   (TELES,MCPLT,SIBAR,IOCH) Three time-of-flight-energy   A080300100023 
           telescopes consisting of microchannel plates detectors A080300100024 
           and 200-300 mm**2 Si surface barrier detectors.        A080300100025 
CORRECTION  The corrections for the isotopic impurities in the    A080300100026 
           targets were made.Those corrections were negligible in A080300100027 
           the case of Ni-58 and amounted typically to a few per  A080300100028 
           cent for Ni-64.                                        A080300100029 
ERR-ANALYS (ERR-T).The statistical uncertainties plus a minor     A080300100030 
           contribution due to the corrections for the isotopical A080300100031 
           impurities in the targets. Systematic errors, coming   A080300100032 
           from poor evaluation of solid angles, were corrected   A080300100033 
           for by normalizing the elastic yields to the           A080300100034 
           Rutherford limit at the most forward angles            A080300100035 
HISTORY    (20080826C)S.B                                         A080300100036 
ENDBIB              34          0                                 A080300100037 
NOCOMMON             0          0                                 A080300100038 
ENDSUBENT           37          0                                 A080300199999 
SUBENT        A0803002   20080826                             A064A080300200001 
BIB                  2          2                                 A080300200002 
REACTION   (28-NI-58(16-S-36,EL)28-NI-58,,DA,,RTH)                A080300200003 
STATUS     (TABLE) table 1                                        A080300200004 
ENDBIB               2          0                                 A080300200005 
NOCOMMON             0          0                                 A080300200006 
DATA                 4         99                                 A080300200007 
EN         ANG-CM     DATA       ERR-T                            A080300200008 
MEV        ADEG       NO-DIM     NO-DIM                           A080300200009 
       87.5       85.8      1.002      0.088                      A080300200010 
       87.5       92.7      0.979      0.060                      A080300200011 
       87.5       99.5      1.004      0.049                      A080300200012 
       87.5      105.8      0.987      0.064                      A080300200013 
       87.5      112.0      0.989      0.063                      A080300200014 
       87.5      117.8      0.899      0.069                      A080300200015 
       87.5      123.4      0.834      0.048                      A080300200016 
       87.5      128.5      0.899      0.084                      A080300200017 
       87.5      133.4      0.769      0.062                      A080300200018 
       87.5      137.8      0.743      0.085                      A080300200019 
       87.5      142.0      0.636      0.066                      A080300200020 
       87.5      145.8      0.510      0.061                      A080300200021 
       87.5      149.3      0.487      0.064                      A080300200022 
       90.0       85.9      1.046      0.057                      A080300200023 
       90.0       92.7      1.032      0.054                      A080300200024 
       90.0       99.5      0.976      0.050                      A080300200025 
       90.0      105.8      0.969      0.070                      A080300200026 
       90.0      112.0      0.991      0.065                      A080300200027 
       90.0      117.9      0.855      0.068                      A080300200028 
       90.0      123.4      0.795      0.061                      A080300200029 
       90.0      128.5      0.767      0.057                      A080300200030 
       90.0      133.4      0.693      0.066                      A080300200031 
       90.0      135.2      0.731      0.070                      A080300200032 
       90.0      137.8      0.563      0.052                      A080300200033 
       90.0      141.9      0.542      0.064                      A080300200034 
       90.0      145.8      0.622      0.059                      A080300200035 
       90.0      149.3      0.531      0.053                      A080300200036 
       90.0      152.6      0.564      0.062                      A080300200037 
       90.0      156.8      0.466      0.048                      A080300200038 
       92.5       85.7      0.993      0.045                      A080300200039 
       92.5       92.6      1.073      0.055                      A080300200040 
       92.5       99.5      1.018      0.062                      A080300200041 
       92.5      106.1      0.960      0.053                      A080300200042 
       92.5      112.2      0.955      0.054                      A080300200043 
       92.5      118.0      0.793      0.062                      A080300200044 
       92.5      123.3      0.708      0.049                      A080300200045 
       92.5      128.4      0.673      0.058                      A080300200046 
       92.5      133.4      0.627      0.067                      A080300200047 
       92.5      137.9      0.557      0.037                      A080300200048 
       92.5      141.9      0.473      0.033                      A080300200049 
       92.5      145.9      0.434      0.043                      A080300200050 
       92.5      158.6      0.270      0.031                      A080300200051 
       92.5      161.1      0.288      0.027                      A080300200052 
       94.8       71.5      0.968      0.038                      A080300200053 
       94.8       78.8      0.988      0.066                      A080300200054 
       94.8       85.9      1.030      0.046                      A080300200055 
       94.8       92.9      1.008      0.056                      A080300200056 
       94.8       99.6      1.006      0.067                      A080300200057 
       94.8      106.1      0.933      0.073                      A080300200058 
       94.8      112.2      0.936      0.044                      A080300200059 
       94.8      118.0      0.993      0.068                      A080300200060 
       94.8      123.5      0.751      0.050                      A080300200061 
       94.8      128.7      0.664      0.067                      A080300200062 
       94.8      133.5      0.550      0.050                      A080300200063 
       94.8      138.0      0.394      0.026                      A080300200064 
       94.8      142.1      0.299      0.044                      A080300200065 
       94.8      158.6      0.154      0.024                      A080300200066 
       99.8       48.3      0.983      0.061                      A080300200067 
       99.8       63.8      1.002      0.069                      A080300200068 
       99.8       71.3      1.047      0.070                      A080300200069 
       99.8       78.7      1.064      0.064                      A080300200070 
       99.8       82.3      1.022      0.067                      A080300200071 
       99.8       85.6      1.144      0.057                      A080300200072 
       99.8       92.6      1.208      0.062                      A080300200073 
       99.8       99.5      1.036      0.063                      A080300200074 
       99.8      105.9      0.947      0.062                      A080300200075 
       99.8      112.1      0.703      0.055                      A080300200076 
       99.8      117.9      0.521      0.044                      A080300200077 
       99.8      120.7      0.388      0.044                      A080300200078 
       99.8      123.2      0.336      0.035                      A080300200079 
       99.8      128.4      0.280      0.033                      A080300200080 
       99.8      133.4      0.167      0.018                      A080300200081 
       99.8      137.9      0.143      0.014                      A080300200082 
      110.3       40.4      1.018      0.066                      A080300200083 
      110.3       45.2      0.988      0.055                      A080300200084 
      110.3       51.5      0.999      0.055                      A080300200085 
      110.3       55.9      0.991      0.043                      A080300200086 
