ENTRY            A1415   19990323                             0000A141500000001 
SUBENT        A1415001   19990323                             0000A141500100001 
BIB                 10         13                                 A141500100002 
INSTITUTE  (1USAUI )                                              A141500100003 
REFERENCE  (J,JPR,29,969,196811)                                  A141500100004 
AUTHOR     (F.MERCHEZ,R.BOUCHEZ,R.A.HOFFSWELL,A.I.YAVIN)          A141500100005 
TITLE      Elastic and inelastic scattering  of protons from 6Li  A141500100006 
           in the energy range 14 - 16 MeV                        A141500100007 
FACILITY   (CYCLO,1USAUI )                                        A141500100008 
SAMPLE     7Li (99%) 2 mg/cm2 onto carbon backing                 A141500100009 
METHOD     (EXTB)                                                 A141500100010 
DETECTOR   (TELES,SOLST) THree: 50 micr.,1000 micr. in the        A141500100011 
           coincidence and 500 micr. in the anticoincidence.      A141500100012 
MONIT-REF  (,SHERR,J,BAP,2,231,1956)                              A141500100013 
HISTORY    (19800731C) Compilation produced by Arzamas RFNC-VNIIEFA141500100014 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A141500100015 
ENDBIB              13          0                                 A141500100016 
NOCOMMON             0          0                                 A141500100017 
ENDSUBENT           16          0                                 A141500199999 
SUBENT        A1415002   19990323                             0000A141500200001 
BIB                  3          4                                 A141500200002 
REACTION   (3-LI-6(P,INL)3-LI-6,PAR,DA,,,EXP)                     A141500200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A141500200004 
           (DATA-ERR) Digitizing error                            A141500200005 
STATUS     (CURVE) Fig 3                                          A141500200006 
ENDBIB               4          0                                 A141500200007 
COMMON               2          3                                 A141500200008 
EN         ANG-ERR                                                A141500200009 
MEV        ADEG                                                   A141500200010 
  14.00     0.5                                                   A141500200011 
ENDCOMMON            3          0                                 A141500200012 
DATA                 4         74                                 A141500200013 
ANG-CM     E-LVL      DATA-CM    DATA-ERR                         A141500200014 
ADEG       MEV        MB/SR      MB/SR                            A141500200015 
    16.83       2.18       6.876      0.2516                      A141500200016 
    22.89       0.       385.5        0.2516                      A141500200017 
    23.56       2.18       7.965      0.2516                      A141500200018 
    28.85       0.       355.9        0.2516                      A141500200019 
    29.41       2.18       8.597      0.2516                      A141500200020 
    29.59       3.56       0.3153     0.1469                      A141500200021 
    35.44       3.56       0.3585     0.1318                      A141500200022 
    35.77       2.18       8.661      0.2516                      A141500200023 
    40.06       0.       221.5        0.2516                      A141500200024 
    41.2        2.18       9.025      0.2516                      A141500200025 
    47.48       3.56       0.3896     0.0742                      A141500200026 
    47.57       2.18       8.935      0.2516                      A141500200027 
    51.93       0.       100.9        0.2516                      A141500200028 
    52.58       2.18       8.832      0.2516                      A141500200029 
    52.83       3.56       0.3021     0.0969                      A141500200030 
    57.67       0.        64.59       0.2516                      A141500200031 
    59.16       3.56       0.2512     0.0642                      A141500200032 
    59.37       2.18       9.217      0.2516                      A141500200033 
    59.56       3.56       0.2111     0.1095                      A141500200034 
    62.96       0.        40.62       0.2516                      A141500200035 
    64.39       2.18       8.954      0.2516                      A141500200036 
    68.77       0.        23.44       0.2516                      A141500200037 
    70.76       2.18       8.865      0.2516                      A141500200038 
    74.5        0.        15.27       0.2516                      A141500200039 
    75.82       2.18       8.033      0.2516                      A141500200040 
    79.76       0.        10.12       0.2516                      A141500200041 
    80.44       2.18       7.15       0.2516                      A141500200042 
    81.         3.56       0.108      0.0322                      A141500200043 
    84.9        0.         8.119      0.2516                      A141500200044 
    86.59       3.56       0.1293     0.0246                      A141500200045 
    87.33       2.18       6.381      0.2516                      A141500200046 
    89.92       0.         7.887      0.2516                      A141500200047 
