ENTRY            O1403   20060519                             O027O140300000001 
SUBENT        O1403001   20060519                             O027O140300100001 
BIB                 11         34                                 O140300100002 
TITLE      Survival of orbiting in 20-Ne (7-10 MeV/nucleon) + 12-CO140300100003 
           reactions                                              O140300100004 
REFERENCE  (J,PR/C,72,021601,2005)                                O140300100005 
AUTHOR     (C.Bhattacharya, A.Dey, S.Kundu, K.Banerjee,           O140300100006 
           S.Bhattacharya, S.Mukhopadhyay, D.Gupta,               O140300100007 
           T.Bhattacharjee, S.R.Banerjee, S.Bhattacharyya, T.Rana,O140300100008 
           S.K.Basu, R.Saha, S.Bhattacharjee, K.Krishan,          O140300100009 
           A.Mukherjee, D.Bandopadhyay, C.Beck)                   O140300100010 
INSTITUTE  (3INDVEC)                                              O140300100011 
           (2FR FR) Institut de Recherches Subatomiques and       O140300100012 
            Universite Louis Pasteur.                             O140300100013 
SAMPLE     The target used was 550 mug/cm2 self-supporting 12-C.  O140300100014 
ADD-RES    (E-DIS) Typical energy spectra for B and C fragments   O140300100015 
           obtained at an angle of 10 degrees at E/lab = 145, 158,O140300100016 
           168, 178, and 200 MeV.                                 O140300100017 
DETECTOR   (TELES,SIBAR,SILI) Two solid state telescopes (~10     O140300100018 
           micrometers delta-E and 0.3 mm E Si(Li)) to detect     O140300100019 
           different fragments.                                   O140300100020 
           (TELES,SIBAR,SILI)  Two  solid state telescopes (50-100O140300100021 
           micrometers delta-E and 5 mm E Si(Li)) to detect  lightO140300100022 
           charge particles.  The same detectors were also used asO140300100023 
           monitor detectors for normalization purposes.          O140300100024 
FACILITY   (ISOCY,3INDVEC)                                        O140300100025 
METHOD     (EXTB) Accelerated 20-Ne beam.                         O140300100026 
           (EDE,SITA)                                             O140300100027 
HISTORY    (20060516C) By F.Ch                                    O140300100028 
           (20060519U) Last checking has been done.               O140300100029 
ERR-ANALYS (ERR-SYS) The high limit of systematic errors in the   O140300100030 
           data, arising from the uncertainties in the            O140300100031 
           measurements of solid angle, target thickness, and  theO140300100032 
           calibration of current digitizer, have been (part of   O140300100033 
           these uncertainties are due to the Gaussian fitting    O140300100034 
           procedure employed to extract the fully damped yields  O140300100035 
           from the sequential decay components.)                 O140300100036 
ENDBIB              34          0                                 O140300100037 
COMMON               1          3                                 O140300100038 
ERR-SYS                                                           O140300100039 
PER-CENT                                                          O140300100040 
        15.                                                       O140300100041 
ENDCOMMON            3          0                                 O140300100042 
ENDSUBENT           41          0                                 O140300199999 
SUBENT        O1403002   20060519                             O027O140300200001 
BIB                  4          8                                 O140300200002 
REACTION   (6-C-0(10-NE-20,X)ELEM,,DA)  Figure 1.                 O140300200003 
COMMENT    -By authors.  The transformations from the laboratory  O140300200004 
           to c.m. Systems have been done with the assumption of  O140300200005 
           a two-body kinematics averaged over total kinetic      O140300200006 
           energy distributions.                                  O140300200007 
STATUS     (CURVE) By CAJAD.                                      O140300200008 
ERR-ANALYS (DATA-ERR) The uncertainties are shown on figure       O140300200009 
           without any explanation.                               O140300200010 
ENDBIB               8          0                                 O140300200011 
NOCOMMON             0          0                                 O140300200012 
DATA                 5         81                                 O140300200013 
EN         ELEMENT    ANG-CM     DATA-CM    DATA-ERR              O140300200014 
MEV        NO-DIM     ADEG       MB/SR      PER-CENT              O140300200015 
       145.         5.      93.65       1.43        20.           O140300200016 
       145.         5.      106.1        1.6        19.           O140300200017 
       145.         5.      122.6        1.9        21.           O140300200018 
       145.         5.      130.1        2.2        18.           O140300200019 
       145.         5.      132.9        2.2        18.           O140300200020 
       145.         5.      140.2        2.5        20.           O140300200021 
       145.         5.      143.3        2.7        19.           O140300200022 
       145.         5.      148.7        3.3        18.           O140300200023 
       145.         5.      154.7        3.3        18.           O140300200024 
       145.         6.      96.22        7.1        20.           O140300200025 
       145.         6.      104.4        7.4        20.           O140300200026 
       145.         6.      121.4       10.2        20.           O140300200027 
       145.         6.      129.5       10.5        19.           O140300200028 
       145.         6.       132.       10.3        19.           O140300200029 
       145.         6.      139.7       12.3        19.           O140300200030 
       145.         6.      142.6       13.3        20.           O140300200031 
       145.         6.      148.6       15.5        19.           O140300200032 
       145.         6.      154.7        17.        18.           O140300200033 
       158.         5.      92.91       1.41        21.           O140300200034 
       158.         5.      102.8        1.6        19.           O140300200035 
       158.         5.      111.7        1.8        17.           O140300200036 
       158.         5.      120.2         2.        20.           O140300200037 
       158.         5.       128.        2.1        19.           O140300200038 
       158.         5.      135.9        2.4        21.           O140300200039 
       158.         5.      143.4         3.        20.           O140300200040 
       158.         5.      151.1        3.4        18.           O140300200041 
       158.         6.      90.02        5.3        40.           O140300200042 
       158.         6.      101.1        5.9        40.           O140300200043 
       158.         6.      110.2        7.3        19.           O140300200044 
       158.         6.      118.9        8.2        20.           O140300200045 
       158.         6.      127.3        8.8        20.           O140300200046 
       158.         6.      135.3       11.5        18.           O140300200047 
       158.         6.      143.3       14.2        19.           O140300200048 
       158.         6.      150.9       11.7        18.           O140300200049 
       168.         5.      93.09       1.58        18.           O140300200050 
       168.         5.      103.7        1.8        17.           O140300200051 
       168.         5.      112.4        1.8        17.           O140300200052 
       168.         5.      121.8         2.        20.           O140300200053 
       168.         5.      130.2        2.3        17.           O140300200054 
       168.         5.       138.        2.5        20.           O140300200055 
       168.         5.      145.7        3.1        19.           O140300200056 
       168.         5.      153.4        3.7        19.           O140300200057 
       168.         6.      91.08        4.5        40.           O140300200058 
       168.         6.      102.1        5.4        20.           O140300200059 
       168.         6.      111.9        6.4        19.           O140300200060 
       168.         6.      120.9        7.3        21.           O140300200061 
       168.         6.      129.1        9.1        20.           O140300200062 
       168.         6.       137.        9.8        20.           O140300200063 
       168.         6.       145.       13.3        20.           O140300200064 
       168.         6.      152.6        16.        19.           O140300200065 
       178.         5.      90.41        1.8        22.           O140300200066 
       178.         5.      101.7        1.9        21.           O140300200067 
       178.         5.      111.4        2.1        19.           O140300200068 
       178.         5.      120.5        2.3        22.           O140300200069 
       178.         5.      129.3        2.3        17.           O140300200070 
       178.         5.      137.5        2.8        21.           O140300200071 
       178.         5.      145.5        2.9        21.           O140300200072 
       178.         5.       153.        3.8        18.           O140300200073 
       178.         6.      87.63        5.3        40.           O140300200074 
       178.         6.      92.89        5.3        40.           O140300200075 
       178.         6.      99.95        6.3        40.           O140300200076 
       178.         6.      110.1        7.5        20.           O140300200077 
       178.         6.      119.5        8.6        20.           O140300200078 
