ENTRY            O1592   20080110                             O034O159200000001 
SUBENT        O1592001   20080110                             O034O159200100001 
BIB                 15         37                                 O159200100002 
TITLE      Evidence for core excitation in single-particle        O159200100003 
           states of 19Na.                                        O159200100004 
AUTHOR     (M.G.Pellegriti, N.L.Achouri, C.Angulo,                O159200100005 
           J.-C.Angelique, E.Berthoumieux, E.Casarejos,           O159200100006 
           M.Couder, T.Davinson, C.Ghag, A.St.Murphy,             O159200100007 
           N.A.Orr, I.Ray, I.G.Stefan, P.Descouvemont)            O159200100008 
REFERENCE  (J,PL/B,659,864,2008)                                  O159200100009 
INSTITUTE  (2BLGLVN)                                              O159200100010 
INC-SOURCE  The Ne-18 atoms were produced via the F-19(p,2n)      O159200100011 
            reaction by bombarding a LiF target with an intense   O159200100012 
            30 MeV proton beam from the CYCLONE30 cyclotron.      O159200100013 
FACILITY   (CYCLO,2BLGLVN) CRC-RIB facility at Louvain-la-Neuve,  O159200100014 
            Belgium. The Ne-18 beam was post-accelerated to       O159200100015 
            66 MeV by the CYCLONE110.                             O159200100016 
SAMPLE     A 2 mg/cm**2 (CH2)n foil was used.                     O159200100017 
METHOD     (SITA)                                                 O159200100018 
            Proton resonant elastic and inelastic scattering.     O159200100019 
DETECTOR   (TELES) A 'compact disc' silicon strip delta-E-E       O159200100020 
           detector. See NIM/A,480,448,2002.                      O159200100021 
COMMENT    *By authors*.The absolute elastic and inelastic        O159200100022 
            18Ne+p cross section were obtained for 7 effective    O159200100023 
            lab.angles.                                           O159200100024 
ERR-ANALYS (DATA-ERR).The error bars include the statistical      O159200100025 
           error, the uncertainty in the solid angles +-6%, in theO159200100026 
           effective target thickness +-5% and from the backgroundO159200100027 
           subtraction, which is +-20% at E-cm=2.78 MeV for the   O159200100028 
           inelastic data.                                        O159200100029 
ADD-RES    (COMP).R-matrix analysis.                              O159200100030 
            Widths of Na-19 resonances obtained in the global     O159200100031 
            R-matrix fit with a=5 fm is 105+-10 and 250+-50 keV   O159200100032 
            at E(cm)=2.78+-0.03 and 3.09+-0.06 MeV, respectively. O159200100033 
MISC-COL   (MISC).It is the 18Ne-p centre-of-mass energy(MeV)     O159200100034 
            as indicated in fig.3.                                O159200100035 
STATUS     (TABLE) Data were received from M.G.Pellegriti         O159200100036 
            24.01.2008                                            O159200100037 
           (APRVD) By M.G.Pellegriti                              O159200100038 
HISTORY    (20080121C) SB                                         O159200100039 
ENDBIB              37          0                                 O159200100040 
NOCOMMON             0          0                                 O159200100041 
ENDSUBENT           40          0                                 O159200199999 
SUBENT        O1592002   20080110                             O034O159200200001 
BIB                  1          1                                 O159200200002 
REACTION   (1-H-1(10-NE-18,EL)1-H-1,,DA)   fig 3                  O159200200003 
ENDBIB               1          0                                 O159200200004 
NOCOMMON             0          0                                 O159200200005 
DATA                 5         99                                 O159200200006 
ANG        EN         DATA-CM    DATA-ERR   MISC                  O159200200007 
ADEG       MEV        MB/SR      MB/SR      MEV                   O159200200008 
    6.10000   48.83000  128.60000   13.90000    2.58900           O159200200009 
    6.10000   49.31000  115.20000   13.00000    2.61400           O159200200010 
    6.10000   49.78000  131.40000   14.10000    2.63900           O159200200011 
    6.10000   50.25000  130.00000   14.00000    2.66400           O159200200012 
    6.10000   50.72000  151.70000   15.60000    2.68900           O159200200013 
    6.10000   51.19000  140.30000   14.70000    2.71400           O159200200014 
    6.10000   51.66000  129.70000   13.90000    2.73900           O159200200015 
    6.10000   52.14000  109.40000   12.20000    2.76400           O159200200016 
    6.10000   52.61000   94.10000   11.30000    2.78900           O159200200017 
    6.10000   53.08000  106.10000   11.90000    2.81400           O159200200018 
    6.10000   53.55000   90.00000   10.90000    2.83900           O159200200019 
    6.10000   54.02000   99.70000   11.50000    2.86400           O159200200020 
    6.10000   54.49000  106.70000   12.00000    2.88900           O159200200021 
    6.10000   54.97000  103.50000   11.70000    2.91400           O159200200022 
    6.10000   55.44000  101.50000   11.60000    2.93900           O159200200023 
    6.10000   55.91000  100.80000   11.30000    2.96400           O159200200024 
    6.10000   56.38000   91.60000   10.80000    2.98900           O159200200025 
    6.10000   56.85000  102.60000   11.50000    3.01400           O159200200026 
    6.10000   57.32000   96.70000   11.00000    3.03900           O159200200027 
    6.10000   57.80000   94.10000   10.80000    3.06400           O159200200028 
    6.10000   58.27000   92.50000   10.60000    3.08900           O159200200029 
    6.10000   58.74000   92.50000   10.60000    3.11400           O159200200030 
    6.10000   59.21000   90.70000   10.40000    3.13900           O159200200031 
    6.10000   59.68000   86.80000   10.10000    3.16400           O159200200032 
    6.10000   60.15000   84.30000    9.90000    3.18900           O159200200033 
    6.10000   60.63000   82.60000    9.80000    3.21400           O159200200034 
    6.10000   61.10000   90.80000   10.20000    3.23900           O159200200035 
    6.10000   61.57000   83.50000    9.80000    3.26400           O159200200036 
    6.10000   62.04000   87.70000   10.00000    3.28900           O159200200037 
    6.10000   62.51000   89.30000   10.10000    3.31400           O159200200038 
    6.10000   62.98000   81.30000    9.50000    3.33900           O159200200039 
    6.10000   63.46000   80.80000    9.40000    3.36400           O159200200040 
    6.10000   63.93000   83.70000    9.40000    3.38900           O159200200041 
   10.70000   48.83000  122.70000   13.20000    2.58900           O159200200042 
   10.70000   49.31000  123.20000   13.20000    2.61400           O159200200043 
   10.70000   49.78000  122.50000   13.10000    2.63900           O159200200044 
   10.70000   50.25000  116.20000   12.70000    2.66400           O159200200045 
   10.70000   50.72000  138.90000   14.40000    2.68900           O159200200046 
   10.70000   51.19000  136.40000   14.10000    2.71400           O159200200047 
   10.70000   51.66000  126.00000   13.30000    2.73900           O159200200048 
   10.70000   52.14000  110.10000   12.10000    2.76400           O159200200049 
   10.70000   52.61000  102.10000   11.50000    2.78900           O159200200050 
   10.70000   53.08000  104.20000   11.60000    2.81400           O159200200051 
