ENTRY            O2371   20180624                             O065O2371  0    1 
SUBENT        O2371001   20180624                             O065O2371  1    1 
BIB                 10         20                                 O2371  1    2 
TITLE      Differential cross-section measurements for deuteron   O2371  1    3 
           elastic scattering on nat-N, suitable for EBS.         O2371  1    4 
AUTHOR     (M.Kokkoris,X.Aslanoglou,M.Axiotis,A.Lagoyannis,       O2371  1    5 
           P.Misaelides,E.Ntemou,N.Patronis,K.Preketes-Sigalas,   O2371  1    6 
           P.Tsintari)                                            O2371  1    7 
INSTITUTE  (2GRCTUA,2GRCIOA,2GRCATH,2GRCARU)                      O2371  1    8 
REFERENCE  (J,NIM/B,410,29,2017)                                  O2371  1    9 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 HV  Tandem Accelerator      O2371  1   10 
SAMPLE     The target used for the measurements was a self-       O2371  1   11 
           supported Si(3)N(4) thin foil, with an ultra-thin Au   O2371  1   12 
           layer evaporated on top for normalization purposes.    O2371  1   13 
DETECTOR   (SIBAR)                                                O2371  1   14 
ERR-ANALYS (ERR-S) The corresponding combined statistical         O2371  1   15 
           cross-section errors at +-1 sigma accuracy are also    O2371  1   16 
           included.                                              O2371  1   17 
           (EN-ERR) The errors in the energy values include the   O2371  1   18 
           effects of beam ripple and energy straggling inside theO2371  1   19 
           target.                                                O2371  1   20 
STATUS     (TABLE) Table 1 of J,Nucl.Instr.Meth.Sec.B,410,29,2017 O2371  1   21 
HISTORY    (20180624C) SB                                         O2371  1   22 
ENDBIB              20          0                                 O2371  1   23 
NOCOMMON             0          0                                 O2371  1   24 
ENDSUBENT           23          0                                 O2371  199999 
SUBENT        O2371002   20180624                             O065O2371  2    1 
BIB                  1          1                                 O2371  2    2 
REACTION   (7-N-0(D,EL)7-N-0,,DA)                                 O2371  2    3 
ENDBIB               1          0                                 O2371  2    4 
NOCOMMON             0          0                                 O2371  2    5 
DATA                 5        716                                 O2371  2    6 
ANG        EN         EN-ERR     DATA       ERR-S                 O2371  2    7 
ADEG       KEV        KEV        MB/SR      MB/SR                 O2371  2    8 
120.       992.4      5.7        112.0      4.0                   O2371  2    9 
120.       1002.3     5.7        107.0      3.0                   O2371  2   10 
120.       1012.3     5.7        104.0      3.0                   O2371  2   11 
120.       1022.4     5.7        99.0       3.0                   O2371  2   12 
120.       1032.4     5.7        98.0       3.0                   O2371  2   13 
120.       1042.4     5.7        98.0       3.0                   O2371  2   14 
120.       1052.4     5.7        96.0       3.0                   O2371  2   15 
120.       1062.5     5.7        90.0       3.0                   O2371  2   16 
120.       1072.5     5.7        86.3       2.8                   O2371  2   17 
120.       1082.5     5.7        86.3       2.8                   O2371  2   18 
120.       1092.5     5.7        83.5       2.7                   O2371  2   19 
120.       1102.5     5.7        79.1       2.6                   O2371  2   20 
120.       1112.6     5.7        80.8       2.7                   O2371  2   21 
120.       1122.6     5.7        77.7       2.6                   O2371  2   22 
120.       1132.6     5.7        75.4       2.6                   O2371  2   23 
120.       1142.6     5.7        74.7       2.6                   O2371  2   24 
120.       1152.7     5.7        72.3       2.5                   O2371  2   25 
120.       1162.7     5.7        70.3       2.3                   O2371  2   26 
120.       1172.7     5.7        68.4       2.2                   O2371  2   27 
120.       1182.7     5.7        68.0       2.2                   O2371  2   28 
120.       1192.7     5.7        66.0       2.2                   O2371  2   29 
120.       1202.8     5.7        64.3       2.1                   O2371  2   30 
120.       1212.8     5.7        63.4       2.1                   O2371  2   31 
120.       1222.8     5.7        59.3       2.0                   O2371  2   32 
120.       1232.8     5.7        59.8       2.0                   O2371  2   33 
120.       1242.8     5.7        59.2       2.0                   O2371  2   34 
120.       1252.8     5.7        59.1       2.0                   O2371  2   35 
120.       1262.9     5.7        58.3       1.9                   O2371  2   36 
120.       1272.9     5.7        56.2       1.8                   O2371  2   37 
120.       1282.9     5.7        54.6       1.8                   O2371  2   38 
120.       1292.9     5.7        49.9       1.7                   O2371  2   39 
120.       1302.9     5.7        49.4       1.6                   O2371  2   40 
