ENTRY            O2575   20230514                             O097O2575000    1 
SUBENT        O2575001   20230514                             O097O2575001    1 
BIB                 11         37                                 O2575001    2 
TITLE      Measurement, evaluation and benchmarking of            O2575001    3 
            differential cross sections for proton elastic        O2575001    4 
            scattering on natO in the energy range E = 4-6 MeV,   O2575001    5 
            suitable for EBS                                      O2575001    6 
AUTHOR     (M.Kokkoris, K.Bosmpotinis, V.Foteinou, A.F.Gurbich,   O2575001    7 
            A.Lagoyannis, F.Maragkos, N.Patronis, E.Taimpiri,     O2575001    8 
            A.Ziagkova)                                           O2575001    9 
INSTITUTE  (2GRCTUA,2GERBOC,4RUSFEI,2GRCATH,2GRCIOA)              O2575001   10 
REFERENCE  (J,NIM/B,539,15,2023)                                  O2575001   11 
           #doi:10.1016/j.nimb.2023.03.014                        O2575001   12 
FACILITY   (VDGT,2GRCATH)                                         O2575001   13 
INC-SPECT  The incident accelerator beam energy was corrected     O2575001   14 
           with the the energy loss in the ultra thin surface     O2575001   15 
           gold layer and the energy loss considering half of     O2575001   16 
           the disodium phosphate target thickness.               O2575001   17 
DETECTOR   (SIBAR) Six Si surface barrier detectors, having a     O2575001   18 
           thickness of 500 um.                                   O2575001   19 
SAMPLE     Thin, multi-layered structure, consisting of thin      O2575001   20 
           carbon foil, on top of which a layer of disodium       O2575001   21 
           phosphate (Na2HPO4, 8-10 keV in thickness, for         O2575001   22 
           Ep,lab = 6 to 4 MeV respectively), rich in oxygen,     O2575001   23 
           was evaporated and, on top of this, an ultra-thin Au   O2575001   24 
           layer (<1 keV) was also subsequently evaporated for    O2575001   25 
           normalization and wear protection purposes.            O2575001   26 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O2575001   27 
ERR-ANALYS (ERR-S) Statistical uncertainty including the          O2575001   28 
           statistical error in the integrated yield of the p-Au  O2575001   29 
           scattering that was always kept below 2%, the          O2575001   30 
           corresponding one of the p-natO scattering that did    O2575001   31 
           not exceed 2-3% in the least favorable case and the    O2575001   32 
           NAu/NnatO ratio of about 1.8%.                         O2575001   33 
           (ERR-SYS,,7.) Systematic uncertainty originating from: O2575001   34 
           - accuracy of the implemented stopping power           O2575001   35 
           - lateral inhomogeneities in the target composition    O2575001   36 
           - carbon buildup effects                               O2575001   37 
HISTORY    (20230513R) Data reveived from M.Kokkoris for IBANDL   O2575001   38 
           (20230514C) VS                                         O2575001   39 
ENDBIB              37          0                                 O2575001   40 
NOCOMMON             0          0                                 O2575001   41 
ENDSUBENT           40          0                                 O257500199999 
SUBENT        O2575002   20230514                             O097O2575002    1 
BIB                  2          4                                 O2575002    2 
REACTION   (8-O-0(P,EL)8-O-0,,DA)                                 O2575002    3 
STATUS     (TABLE) Fig. 2 of                                      O2575002    4 
           Nucl.Instrum.Method Phys.Res.B 539(2023)15             O2575002    5 
           Converted by R33toX4 from R33 files.                   O2575002    6 
ENDBIB               4          0                                 O2575002    7 
NOCOMMON             0          0                                 O2575002    8 
DATA                 5        888                                 O2575002    9 
ANG        EN         EN-ERR     DATA       ERR-S                 O2575002   10 
       120.      4832.         6.     133.80       5.35           O2575002   68 
       120.      4847.         6.     129.37       5.17           O2575002   69 
       120.      4862.         6.     125.59       5.02           O2575002   70 
       120.      4877.         6.     120.95       4.84           O2575002   71 
       120.      4892.         6.     119.31       4.77           O2575002   72 
       120.      4907.         6.     116.79       4.67           O2575002   73 
       120.      4922.         6.     114.23       4.57           O2575002   74 
       120.      4937.         6.     105.39       4.22           O2575002   75 
       120.      4952.         6.     106.24       4.25           O2575002   76 
       120.      4967.         6.     105.31       4.21           O2575002   77 
       120.      4982.         6.     104.31       4.17           O2575002   78 
       120.      4997.         6.      99.14       3.97           O2575002   79 
       120.      5012.         6.      96.84       3.87           O2575002   80 
       120.      5027.         6.      91.69       3.67           O2575002   81 
       120.      5042.         6.      90.24       3.61           O2575002   82 
       120.      5057.         6.      86.50       3.46           O2575002   83 
       120.      5072.         6.      81.57       3.26           O2575002   84 
       120.      5087.         6.      78.45       3.14           O2575002   85 
       120.      5102.         6.      74.94       3.00           O2575002   86 
       120.      5117.         6.      69.62       2.78           O2575002   87 
       120.      5132.         6.      60.86       2.43           O2575002   88 
       120.      5147.         6.      56.59       2.26           O2575002   89 
       120.      5157.         6.      51.59       2.06           O2575002   90 
       120.      5167.         6.      48.01       1.92           O2575002   91 
       120.      5177.         6.      50.17       2.01           O2575002   92 
       120.      5188.         6.      59.30       2.37           O2575002   93 
       120.      5197.         6.      82.08       3.28           O2575002   94 
       120.      5207.         6.     108.85       4.35           O2575002   95 
       120.      5217.         6.     130.77       5.23           O2575002   96 
       120.      5227.         6.     145.35       5.81           O2575002   97 
       120.      5242.         6.     146.69       5.87           O2575002   98 
       120.      5257.         6.     146.32       5.85           O2575002   99 
       120.      5272.         6.     147.85       5.91           O2575002  100 
       120.      5287.         6.     151.66       6.07           O2575002  101 
       120.      5303.         6.     153.88       6.16           O2575002  102 
       120.      5318.         6.     156.23       6.25           O2575002  103 
       120.      5333.         6.     170.98       6.84           O2575002  104 
       120.      5348.         6.     181.99       7.28           O2575002  105 
       120.      5363.         6.     210.75       8.43           O2575002  106 
       120.      5368.         6.     222.22       8.89           O2575002  107 
       120.      5373.         6.     240.18       9.61           O2575002  108 
       120.      5378.         6.     246.61       9.86           O2575002  109 
       120.      5384.         6.     252.29      10.09           O2575002  110 
       120.      5388.         6.     243.78       9.75           O2575002  111 
       120.      5393.         6.     263.97      10.56           O2575002  112 
       120.      5398.         6.     284.52      11.38           O2575002  113 
       120.      5403.         6.     208.53       8.34           O2575002  114 
       120.      5418.         6.     104.15       4.17           O2575002  115 
       120.      5433.         6.      61.73       2.47           O2575002  116 
       120.      5448.         6.      38.69       1.55           O2575002  117 
       120.      5463.         6.      31.79       1.27           O2575002  118 
       120.      5478.         6.      26.66       1.07           O2575002  119 
       120.      5493.         6.      22.93       0.92           O2575002  120 
       120.      5508.         6.      36.41       1.46           O2575002  121 
       120.      5523.         6.      79.35       3.17           O2575002  122 
       120.      5538.         6.      86.97       3.48           O2575002  123 
       120.      5553.         6.      80.26       3.21           O2575002  124 
