ENTRY            O1513   20070510                             O030O151300000001 
SUBENT        O1513001   20070510                             O030O151300100001 
BIB                 14         46                                 O151300100002 
TITLE      Low-lying states in the unbound N-11 nucleus.          O151300100003 
AUTHOR     (E.Casarejos, C.Angulo, P.J.Woods, F.C.Barker,         O151300100004 
           P.Descouvemont, M.Aliotta, T.Davinson, P.Demaret,      O151300100005 
           M.Gaelens, P.Ledeux, Z.Liu, M.Loiselet, A.S.Murphy,    O151300100006 
           A.Ninane, I.A.Roberts, G.Ryckewaert, J.S.Schweitzer,   O151300100007 
           F.Vanderbist)                                          O151300100008 
INSTITUTE  (2BLGLVN)                                              O151300100009 
           (2UK EDG)                                              O151300100010 
           (3AULCBR)                                              O151300100011 
           (2BLGBRU)                                              O151300100012 
           (1USAUSA) University of Connecticut, Storrs, USA       O151300100013 
REFERENCE  (J,PR/C,73,014319,2006)                                O151300100014 
HISTORY    (20070509C) S B                                        O151300100015 
           (20070510U) Last checking has been done.               O151300100016 
COMMENT    *By authors*.The method of scattering of protons in    O151300100017 
           inverse kinematics has been used to identify low-lying O151300100018 
           resonances in the proton unbound nucleus N-11.         O151300100019 
SAMPLE     The C-10 atoms were produced through the B-10(p,n)C-10 O151300100020 
           reaction by bombarding a natural boron nitride target  O151300100021 
           with an intense 30-MeV proton beam.                    O151300100022 
           A 3-mg/cm**2 polyethylene-(CH(2))N-foil was used. The  O151300100023 
           target thickness was chosen such that the expected fullO151300100024 
           width of the 1/2+ ground state could be encompassed    O151300100025 
           at a single beam energy, while limiting the total      O151300100026 
           energy straggling of the beam in the target.           O151300100027 
ADD-RES    (COMP).The R-matrix framework.                         O151300100028 
MONITOR    (79-AU-197(6-C-10,EL)79-AU-197,,DA,,RTH) For           O151300100029 
           calibration the current amplifier at the Faraday cup.  O151300100030 
DETECTOR   (TELES) The recoil protons were detected using a       O151300100031 
           compact dick silicon strip detector based delta-E-E    O151300100032 
           telescope array called Cd-PAD, which allows for very   O151300100033 
           clean separation between proton,alpha and beta-        O151300100034 
           particles. The Cd-PAD array was situated 12.1-cm down- O151300100035 
           stream from the target. The energy calibration of the  O151300100036 
           detector array was performed by means of a three-line  O151300100037 
           alpha-source-Pu-239, Am-241, cm-244. The laboratory    O151300100038 
           proton energy resolution was 55-keV for the delta-E    O151300100039 
           detectors and 90-keV for the PAD-detectors.            O151300100040 
FACILITY   (CYCLO,2BLGLVN)                                        O151300100041 
METHOD     (EDE)                                                  O151300100042 
ERR-ANALYS (ERR-1).The error in the number of counts for the solidO151300100043 
           angles of the detectors is 5%.                         O151300100044 
           (ERR-2). The error in the H-content in target is 10%.  O151300100045 
           (ERR-3).The error in the total number of incident beam O151300100046 
           particles is 15%.                                      O151300100047 
STATUS     (TABLE) Data were received from C.Angulo               O151300100048 
ENDBIB              46          0                                 O151300100049 
COMMON               3          3                                 O151300100050 
ERR-1      ERR-2      ERR-3                                       O151300100051 
PER-CENT   PER-CENT   PER-CENT                                    O151300100052 
         5.        10.        15.                                 O151300100053 
ENDCOMMON            3          0                                 O151300100054 
ENDSUBENT           53          0                                 O151300199999 
SUBENT        O1513002   20070510                             O030O151300200001 
BIB                  2          3                                 O151300200002 
REACTION   (1-H-1(6-C-10,EL)1-H-1,,DA)                            O151300200003 
ERR-ANALYS (ANG-ERR).The uncertainty is reported by authors.      O151300200004 
           (ERR-S).The uncertainty is reported by authors.        O151300200005 
ENDBIB               3          0                                 O151300200006 
NOCOMMON             0          0                                 O151300200007 
DATA                 5        395                                 O151300200008 
EN-CM      ANG-CM     ANG-ERR    DATA-CM    ERR-S                 O151300200009 
MEV        ADEG       ADEG       MB/SR      MB/SR                 O151300200010 
        0.7      162.7         1.        87.        11.           O151300200011 
        0.7      166.7         1.        80.        10.           O151300200012 
        0.7      170.9         1.        90.        15.           O151300200013 
       0.75      162.7         1.        74.         8.           O151300200014 
       0.75      166.7         1.        57.        10.           O151300200015 
       0.75      170.9         1.        72.         5.           O151300200016 
        0.8       146.        0.5        63.         9.           O151300200017 
        0.8      147.9        0.5        58.         8.           O151300200018 
        0.8      150.8         1.        63.         5.           O151300200019 
        0.8      154.7         1.        61.         6.           O151300200020 
        0.8      158.7         1.        63.         7.           O151300200021 
        0.8      162.7         1.        53.         5.           O151300200022 
        0.8      166.7         1.        56.         9.           O151300200023 
        0.8      170.9         1.        54.         8.           O151300200024 
       0.85      142.2        0.5        55.         8.           O151300200025 
       0.85      144.1        0.5        48.         5.           O151300200026 
       0.85       146.        0.5        57.         8.           O151300200027 
       0.85      147.9        0.5        43.         6.           O151300200028 
       0.85      150.8         1.        51.         4.           O151300200029 
       0.85      154.7         1.        49.         4.           O151300200030 
       0.85      158.7         1.        46.         6.           O151300200031 
       0.85      162.7         1.        51.         5.           O151300200032 
       0.85      166.7         1.        38.         6.           O151300200033 
       0.85      170.9         1.        38.         8.           O151300200034 
        0.9      142.2        0.5        41.         6.           O151300200035 
        0.9      144.1        0.5        44.         5.           O151300200036 
        0.9       146.        0.5        42.         5.           O151300200037 
        0.9      147.9        0.5        39.         5.           O151300200038 
        0.9      150.8         1.        46.         4.           O151300200039 
        0.9      154.7         1.        38.         4.           O151300200040 
        0.9      158.7         1.        30.         5.           O151300200041 
        0.9      162.7         1.        37.         4.           O151300200042 
        0.9      166.7         1.        26.         5.           O151300200043 
        0.9      170.9         1.        36.         6.           O151300200044 
       0.95      142.2        0.5        34.         5.           O151300200045 
       0.95      144.1        0.5        30.         4.           O151300200046 
       0.95       146.        0.5        32.         4.           O151300200047 
       0.95      147.9        0.5        33.         5.           O151300200048 
       0.95      150.8         1.        32.         4.           O151300200049 
       0.95      154.7         1.        25.         3.           O151300200050 
       0.95      158.7         1.        31.         6.           O151300200051 
       0.95      162.7         1.        21.         3.           O151300200052 
       0.95      166.7         1.        20.         5.           O151300200053 
       0.95      170.9         1.        23.         5.           O151300200054 
         1.      142.2        0.5        23.         4.           O151300200055 
         1.      144.1        0.5        18.         3.           O151300200056 
         1.       146.        0.5        25.         4.           O151300200057 
         1.      147.9        0.5        24.         4.           O151300200058 
         1.      150.8         1.        21.         3.           O151300200059 
         1.      154.7         1.        20.         3.           O151300200060 
         1.      158.7         1.        19.         4.           O151300200061 
         1.      162.7         1.        19.         3.           O151300200062 
         1.      166.7         1.        13.         4.           O151300200063 
         1.      170.9         1.        26.         5.           O151300200064 
       1.05      142.2        0.5        17.         3.           O151300200065 
       1.05      144.1        0.5        17.         3.           O151300200066 
       1.05       146.        0.5        17.         3.           O151300200067 
       1.05      147.9        0.5        19.         3.           O151300200068 
       1.05      150.8         1.        20.         3.           O151300200069 
       1.05      154.7         1.        16.         3.           O151300200070 
       1.05      158.7         1.        16.         5.           O151300200071 
       1.05      162.7         1.        13.         2.           O151300200072 
       1.05      166.7         1.        15.         4.           O151300200073 
       1.05      170.9         1.        16.         4.           O151300200074 
        1.1      142.2        0.5        13.         3.           O151300200075 
        1.1      144.1        0.5        14.         3.           O151300200076 
        1.1       146.        0.5        15.         3.           O151300200077 
        1.1      147.9        0.5        10.         2.           O151300200078 
        1.1      150.8         1.        10.         2.           O151300200079 
        1.1      154.7         1.         9.         1.           O151300200080 
