ENTRY            O2455   20200326                             O077O2455  0    1 
SUBENT        O2455001   20200326                             O077O2455  1    1 
BIB                 11         19                                 O2455  1    2 
TITLE      Differential elastic backscattering cross-sections of  O2455  1    3 
           the 1-2.4 MeV deuterons on sodium                      O2455  1    4 
AUTHOR     (E.Ntemou,X.Aslanoglou,N.Bligoura,C.Jeynes,M.Kokkoris, O2455  1    5 
           A.Lagoyannis,P.Misaelides,N.Patronis,                  O2455  1    6 
           K.Preketes-Sigalas)                                    O2455  1    7 
INSTITUTE  (2GRCTUA,2GRCATH,2GRCIOA,2UK SUR,2GRCARU)              O2455  1    8 
REFERENCE  (J,NIM/B,461,124,2019)                                 O2455  1    9 
           #doi:10.1016/j.nimb.2019.09.044                        O2455  1   10 
FACILITY   (VDGT,2GRCATH)                                         O2455  1   11 
SAMPLE     Na2O powder evaporated on a self-supporting thin       O2455  1   12 
           carbon foil along with a thin Au layer for             O2455  1   13 
           normalization                                          O2455  1   14 
DETECTOR   (SIBAR) A detection system of four silicon surface     O2455  1   15 
           barrier detectors with thicknesses of 500 um.          O2455  1   16 
           Angular acceptance less than 1 degree                  O2455  1   17 
MONITOR    (13-AL-27(D,EL)13-AL-27,,DA,,RTH)                      O2455  1   18 
ERR-ANALYS (ERR-S) Total statistical uncertainty                  O2455  1   19 
STATUS     (APRVD) Proof-read by E.Ntemou (2020-05-07)            O2455  1   20 
HISTORY    (20200326C) VS                                         O2455  1   21 
ENDBIB              19          0                                 O2455  1   22 
NOCOMMON             0          0                                 O2455  1   23 
ENDSUBENT           22          0                                 O2455  199999 
SUBENT        O2455002   20200326                             O077O2455  2    1 
BIB                  2          3                                 O2455  2    2 
REACTION   (11-NA-23(D,EL)11-NA-23,,DA)                           O2455  2    3 
STATUS     (TABLE) Data plotted on Fig 4 submitted by E.Ntemou to O2455  2    4 
           IBANDL                                                 O2455  2    5 
ENDBIB               3          0                                 O2455  2    6 
NOCOMMON             0          0                                 O2455  2    7 
DATA                 5        221                                 O2455  2    8 
ANG        EN         EN-ERR     DATA       ERR-S                 O2455  2    9 
ADEG       KEV        KEV        MB/SR      MB/SR                 O2455  2   10 
       140.   1216.300      5.000    118.000      4.000           O2455  2   11 
       140.   1246.600      5.000    111.000      3.000           O2455  2   12 
       140.   1276.800      5.000    105.000      3.000           O2455  2   13 
       140.   1307.000      5.000    101.800      2.900           O2455  2   14 
       140.   1337.200      5.000     96.400      2.700           O2455  2   15 
       140.   1367.400      5.000     89.100      2.400           O2455  2   16 
       140.   1397.600      5.000     84.600      2.300           O2455  2   17 
       140.   1427.800      5.000     83.000      2.700           O2455  2   18 
       140.   1458.000      5.000     80.600      2.300           O2455  2   19 
       140.   1488.200      5.000     74.200      2.100           O2455  2   20 
       140.   1508.300      5.000     70.800      2.000           O2455  2   21 
       140.   1528.500      5.000     68.900      2.000           O2455  2   22 
       140.   1548.600      5.000     69.600      2.000           O2455  2   23 
       140.   1568.700      5.000     67.900      1.900           O2455  2   24 
       140.   1588.900      5.000     62.600      1.800           O2455  2   25 
       140.   1608.900      5.000     62.700      1.800           O2455  2   26 
       140.   1629.000      5.000     58.300      1.600           O2455  2   27 
       140.   1649.100      5.000     58.200      1.600           O2455  2   28 
       140.   1669.200      5.000     58.900      1.600           O2455  2   29 
       140.   1689.300      5.000     54.900      1.500           O2455  2   30 
       140.   1709.400      5.000     52.700      1.400           O2455  2   31 
       140.   1729.500      5.000     51.300      1.400           O2455  2   32 
       140.   1749.600      5.000     48.700      1.400           O2455  2   33 
       140.   1769.700      5.000     46.400      1.300           O2455  2   34 
       140.   1789.800      5.000     44.600      1.300           O2455  2   35 
       140.   1809.900      5.000     43.200      1.300           O2455  2   36 
       140.   1830.000      5.000     43.400      1.100           O2455  2   37 
       140.   1850.100      5.000     42.700      1.100           O2455  2   38 
       140.   1870.200      5.000     41.100      1.100           O2455  2   39 
       140.   1890.300      5.000     42.000      1.100           O2455  2   40 
       140.   1910.400      5.000     41.800      1.100           O2455  2   41 
       140.   1930.500      5.000     41.300      1.100           O2455  2   42 
       140.   1950.500      5.000     39.900      1.000           O2455  2   43 
       140.   1970.600      5.000     40.200      1.100           O2455  2   44 
