ENTRY            O2432   20190602                             O070O2432  0    1 
SUBENT        O2432001   20190602                             O070O2432  1    1 
BIB                 11         32                                 O2432  1    2 
TITLE      Observation of 15N + alpha resonant structures in 19F  O2432  1    3 
           using the thick target in inverse kinematics scatteringO2432  1    4 
           method                                                 O2432  1    5 
AUTHOR     (M.La Cognata,M.Fisichella,A.Di Pietro,P.Figuera,      O2432  1    6 
           V.Z.Goldberg,S.Cherubini,J.P.Fernandez Garcia,M.Gulino,O2432  1    7 
           L.Lamia,D.Lattuada,M.Lattuada,R.G.Pizzone,             O2432  1    8 
           G.G.Rapisarda,S.Romano,R.Sparta,C.Spitaleri,D.Torresi, O2432  1    9 
           A.Tumino,M.Zadro)                                      O2432  1   10 
INSTITUTE  (2ITYLNS,1USATAM,2ITYCAT,2SPNSEU,2ITYENN,3CRORBZ)      O2432  1   11 
           (3RUMRUM) Extreme Light Infrastructure-Nuclear         O2432  1   12 
           Physics (ELI-NP) , Magurele, Romania                   O2432  1   13 
REFERENCE  (J,PR/C,99,034301,2019)                                O2432  1   14 
           #doi:10.1103/PhysRevC.99.034301                        O2432  1   15 
FACILITY   (VDGT,2ITYLNS) Tandem accelerator at the               O2432  1   16 
           Laboratori Nazionali del Sud in Catania                O2432  1   17 
SAMPLE     CT2000 2-m-diameter scattering chamber, filled with    O2432  1   18 
           helium gas of nominal isotopic purity of 99.9999% at   O2432  1   19 
           a pressure of 142 mbar in static conditions.           O2432  1   20 
DETECTOR   (TELES,SIBAR) 10-um-thick deltaE and 500-um-thick      O2432  1   21 
           detector to measure the residual energy.               O2432  1   22 
           Two 200 um thick silicon surface barrier detectors     O2432  1   23 
           to measure elastic scattering from Au.                 O2432  1   24 
METHOD     (TTM) The thick target resonant scattering in inverse  O2432  1   25 
           kinematics                                             O2432  1   26 
           (EDE)                                                  O2432  1   27 
MONITOR    (79-AU-197(7-N-15,EL)79-AU-197,,DA,,RTH)               O2432  1   28 
ADD-RES    (STRUC) The properties of the F-19 states above and    O2432  1   29 
           below the p-emission threshold studied by R-matrix     O2432  1   30 
           analysis and presented in tables III and II            O2432  1   31 
           respectively.                                          O2432  1   32 
HISTORY    (20190417R) Data received from Dr. Marco La Cognata.   O2432  1   33 
           (20190602C) VS                                         O2432  1   34 
ENDBIB              32          0                                 O2432  1   35 
NOCOMMON             0          0                                 O2432  1   36 
ENDSUBENT           35          0                                 O2432  199999 
SUBENT        O2432002   20190602                             O070O2432  2    1 
BIB                  3          5                                 O2432  2    2 
REACTION   ((2-HE-4(7-N-15,EL)2-HE-4,,DA)=                        O2432  2    3 
           (7-N-15(A,EL)7-N-15,,DA))                              O2432  2    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. O2432  2    5 
STATUS     (TABLE) Plotted as a function of the 19F excitation    O2432  2    6 
           energy on Fig. 2 of Phys.Rev.C99(2019)034301.          O2432  2    7 
ENDBIB               5          0                                 O2432  2    8 
NOCOMMON             0          0                                 O2432  2    9 
DATA                 4       5799                                 O2432  2   10 
      1.900      170.6       82.6        3.2                      O2432  2   72 
      1.902      153.3       76.0        3.1                      O2432  2   73 
      1.904      179.8       83.6        3.3                      O2432  2   74 
      1.905      162.3       86.0        3.3                      O2432  2   75 
      1.907      161.8       89.6        3.4                      O2432  2   76 
      1.910      170.7       85.4        3.3                      O2432  2   77 
      1.912      153.3       82.7        3.2                      O2432  2   78 
      1.914      179.8       81.7        3.3                      O2432  2   79 
      1.915      162.3       83.9        3.3                      O2432  2   80 
      1.917      161.9       81.4        3.2                      O2432  2   81 
      1.920      170.7       80.9        3.2                      O2432  2   82 
      1.922      153.4       79.4        3.2                      O2432  2   83 
      1.924      153.5       84.2        2.7                      O2432  2   84 
      1.924      179.8       81.4        3.3                      O2432  2   85 
      1.925      162.3       79.0        3.2                      O2432  2   86 
      1.927      161.9       79.6        3.2                      O2432  2   87 
      1.930      170.7       84.3        3.3                      O2432  2   88 
      1.932      153.4       75.0        3.1                      O2432  2   89 
      1.934      153.5       83.7        2.7                      O2432  2   90 
      1.934      179.8       75.9        3.1                      O2432  2   91 
      1.935      162.4       70.7        3.0                      O2432  2   92 
      1.937      162.0       78.3        3.2                      O2432  2   93 
      1.940      170.7       82.3        3.3                      O2432  2   94 
      1.942      153.5       82.5        3.3                      O2432  2   95 
      1.944      153.6       76.8        2.6                      O2432  2   96 
      1.944      179.8       77.4        3.2                      O2432  2   97 
      1.945      162.4       79.0        3.2                      O2432  2   98 
      1.947      162.0       81.0        3.2                      O2432  2   99 
      1.950      170.7       82.6        3.3                      O2432  2  100 
      1.952      153.5       76.6        3.2                      O2432  2  101 
      1.954      153.6       78.5        2.6                      O2432  2  102 
      1.954      179.8       74.8        3.1                      O2432  2  103 
      1.955      162.4       79.8        3.2                      O2432  2  104 
      1.957      162.0       73.0        3.1                      O2432  2  105 
      1.960      144.4       80.8        2.7                      O2432  2  106 
      1.960      170.7       83.6        3.3                      O2432  2  107 
      1.962      153.6       72.7        3.1                      O2432  2  108 
      1.964      153.7       82.1        2.7                      O2432  2  109 
      1.964      179.8       79.3        3.2                      O2432  2  110 
      1.965      162.5       85.5        3.4                      O2432  2  111 
      1.967      162.1       69.5        3.0                      O2432  2  112 
      1.970      144.4       79.1        2.6                      O2432  2  113 
      1.970      170.8       72.6        3.0                      O2432  2  114 
      1.972      153.6       74.1        3.1                      O2432  2  115 
      1.974      153.8       83.9        2.8                      O2432  2  116 
      1.974      179.8       71.3        3.0                      O2432  2  117 
      1.975      162.5       75.6        3.1                      O2432  2  118 
      1.977      162.1       73.6        3.1                      O2432  2  119 
      1.980      144.5       80.6        2.7                      O2432  2  120 
      1.980      170.8       73.8        3.1                      O2432  2  121 
      1.982      153.7       67.6        3.0                      O2432  2  122 
      1.984      153.8       82.9        2.7                      O2432  2  123 
      1.984      179.8       67.7        3.0                      O2432  2  124 
      1.985      162.5       71.7        3.0                      O2432  2  125 
      1.987      162.1       75.7        3.1                      O2432  2  126 
      1.990      144.6       78.4        2.6                      O2432  2  127 
      1.990      170.8       75.3        3.1                      O2432  2  128 
      1.992      153.7       76.3        3.2                      O2432  2  129 
      1.994      153.9       77.4        2.6                      O2432  2  130 
      1.994      179.8       70.5        3.0                      O2432  2  131 
      1.995      162.6       74.7        3.1                      O2432  2  132 
      1.997      162.2       80.6        3.3                      O2432  2  133 
      2.000      144.7       78.1        2.6                      O2432  2  134 
      2.000      170.8       70.2        3.0                      O2432  2  135 
      2.002      153.8       74.8        3.1                      O2432  2  136 
      2.004      153.9       74.4        2.6                      O2432  2  137 
      2.004      179.8       73.9        3.1                      O2432  2  138 
      2.005      162.6       75.5        3.1                      O2432  2  139 
      2.007      162.2       79.8        3.3                      O2432  2  140 
      2.010      144.7       78.2        2.6                      O2432  2  141 
      2.010      170.8       78.5        3.2                      O2432  2  142 
      2.012      153.9       74.7        3.1                      O2432  2  143 
      2.014      154.0       75.7        2.6                      O2432  2  144 
      2.014      179.8       72.1        3.1                      O2432  2  145 
      2.015      162.6       69.8        3.0                      O2432  2  146 
      2.017      162.2       76.3        3.2                      O2432  2  147 
      2.020      144.8       76.0        2.6                      O2432  2  148 
      2.020      170.9       73.6        3.1                      O2432  2  149 
      2.022      153.9       68.5        3.0                      O2432  2  150 
      2.024      154.0       74.7        2.6                      O2432  2  151 
      2.024      179.8       73.2        3.1                      O2432  2  152 
      2.025      162.7       70.3        3.0                      O2432  2  153 
      2.027      162.3       73.4        3.1                      O2432  2  154 
      2.030      144.9       76.6        2.6                      O2432  2  155 
      2.030      170.9       73.5        3.1                      O2432  2  156 
      2.032      154.0       69.0        3.0                      O2432  2  157 
      2.034      154.1       72.6        2.6                      O2432  2  158 
      2.034      179.8       75.7        3.2                      O2432  2  159 
      2.035      162.7       77.4        3.2                      O2432  2  160 
      2.037      162.3       73.6        3.1                      O2432  2  161 
      2.039      136.2       80.2        2.7                      O2432  2  162 
      2.040      144.9       73.7        2.6                      O2432  2  163 
      2.040      170.9       83.1        3.3                      O2432  2  164 
      2.042      154.0       74.2        3.2                      O2432  2  165 
      2.044      154.1       73.5        2.6                      O2432  2  166 
      2.044      179.8       70.3        3.1                      O2432  2  167 
      2.045      162.7       72.7        3.1                      O2432  2  168 
      2.047      162.3       68.6        3.0                      O2432  2  169 
      2.049      136.3       75.7        2.6                      O2432  2  170 
      2.050      145.0       73.9        2.6                      O2432  2  171 
      2.050      170.9       74.8        3.2                      O2432  2  172 
      2.052      154.1       67.4        3.0                      O2432  2  173 
      2.054      154.2       71.8        2.6                      O2432  2  174 
      2.054      179.8       75.9        3.2                      O2432  2  175 
      2.055      162.8       73.9        3.1                      O2432  2  176 
      2.057      162.4       73.4        3.1                      O2432  2  177 
      2.059      136.4       82.3        2.7                      O2432  2  178 
      2.060      137.0       75.2        2.6                      O2432  2  179 
      2.060      145.1       69.7        2.5                      O2432  2  180 
      2.060      170.9       78.0        3.2                      O2432  2  181 
      2.062      154.1       67.5        3.0                      O2432  2  182 
      2.064      154.2       67.2        2.5                      O2432  2  183 
      2.064      179.8       71.9        3.1                      O2432  2  184 
      2.065      162.8       74.1        3.2                      O2432  2  185 
      2.067      162.4       73.0        3.1                      O2432  2  186 
      2.069      136.5       78.5        2.7                      O2432  2  187 
      2.070      137.1       74.8        2.6                      O2432  2  188 
      2.070      145.1       70.2        2.5                      O2432  2  189 
      2.070      170.9       77.0        3.2                      O2432  2  190 
      2.072      154.2       69.0        3.0                      O2432  2  191 
      2.074      154.3       70.6        2.6                      O2432  2  192 
      2.074      179.8       72.6        3.1                      O2432  2  193 
      2.075      162.8       74.3        3.2                      O2432  2  194 
      2.077      162.4       70.7        3.1                      O2432  2  195 
      2.079      136.5       78.8        2.7                      O2432  2  196 
      2.080      137.2       74.3        2.6                      O2432  2  197 
      2.080      145.2       67.8        2.5                      O2432  2  198 
      2.080      171.0       74.3        3.2                      O2432  2  199 
      2.082      154.2       61.4        2.9                      O2432  2  200 
      2.084      154.3       68.9        2.6                      O2432  2  201 
      2.084      179.8       64.8        3.0                      O2432  2  202 
      2.085      162.9       68.2        3.0                      O2432  2  203 
      2.087      162.5       65.1        2.9                      O2432  2  204 
      2.089      136.6       71.7        2.5                      O2432  2  205 
      2.090      128.4       70.0        2.5                      O2432  2  206 
      2.090      137.3       75.0        2.6                      O2432  2  207 
      2.090      145.3       70.5        2.5                      O2432  2  208 
      2.090      171.0       68.7        3.1                      O2432  2  209 
      2.092      154.2       64.3        3.0                      O2432  2  210 
      2.094      154.4       66.1        2.5                      O2432  2  211 
      2.094      179.8       62.7        3.0                      O2432  2  212 
      2.095      162.9       67.6        3.0                      O2432  2  213 
      2.097      162.5       66.9        3.0                      O2432  2  214 
      2.099      136.7       69.9        2.5                      O2432  2  215 
      2.100      128.5       70.9        2.6                      O2432  2  216 
      2.100      137.4       73.7        2.6                      O2432  2  217 
      2.100      145.3       65.7        2.4                      O2432  2  218 
      2.100      171.0       63.6        2.9                      O2432  2  219 
      2.102      154.3       59.1        2.8                      O2432  2  220 
      2.104      154.4       64.5        2.5                      O2432  2  221 
      2.104      179.8       66.7        3.1                      O2432  2  222 
      2.105      162.9       67.0        3.0                      O2432  2  223 
      2.107      162.5       65.5        3.0                      O2432  2  224 
      2.109      136.8       65.3        2.4                      O2432  2  225 
      2.110      128.6       67.6        2.5                      O2432  2  226 
      2.110      137.4       71.7        2.5                      O2432  2  227 
      2.110      145.4       66.0        2.5                      O2432  2  228 
      2.110      171.0       64.1        2.9                      O2432  2  229 
      2.112      154.3       55.0        2.7                      O2432  2  230 
      2.114      154.5       59.7        2.4                      O2432  2  231 
      2.114      179.8       60.9        2.9                      O2432  2  232 
      2.115      163.0       63.2        2.9                      O2432  2  233 
      2.117      162.6       64.4        2.9                      O2432  2  234 
      2.119      136.9       68.8        2.5                      O2432  2  235 
      2.120      128.7       64.2        2.4                      O2432  2  236 
      2.120      137.5       69.1        2.5                      O2432  2  237 
      2.120      145.5       61.7        2.4                      O2432  2  238 
      2.120      171.0       59.5        2.8                      O2432  2  239 
      2.122      154.4       53.7        2.7                      O2432  2  240 
      2.124      154.5       55.5        2.3                      O2432  2  241 
      2.124      179.8       54.8        2.7                      O2432  2  242 
      2.125      163.0       59.6        2.9                      O2432  2  243 
      2.127      162.6       59.2        2.8                      O2432  2  244 
      2.129      136.9       68.7        2.5                      O2432  2  245 
      2.130      128.8       65.6        2.5                      O2432  2  246 
      2.130      137.6       62.6        2.4                      O2432  2  247 
      2.130      145.5       58.6        2.3                      O2432  2  248 
      2.130      171.0       53.9        2.8                      O2432  2  249 
      2.132      154.4       55.1        2.7                      O2432  2  250 
      2.134      154.5       57.4        2.3                      O2432  2  251 
      2.134      179.8       53.9        2.7                      O2432  2  252 
      2.135      163.0       57.8        2.8                      O2432  2  253 
      2.137      162.6       60.6        2.9                      O2432  2  254 
      2.139      137.0       64.6        2.4                      O2432  2  255 
      2.140      128.9       61.2        2.4                      O2432  2  256 
      2.140      137.7       63.0        2.4                      O2432  2  257 
      2.140      145.6       57.8        2.3                      O2432  2  258 
      2.140      171.1       59.5        2.9                      O2432  2  259 
      2.142      154.5       50.7        2.6                      O2432  2  260 
      2.144      154.6       55.1        2.3                      O2432  2  261 
      2.144      179.8       53.5        2.7                      O2432  2  262 
      2.145      163.1       56.0        2.8                      O2432  2  263 
      2.147      162.7       53.5        2.7                      O2432  2  264 
      2.149      137.1       60.0        2.3                      O2432  2  265 
      2.150      129.0       58.5        2.3                      O2432  2  266 
      2.150      137.8       63.8        2.4                      O2432  2  267 
      2.150      145.7       55.5        2.2                      O2432  2  268 
      2.150      171.1       62.6        3.0                      O2432  2  269 
      2.152      154.5       51.8        2.6                      O2432  2  270 
      2.154      154.6       52.4        2.2                      O2432  2  271 
      2.154      179.8       54.9        2.8                      O2432  2  272 
      2.155      163.1       57.6        2.8                      O2432  2  273 
      2.157      162.7       54.7        2.7                      O2432  2  274 
      2.159      137.2       58.3        2.3                      O2432  2  275 
      2.160      129.1       57.1        2.3                      O2432  2  276 
      2.160      137.8       55.7        2.3                      O2432  2  277 
      2.160      145.7       49.1        2.1                      O2432  2  278 
      2.160      171.1       52.4        2.7                      O2432  2  279 
      2.162      154.6       49.2        2.6                      O2432  2  280 
      2.164      154.7       56.9        2.3                      O2432  2  281 
      2.164      179.8       57.0        2.8                      O2432  2  282 
      2.165      163.1       53.3        2.8                      O2432  2  283 
      2.167      162.7       55.5        2.8                      O2432  2  284 
      2.169      137.3       59.1        2.3                      O2432  2  285 
      2.170      129.2       53.0        2.2                      O2432  2  286 
      2.170      137.9       58.0        2.3                      O2432  2  287 
      2.170      145.8       54.3        2.2                      O2432  2  288 
      2.170      171.1       59.7        2.9                      O2432  2  289 
      2.172      154.6       50.2        2.6                      O2432  2  290 
      2.174      154.7       52.6        2.2                      O2432  2  291 
      2.174      179.8       48.4        2.6                      O2432  2  292 
      2.175      163.2       49.4        2.6                      O2432  2  293 
      2.177      162.8       53.5        2.7                      O2432  2  294 
      2.179      137.4       58.7        2.4                      O2432  2  295 
      2.180      129.3       53.4        2.2                      O2432  2  296 
      2.180      138.0       55.5        2.3                      O2432  2  297 
      2.180      145.8       48.1        2.1                      O2432  2  298 
