ENTRY            O2555   20230203                             O094O2555  0    1 
SUBENT        O2555001   20230203                             O094O2555  1    1 
BIB                 16         42                                 O2555  1    2 
TITLE      Excitation energy dependence of prompt fission         O2555  1    3 
            gamma-ray emission from 241Pu*                        O2555  1    4 
AUTHOR     (D.Gjestvang, S.Siem, F.Zeiser, J.Randrup, R.Vogt,     O2555  1    5 
            J.N.Wilson, F.Bello-Garrote, L.A.Bernstein,           O2555  1    6 
            D.L.Bleuel, M.Guttormsen, A.Goergen, A.C.Larsen,      O2555  1    7 
            K.L.Malatji, E.F.Matthews, A.Oberstedt, S.Oberstedt,  O2555  1    8 
            T.Tornyi, G.M.Tveten, A.S.Voyles)                     O2555  1    9 
INSTITUTE  (2NOROSL,1USABRK,1USALRL,1USADAV,2FR PAR,1USAUCX,      O2555  1   10 
           3SAFITH,3SAFSTL,3RUMBUC,2ZZZGEL,3HUNDEB)               O2555  1   11 
REFERENCE  (J,PR/C,103,034609,2021)                               O2555  1   12 
           #doi:10.1103/PhysRevC.103.034609                       O2555  1   13 
REL-REF    (O,23783001,D.Gjestvang+,J,PR/C,103,034609,2021)       O2555  1   14 
           PFG from spontaneous fission of 252Cf.                 O2555  1   15 
FACILITY   (CYCLO,2NOROSL) Oslo Cyclotron Laboratory              O2555  1   16 
SAMPLE     A target of 0.4 mg/cm2 thick 240Pu on a 2.3 mg/cm2 9Be O2555  1   17 
DETECTOR   (TELES,SISD,SI) The outgoing protons were detected by  O2555  1   18 
           a silicon deltaE-E detector, consisting of eight       O2555  1   19 
            1550 um thick E pads each fronted with eight 130 um   O2555  1   20 
           thick deltaE strips.                                   O2555  1   21 
           (PPAC) Fission fragments were detected using NIFF ,    O2555  1   22 
           consisting of four parallel plate avalanche counters.  O2555  1   23 
           (SCIN) Photons were detected Oslo Scintillator Array,  O2555  1   24 
           consisting of 30 new LaBr3:Ce scintillator detectors.  O2555  1   25 
PART-DET   (P,FF,G)                                               O2555  1   26 
METHOD     (EDE)                                                  O2555  1   27 
           (COINC) Coincidence between a proton, a fission        O2555  1   28 
           fragment, and a gamma-ray.                             O2555  1   29 
           (TOF)                                                  O2555  1   30 
ANALYSIS   (UNFLD)                                                O2555  1   31 
COMMENT    A deficit in the low-energy gamma rays was observed    O2555  1   32 
           in the 252Cf benchmark measurement. Scaling factors forO2555  1   33 
           the PFG characteristics were therefore introduced basedO2555  1   34 
           on comparison to previous 252Cf measurements.          O2555  1   35 
EN-SEC     (E-EXC,94-PU-241)                                      O2555  1   36 
           (E,G)                                                  O2555  1   37 
ERR-ANALYS (ERR-S) The statistical uncertainties, propagated      O2555  1   38 
           through the gamma-ray unfolding routine, as well as theO2555  1   39 
           statistical uncertainty on the number of fissions      O2555  1   40 
           detected.                                              O2555  1   41 
STATUS     (APRVD) Approved by D. Gjestvang 24.02.2023            O2555  1   42 
HISTORY    (20230203C) VS                                         O2555  1   43 
           (20230201R) Data received from D. Gjestvang            O2555  1   44 
ENDBIB              42          0                                 O2555  1   45 
NOCOMMON             0          0                                 O2555  1   46 
ENDSUBENT           45          0                                 O2555  199999 
SUBENT        O2555002   20230203                             O094O2555  2    1 
BIB                  2          4                                 O2555  2    2 
REACTION   (94-PU-240(D,P+F)0-G-0,PR,FY/DE,,MSC)                  O2555  2    3 
            Prompt fission gamma-ray spectra for 241Pu for        O2555  2    4 
            excitationenergies in the range 5.5-8.5 MeV           O2555  2    5 
STATUS     (TABLE) Fig. 5 of Phys.Rev.C103(2021)034609            O2555  2    6 
ENDBIB               4          0                                 O2555  2    7 
COMMON               1          3                                 O2555  2    8 
EN                                                                O2555  2    9 
MEV                                                               O2555  2   10 
       13.5                                                       O2555  2   11 
ENDCOMMON            3          0                                 O2555  2   12 
DATA                 5        732                                 O2555  2   13 
E-EXC-MIN  E-EXC-MAX  E          DATA       ERR-S                 O2555  2   14 
MEV        MEV        MEV        PD/FIS/MEV PD/FIS/MEV            O2555  2   15 
        5.5         6.     0.1256     0.0271     0.0521           O2555  2   16 
        5.5         6.     0.1559     0.4827     0.1623           O2555  2   17 
        5.5         6.      0.187     1.2658     0.1482           O2555  2   18 
        5.5         6.      0.219     2.3108     0.2209           O2555  2   19 
        5.5         6.     0.2518     1.3315     0.1787           O2555  2   20 
        5.5         6.     0.2855     1.0545     0.1502           O2555  2   21 
        5.5         6.     0.3201      2.448     0.2018           O2555  2   22 
        5.5         6.     0.3555     5.0346     0.1979           O2555  2   23 
        5.5         6.     0.3917     4.0165     0.1796           O2555  2   24 
        5.5         6.     0.4289     4.4742     0.1779           O2555  2   25 
        5.5         6.     0.4669     5.9193      0.175           O2555  2   26 
        5.5         6.     0.5057     4.3644     0.1667           O2555  2   27 
        5.5         6.     0.5454     5.5733     0.1613           O2555  2   28 
        5.5         6.      0.586     5.9196     0.1599           O2555  2   29 
        5.5         6.     0.6275     4.5745     0.1521           O2555  2   30 
        5.5         6.     0.6698     4.2725      0.134           O2555  2   31 
        5.5         6.     0.7129     4.0791     0.1385           O2555  2   32 
        5.5         6.     0.7569     3.3047     0.1172           O2555  2   33 
        5.5         6.     0.8018     3.1256     0.1179           O2555  2   34 
        5.5         6.     0.8476     4.1694      0.145           O2555  2   35 
        5.5         6.     0.8942     2.2333      0.106           O2555  2   36 
        5.5         6.     0.9417     3.3227     0.1249           O2555  2   37 
        5.5         6.       0.99     2.0917     0.1081           O2555  2   38 
        5.5         6.     1.0392     1.5264     0.0946           O2555  2   39 
        5.5         6.     1.0893     2.3853     0.1105           O2555  2   40 
        5.5         6.     1.1402     2.6439     0.1089           O2555  2   41 
        5.5         6.      1.192     1.8615      0.096           O2555  2   42 
        5.5         6.     1.2447     2.3002     0.1023           O2555  2   43 
        5.5         6.     1.2982     1.9111     0.1005           O2555  2   44 
        5.5         6.     1.3526     1.0362     0.0689           O2555  2   45 
        5.5         6.     1.4078      1.492     0.0794           O2555  2   46 
        5.5         6.     1.4639      1.326     0.0832           O2555  2   47 
        5.5         6.     1.5209     1.2205     0.0812           O2555  2   48 
        5.5         6.     1.5787     1.1992      0.081           O2555  2   49 
        5.5         6.     1.6374      1.011     0.0719           O2555  2   50 
        5.5         6.      1.697     1.0194     0.0705           O2555  2   51 
        5.5         6.     1.7574     0.9642      0.073           O2555  2   52 
        5.5         6.     1.8187     0.7499     0.0681           O2555  2   53 
        5.5         6.     1.8809     0.7521     0.0644           O2555  2   54 
        5.5         6.     1.9439     0.6758     0.0615           O2555  2   55 
        5.5         6.     2.0078     0.5766     0.0619           O2555  2   56 
        5.5         6.     2.0726      0.858     0.0716           O2555  2   57 
        5.5         6.     2.1382     0.4578     0.0574           O2555  2   58 
        5.5         6.     2.2047     0.5803     0.0609           O2555  2   59 
        5.5         6.     2.2721     0.6521     0.0659           O2555  2   60 
        5.5         6.     2.3403     0.5656      0.059           O2555  2   61 
        5.5         6.     2.4094     0.4774     0.0515           O2555  2   62 
        5.5         6.     2.4793     0.5342     0.0589           O2555  2   63 
        5.5         6.     2.5501     0.4676     0.0573           O2555  2   64 
        5.5         6.     2.6218     0.3476     0.0462           O2555  2   65 
        5.5         6.     2.6944     0.4647     0.0565           O2555  2   66 
        5.5         6.     2.7678     0.3058     0.0429           O2555  2   67 
        5.5         6.     2.8421     0.3614     0.0512           O2555  2   68 
        5.5         6.     2.9172     0.3736     0.0525           O2555  2   69 
        5.5         6.     2.9932     0.3196     0.0473           O2555  2   70 
        5.5         6.     3.0701      0.318     0.0481           O2555  2   71 
        5.5         6.     3.1478     0.2695     0.0416           O2555  2   72 
        5.5         6.     3.2264     0.1736     0.0365           O2555  2   73 
        5.5         6.     3.3059      0.132     0.0363           O2555  2   74 
        5.5         6.     3.3862     0.2727     0.0433           O2555  2   75 
