ENTRY            O1914   20140205                             O052O191400000001 
SUBENT        O1914001   20140205                             O052O191400100001 
BIB                 12         24                                 O191400100002 
TITLE      Measurement and analysis of the p+p--p+p+g reaction    O191400100003 
           at 310 MeV.                                            O191400100004 
AUTHOR     (A.Johansson, H.Haberzettl, K.Nakayama, C.Wilkin)      O191400100005 
REFERENCE  (J,PR/C,83,054001,2011)                                O191400100006 
REL-REF    (I,O0896001,R.Bilger+,J,PR/C,65,044608,2002)           O191400100007 
INSTITUTE  (2SWDUPP)                                              O191400100008 
           (1USAGWU)                                              O191400100009 
           (1USAGEO)                                              O191400100010 
           (2GERJUL)                                              O191400100011 
           (2UK LON) Physics and Astronomy Department, UCL,London O191400100012 
PART-DET   (P,G)                                                  O191400100013 
SAMPLE     An internal gas-jet hydrogen target, with a density of O191400100014 
           about 2 x 10**14 1/cm**2, was used in conjunction with O191400100015 
           the stored proton beam.                                O191400100016 
DETECTOR   (SPEC)                                                 O191400100017 
FACILITY   (SRING,2SWDUPP) The experiment was performed at the    O191400100018 
            CELSIUS storage ring, using the WASA/PROMICE          O191400100019 
           experimental setup.                                    O191400100020 
METHOD     (COINC)                                                O191400100021 
STATUS     (TABLE).Tables were  received from Dr.K.Nakayama       O191400100022 
                                 06.10.2011                       O191400100023 
HISTORY    (20110927C) SB                                         O191400100024 
           (20140205A) SD: SF4 in REACTION code corrected in      O191400100025 
           Subents 2-4.                                           O191400100026 
ENDBIB              24          0                                 O191400100027 
COMMON               1          3                                 O191400100028 
EN                                                                O191400100029 
MEV                                                               O191400100030 
310.                                                              O191400100031 
ENDCOMMON            3          0                                 O191400100032 
ENDSUBENT           31          0                                 O191400199999 
SUBENT        O1914002   20140205                             O052O191400200001 
BIB                  5         11                                 O191400200002 
REACTION   (1-H-1(P,G+P)1-H-1,,DA/DE,G/P+P)                       O191400200003 
            The data have been averaged over 3-MeV bins in Epp    O191400200004 
EN-SEC     (E-RL,P+P).Relative energy between two protons         O191400200005 
ERR-ANALYS (ERR-S) Statistical uncertainties                      O191400200006 
           (ERR-SYS).Overall systematic errors.                   O191400200007 
STATUS     (TABLE).Table data were received from Dr.K.Nakayama    O191400200008 
               for fig.7 of J,PR/C,83,054001,2011                 O191400200009 
HISTORY    (20140205A) SD: SF3=G -> G+P; SF4=2-H-2 -> 1-H-1;      O191400200010 
            SF5=PAR deleted; SF6=DE -> DA/DE; SF7=P+P -> G/P+P;   O191400200011 
            SF8=MSC deleted in REACTION code.                     O191400200012 
            Units NB/MEV -> NB/SR/MEV in CMS.                     O191400200013 
ENDBIB              11          0                                 O191400200014 
COMMON               1          3                                 O191400200015 
ERR-SYS                                                           O191400200016 
PER-CENT                                                          O191400200017 
  15.                                                             O191400200018 
ENDCOMMON            3          0                                 O191400200019 
DATA                 5        425                                 O191400200020 
E-RL-MIN   E-RL-MAX   COS-CM     DATA-CM    ERR-S                 O191400200021 
MEV        MEV        NO-DIM     NB/SR/MEV  NB/SR/MEV             O191400200022 
0.         3.         -0.975     6.18       0.74                  O191400200023 
0.         3.         -0.925     6.83       0.8                   O191400200024 
0.         3.         -0.875     5.96       0.7                   O191400200025 
0.         3.         -0.825     6.63       0.71                  O191400200026 
0.         3.         -0.775     6.08       0.67                  O191400200027 
0.         3.         -0.725     4.46       0.57                  O191400200028 
0.         3.         -0.675     4.65       0.59                  O191400200029 
0.         3.         -0.625     4.19       0.55                  O191400200030 
0.         3.         -0.575     4.32       0.56                  O191400200031 
0.         3.         -0.525     2.83       0.46                  O191400200032 
0.         3.         -0.475     2.30       0.42                  O191400200033 
0.         3.         -0.425     2.09       0.40                  O191400200034 
0.         3.         -0.375     2.15       0.41                  O191400200035 
0.         3.         -0.325     1.69       0.36                  O191400200036 
0.         3.         -0.275     1.19       0.31                  O191400200037 
0.         3.         -0.225     1.35       0.33                  O191400200038 
0.         3.         -0.175     0.94       0.27                  O191400200039 
0.         3.         -0.125     1.01       0.28                  O191400200040 
0.         3.         -0.075     0.78       0.25                  O191400200041 
0.         3.         -0.025     0.63       0.22                  O191400200042 
0.         3.         0.025      1.00       0.28                  O191400200043 
0.         3.         0.075      0.54       0.20                  O191400200044 
0.         3.         0.125      0.53       0.20                  O191400200045 
0.         3.         0.175      0.76       0.24                  O191400200046 
0.         3.         0.225      0.81       0.25                  O191400200047 
0.         3.         0.275      0.85       0.25                  O191400200048 
0.         3.         0.325      1.06       0.27                  O191400200049 
0.         3.         0.375      1.44       0.31                  O191400200050 
0.         3.         0.425      2.50       0.41                  O191400200051 
0.         3.         0.475      2.36       0.39                  O191400200052 
0.         3.         0.525      1.88       0.34                  O191400200053 
0.         3.         0.575      3.29       0.44                  O191400200054 
0.         3.         0.625      2.94       0.41                  O191400200055 
0.         3.         0.675      3.71       0.45                  O191400200056 
0.         3.         0.725      3.73       0.44                  O191400200057 
0.         3.         0.775      3.96       0.44                  O191400200058 
0.         3.         0.825      5.56       0.52                  O191400200059 
0.         3.         0.875      6.22       0.55                  O191400200060 
0.         3.         0.925      6.41       0.54                  O191400200061 
0.         3.         0.975      9.18       0.64                  O191400200062 
3.         6.         -0.975     6.78       0.53                  O191400200063 
3.         6.         -0.925     7.81       0.58                  O191400200064 
3.         6.         -0.875     7.13       0.57                  O191400200065 
3.         6.         -0.825     7.28       0.59                  O191400200066 
3.         6.         -0.775     6.61       0.56                  O191400200067 
3.         6.         -0.725     5.56       0.52                  O191400200068 
3.         6.         -0.675     6.46       0.56                  O191400200069 
3.         6.         -0.625     5.26       0.50                  O191400200070 
3.         6.         -0.575     4.66       0.47                  O191400200071 
3.         6.         -0.525     4.49       0.46                  O191400200072 
3.         6.         -0.475     4.36       0.45                  O191400200073 
3.         6.         -0.425     3.89       0.42                  O191400200074 
3.         6.         -0.375     2.99       0.37                  O191400200075 
