ENTRY            O1983   20100924                             O049O198300000001 
SUBENT        O1983001   20100924                             O049O198300100001 
BIB                 12         34                                 O198300100002 
TITLE      Quasi-stellar neutrons from the Li-7(p,n)Be-7 reaction O198300100003 
           with an energy-broadened proton beam.                  O198300100004 
AUTHOR     (G.Feinberg, M.Friedman, A.Krasa, A.Shor, Y.Eisen,     O198300100005 
           D.Berkovits, D.Cohen, G.Giorginis, T.Hirsh, M.Paul,    O198300100006 
           A.J.M.Plompen, E.Tsuk)                                 O198300100007 
INSTITUTE  (3ISLSOR)                                              O198300100008 
           (3ISLHEB)                                              O198300100009 
           (2ZZZGEL)                                              O198300100010 
REFERENCE  (J,PR/C,85,055810,2012)                                O198300100011 
           (J,JP/CS,337,012044,2012) prelim.results               O198300100012 
REL-REF    (I,23114001,C.Sage+,J,PR/C,81,064604,2010)             O198300100013 
FACILITY   (VDGT,2ZZZGEL) 7-MV Van de Graaff accelerator at IRMM  O198300100014 
DETECTOR   (GLASD) Schematic of the 6Li-glass detector -          O198300100015 
           aluminum can-0.6-mm thick, Si rubber-1 mm,             O198300100016 
           Teflon layer- 0.25 mm,  6Li glass- 25.4 mm             O198300100017 
METHOD     (TOF)                                                  O198300100018 
SAMPLE     LiF targets of 6-mm diameter were prepared by          O198300100019 
           evaporation on a 1-mm thick Cu disk, 40.7 mm in        O198300100020 
           diameter. The LiF layer thickness was determined by    O198300100021 
           weighing to be in the range of 1 to 2 mg/cm**2. A      O198300100022 
           gold foil nominally 2-mum thick was used as an energy  O198300100023 
           degrader. The foil was glued on a copper ring placing  O198300100024 
           it 1 mm upstream of the LiF layer to minimize          O198300100025 
           transverse beam growth by the scattering in the gold   O198300100026 
           foil.                                                  O198300100027 
ANALYSIS    Authors use the term "broad-energy proton beam" for   O198300100028 
           protons that impinge on the LiF target after a gold    O198300100029 
           degrader foil in case of an incident energy of         O198300100030 
           2096.5 keV before the degrader and use the term        O198300100031 
            "narrow-energy proton beam" for a proton beam of      O198300100032 
           1912 keV directly from the Van de Graaff accelerator.  O198300100033 
STATUS     (TABLE).Table data were received from Dr.G.Feinberg    O198300100034 
           26.07.2012.                                            O198300100035 
HISTORY    (20120731C) s.b.                                       O198300100036 
ENDBIB              34          0                                 O198300100037 
NOCOMMON             0          0                                 O198300100038 
ENDSUBENT           37          0                                 O198300199999 
SUBENT        O1983002   20120821                             O049O198300200001 
BIB                  2          3                                 O198300200002 
REACTION   (3-LI-7(P,N)4-BE-7,,DA/DE,,REL)                        O198300200003 
           broad-energy proton beam                               O198300200004 
EN-SEC     (E,N)                                                  O198300200005 
ENDBIB               3          0                                 O198300200006 
COMMON               1          3                                 O198300200007 
EN                                                                O198300200008 
KEV                                                               O198300200009 
2096.5                                                            O198300200010 
ENDCOMMON            3          0                                 O198300200011 
DATA                 5       1419                                 O198300200012 
ANG        E          E-ERR      DATA       DATA-ERR              O198300200013 
ADEG       KEV        KEV        ARB-UNITS  ARB-UNITS             O198300200014 
     0.0000      2.000    1.01093    0.18059    0.01087           O198300200015 
     0.0000      4.000    1.04315    0.27372    0.01523           O198300200016 
     0.0000      6.000    1.09492    0.34566    0.02069           O198300200017 
     0.0000      8.000    1.16379    0.40397    0.04415           O198300200018 
     0.0000     10.000    1.24705    0.47530    0.03347           O198300200019 
     0.0000     12.000    1.34216    0.50004    0.02790           O198300200020 
     0.0000     14.000    1.44691    0.58075    0.03498           O198300200021 
     0.0000     16.000    1.55946    0.60609    0.03728           O198300200022 
     0.0000     18.000    1.67835    0.69078    0.06017           O198300200023 
     0.0000     20.000    1.80241    0.71770    0.04413           O198300200024 
     0.0000     22.000    1.93075    0.80610    0.04822           O198300200025 
     0.0000     24.000    2.06264    0.85283    0.05096           O198300200026 
     0.0000     26.000    2.19753    0.91334    0.08460           O198300200027 
     0.0000     28.000    2.33498    0.95425    0.05605           O198300200028 
     0.0000     30.000    2.47461    1.02203    0.07941           O198300200029 
     0.0000     32.000    2.61616    1.08849    0.06332           O198300200030 
     0.0000     34.000    2.75939    1.04348    0.07514           O198300200031 
     0.0000     36.000    2.90411    1.07873    0.07129           O198300200032 
     0.0000     38.000    3.05017    1.06417    0.06332           O198300200033 
     0.0000     40.000    3.19743    1.02577    0.06576           O198300200034 
     0.0000     42.000    3.34580    1.03282    0.06791           O198300200035 
     0.0000     44.000    3.49517    1.03237    0.06314           O198300200036 
     0.0000     46.000    3.64548    0.99105    0.06008           O198300200037 
     0.0000     48.000    3.79666    1.00414    0.05993           O198300200038 
     0.0000     50.000    3.94864    0.98026    0.05693           O198300200039 
     0.0000     52.000    4.10140    0.97358    0.05433           O198300200040 
     0.0000     54.000    4.25488    0.96224    0.06635           O198300200041 
     0.0000     56.000    4.40904    0.90693    0.07040           O198300200042 
     0.0000     58.000    4.56386    0.92049    0.06278           O198300200043 
     0.0000     60.000    4.71931    0.94236    0.05858           O198300200044 
     0.0000     62.000    4.87536    0.85316    0.05176           O198300200045 
     0.0000     64.000    5.03200    0.81170    0.04661           O198300200046 
     0.0000     66.000    5.18920    0.80394    0.05238           O198300200047 
     0.0000     68.000    5.34695    0.84723    0.05123           O198300200048 
     0.0000     70.000    5.50522    0.86510    0.05925           O198300200049 
     0.0000     72.000    5.66402    0.84261    0.04757           O198300200050 
     0.0000     74.000    5.82332    0.79365    0.06098           O198300200051 
     0.0000     76.000    5.98311    0.75443    0.05341           O198300200052 
     0.0000     78.000    6.14339    0.77053    0.04814           O198300200053 
     0.0000     80.000    6.30414    0.72452    0.04411           O198300200054 
     0.0000     82.000    6.46535    0.70451    0.06220           O198300200055 
     0.0000     84.000    6.62703    0.68690    0.04335           O198300200056 
     0.0000     86.000    6.78916    0.67501    0.04456           O198300200057 
     0.0000     88.000    6.95173    0.67069    0.04022           O198300200058 
