ENTRY            O2570   20230430                             O097O2570000    1 
SUBENT        O2570001   20230430                             O097O2570001    1 
BIB                 11         30                                 O2570001    2 
TITLE      Differential cross-section measurements of the         O2570001    3 
            6Li(d,n'gamma)7Be, 6Li(d,p'gamma)7Li,                 O2570001    4 
            7Li(d,d'gamma)7Li and 19F(d,p'gamma)20F reactions     O2570001    5 
            suitable for PIGE applications                        O2570001    6 
AUTHOR     (E.Taimpiri, M.Axiotis, K.Bosmpotinis, M.Kokkoris,     O2570001    7 
            A.Lagoyannis, A.Ziagkova)                             O2570001    8 
INSTITUTE  (2GRCATH,2GRCTUA)                                      O2570001    9 
REFERENCE  (J,NIM/B,539,162,2023)                                 O2570001   10 
           #doi:10.1016/j.nimb.2023.03.033                        O2570001   11 
FACILITY   (VDGT,2GRCATH)                                         O2570001   12 
DETECTOR   (HPGE)                                                 O2570001   13 
METHOD     (BCINT)                                                O2570001   14 
           (GSPEC)                                                O2570001   15 
SAMPLE     Two different LiF targets were used.                   O2570001   16 
            - A thin layer of natLiF (92.5% 7Li and 7.5% 6Li)     O2570001   17 
           evaporated on top of a thick natTa substrate.          O2570001   18 
            - A thin 6LiF (5% 7Li and  95% 6Li) layer, which was  O2570001   19 
           evaporated on top of a natC substrate, with an         O2570001   20 
           ultra-thin top layer of Au for wear protection and     O2570001   21 
           normalization purposes.                                O2570001   22 
ERR-ANALYS (ERR-SYS) Total systematic uncertainty - 9.5%          O2570001   23 
           Systematic uncertainty of:                             O2570001   24 
           (ERR-1) integrated beam current         - 3.5%         O2570001   25 
           (ERR-2) target thickness                - 7%           O2570001   26 
           (ERR-3) detectors' absolute efficiency  - 5.4%         O2570001   27 
           (ERR-S) Statistical uncertainties due to the           O2570001   28 
           integration of each peak of interest.                  O2570001   29 
STATUS     (APRVD) Approved by E.Taimpiri 02.05.2023              O2570001   30 
HISTORY    (20230430R) Data received from E.Taimpiri for IBANDL.  O2570001   31 
           (20230430C) VS                                         O2570001   32 
ENDBIB              30          0                                 O2570001   33 
COMMON               4          3                                 O2570001   34 
ERR-1      ERR-2      ERR-3      ERR-SYS                          O2570001   35 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         O2570001   36 
        3.5         7.        5.4        9.5                      O2570001   37 
ENDCOMMON            3          0                                 O2570001   38 
ENDSUBENT           37          0                                 O257000199999 
SUBENT        O2570002   20230430                             O097O2570002    1 
BIB                  2          4                                 O2570002    2 
REACTION   (3-LI-6(D,N)4-BE-7,PAR,DA,G)                           O2570002    3 
STATUS     (TABLE) Fig. 3 a) of                                   O2570002    4 
           Nucl.Instrum.Method Phys.Res.B 539(2023)162            O2570002    5 
           Converted by R33toX4 from R33 files.                   O2570002    6 
ENDBIB               4          0                                 O2570002    7 
COMMON               1          3                                 O2570002    8 
E                                                                 O2570002    9 
KEV                                                               O2570002   10 
   429.                                                           O2570002   11 
ENDCOMMON            3          0                                 O2570002   12 
DATA                 5        183                                 O2570002   13 
ANG        EN         EN-ERR     DATA       ERR-S                 O2570002   14 
ADEG       KEV        KEV        MB/SR      MB/SR                 O2570002   15 
  0.00       987.170   4.520      3.345      0.085                O2570002   16 
  0.00      1007.320   4.520      3.584      0.097                O2570002   17 
  0.00      1027.450   4.520      3.593      0.097                O2570002   18 
  0.00      1047.590   4.520      3.641      0.098                O2570002   19 
  0.00      1067.710   4.520      3.614      0.097                O2570002   20 
  0.00      1087.840   4.520      3.505      0.095                O2570002   21 
  0.00      1107.970   4.520      3.700      0.097                O2570002   22 
  0.00      1128.090   4.520      3.625      0.097                O2570002   23 
  0.00      1148.200   4.520      3.684      0.097                O2570002   24 
  0.00      1168.320   4.520      3.594      0.099                O2570002   25 
  0.00      1188.430   4.520      3.653      0.099                O2570002   26 
  0.00      1208.540   4.520      3.732      0.099                O2570002   27 
  0.00      1228.650   4.520      3.603      0.101                O2570002   28 
  0.00      1248.760   4.520      3.495      0.103                O2570002   29 
  0.00      1268.860   4.520      3.519      0.099                O2570002   30 
  0.00      1288.960   4.520      3.577      0.102                O2570002   31 
  0.00      1309.060   4.520      3.907      0.096                O2570002   32 
  0.00      1329.160   4.520      3.714      0.094                O2570002   33 
  0.00      1349.250   4.520      3.797      0.106                O2570002   34 
  0.00      1369.350   4.530      3.643      0.103                O2570002   35 
  0.00      1389.440   4.530      3.773      0.106                O2570002   36 
  0.00      1409.530   4.530      3.577      0.104                O2570002   37 
  0.00      1429.620   4.530      3.737      0.110                O2570002   38 
  0.00      1449.700   4.530      3.617      0.108                O2570002   39 
  0.00      1469.790   4.530      3.920      0.113                O2570002   40 
  0.00      1489.870   4.530      3.713      0.110                O2570002   41 
  0.00      1509.950   4.530      3.609      0.096                O2570002   42 
  0.00      1530.030   4.530      3.664      0.094                O2570002   43 
  0.00      1550.110   4.530      3.790      0.098                O2570002   44 
  0.00      1570.190   4.530      3.773      0.110                O2570002   45 
  0.00      1590.260   4.530      3.660      0.114                O2570002   46 
  0.00      1610.340   4.530      3.481      0.095                O2570002   47 
  0.00      1630.410   4.520      3.940      0.117                O2570002   48 
  0.00      1650.480   4.520      3.629      0.097                O2570002   49 
  0.00      1670.550   4.520      3.676      0.103                O2570002   50 
  0.00      1690.620   4.520      3.611      0.101                O2570002   51 
  0.00      1710.690   4.520      3.549      0.102                O2570002   52 
  0.00      1730.760   4.520      3.422      0.101                O2570002   53 
  0.00      1750.820   4.520      3.733      0.106                O2570002   54 
  0.00      1770.890   4.520      3.577      0.106                O2570002   55 
  0.00      1790.950   4.520      3.577      0.106                O2570002   56 
  0.00      1811.010   4.520      3.536      0.106                O2570002   57 
  0.00      1831.080   4.520      3.426      0.103                O2570002   58 
  0.00      1851.140   4.520      3.712      0.104                O2570002   59 
  0.00      1871.200   4.520      3.848      0.105                O2570002   60 
  0.00      1891.260   4.520      3.760      0.106                O2570002   61 
  0.00      1911.310   4.520      3.583      0.105                O2570002   62 
  0.00      1931.370   4.520      3.447      0.104                O2570002   63 
  0.00      1951.430   4.520      3.618      0.109                O2570002   64 
