ENTRY            O2099   20121114                             O050O209900000001 
SUBENT        O2099001   20121114                             O050O209900100001 
BIB                 13         29                                 O209900100002 
TITLE      Measurement of cross sections for the scattering of    O209900100003 
           neutrons in the energy range of 2 MeV to 4 MeV with theO209900100004 
           N-15(p,n) reaction as a neutron source.                O209900100005 
AUTHOR     (E.Poenitz)                                            O209900100006 
INSTITUTE  (2GERDRE)                                              O209900100007 
REFERENCE  (T,Poenitz,2010) plus letter from Dr.Ralf Nolte,       O209900100008 
                            2012-01-04                            O209900100009 
FACILITY   (CYCLO,2GERPTB)  PTB CV28 cyclotron                    O209900100010 
METHOD     (TOF)                                                  O209900100011 
SAMPLE     Gas targets are used. N(2) gas with a N-15 isotopic    O209900100012 
           of over 98% was obtained.                              O209900100013 
DETECTOR   (SCIN) Six  NE213 liquid scintillation detectors:      O209900100014 
            D1 -     4 inches diameter, 1 inch length,            O209900100015 
            D2 - D5  10 inches diameter, 2 inches length,         O209900100016 
            M -      neutron fluence monitor detector.            O209900100017 
REL-REF    (I,22988001,E.Poenitz+,C,2007NICE,1,513,2007)          O209900100018 
ERR-ANALYS (DATA-ERR).The uncertainty is reported in table.       O209900100019 
           (ERR-S,0.1,1.8).The statistical uncertainties of the   O209900100020 
           fluences determined with detectors D1 to D5 were are   O209900100021 
           very small and should be 0.1% to 1.8%,  but generally  O209900100022 
           less than 1%. They are uncorrelated.                   O209900100023 
           The statistical uncertainties of the monitor detector  O209900100024 
           is 0.5% up to 1.6%.                                    O209900100025 
INC-SOURCE *EN-RSL-FW*.The uncertainty of the proton energy is theO209900100026 
           FWHM.                                                  O209900100027 
STATUS     (TABLE).Tables of T,Poenitz,2010                       O209900100028 
           (COREL,23156001) neutron data were compiled            O209900100029 
HISTORY    (20121106C)  S.B.                                      O209900100030 
           (20120104R)  R.Nolte additional comments to experiment O209900100031 
ENDBIB              29          0                                 O209900100032 
NOCOMMON             0          0                                 O209900100033 
ENDSUBENT           32          0                                 O209900199999 
SUBENT        O2099002   20121114                             O050O209900200001 
BIB                  2          9                                 O209900200002 
REACTION   (7-N-15(P,N)8-O-15,,DA)                                O209900200003 
FLAG       (1.).Cyclotron position-1                              O209900200004 
           (2.).Cyclotron position-2                              O209900200005 
           (3.).Cyclotron position-3                              O209900200006 
           (4.).Cyclotron position-4                              O209900200007 
           (5.).Cyclotron position-5                              O209900200008 
           (6.).Cyclotron position-6                              O209900200009 
           (7.).Cyclotron position-7                              O209900200010 
           (8.).Cyclotron position-8                              O209900200011 
ENDBIB               9          0                                 O209900200012 
NOCOMMON             0          0                                 O209900200013 
DATA                 6        275                                 O209900200014 
EN         EN-RSL-FW  ANG        DATA       DATA-ERR   FLAG       O209900200015 
MEV        MEV        ADEG       MB/SR      MB/SR      NO-DIM     O209900200016 
5.56       0.04       0.00       13.16      0.57       1.         O209900200017 
5.56       0.04       0.00       13.75      0.61       8.         O209900200018 
5.56       0.04       6.71       13.85      0.61       2.         O209900200019 
5.56       0.04       13.98      13.96      0.60       1.         O209900200020 
5.56       0.04       13.98      14.61      0.65       8.         O209900200021 
5.56       0.04       13.98      13.85      0.62       4.         O209900200022 
5.56       0.04       20.66      14.68      0.66       2.         O209900200023 
5.56       0.04       27.88      14.85      0.91       1.         O209900200024 
5.56       0.04       27.88      14.71      0.66       4.         O209900200025 
5.56       0.04       27.88      14.19      0.63       5.         O209900200026 
5.56       0.04       27.88      15.22      0.78       8.         O209900200027 
5.56       0.04       34.51      15.33      1.02       2.         O209900200028 
5.56       0.04       41.65      13.62      0.58       1.         O209900200029 
5.56       0.04       41.65      13.97      0.63       5.         O209900200030 
5.56       0.04       41.65      14.05      0.62       8.         O209900200031 
5.56       0.04       48.20      12.95      0.57       2.         O209900200032 
5.56       0.04       55.23      10.68      0.47       1.         O209900200033 
5.56       0.04       55.23      10.92      0.48       4.         O209900200034 
5.56       0.04       55.23      11.66      0.96       5.         O209900200035 
5.56       0.04       55.23      10.96      0.50       8.         O209900200036 
5.56       0.04       61.66      9.31       0.42       2.         O209900200037 
5.56       0.04       65.91      8.19       0.37       3.         O209900200038 
5.56       0.04       68.56      7.65       0.35       4.         O209900200039 
5.56       0.04       68.56      7.76       0.34       5.         O209900200040 
5.56       0.04       79.01      5.91       0.27       3.         O209900200041 
5.56       0.04       81.60      5.35       0.24       5.         O209900200042 
5.56       0.04       91.81      5.11       0.58       3.         O209900200043 
5.56       0.04       96.83      5.24       0.24       7.         O209900200044 
5.56       0.04       104.27     7.03       0.32       3.         O209900200045 
5.56       0.04       104.27     6.66       0.34       6.         O209900200046 
5.56       0.04       109.17     8.47       0.41       6.         O209900200047 
5.56       0.04       116.42     10.87      0.79       3.         O209900200048 
5.56       0.04       116.42     11.06      0.65       6.         O209900200049 
5.56       0.04       121.19     12.53      2.13       7.         O209900200050 
5.56       0.04       128.26     15.70      3.00       6.         O209900200051 
5.56       0.04       132.91     15.63      1.82       7.         O209900200052 
5.56       0.04       139.82     18.41      2.39       6.         O209900200053 
5.56       0.04       144.38     18.85      2.35       7.         O209900200054 
5.56       0.04       151.16     20.20      2.73       6.         O209900200055 
5.56       0.04       162.31     21.02      5.87       4.         O209900200056 
5.62       0.06       0.00       13.78      0.59       1.         O209900200057 
5.62       0.06       0.00       13.59      0.64       5.         O209900200058 
5.62       0.06       6.70       14.06      0.67       2.         O209900200059 
5.62       0.06       13.96      14.45      0.62       1.         O209900200060 
