ENTRY            O0532   20010115                             0000O053200000001 
SUBENT        O0532001   20010115                             0000O053200100001 
BIB                 13         33                                 O053200100002 
TITLE      Precompound Emission in the Reaction 65-Cu(P,XN) And   O053200100003 
           The Nucleon-Nucleon Scattering Mechanism.              O053200100004 
AUTHOR     (Y.HOLLER, A.KAMINSKY, R.LANGKAU, W.SCOBEL, M.TRABANDT,O053200100005 
           R.BONETTI)                                             O053200100006 
INSTITUTE  (2GERHAM) 1. Institut Fuer Experimentalphysik,         O053200100007 
           Zyklotron                                              O053200100008 
           (2ITYMIL) Istituto Di Fisica Generale Applicata.       O053200100009 
REFERENCE  (J,NP/A,442,79,1985)                                   O053200100010 
           (W,SCOBEL,19870116) Data Tables For Double DifferentialO053200100011 
           Cross Sections.                                        O053200100012 
REL-REF    (N,,Y.HOLLER+,J,NIM/A,235,123,1985) Hycalc Code to     O053200100013 
           Calculate Detector Efficiency and the Neutron          O053200100014 
           Time-Of-Flight Facility at the Hamburg Isochronus      O053200100015 
           Cyclotron.                                             O053200100016 
SAMPLE     Isotopically Enriched (>99.7%) Metallic 65-Cu Foils of O053200100017 
           13.6 milligramm/cm-sq and 5.0 milligramm/cm-sq.        O053200100018 
FACILITY   (ISOCY,2GERHAM)                                        O053200100019 
METHOD     (EXTB)                                                 O053200100020 
           (TOF)  Flight Paths Between 7 and 8 Meters Lenght.     O053200100021 
           (BCINT)                                                O053200100022 
PART-DET   (N)                                                    O053200100023 
DETECTOR   (SCIN) Liquid Scintillator Ne213.                      O053200100024 
ADD-RES    (COMP) Preequilibrium Model.                           O053200100025 
COMMENT    - By Authors - Neutron Energy Spectra in the C.M.      O053200100026 
           System were Obtained by Application of Detector        O053200100027 
           Efficiencies As Calculated with the Code Hycalc and    O053200100028 
           Kinematic Transformations Assuming Single-Particle     O053200100029 
           Emission.                                              O053200100030 
HISTORY    (19990730C) By F.C.                                    O053200100031 
           (19991117A) Date is Corrected                          O053200100032 
           (20001125A) Subentry O0532002 has Been Corrected       O053200100033 
           According to O.Schwerer'S Remarks.                     O053200100034 
           (20010115U) Last checking has been done.               O053200100035 
ENDBIB              33          0                                 O053200100036 
COMMON               1          3                                 O053200100037 
EN                                                                O053200100038 
MEV                                                               O053200100039 
       26.7                                                       O053200100040 
ENDCOMMON            3          0                                 O053200100041 
ENDSUBENT           40          0                                 O053200199999 
SUBENT        O0532002   20010115                             0000O053200200001 
BIB                  5         18                                 O053200200002 
REACTION   (29-CU-65(P,X)0-NN-1,,DA/DE)                           O053200200003 
EN-SEC     (E-CM,N)                                               O053200200004 
ERR-ANALYS (ERR-S) High Limit of Statistical Error.               O053200200005 
           (ERR-1) Relative Uncertainty Between Neutron Spectra   O053200200006 
           Obtained Under Different Angles Due to Target          O053200200007 
           Inhomogenetieties.                                     O053200200008 
           (ERR-2) Relative Uncertainty Between Neutron Spectra   O053200200009 
           Obtained Under Different Angles Due to TinconsistenciesO053200200010 
           In the Background Treatment.                           O053200200011 
           (ERR-3)  Relative  Uncertainty  Between Neutron SpectraO053200200012 
           Obtained Under Different Angles Due to Incomplete Beam O053200200013 
           Current Integration.                                   O053200200014 
           (ERR-4) The Estimated Error Margin For All Angles and  O053200200015 
           All But the Highest Neutron Energies.                  O053200200016 
           (ERR-T) High Limit of Absolute Uncertainty For Most of O053200200017 
           The Double Differential Cross Section.                 O053200200018 
STATUS     (TABLE) From W. Scobel.                                O053200200019 
MISC-COL   (MISC) Precompound Cross Section                       O053200200020 
ENDBIB              18          0                                 O053200200021 
COMMON               5          3                                 O053200200022 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-T                 O053200200023 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT              O053200200024 
         5.         5.         3.        10.        12.           O053200200025 
ENDCOMMON            3          0                                 O053200200026 
DATA                 5       5729                                 O053200200027 
ANG        E-CM       DATA-CM    MISC       ERR-S                 O053200200028 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV  PER-CENT              O053200200029 
         3.        1.5       9.05       1.24         1.           O053200200030 
         3.        1.6        12.       0.91         1.           O053200200031 
         3.        1.7       13.1      0.685         1.           O053200200032 
         3.        1.8       13.4      0.563         1.           O053200200033 
         3.        1.9       13.7      0.475         1.           O053200200034 
         3.         2.       13.3      0.365         1.           O053200200035 
         3.        2.1       13.4        0.3         1.           O053200200036 
         3.        2.2       13.3       0.25         1.           O053200200037 
         3.        2.3       13.1      0.212         1.           O053200200038 
         3.        2.4       12.8      0.183         1.           O053200200039 
         3.        2.5       12.4       0.16         1.           O053200200040 
         3.        2.6       11.9      0.141         1.           O053200200041 
         3.        2.7       11.7      0.126         1.           O053200200042 
         3.        2.8       11.4      0.115         1.           O053200200043 
         3.        2.9       10.9      0.106         1.           O053200200044 
         3.         3.       10.6     0.0978         1.           O053200200045 
         3.        3.1       10.3     0.0911         1.           O053200200046 
         3.        3.2        9.8     0.0843         1.           O053200200047 
         3.        3.3       9.34     0.0788         1.           O053200200048 
         3.        3.4       8.99      0.076         1.           O053200200049 
         3.        3.5       8.66     0.0719         1.           O053200200050 
         3.        3.6       8.31     0.0666         1.           O053200200051 
         3.        3.7       7.98     0.0651         1.           O053200200052 
         3.        3.8       7.77     0.0623         1.           O053200200053 
         3.        3.9       7.41     0.0599         1.           O053200200054 
         3.         4.       7.31     0.0583         1.           O053200200055 
         3.        4.1       7.02     0.0567         1.           O053200200056 
         3.        4.2       6.69     0.0541         1.           O053200200057 
         3.        4.3       6.42     0.0519         1.           O053200200058 
         3.        4.4       6.23     0.0511         1.           O053200200059 
         3.        4.5       6.08     0.0513         1.           O053200200060 
         3.        4.6       5.81     0.0499         1.           O053200200061 
         3.        4.7       5.48     0.0464         1.           O053200200062 
         3.        4.8       5.28     0.0446         1.           O053200200063 
         3.        4.9        5.1     0.0455         1.           O053200200064 
         3.         5.       4.85      0.044         1.           O053200200065 
         3.        5.1        4.7     0.0427         1.           O053200200066 
         3.        5.2       4.61     0.0418         1.           O053200200067 
         3.        5.3       4.37       0.04         1.           O053200200068 
         3.        5.4       4.18     0.0401         1.           O053200200069 
         3.        5.5       4.09     0.0413         1.           O053200200070 
         3.        5.6       3.94     0.0391         1.           O053200200071 
         3.        5.7       3.77     0.0388         1.           O053200200072 
         3.        5.8       3.62      0.037         1.           O053200200073 
         3.        5.9       3.45     0.0357         1.           O053200200074 
         3.         6.       3.39     0.0362         1.           O053200200075 
         3.        6.1       3.28     0.0364         4.           O053200200076 
         3.        6.2       3.24     0.0358         4.           O053200200077 
         3.        6.3       3.22     0.0364         4.           O053200200078 
         3.        6.4       3.05     0.0351         4.           O053200200079 
         3.        6.5        2.9     0.0333         4.           O053200200080 
         3.        6.6       2.84     0.0327         4.           O053200200081 
         3.        6.7       2.71     0.0325         4.           O053200200082 
         3.        6.8        2.6     0.0317         4.           O053200200083 
         3.        6.9       2.56     0.0312         4.           O053200200084 
         3.         7.       2.47     0.0306         4.           O053200200085 
         3.        7.1       2.41     0.0299         4.           O053200200086 
         3.        7.2       2.37     0.0305         4.           O053200200087 
         3.        7.3       2.24     0.0304         4.           O053200200088 
         3.        7.4       2.19     0.0296         4.           O053200200089 
         3.        7.5       2.12     0.0295         4.           O053200200090 
