ENTRY            O0513   19991117                             0000O051300000001 
SUBENT        O0513001   19991117                             0000O051300100001 
BIB                 13         37                                 O051300100002 
TITLE      Inclusive (P,P') Reactions on Nuclei in the Mass Range O051300100003 
            155 to 181 at Incident Energies from 120 to 200 MeV.  O051300100004 
AUTHOR     (W.A.RICHTER,S.W.STEYN,A.A.COWLEY,J.A.STANDER,J.W.KOEN,O051300100005 
           R.LINDSAY,G.C.HILLHOUSE,R.E.JULIES,J.J.LAWRIE,         O051300100006 
           J.V.PILCHER,P.E.HODGSON)                               O051300100007 
INSTITUTE  (3SAFSTL)                                              O051300100008 
           (3SAFSAF).University of the Western Cape,Bellville.    O051300100009 
           (3SAFNAC)                                              O051300100010 
           (2UK OXF)                                              O051300100011 
REFERENCE  (J,PR/C,54,1756,1996)                                  O051300100012 
HISTORY    (19990331C)                                            O051300100013 
           (19990608U) Last checking has been done.               O051300100014 
           (19991117A) DATE is corrected                          O051300100015 
REL-REF    (R,,J.V.PILCHER+,J,PR/C,40,1937,1989).Details of       O051300100016 
           Experiments.                                           O051300100017 
           (R,O0511001,A.A.COWLEY+,J,ZP/A,336,189,1990).Details   O051300100018 
           Of Experiments.                                        O051300100019 
ADD-RES    (COMP).A Statistical Multistep Direct Calculations     O051300100020 
           Based on the Feshbach,Kerman and Koonin Theory.        O051300100021 
DETECTOR   (TELES) A Detector Telescope Consisting of a 150 Mum   O051300100022 
           Silicon Surface Barrier Detector Followed by Three     O051300100023 
           Si(LI) Detectors of 5 mm Nominal Thickness Each,and a  O051300100024 
           2 mm Silicon Surface Barrier Veto Detector was Used.   O051300100025 
           Particle Identification was Achieved with a Standard   O051300100026 
           Del'Ta E-E Technique in Which Various Combinations of  O051300100027 
           The Detector in the Telescope were Used to Measure     O051300100028 
           Energy Loss and Total Energy of the Ejectiles.         O051300100029 
PART-DET   (P)                                                    O051300100030 
FACILITY   (ISOCY,3SAFNAC)                                        O051300100031 
METHOD     (SITA)                                                 O051300100032 
           (EXTB)                                                 O051300100033 
ERR-ANALYS (ERR-1).The Uncertainty in the Thicknesses of the      O051300100034 
           Targets Up to 8%.                                      O051300100035 
           (ERR-2).Relative Errors are Less Than 3%.              O051300100036 
           (ERR-3).The Overall Systematic Error in the Cross-SectiO051300100037 
           Section Data to be Less Than 10%.                      O051300100038 
STATUS     (TABLE)                                                O051300100039 
ENDBIB              37          0                                 O051300100040 
COMMON               3          3                                 O051300100041 
ERR-1      ERR-2      ERR-3                                       O051300100042 
PER-CENT   PER-CENT   PER-CENT                                    O051300100043 
         8.         3.        10.                                 O051300100044 
ENDCOMMON            3          0                                 O051300100045 
ENDSUBENT           44          0                                 O051300199999 
SUBENT        O0513002   19991117                             0000O051300200001 
BIB                  4          4                                 O051300200002 
REACTION   (49-IN-115(P,X)1-H-1,EM,DA/DE)                         O051300200003 
SAMPLE     Indium-115,Thickness 3.44 mg/cm**2,was Used As Target. O051300200004 
EN-SEC     (E,P)                                                  O051300200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O051300200006 
ENDBIB               4          0                                 O051300200007 
NOCOMMON             0          0                                 O051300200008 
DATA                 5        571                                 O051300200009 
EN         ANG        E          DATA       ERR-T                 O051300200010 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             O051300200011 
       120.        15.        20.    2.74892    0.05471           O051300200012 
       120.        15.        40.    3.26097    0.05959           O051300200013 
       120.        15.        60.    3.27645    0.05973           O051300200014 
       120.        15.        80.    3.44104    0.06121           O051300200015 
       120.        15.       100.    3.75593    0.06395           O051300200016 
       120.        20.        20.    2.72044     0.0544           O051300200017 
       120.        20.        40.    3.25165    0.05947           O051300200018 
       120.        20.        60.    3.57427    0.06235           O051300200019 
       120.        20.        80.    3.67872    0.06326           O051300200020 
       120.        20.       100.    3.35746    0.06043           O051300200021 
       120.        25.        20.     2.5142    0.04527           O051300200022 
       120.        25.        40.    2.89895    0.04861           O051300200023 
       120.        25.        60.     3.1208    0.05043           O051300200024 
       120.        25.        80.    2.86437    0.04832           O051300200025 
       120.        25.       100.    2.54452    0.04554           O051300200026 
       120.        30.        20.    2.45712    0.04373           O051300200027 
       120.        30.        40.    2.78348    0.04654           O051300200028 
       120.        30.        60.    2.75878    0.04634           O051300200029 
       120.        30.        80.    2.56617    0.04469           O051300200030 
       120.        30.       100.    1.90097    0.03846           O051300200031 
       120.        35.        20.    2.32384    0.03948           O051300200032 
       120.        35.        40.    2.63322    0.04202           O051300200033 
       120.        35.        60.    2.54778    0.04133           O051300200034 
       120.        35.        80.    2.47707    0.04076           O051300200035 
       120.        35.       100.    1.51189    0.03184           O051300200036 
       120.        40.        20.    2.28553    0.03677           O051300200037 
       120.        40.        40.    2.43701    0.03796           O051300200038 
       120.        40.        60.    2.21894    0.03623           O051300200039 
       120.        40.        80.    1.80527    0.03268           O051300200040 
       120.        40.       100.    1.14069    0.02597           O051300200041 
       120.        45.        20.    2.23544    0.02924           O051300200042 
       120.        45.        40.    2.25072    0.02934           O051300200043 
       120.        45.        60.    2.19257    0.02895           O051300200044 
       120.        45.        80.    1.38416    0.02301           O051300200045 
       120.        45.       100.    0.77516    0.01722           O051300200046 
       120.        50.        20.    2.13639    0.02804           O051300200047 
       120.        50.        40.    2.02521    0.02731           O051300200048 
       120.        50.        60.    1.61791    0.02441           O051300200049 
       120.        50.        80.    1.05525    0.01971           O051300200050 
       120.        50.       100.    0.57876     0.0146           O051300200051 
       120.        55.        20.    1.98199    0.02468           O051300200052 
       120.        55.        40.    2.05747    0.02515           O051300200053 
       120.        55.        60.    1.32784     0.0202           O051300200054 
       120.        55.        80.    0.81284    0.01581           O051300200055 
       120.        55.       100.    0.37647    0.01076           O051300200056 
       120.        60.        20.    1.84842    0.02036           O051300200057 
       120.        60.        40.    1.61626    0.01904           O051300200058 
       120.        60.        60.    1.08216    0.01558           O051300200059 
       120.        60.        80.    0.59304    0.01153           O051300200060 
       120.        60.       100.    0.22091    0.00704           O051300200061 
       120.        65.        20.    1.76088    0.01709           O051300200062 
       120.        65.        40.    1.38854    0.01517           O051300200063 
       120.        65.        60.    0.85332     0.0119           O051300200064 
       120.        65.        80.    0.38643    0.00801           O051300200065 
       120.        65.       100.    0.11084    0.00429           O051300200066 
       120.        70.        20.    1.65287    0.01231           O051300200067 
       120.        70.        40.    1.19212    0.01046           O051300200068 
       120.        70.        60.    0.66756    0.00782           O051300200069 
