E-LVL1     E-LVL2     ANG-CM     DATA-CM    DATA-ERR              O143900200011 
MEV        MEV        ADEG       MB/SR      MB/SR                 O143900200012 
       3.39       0.43        5.1      0.206     0.0515           O143900200076 
       3.39       0.43        6.9      0.303     0.0758           O143900200077 
       3.39       0.43        8.6       0.24       0.06           O143900200078 
       3.39       0.43       10.2      0.282     0.0705           O143900200079 
       3.39       0.43       17.3      0.165     0.0413           O143900200080 
       3.76       0.43        3.4      0.312     0.0624           O143900200081 
       3.76       0.43        4.2      0.349     0.0698           O143900200082 
       3.76       0.43        5.2      0.295      0.059           O143900200083 
       3.76       0.43        6.9       0.41      0.082           O143900200084 
       3.76       0.43        8.7      0.347     0.0694           O143900200085 
       3.76       0.43       10.3      0.331     0.0662           O143900200086 
       3.76       0.43       17.3      0.232     0.0464           O143900200087 
        4.5       0.43        3.5       1.02      0.102           O143900200088 
        4.5       0.43        4.3       1.18      0.118           O143900200089 
        4.5       0.43        5.2       1.06      0.106           O143900200090 
        4.5       0.43        6.9       1.15      0.115           O143900200091 
        4.5       0.43        8.7       1.02      0.102           O143900200092 
        4.5       0.43       10.4       0.96      0.096           O143900200093 
        4.5       0.43       17.3       0.67      0.067           O143900200094 
        5.8       0.43        3.5      0.739     0.1109           O143900200095 
        5.8       0.43        4.3      0.946     0.1419           O143900200096 
        5.8       0.43        5.2      0.804     0.1206           O143900200097 
        5.8       0.43        6.9      0.951     0.1427           O143900200098 
        5.8       0.43        8.7      0.786     0.1179           O143900200099 
        5.8       0.43       10.4      0.694     0.1041           O143900200100 
        5.8       0.43       17.3      0.418     0.0627           O143900200101 
        7.6       0.43        3.5      0.754     0.1131           O143900200102 
        7.6       0.43        4.3       0.85     0.1275           O143900200103 
        7.6       0.43        5.2      0.881     0.1322           O143900200104 
        7.6       0.43        6.9      0.828     0.1242           O143900200105 
        7.6       0.43        8.7      0.457     0.0685           O143900200106 
        7.6       0.43       10.4      0.418     0.0627           O143900200107 
        7.6       0.43       17.3      0.227      0.034           O143900200108 
ENDDATA             98          0                                 O143900200109 
ENDSUBENT          108          0                                 O143900299999 
ENDENTRY             2          0                                 O143999999999 
