ENTRY            O2460   20200408                             O077O2460  0    1 
SUBENT        O2460001   20200408                             O077O2460  1    1 
BIB                 12         25                                 O2460  1    2 
TITLE      Measurement of differential cross sections of          O2460  1    3 
           deuteron elastic scattering on 31P for EBS purposes    O2460  1    4 
AUTHOR     (E.Ntemou,N.Bligoura,X.Aslanoglou,M.Kokkoris,          O2460  1    5 
           A.Lagoyannis, F.Maragkos,P.Misaelides,N.Patronis,      O2460  1    6 
           K.Preketes-Sigalas)                                    O2460  1    7 
INSTITUTE  (2GRCTUA,2GRCIOA,2GRCATH,2GRCARU)                      O2460  1    8 
REFERENCE  (J,NIM/B,459,84,2019)                                  O2460  1    9 
           #doi:10.1016/j.nimb.2019.08.030                        O2460  1   10 
FACILITY   (VDGT,2GRCATH)                                         O2460  1   11 
INC-SPECT  The mean deuteron beam energy determined at half of    O2460  1   12 
           the target's thickness. The energy loss, the energy    O2460  1   13 
           straggling as well as the description of the target    O2460  1   14 
           were carried out using the SIMNRA (v. 6.94) code.      O2460  1   15 
SAMPLE     High-purity GaP powder evaporated on top of a thin C   O2460  1   16 
           stripping foil. Ga added for normalization purposes.   O2460  1   17 
DETECTOR   (SIBAR) Five detectors positioned at 130, 140, 150,    O2460  1   18 
           160, and 170 degrees.                                  O2460  1   19 
MONITOR    (31-GA-0(D,EL)31-GA-0,,DA,,RTH)                        O2460  1   20 
ERR-ANALYS (ERR-S) Total statistical uncertainty including:       O2460  1   21 
            - uncertainty of the experimental yields determined   O2460  1   22 
            by fitting of the experimental spectra. Less than     O2460  1   23 
            2.5% in all cases.                                    O2460  1   24 
            - uncertainty of the target thickness - 4%.           O2460  1   25 
STATUS     (APRVD) Proof-read by E.Ntemou (2020-05-07)            O2460  1   26 
HISTORY    (20200408C) VS                                         O2460  1   27 
ENDBIB              25          0                                 O2460  1   28 
NOCOMMON             0          0                                 O2460  1   29 
ENDSUBENT           28          0                                 O2460  199999 
SUBENT        O2460002   20200408                             O077O2460  2    1 
BIB                  2          3                                 O2460  2    2 
REACTION   (15-P-31(D,EL)15-P-31,,DA)                             O2460  2    3 
STATUS     (TABLE) Data plotted on Fig 4 submitted by E.Ntemou to O2460  2    4 
           IBANDL                                                 O2460  2    5 
ENDBIB               3          0                                 O2460  2    6 
NOCOMMON             0          0                                 O2460  2    7 
DATA                 5        273                                 O2460  2    8 
ANG        EN         EN-ERR     DATA       ERR-S                 O2460  2    9 
ADEG       KEV        KEV        MB/SR      MB/SR                 O2460  2   10 
       130.   1185.000      6.000    309.000     13.000           O2460  2   11 
       130.   1215.000      6.000    281.000     12.000           O2460  2   12 
       130.   1245.000      6.000    267.000     12.000           O2460  2   13 
       130.   1276.000      6.000    272.000     13.000           O2460  2   14 
       130.   1306.000      6.000    243.000     11.000           O2460  2   15 
       130.   1336.000      6.000    237.000     10.000           O2460  2   16 
       130.   1366.000      6.000    218.000      9.000           O2460  2   17 
       130.   1396.000      6.000    221.000     10.000           O2460  2   18 
       130.   1427.000      6.000    195.000      8.000           O2460  2   19 
       130.   1457.000      6.000    184.000      8.000           O2460  2   20 
       130.   1487.000      6.000    191.000      9.000           O2460  2   21 
       130.   1507.000      6.000    183.000      8.000           O2460  2   22 
       130.   1527.000      6.000    174.000      7.000           O2460  2   23 
       130.   1547.000      6.000    169.000      7.000           O2460  2   24 
       130.   1568.000      6.000    170.000      7.000           O2460  2   25 
       130.   1588.000      6.000    159.000      7.000           O2460  2   26 
       130.   1608.000      6.000    154.000      7.000           O2460  2   27 
       130.   1628.000      6.000    159.000      7.000           O2460  2   28 
       130.   1648.000      6.000    151.000      6.000           O2460  2   29 
       130.   1668.000      6.000    136.000      6.000           O2460  2   30 
       130.   1687.000      6.000    136.000      6.000           O2460  2   31 
       130.   1708.000      6.000    120.000      5.000           O2460  2   32 
       130.   1729.000      6.000    123.000      5.000           O2460  2   33 
       130.   1749.000      6.000    123.000      5.000           O2460  2   34 
       130.   1769.000      6.000    115.000      5.000           O2460  2   35 
       130.   1789.000      6.000    110.000      5.000           O2460  2   36 
       130.   1809.000      6.000    111.000      5.000           O2460  2   37 
       130.   1829.000      6.000    104.000      4.000           O2460  2   38 
       130.   1849.000      6.000     93.000      4.000           O2460  2   39 
       130.   1869.000      6.000    100.000      4.000           O2460  2   40 
       130.   1889.000      6.000     97.000      4.000           O2460  2   41 
       130.   1910.000      6.000     96.000      4.000           O2460  2   42 
       130.   1930.000      6.000     90.000      4.000           O2460  2   43 
       130.   1950.000      6.000     88.000      4.000           O2460  2   44 
       130.   1970.000      6.000     86.000      4.000           O2460  2   45 
       130.   1990.000      6.000     80.000      3.000           O2460  2   46 
       130.   2010.000      6.000     83.000      4.000           O2460  2   47 
       130.   2030.000      6.000     71.000      3.000           O2460  2   48 
       130.   2050.000      6.000     73.000      3.000           O2460  2   49 
       130.   2070.000      6.000     68.000      3.000           O2460  2   50 
       130.   2090.000      6.000     66.700      2.900           O2460  2   51 
       130.   2110.000      6.000     63.600      2.800           O2460  2   52 
       130.   2131.000      6.000     61.700      2.700           O2460  2   53 
       130.   2151.000      6.000     61.400      2.600           O2460  2   54 
       130.   2161.000      6.000     61.400      2.600           O2460  2   55 
       130.   2171.000      6.000     60.900      2.600           O2460  2   56 
       130.   2181.000      6.000     53.800      2.400           O2460  2   57 
       130.   2191.000      6.000     57.500      2.500           O2460  2   58 
       130.   2201.000      6.000     54.400      2.300           O2460  2   59 
       130.   2211.000      6.000     56.200      2.400           O2460  2   60 
       130.   2221.000      6.000     57.700      2.500           O2460  2   61 
       130.   2231.000      6.000     54.100      2.400           O2460  2   62 
       130.   2251.000      6.000     51.200      2.200           O2460  2   63 
       130.   2271.000      6.000     51.900      2.200           O2460  2   64 
       130.   2291.000      6.000     49.500      2.100           O2460  2   65 
       130.   2321.000      6.000     47.000      2.000           O2460  2   66 
       130.   2351.000      6.000     42.300      1.900           O2460  2   67 
       130.   2392.000      6.000     41.000      1.800           O2460  2   68 
       140.    882.000      6.000    469.000     20.000           O2460  2   69 
       140.    912.000      6.000    449.000     20.000           O2460  2   70 
       140.    942.000      6.000    408.000     18.000           O2460  2   71 
       140.    973.000      6.000    387.000     17.000           O2460  2   72 
       140.   1003.000      6.000    360.000     15.000           O2460  2   73 
       140.   1033.000      6.000    334.000     14.000           O2460  2   74 
       140.   1064.000      6.000    320.000     14.000           O2460  2   75 
       140.   1094.000      6.000    307.000     13.000           O2460  2   76 
       140.   1124.000      6.000    286.000     12.000           O2460  2   77 
       140.   1154.000      6.000    271.000     12.000           O2460  2   78 
       140.   1185.000      6.000    241.000     10.000           O2460  2   79 
       140.   1215.000      6.000    231.000     10.000           O2460  2   80 
       140.   1245.000      6.000    231.000     10.000           O2460  2   81 
       140.   1276.000      6.000    221.000     10.000           O2460  2   82 
       140.   1306.000      6.000    199.000      9.000           O2460  2   83 
       140.   1336.000      6.000    201.000      9.000           O2460  2   84 
       140.   1366.000      6.000    186.000      8.000           O2460  2   85 
       140.   1396.000      6.000    186.000      8.000           O2460  2   86 
       140.   1427.000      6.000    173.000      7.000           O2460  2   87 
       140.   1457.000      6.000    160.000      7.000           O2460  2   88 
       140.   1487.000      6.000    156.000      7.000           O2460  2   89 
       140.   1507.000      6.000    146.000      6.000           O2460  2   90 
       140.   1527.000      6.000    141.000      6.000           O2460  2   91 
       140.   1547.000      6.000    142.000      6.000           O2460  2   92 
       140.   1568.000      6.000    136.000      6.000           O2460  2   93 
       140.   1588.000      6.000    135.000      6.000           O2460  2   94 
       140.   1608.000      6.000    124.000      5.000           O2460  2   95 
       140.   1628.000      6.000    125.000      5.000           O2460  2   96 
       140.   1648.000      6.000    127.000      5.000           O2460  2   97 
       140.   1668.000      6.000    117.000      5.000           O2460  2   98 
       140.   1687.000      6.000    118.000      5.000           O2460  2   99 
       140.   1708.000      6.000    111.000      5.000           O2460  2  100 
       140.   1729.000      6.000    113.000      5.000           O2460  2  101 
       140.   1749.000      6.000    108.000      5.000           O2460  2  102 
       140.   1769.000      6.000    104.000      4.000           O2460  2  103 
       140.   1789.000      6.000    100.000      4.000           O2460  2  104 
       140.   1809.000      6.000     99.000      4.000           O2460  2  105 
       140.   1829.000      6.000     92.000      4.000           O2460  2  106 
       140.   1849.000      6.000     91.000      4.000           O2460  2  107 
       140.   1869.000      6.000     91.000      4.000           O2460  2  108 
       140.   1889.000      6.000     86.000      4.000           O2460  2  109 
       140.   1910.000      6.000     81.000      3.000           O2460  2  110 
       140.   1930.000      6.000     84.000      4.000           O2460  2  111 
       140.   1950.000      6.000     72.000      3.000           O2460  2  112 
       140.   1970.000      6.000     74.000      3.000           O2460  2  113 
       140.   1990.000      6.000     74.000      3.000           O2460  2  114 
       140.   2010.000      6.000     70.000      3.000           O2460  2  115 
