ENTRY            O0055   20230404                             O095O0055  0    1 
SUBENT        O0055001   20230404                             O095O0055  1    1 
BIB                 10         16                                 O0055  1    2 
TITLE      Spin assignments to excited states of Fe-56 using      O0055  1    3 
           inelastic proton scattering.                           O0055  1    4 
AUTHOR     (G.S.Mani)                                             O0055  1    5 
INSTITUTE  (2UK MAN)                                              O0055  1    6 
REFERENCE  (J,NP/A,165,225,1971)                                  O0055  1    7 
FACILITY   (LINAC,2UK NIN)                                        O0055  1    8 
SAMPLE     (26-FE-56,ENR=0.99) The target was self-supporting and O0055  1    9 
           and was 99% enriched Fe-56 which had a thickness       O0055  1   10 
            of 2 mg/cm**2.                                        O0055  1   11 
METHOD     (SITA)                                                 O0055  1   12 
ADD-RES    (COMP) DWBA calculation.                               O0055  1   13 
DETECTOR   (MAGSP) and acoustic spark chamber assembly.           O0055  1   14 
HISTORY    (19941108C) By CAJaD.                                  O0055  1   15 
           (19950517A) Some corrections in the data-section.      O0055  1   16 
           (20230404A) SD:Updated to new date formats,lower case. O0055  1   17 
           Corrections in all Subents. Subents 002-031 were mergedO0055  1   18 
ENDBIB              16          0                                 O0055  1   19 
COMMON               1          3                                 O0055  1   20 
EN                                                                O0055  1   21 
MEV                                                               O0055  1   22 
      49.35                                                       O0055  1   23 
ENDCOMMON            3          0                                 O0055  1   24 
ENDSUBENT           23          0                                 O0055  199999 
SUBENT        O0055002   20230404                             O095O0055  2    1 
BIB                  5         27                                 O0055  2    2 
REACTION   (26-FE-56(P,INL)26-FE-56,PAR,DA)                       O0055  2    3 
LEVEL-PROP (26-FE-56,E-LVL=0.849,SPIN=2.,PARITY=+1.)              O0055  2    4 
           (26-FE-56,E-LVL=2.118,SPIN=4.,PARITY=+1.)              O0055  2    5 
           (26-FE-56,E-LVL=3.159,SPIN=4.,PARITY=+1.)              O0055  2    6 
           (26-FE-56,E-LVL=3.411,SPIN=2.,PARITY=+1.)              O0055  2    7 
           (26-FE-56,E-LVL=3.635,SPIN=2.,PARITY=+1.)              O0055  2    8 
           (26-FE-56,E-LVL=2.695,SPIN=2.,PARITY=+1.)              O0055  2    9 
           (26-FE-56,E-LVL=3.850,SPIN=2.,PARITY=+1.)              O0055  2   10 
           (26-FE-56,E-LVL=4.124,SPIN=4.,PARITY=+1.)              O0055  2   11 
           (26-FE-56,E-LVL=4.512,SPIN=3.,PARITY=-1.)              O0055  2   12 
           (26-FE-56,E-LVL=4.660,SPIN=4.,PARITY=+1.)              O0055  2   13 
           (26-FE-56,E-LVL=4.860,SPIN=4.,PARITY=+1.)              O0055  2   14 
           (26-FE-56,E-LVL=5.105,SPIN=5.,PARITY=-1.)              O0055  2   15 
           (26-FE-56,E-LVL=5.266,SPIN=4.,PARITY=+1.)              O0055  2   16 
           (26-FE-56,E-LVL=5.535,SPIN=2.,PARITY=+1.)              O0055  2   17 
           (26-FE-56,E-LVL=5.880,SPIN=4.,PARITY=+1.)              O0055  2   18 
           (26-FE-56,E-LVL=6.067,SPIN=4.,PARITY=+1.)              O0055  2   19 
           (26-FE-56,E-LVL=6.273,SPIN=4.,PARITY=+1.)              O0055  2   20 
           (26-FE-56,E-LVL=6.635,SPIN=3.,PARITY=-1.)              O0055  2   21 
           (26-FE-56,E-LVL=6.966,SPIN=3.,PARITY=-1.)              O0055  2   22 
           (26-FE-56,E-LVL=7.080,SPIN=3./4.,PARITY=+1.)           O0055  2   23 
           (26-FE-56,E-LVL=7.189,SPIN=3.,PARITY=-1.)              O0055  2   24 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  O0055  2   25 
STATUS     (CURVE) Figs 3-7 from Nucl.Phys.,A165(1971)225         O0055  2   26 
HISTORY    (20230404A) SD: SF9=EXP deleted from REACTION code.    O0055  2   27 
           ANG-ERR -> ANG-ERR-D. Data from Subents 003-031 added. O0055  2   28 
           E-LVL=5.580 -> 5.880 MeV.                              O0055  2   29 
ENDBIB              27          0                                 O0055  2   30 
COMMON               1          3                                 O0055  2   31 
ANG-ERR-D                                                         O0055  2   32 
ADEG                                                              O0055  2   33 
         2.                                                       O0055  2   34 
ENDCOMMON            3          0                                 O0055  2   35 
DATA                 5        781                                 O0055  2   36 
E-LVL      ANG-CM     DATA-CM    -DATA-ERR  +DATA-ERR             O0055  2   37 
MEV        ADEG       MB/SR      PER-CENT   PER-CENT              O0055  2   38 
      0.849       15.9   2.40E+01        21.        30.           O0055  2   39 
      0.849       17.0   1.75E+01        12.        22.           O0055  2   40 
      0.849       19.9   1.48E+01        12.        16.           O0055  2   41 
      0.849       22.7   1.39E+01        15.        22.           O0055  2   42 
      0.849       25.6   9.10E+00        20.        18.           O0055  2   43 
      0.849       27.6   7.70E+00        12.        30.           O0055  2   44 
      0.849       31.3   3.80E+00        13.        21.           O0055  2   45 
      0.849       33.1   2.70E+00        19.        15.           O0055  2   46 
      0.849       36.2   1.26E+00        13.        40.           O0055  2   47 
      0.849       37.1   2.70E+00        11.        26.           O0055  2   48 
      0.849       39.9   2.90E+00        14.        17.           O0055  2   49 
      0.849       42.8   3.70E+00        16.        14.           O0055  2   50 
      0.849       45.6   3.70E+00        16.        24.           O0055  2   51 
      0.849       48.5   3.40E+00        12.        15.           O0055  2   52 
      0.849       50.2   2.90E+00        10.        17.           O0055  2   53 
      0.849       53.1   1.93E+00        16.        22.           O0055  2   54 
      0.849       54.2   1.26E+00        12.        21.           O0055  2   55 
      0.849       57.1   7.70E-01        13.        22.           O0055  2   56 
      0.849       60.0   7.70E-01        19.        12.           O0055  2   57 
      0.849       65.7   8.50E-01        15.        14.           O0055  2   58 
      0.849       67.7   8.50E-01        15.        14.           O0055  2   59 
      0.849       70.2   8.50E-01        15.        14.           O0055  2   60 
      0.849       73.1   7.70E-01        13.        16.           O0055  2   61 
      0.849       74.2   5.30E-01        11.        21.           O0055  2   62 
      0.849       77.1   4.70E-01        13.        13.           O0055  2   63 
      0.849       80.0   2.90E-01        10.        21.           O0055  2   64 
      0.849       82.0   2.70E-01        15.        15.           O0055  2   65 
      0.849       84.6   2.30E-01        17.        30.           O0055  2   66 
      0.849       87.4   2.43E-01        19.        12.           O0055  2   67 
      2.118       21.0   1.10E-01         7.        20.           O0055  2   68 
      2.118       23.0   1.10E-01        12.        21.           O0055  2   69 
      2.118       25.8   9.40E-02        10.        17.           O0055  2   70 
      2.118       28.7   8.40E-02        17.        10.           O0055  2   71 
      2.118       30.2   9.80E-02         8.        24.           O0055  2   72 
      2.118       33.0   8.40E-02         7.        18.           O0055  2   73 
      2.118       35.8   8.30E-02        10.        13.           O0055  2   74 
      2.118       38.1   7.80E-02        17.        24.           O0055  2   75 
      2.118       40.7   4.40E-02         7.        30.           O0055  2   76 
      2.118       42.7   4.40E-02         9.        16.           O0055  2   77 
      2.118       45.7   5.60E-02        20.         7.           O0055  2   78 
      2.118       47.3   7.70E-02         6.        25.           O0055  2   79 
      2.118       50.1   6.20E-02         8.        21.           O0055  2   80 
      2.118       53.1   8.10E-02        17.         7.           O0055  2   81 
      2.118       56.0   8.10E-02        10.        17.           O0055  2   82 
      2.118       61.0   6.10E-02        11.        10.           O0055  2   83 
      2.118       65.5   6.00E-02         8.        20.           O0055  2   84 
      2.118       68.1   4.90E-02         6.        24.           O0055  2   85 
      2.118       70.9   4.70E-02        11.        13.           O0055  2   86 
      2.118       73.0   4.80E-02        15.        10.           O0055  2   87 
      2.118       75.8   4.20E-02        10.        26.           O0055  2   88 
      2.118       78.6   3.72E-02         7.        30.           O0055  2   89 
      2.118       80.0   3.50E-02        11.        20.           O0055  2   90 
      2.118       82.7   2.70E-02        11.        26.           O0055  2   91 
      2.118       85.5   2.04E-02         7.        25.           O0055  2   92 
      2.118       87.8   1.56E-02        12.        14.           O0055  2   93 
      2.695       15.5   2.00E+00        15.        25.           O0055  2   94 
      2.695       17.0   1.74E+00        20.        16.           O0055  2   95 
      2.695       19.8   1.19E+00        13.        22.           O0055  2   96 
      2.695       22.7   1.06E+00        14.        17.           O0055  2   97 
      2.695       25.6   7.60E-01        12.        22.           O0055  2   98 
      2.695       28.4   5.20E-01        15.        29.           O0055  2   99 
      2.695       31.3   2.80E-01        11.        21.           O0055  2  100 
      2.695       34.2   1.63E-01        15.        14.           O0055  2  101 
      2.695       37.0   1.65E-01        12.        13.           O0055  2  102 
      2.695       37.2   2.30E-01        13.        13.           O0055  2  103 
      2.695       39.9   2.80E-01        14.        11.           O0055  2  104 
      2.695       42.7   3.10E-01        16.        23.           O0055  2  105 
      2.695       45.6   2.80E-01        11.        21.           O0055  2  106 
