9.645      0.005      10.        5.5        0.2                   O189900200075 
9.645      0.005      20.        4.8        0.2                   O189900200076 
9.645      0.005      39.        1.9        0.1                   O189900200077 
9.768      0.005      10.        1.1        0.1                   O189900200078 
9.768      0.005      20.        1.8        0.2                   O189900200079 
9.918      0.005      10.        1.0        0.1                   O189900200080 
9.918      0.005      20.        1.7        0.2                   O189900200081 
9.918      0.005      39.        1.0        0.1                   O189900200082 
10.110     0.004      10.        16.0       0.3                   O189900200083 
10.110     0.004      20.        21.7       0.5                   O189900200084 
10.110     0.004      39.        11.8       0.3                   O189900200085 
10.370     0.005      10.        2.0        0.5                   O189900200086 
10.470     0.005      10.        1.3        0.3                   O189900200087 
10.470     0.005      39.        1.0        0.1                   O189900200088 
10.684     0.005      20.        12.2       0.4                   O189900200089 
10.684     0.005      39.        6.1        0.2                   O189900200090 
10.816     0.004      10.        7.2        0.3                   O189900200091 
10.816     0.004      20.        11.4       0.3                   O189900200092 
10.816     0.004      39.        5.5        0.2                   O189900200093 
10.933     0.004      10.        13.5       0.3                   O189900200094 
10.933     0.004      20.        13.4       0.3                   O189900200095 
10.933     0.004      39.        7.3        0.2                   O189900200096 
11.050     0.004      10.        3.0        0.2                   O189900200097 
11.050     0.004      20.        2.2        0.2                   O189900200098 
11.050     0.004      39.        2.6        0.1                   O189900200099 
11.150     0.003      10.        4.1        0.2                   O189900200100 
11.150     0.003      20.        3.5        0.2                   O189900200101 
11.150     0.003      39.        0.8        0.1                   O189900200102 
11.390     0.010      10.        6.1        0.4                   O189900200103 
11.390     0.010      20.        4.5        0.2                   O189900200104 
11.390     0.010      39.        4.0        0.2                   O189900200105 
11.520     0.010      10.        1.0        0.1                   O189900200106 
11.520     0.010      20.        2.5        0.2                   O189900200107 
11.520     0.010      39.        1.3        0.1                   O189900200108 
11.670     0.010      10.        3.2        0.2                   O189900200109 
11.670     0.010      20.        5.3        0.3                   O189900200110 
11.670     0.010      39.        3.7        0.2                   O189900200111 
11.950     0.010      10.        6.6        0.3                   O189900200112 
